<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0012,3A,D,20020813,0.1160,0.1200,0.1100,0.1100,15721200,0
0012,3A,D,20020814,0.1120,0.1140,0.1080,0.1080,3165200,0
0012,3A,D,20020815,0.1080,0.1120,0.1080,0.1120,1940200,0
0012,3A,D,20020816,0.1120,0.1120,0.1100,0.1100,1231200,0
0012,3A,D,20020819,0.1120,0.1120,0.1060,0.1080,2106400,0
0012,3A,D,20020820,0.1100,0.1120,0.1080,0.1080,1181400,0
0012,3A,D,20020821,0.1080,0.1100,0.1060,0.1060,471600,0
0012,3A,D,20020822,0.1080,0.1080,0.1060,0.1060,681600,0
0012,3A,D,20020823,0.1060,0.1060,0.1040,0.1040,1290400,0
0012,3A,D,20020826,0.1040,0.1060,0.1040,0.1040,721400,0
0012,3A,D,20020827,0.1040,0.1040,0.1020,0.1020,415600,0
0012,3A,D,20020828,0.1020,0.1040,0.1000,0.1020,921600,0
0012,3A,D,20020829,0.1020,0.1040,0.1020,0.1020,632000,0
0012,3A,D,20020830,0.1020,0.1040,0.1000,0.1020,606000,0
0012,3A,D,20020902,0.1020,0.1020,0.1000,0.1000,194000,0
0012,3A,D,20020903,0.1020,0.1020,0.1000,0.1020,467000,0
0012,3A,D,20020904,0.1020,0.1020,0.0980,0.1000,325400,0
0012,3A,D,20020905,0.1000,0.1000,0.0980,0.1000,223600,0
0012,3A,D,20020906,0.0980,0.1000,0.0960,0.0960,325000,0
0012,3A,D,20020909,0.0940,0.0940,0.0940,0.0940,184600,0
0012,3A,D,20020910,0.0940,0.0960,0.0940,0.0960,38400,0
0012,3A,D,20020911,0.0960,0.0960,0.0960,0.0960,47400,0
0012,3A,D,20020912,0.0980,0.0980,0.0960,0.0960,172400,0
0012,3A,D,20020913,0.0960,0.0960,0.0960,0.0960,50000,0
0012,3A,D,20020916,0.0960,0.0960,0.0900,0.0900,362400,0
0012,3A,D,20020917,0.0900,0.0920,0.0900,0.0920,181400,0
0012,3A,D,20020918,0.0920,0.0920,0.0880,0.0880,238400,0
0012,3A,D,20020919,0.0880,0.0880,0.0880,0.0880,177400,0
0012,3A,D,20020920,0.0880,0.0880,0.0860,0.0880,70000,0
0012,3A,D,20020923,0.0880,0.0900,0.0860,0.0860,80000,0
