<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5238,AAX,D,20130710,0.8143,0.8257,0.8086,0.8086,248075950,0
5238,AAX,D,20130711,0.8143,0.8200,0.8086,0.8200,45063162,0
5238,AAX,D,20130712,0.8200,0.8200,0.8086,0.8143,13746976,0
5238,AAX,D,20130715,0.8143,0.8143,0.8086,0.8086,16787014,0
5238,AAX,D,20130716,0.8086,0.8143,0.8086,0.8086,16520958,0
5238,AAX,D,20130717,0.8086,0.8143,0.8086,0.8086,15045362,0
5238,AAX,D,20130718,0.8086,0.8143,0.8086,0.8086,17276612,0
5238,AAX,D,20130719,0.8086,0.8143,0.8086,0.8086,7468573,0
5238,AAX,D,20130722,0.8086,0.8143,0.8086,0.8086,18043551,0
5238,AAX,D,20130723,0.8086,0.8143,0.8086,0.8086,11729019,0
5238,AAX,D,20130724,0.8086,0.8143,0.8086,0.8086,13298454,0
5238,AAX,D,20130725,0.8086,0.8143,0.8029,0.8029,25385911,0
5238,AAX,D,20130726,0.7971,0.7971,0.7857,0.7857,11664422,0
5238,AAX,D,20130729,0.7914,0.7971,0.7857,0.7857,6098246,0
5238,AAX,D,20130730,0.7857,0.7857,0.7743,0.7800,6683846,0
5238,AAX,D,20130731,0.7857,0.7857,0.7629,0.7686,7633438,0
5238,AAX,D,20130801,0.7686,0.7743,0.7571,0.7629,7635104,0
5238,AAX,D,20130802,0.7629,0.7914,0.7629,0.7800,16224923,0
5238,AAX,D,20130805,0.7800,0.7971,0.7800,0.7971,8644718,0
5238,AAX,D,20130806,0.7971,0.7971,0.7743,0.7743,8067036,0
5238,AAX,D,20130807,0.7800,0.7857,0.7743,0.7743,5403281,0
5238,AAX,D,20130812,0.7800,0.7800,0.7686,0.7743,5918603,0
5238,AAX,D,20130813,0.7743,0.7800,0.7743,0.7743,4606551,0
5238,AAX,D,20130814,0.7743,0.7800,0.7686,0.7743,4835857,0
5238,AAX,D,20130815,0.7743,0.7857,0.7686,0.7857,5670434,0
5238,AAX,D,20130816,0.7857,0.7857,0.7800,0.7800,2564615,0
5238,AAX,D,20130819,0.7800,0.7857,0.7743,0.7743,2981894,0
5238,AAX,D,20130820,0.7800,0.7800,0.7629,0.7743,9163307,0
5238,AAX,D,20130821,0.7686,0.7743,0.7629,0.7686,3930716,0
5238,AAX,D,20130822,0.7629,0.7629,0.7514,0.7571,10079218,0
5238,AAX,D,20130823,0.7571,0.7629,0.7457,0.7457,6509968,0
5238,AAX,D,20130826,0.7457,0.7514,0.7229,0.7229,10518870,0
5238,AAX,D,20130827,0.7229,0.7286,0.6886,0.6943,8091957,0
5238,AAX,D,20130828,0.6829,0.6886,0.6657,0.6771,13865006,0
5238,AAX,D,20130829,0.6771,0.7114,0.6771,0.7114,8653012,0
5238,AAX,D,20130830,0.7114,0.7229,0.6829,0.6829,3962936,0
5238,AAX,D,20130902,0.6886,0.6886,0.6771,0.6829,2530891,0
5238,AAX,D,20130903,0.6829,0.6943,0.6829,0.6829,1010758,0
5238,AAX,D,20130904,0.6886,0.6886,0.6829,0.6886,2759603,0
5238,AAX,D,20130905,0.6943,0.7000,0.6886,0.7000,1800334,0
5238,AAX,D,20130906,0.7000,0.7000,0.6886,0.6943,1323151,0
5238,AAX,D,20130909,0.6943,0.6943,0.6886,0.6943,1811185,0
5238,AAX,D,20130910,0.6943,0.7171,0.6943,0.7114,3780455,0
5238,AAX,D,20130911,0.7171,0.7343,0.7171,0.7229,6151630,0
5238,AAX,D,20130912,0.7229,0.7286,0.7229,0.7229,2550283,0
5238,AAX,D,20130913,0.7229,0.7286,0.7171,0.7229,1036609,0
5238,AAX,D,20130917,0.7286,0.7343,0.7229,0.7229,2309087,0
5238,AAX,D,20130918,0.7229,0.7286,0.7114,0.7114,3942434,0
5238,AAX,D,20130919,0.7286,0.7571,0.7229,0.7457,6594507,0
5238,AAX,D,20130920,0.7514,0.7629,0.7457,0.7571,4667315,0
5238,AAX,D,20130923,0.7514,0.7571,0.7514,0.7571,1485041,0
5238,AAX,D,20130924,0.7571,0.7571,0.7457,0.7457,3392264,0
5238,AAX,D,20130925,0.7457,0.7571,0.7457,0.7457,3691897,0
