<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5281,ADVCON,D,20170710,0.7400,0.8550,0.7350,0.8450,131645100,0
5281,ADVCON,D,20170711,0.8450,0.8450,0.7850,0.7950,25759000,0
5281,ADVCON,D,20170712,0.8000,0.8200,0.7900,0.7950,11367800,0
5281,ADVCON,D,20170713,0.8100,0.8450,0.8050,0.8350,11072000,0
5281,ADVCON,D,20170714,0.8400,0.9200,0.8250,0.8950,21809000,0
5281,ADVCON,D,20170717,0.8950,0.9500,0.8950,0.9350,16079200,0
5281,ADVCON,D,20170718,0.9400,0.9450,0.8950,0.9100,8244700,0
5281,ADVCON,D,20170719,0.9050,1.0200,0.9000,1.0000,42883700,0
5281,ADVCON,D,20170720,1.0100,1.0600,0.9850,1.0400,23112800,0
5281,ADVCON,D,20170721,1.0300,1.0500,1.0100,1.0300,5189100,0
5281,ADVCON,D,20170724,1.0400,1.1000,1.0100,1.0800,12371900,0
5281,ADVCON,D,20170725,1.0900,1.2000,1.0200,1.0200,31171000,0
5281,ADVCON,D,20170726,1.0300,1.0600,0.9900,1.0300,13929600,0
5281,ADVCON,D,20170727,1.0300,1.0600,1.0300,1.0300,3815400,0
5281,ADVCON,D,20170728,1.0300,1.0600,1.0200,1.0400,3879200,0
5281,ADVCON,D,20170731,1.0400,1.0500,0.9950,1.0000,7518200,0
5281,ADVCON,D,20170801,1.0000,1.0000,0.9600,0.9700,7339300,0
5281,ADVCON,D,20170802,0.9700,1.0200,0.9650,0.9800,6206700,0
5281,ADVCON,D,20170803,0.9800,1.0100,0.9700,0.9750,4279000,0
5281,ADVCON,D,20170804,0.9850,0.9900,0.9750,0.9850,1694300,0
5281,ADVCON,D,20170807,0.9850,0.9900,0.9600,0.9700,3626100,0
5281,ADVCON,D,20170808,0.9700,0.9700,0.9300,0.9450,4075300,0
5281,ADVCON,D,20170809,0.9450,0.9450,0.9300,0.9400,1179300,0
5281,ADVCON,D,20170810,0.9300,1.0000,0.9300,0.9900,3184200,0
5281,ADVCON,D,20170811,0.9900,0.9900,0.9500,0.9650,1570600,0
5281,ADVCON,D,20170814,0.9750,0.9800,0.9600,0.9650,881900,0
5281,ADVCON,D,20170815,0.9600,1.0300,0.9600,1.0100,6123300,0
5281,ADVCON,D,20170816,1.0200,1.0400,1.0000,1.0100,3425300,0
5281,ADVCON,D,20170817,1.0200,1.0400,1.0100,1.0200,2070600,0
5281,ADVCON,D,20170818,0.9950,1.0200,0.9950,0.9950,1700000,0
5281,ADVCON,D,20170821,1.0000,1.0100,1.0000,1.0000,749100,0
5281,ADVCON,D,20170822,1.0000,1.1500,1.0000,1.1000,16680400,0
5281,ADVCON,D,20170823,1.1100,1.1200,1.0700,1.0800,6745200,0
5281,ADVCON,D,20170824,1.0800,1.1400,1.0800,1.1100,7205800,0
5281,ADVCON,D,20170825,1.1100,1.1200,1.0900,1.1000,1480700,0
5281,ADVCON,D,20170828,1.1100,1.1400,1.0300,1.0600,8378000,0
5281,ADVCON,D,20170829,1.0700,1.0700,1.0300,1.0500,1796000,0
5281,ADVCON,D,20170830,1.0600,1.0800,1.0500,1.0600,1764500,0
5281,ADVCON,D,20170905,1.0600,1.0600,1.0100,1.0300,1573600,0
5281,ADVCON,D,20170906,1.0200,1.0600,1.0100,1.0500,3448500,0
5281,ADVCON,D,20170907,1.0500,1.0700,1.0500,1.0600,1604600,0
5281,ADVCON,D,20170908,1.0500,1.0700,1.0500,1.0700,1284800,0
5281,ADVCON,D,20170911,1.0800,1.1000,1.0600,1.0700,1513000,0
5281,ADVCON,D,20170912,1.0700,1.0900,1.0600,1.0800,1246400,0
5281,ADVCON,D,20170913,1.0800,1.0800,1.0600,1.0700,1577900,0
5281,ADVCON,D,20170914,1.0600,1.0800,1.0500,1.0800,1188100,0
5281,ADVCON,D,20170915,1.0700,1.0700,1.0700,1.0700,971900,0
5281,ADVCON,D,20170918,1.0700,1.0700,1.0600,1.0700,598700,0
5281,ADVCON,D,20170919,1.0600,1.1200,1.0600,1.1200,3112200,0
5281,ADVCON,D,20170920,1.1300,1.1300,1.0900,1.0900,1915300,0
5281,ADVCON,D,20170921,1.0800,1.1000,1.0800,1.0800,1003600,0
5281,ADVCON,D,20170925,1.0800,1.0900,1.0700,1.0800,766800,0
5281,ADVCON,D,20170926,1.0800,1.0800,1.0400,1.0600,1275000,0
5281,ADVCON,D,20170927,1.0500,1.0700,1.0400,1.0600,972300,0
5281,ADVCON,D,20170928,1.0500,1.0600,1.0400,1.0500,422200,0
5281,ADVCON,D,20170929,1.0400,1.0500,1.0300,1.0300,259100,0
5281,ADVCON,D,20171002,1.0300,1.0500,1.0300,1.0400,465200,0
5281,ADVCON,D,20171003,1.0500,1.0500,1.0400,1.0400,586700,0
5281,ADVCON,D,20171004,1.0500,1.0700,1.0400,1.0400,1355800,0
5281,ADVCON,D,20171005,1.0600,1.0600,1.0500,1.0600,711600,0
5281,ADVCON,D,20171006,1.0600,1.1000,1.0600,1.0700,1892700,0
5281,ADVCON,D,20171009,1.0800,1.0800,1.0500,1.0500,667900,0
5281,ADVCON,D,20171010,1.0600,1.0700,1.0500,1.0700,1311100,0
5281,ADVCON,D,20171011,1.0600,1.0700,1.0500,1.0700,1200000,0
5281,ADVCON,D,20171012,1.0700,1.0900,1.0700,1.0800,716100,0
5281,ADVCON,D,20171013,1.0900,1.1300,1.0900,1.1200,4139900,0
5281,ADVCON,D,20171016,1.1200,1.1300,1.0700,1.0700,2022200,0
5281,ADVCON,D,20171017,1.0700,1.0900,1.0700,1.0800,650000,0
5281,ADVCON,D,20171019,1.0800,1.0800,1.0700,1.0700,765900,0
5281,ADVCON,D,20171020,1.0600,1.1100,1.0600,1.1100,1367900,0
5281,ADVCON,D,20171023,1.1100,1.1700,1.1000,1.1500,4752700,0
5281,ADVCON,D,20171024,1.1500,1.1900,1.1300,1.1300,4002100,0
5281,ADVCON,D,20171025,1.1300,1.1800,1.1300,1.1700,1517300,0
5281,ADVCON,D,20171026,1.1700,1.1700,1.1400,1.1500,884100,0
5281,ADVCON,D,20171027,1.1500,1.1500,1.1300,1.1300,1015100,0
5281,ADVCON,D,20171030,1.1400,1.1400,1.1300,1.1300,351500,0
5281,ADVCON,D,20171031,1.1300,1.1500,1.1300,1.1400,824900,0
5281,ADVCON,D,20171101,1.1400,1.2100,1.1400,1.2000,3350000,0
5281,ADVCON,D,20171102,1.2100,1.2100,1.1700,1.1800,774800,0
5281,ADVCON,D,20171103,1.1800,1.1800,1.1600,1.1700,326500,0
5281,ADVCON,D,20171106,1.1700,1.1800,1.1600,1.1600,581800,0
5281,ADVCON,D,20171107,1.1600,1.1800,1.1400,1.1500,878000,0
5281,ADVCON,D,20171108,1.1500,1.1800,1.1500,1.1700,860900,0
5281,ADVCON,D,20171109,1.1700,1.1700,1.1500,1.1600,342300,0
5281,ADVCON,D,20171110,1.1600,1.1600,1.1500,1.1500,417600,0
5281,ADVCON,D,20171113,1.1600,1.1600,1.1300,1.1300,551200,0
5281,ADVCON,D,20171114,1.1200,1.1300,1.0900,1.1000,839000,0
5281,ADVCON,D,20171115,1.1000,1.1000,1.0100,1.0700,1546000,0
5281,ADVCON,D,20171116,1.0600,1.0800,1.0400,1.0400,1121600,0
5281,ADVCON,D,20171117,1.0500,1.0600,1.0500,1.0500,775800,0
5281,ADVCON,D,20171120,1.0400,1.0400,1.0200,1.0300,642900,0
5281,ADVCON,D,20171121,1.0300,1.0400,1.0200,1.0300,314300,0
5281,ADVCON,D,20171122,1.0100,1.0500,1.0100,1.0400,294000,0
5281,ADVCON,D,20171123,1.0400,1.0400,1.0200,1.0200,751400,0
5281,ADVCON,D,20171124,1.0200,1.0400,1.0200,1.0300,739900,0
5281,ADVCON,D,20171127,1.0400,1.0400,1.0300,1.0400,57400,0
5281,ADVCON,D,20171128,1.0400,1.0500,1.0300,1.0500,369100,0
5281,ADVCON,D,20171129,1.0400,1.0600,0.9050,0.9800,1278500,0
5281,ADVCON,D,20171130,0.9850,0.9850,0.9500,0.9650,2966700,0
5281,ADVCON,D,20171204,0.9600,0.9600,0.8800,0.9000,1270500,0
5281,ADVCON,D,20171205,0.8950,0.8950,0.8800,0.8800,321500,0
5281,ADVCON,D,20171206,0.8800,0.8850,0.8300,0.8500,667200,0
5281,ADVCON,D,20171207,0.8500,0.8600,0.8300,0.8350,377600,0
5281,ADVCON,D,20171208,0.8300,0.8300,0.8050,0.8050,766800,0
5281,ADVCON,D,20171211,0.8100,0.9000,0.8100,0.8600,565700,0
5281,ADVCON,D,20171212,0.8650,0.9100,0.8650,0.8900,1179700,0
5281,ADVCON,D,20171213,0.9150,0.9150,0.8850,0.8900,540100,0
5281,ADVCON,D,20171214,0.8850,0.9000,0.8650,0.8650,454200,0
5281,ADVCON,D,20171215,0.8650,0.8800,0.8650,0.8700,155000,0
5281,ADVCON,D,20171218,0.8900,0.8900,0.8600,0.8600,293100,0
5281,ADVCON,D,20171219,0.8500,0.8500,0.8400,0.8400,236600,0
5281,ADVCON,D,20171220,0.8500,0.8500,0.8150,0.8200,1118900,0
5281,ADVCON,D,20171221,0.8200,0.8200,0.8150,0.8150,528000,0
5281,ADVCON,D,20171222,0.8150,0.8450,0.8150,0.8300,543000,0
5281,ADVCON,D,20171226,0.8300,0.8450,0.8300,0.8350,240500,0
5281,ADVCON,D,20171227,0.8350,0.8400,0.8350,0.8400,283100,0
5281,ADVCON,D,20171228,0.8400,0.8600,0.8400,0.8400,84500,0
5281,ADVCON,D,20171229,0.8450,0.8750,0.8450,0.8550,451600,0
5281,ADVCON,D,20180102,0.8650,0.8700,0.8550,0.8550,436800,0
5281,ADVCON,D,20180103,0.8550,0.8850,0.8550,0.8700,542100,0
5281,ADVCON,D,20180104,0.8750,0.8800,0.8600,0.8650,405300,0
5281,ADVCON,D,20180105,0.8700,0.8900,0.8700,0.8700,370900,0
5281,ADVCON,D,20180108,0.8800,0.9400,0.8800,0.9350,1309600,0
