<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7191,ADVENTA,D,20040629,0.1220,0.1220,0.1067,0.1067,71982627,0
7191,ADVENTA,D,20040630,0.1086,0.1144,0.1086,0.1144,26307454,0
7191,ADVENTA,D,20040701,0.1144,0.1201,0.1144,0.1182,17030252,0
7191,ADVENTA,D,20040702,0.1163,0.1182,0.1144,0.1144,9825002,0
7191,ADVENTA,D,20040705,0.1144,0.1182,0.1125,0.1144,12423327,0
7191,ADVENTA,D,20040706,0.1163,0.1182,0.1163,0.1182,13918598,0
7191,ADVENTA,D,20040707,0.1163,0.1353,0.1163,0.1277,71033293,0
7191,ADVENTA,D,20040708,0.1277,0.1334,0.1239,0.1315,35119771,0
7191,ADVENTA,D,20040709,0.1315,0.1334,0.1277,0.1296,13244095,0
7191,ADVENTA,D,20040712,0.1296,0.1296,0.1220,0.1258,7343132,0
7191,ADVENTA,D,20040713,0.1220,0.1239,0.1201,0.1220,7428842,0
7191,ADVENTA,D,20040714,0.1220,0.1239,0.1201,0.1239,2419451,0
7191,ADVENTA,D,20040715,0.1239,0.1296,0.1239,0.1277,8651144,0
7191,ADVENTA,D,20040716,0.1258,0.1277,0.1239,0.1277,2079405,0
7191,ADVENTA,D,20040719,0.1258,0.1277,0.1258,0.1277,1665760,0
7191,ADVENTA,D,20040720,0.1277,0.1277,0.1239,0.1239,997779,0
7191,ADVENTA,D,20040721,0.1239,0.1258,0.1201,0.1258,2608573,0
7191,ADVENTA,D,20040722,0.1239,0.1239,0.1220,0.1239,1103985,0
7191,ADVENTA,D,20040723,0.1239,0.1258,0.1220,0.1258,3066004,0
7191,ADVENTA,D,20040726,0.1258,0.1277,0.1239,0.1258,2522862,0
7191,ADVENTA,D,20040727,0.1258,0.1258,0.1239,0.1258,3197365,0
7191,ADVENTA,D,20040728,0.1258,0.1277,0.1258,0.1258,597177,0
7191,ADVENTA,D,20040729,0.1258,0.1258,0.1239,0.1258,3016628,0
7191,ADVENTA,D,20040730,0.1258,0.1277,0.1258,0.1258,2260142,0
7191,ADVENTA,D,20040802,0.1258,0.1277,0.1258,0.1258,1007095,0
7191,ADVENTA,D,20040803,0.1258,0.1392,0.1258,0.1334,29972498,0
7191,ADVENTA,D,20040804,0.1315,0.1334,0.1296,0.1315,5135161,0
7191,ADVENTA,D,20040805,0.1315,0.1353,0.1315,0.1334,6836323,0
7191,ADVENTA,D,20040806,0.1334,0.1334,0.1296,0.1315,7529458,0
7191,ADVENTA,D,20040809,0.1296,0.1315,0.1277,0.1296,7486603,0
7191,ADVENTA,D,20040810,0.1296,0.1315,0.1296,0.1315,1491544,0
7191,ADVENTA,D,20040811,0.1315,0.1315,0.1258,0.1258,351226,0
7191,ADVENTA,D,20040812,0.1258,0.1296,0.1258,0.1296,1064857,0
7191,ADVENTA,D,20040813,0.1258,0.1296,0.1258,0.1296,691272,0
7191,ADVENTA,D,20040816,0.1277,0.1296,0.1258,0.1296,3315682,0
7191,ADVENTA,D,20040817,0.1277,0.1277,0.1277,0.1277,862692,0
7191,ADVENTA,D,20040818,0.1277,0.1296,0.1277,0.1296,293464,0
7191,ADVENTA,D,20040819,0.1277,0.1277,0.1258,0.1258,602767,0
