<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
9148,ADVPKG,D,19940527,1.6000,1.6853,1.5200,1.5680,609333,0
9148,ADVPKG,D,19940530,1.5467,1.5467,1.4933,1.5146,116250,0
9148,ADVPKG,D,19940531,1.5146,1.5253,1.5040,1.5094,63750,0
9148,ADVPKG,D,19940601,1.4987,1.5094,1.4933,1.5040,65583,0
9148,ADVPKG,D,19940602,1.4933,1.4987,1.4827,1.4880,82500,0
9148,ADVPKG,D,19940603,1.4560,1.4933,1.4400,1.4933,37500,0
9148,ADVPKG,D,19940606,1.4933,1.5146,1.4933,1.5094,16833,0
9148,ADVPKG,D,19940607,1.4933,1.4933,1.4400,1.4507,41250,0
9148,ADVPKG,D,19940608,1.4614,1.4666,1.4614,1.4666,20583,0
9148,ADVPKG,D,19940609,1.4666,1.4880,1.4400,1.4507,22500,0
9148,ADVPKG,D,19940610,1.4507,1.5040,1.4507,1.5040,18750,0
9148,ADVPKG,D,19940613,1.5200,1.5360,1.5040,1.5040,46833,0
9148,ADVPKG,D,19940615,1.4720,1.4933,1.4720,1.4720,16833,0
9148,ADVPKG,D,19940616,1.4933,1.4933,1.4720,1.4827,20583,0
9148,ADVPKG,D,19940617,1.4827,1.5040,1.4827,1.5040,75000,0
9148,ADVPKG,D,19940620,1.5467,1.5733,1.5040,1.5040,26250,0
9148,ADVPKG,D,19940621,1.4666,1.4666,1.4614,1.4666,5583,0
9148,ADVPKG,D,19940622,1.4507,1.4666,1.4507,1.4666,11250,0
9148,ADVPKG,D,19940623,1.4453,1.4560,1.4453,1.4560,7500,0
9148,ADVPKG,D,19940624,1.4614,1.4614,1.4400,1.4400,5583,0
9148,ADVPKG,D,19940627,1.4400,1.4400,1.4134,1.4400,9333,0
9148,ADVPKG,D,19940628,1.4400,1.4400,1.3973,1.3973,26250,0
9148,ADVPKG,D,19940629,1.3973,1.5467,1.3760,1.5467,26250,0
9148,ADVPKG,D,19940701,1.3867,1.3973,1.3654,1.3973,15000,0
9148,ADVPKG,D,19940704,1.3333,1.3333,1.3333,1.3333,3750,0
9148,ADVPKG,D,19940706,1.3440,1.3440,1.3440,1.3440,1833,0
9148,ADVPKG,D,19940707,1.3440,1.3440,1.3440,1.3440,5583,0
9148,ADVPKG,D,19940708,1.3867,1.3867,1.3867,1.3867,3750,0
9148,ADVPKG,D,19940711,1.3440,1.3440,1.3440,1.3440,3750,0
9148,ADVPKG,D,19940712,1.3440,1.3493,1.3387,1.3387,7500,0
