<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0181,AEMULUS,D,20150915,0.2880,0.3560,0.2880,0.3160,115329750,0
0181,AEMULUS,D,20150917,0.3320,0.3360,0.2880,0.3040,26273000,0
0181,AEMULUS,D,20150918,0.3440,0.3960,0.3280,0.3640,119968500,0
0181,AEMULUS,D,20150921,0.3640,0.4080,0.3640,0.3960,60735000,0
0181,AEMULUS,D,20150922,0.4000,0.4400,0.4000,0.4080,87724875,0
0181,AEMULUS,D,20150923,0.4120,0.4280,0.4000,0.4120,23787250,0
0181,AEMULUS,D,20150925,0.4080,0.4160,0.4000,0.4120,14400875,0
0181,AEMULUS,D,20150928,0.4160,0.4160,0.3680,0.3920,17819375,0
0181,AEMULUS,D,20150929,0.3760,0.3920,0.3680,0.3760,17993625,0
0181,AEMULUS,D,20150930,0.3800,0.4000,0.3800,0.3960,32594000,0
0181,AEMULUS,D,20151001,0.4000,0.4520,0.3960,0.4480,105261250,0
0181,AEMULUS,D,20151002,0.4320,0.4600,0.4320,0.4440,41542125,0
0181,AEMULUS,D,20151005,0.4480,0.4720,0.4360,0.4640,33683250,0
0181,AEMULUS,D,20151006,0.4720,0.4800,0.4400,0.4440,33348000,0
0181,AEMULUS,D,20151007,0.4440,0.4600,0.4440,0.4560,19679250,0
0181,AEMULUS,D,20151008,0.4560,0.4720,0.4440,0.4480,36850875,0
0181,AEMULUS,D,20151009,0.4560,0.4600,0.4440,0.4480,11697000,0
0181,AEMULUS,D,20151012,0.4480,0.4480,0.4200,0.4320,16994625,0
0181,AEMULUS,D,20151013,0.4320,0.4440,0.4280,0.4280,14048250,0
0181,AEMULUS,D,20151015,0.4280,0.4360,0.4080,0.4120,14473375,0
0181,AEMULUS,D,20151016,0.4160,0.4360,0.4040,0.4280,19814000,0
0181,AEMULUS,D,20151019,0.4240,0.4360,0.4120,0.4120,9095625,0
0181,AEMULUS,D,20151020,0.4160,0.4160,0.4000,0.4040,6750625,0
0181,AEMULUS,D,20151021,0.4040,0.4160,0.4040,0.4120,8489875,0
0181,AEMULUS,D,20151022,0.4120,0.4120,0.4000,0.4040,7774500,0
0181,AEMULUS,D,20151023,0.4080,0.4360,0.4080,0.4160,33453250,0
0181,AEMULUS,D,20151026,0.4240,0.4280,0.4160,0.4160,6973125,0
0181,AEMULUS,D,20151027,0.4200,0.4200,0.4080,0.4080,3964875,0
0181,AEMULUS,D,20151028,0.4120,0.4240,0.4080,0.4200,13225500,0
0181,AEMULUS,D,20151029,0.4200,0.4360,0.4160,0.4160,20289125,0
0181,AEMULUS,D,20151030,0.4200,0.4280,0.4160,0.4240,3725875,0
0181,AEMULUS,D,20151102,0.4240,0.4240,0.4120,0.4120,6102500,0
0181,AEMULUS,D,20151103,0.4160,0.4680,0.4160,0.4600,35505375,0
0181,AEMULUS,D,20151104,0.4600,0.4680,0.4440,0.4440,28467875,0
0181,AEMULUS,D,20151105,0.4480,0.4560,0.4440,0.4480,5131625,0
0181,AEMULUS,D,20151106,0.4480,0.4600,0.4440,0.4520,12599625,0
0181,AEMULUS,D,20151109,0.4520,0.4680,0.4440,0.4520,26619750,0
0181,AEMULUS,D,20151111,0.4520,0.4920,0.4480,0.4840,54045875,0
0181,AEMULUS,D,20151112,0.4800,0.4920,0.4680,0.4720,27394250,0
0181,AEMULUS,D,20151113,0.4640,0.4760,0.4600,0.4680,11657500,0
0181,AEMULUS,D,20151116,0.4560,0.4600,0.4200,0.4280,31533125,0
0181,AEMULUS,D,20151117,0.4280,0.4320,0.4160,0.4160,12760375,0
0181,AEMULUS,D,20151118,0.4160,0.4280,0.4080,0.4160,9933250,0
0181,AEMULUS,D,20151119,0.4200,0.4280,0.4160,0.4200,6948500,0
0181,AEMULUS,D,20151120,0.4200,0.4240,0.4120,0.4120,14886500,0
0181,AEMULUS,D,20151123,0.4160,0.4240,0.4120,0.4160,6283500,0
0181,AEMULUS,D,20151124,0.4160,0.4160,0.4040,0.4080,4855625,0
0181,AEMULUS,D,20151125,0.4080,0.4080,0.3840,0.3880,10987000,0
0181,AEMULUS,D,20151126,0.3880,0.4000,0.3800,0.3840,9816875,0
0181,AEMULUS,D,20151127,0.3880,0.3920,0.3640,0.3800,6675125,0
0181,AEMULUS,D,20151130,0.3800,0.3800,0.3640,0.3680,4422500,0
0181,AEMULUS,D,20151201,0.3680,0.3920,0.3680,0.3880,6176750,0
0181,AEMULUS,D,20151202,0.3920,0.4000,0.3880,0.3880,7370250,0
0181,AEMULUS,D,20151203,0.3880,0.3920,0.3840,0.3920,1455125,0
0181,AEMULUS,D,20151204,0.3840,0.3920,0.3840,0.3840,2978875,0
0181,AEMULUS,D,20151207,0.3880,0.3880,0.3760,0.3760,3398000,0
0181,AEMULUS,D,20151208,0.3760,0.3840,0.3720,0.3720,3136625,0
0181,AEMULUS,D,20151209,0.3720,0.3920,0.3720,0.3800,4676125,0
0181,AEMULUS,D,20151210,0.3800,0.3800,0.3720,0.3760,1454250,0
0181,AEMULUS,D,20151211,0.3760,0.3760,0.3640,0.3720,1744000,0
0181,AEMULUS,D,20151214,0.3640,0.3680,0.3640,0.3640,1261125,0
0181,AEMULUS,D,20151215,0.3640,0.3720,0.3640,0.3640,2086875,0
0181,AEMULUS,D,20151216,0.3640,0.3680,0.3640,0.3640,1545000,0
0181,AEMULUS,D,20151217,0.3680,0.3840,0.3680,0.3800,3037375,0
0181,AEMULUS,D,20151218,0.3800,0.3880,0.3760,0.3800,3762500,0
0181,AEMULUS,D,20151221,0.3760,0.3920,0.3760,0.3800,2656875,0
0181,AEMULUS,D,20151222,0.3840,0.4120,0.3840,0.4040,13069000,0
0181,AEMULUS,D,20151223,0.4080,0.4200,0.4080,0.4120,7423375,0
0181,AEMULUS,D,20151228,0.4120,0.4280,0.4120,0.4160,3640125,0
0181,AEMULUS,D,20151229,0.4160,0.4200,0.4040,0.4080,2184500,0
0181,AEMULUS,D,20151230,0.4120,0.4240,0.4040,0.4040,4721250,0
0181,AEMULUS,D,20151231,0.4040,0.4080,0.4040,0.4080,1400875,0
0181,AEMULUS,D,20160104,0.4120,0.4120,0.3880,0.3880,1944500,0
0181,AEMULUS,D,20160105,0.3880,0.4000,0.3840,0.3960,1060125,0
0181,AEMULUS,D,20160106,0.4000,0.4080,0.3920,0.4000,4155000,0
0181,AEMULUS,D,20160107,0.4040,0.4040,0.3880,0.3880,2465875,0
0181,AEMULUS,D,20160108,0.3880,0.4000,0.3840,0.3960,2243875,0
0181,AEMULUS,D,20160111,0.3960,0.4080,0.3920,0.3960,2378750,0
0181,AEMULUS,D,20160112,0.3960,0.4120,0.3960,0.4000,6169750,0
0181,AEMULUS,D,20160113,0.4040,0.4200,0.4040,0.4160,10742500,0
0181,AEMULUS,D,20160114,0.4120,0.4160,0.4040,0.4080,10407375,0
0181,AEMULUS,D,20160115,0.4240,0.4400,0.4200,0.4200,22990125,0
0181,AEMULUS,D,20160118,0.4120,0.4280,0.4040,0.4160,7228125,0
0181,AEMULUS,D,20160119,0.4200,0.4320,0.4160,0.4240,6378000,0
0181,AEMULUS,D,20160120,0.4240,0.4240,0.4040,0.4040,8584500,0
0181,AEMULUS,D,20160121,0.4040,0.4160,0.3880,0.3920,9407500,0
0181,AEMULUS,D,20160122,0.4000,0.4040,0.3960,0.3960,4106875,0
0181,AEMULUS,D,20160126,0.3960,0.3960,0.3760,0.3800,3201750,0
0181,AEMULUS,D,20160127,0.4080,0.4120,0.3840,0.3840,7851875,0
0181,AEMULUS,D,20160128,0.3840,0.3880,0.3720,0.3720,7287125,0
0181,AEMULUS,D,20160129,0.3760,0.3840,0.3720,0.3800,6782875,0
0181,AEMULUS,D,20160202,0.3840,0.3840,0.3720,0.3720,4988000,0
0181,AEMULUS,D,20160203,0.3680,0.3840,0.3640,0.3840,8780500,0
0181,AEMULUS,D,20160204,0.3840,0.3920,0.3720,0.3720,4943750,0
0181,AEMULUS,D,20160205,0.3760,0.3800,0.3680,0.3680,3045250,0
0181,AEMULUS,D,20160210,0.3680,0.3680,0.3600,0.3640,3410375,0
0181,AEMULUS,D,20160211,0.3640,0.3640,0.3560,0.3560,3401500,0
0181,AEMULUS,D,20160212,0.3520,0.3600,0.3480,0.3600,3666875,0
0181,AEMULUS,D,20160215,0.3600,0.3680,0.3520,0.3520,3062000,0
0181,AEMULUS,D,20160216,0.2960,0.3320,0.2840,0.3160,28855750,0
0181,AEMULUS,D,20160217,0.3200,0.3200,0.3080,0.3120,2704375,0
0181,AEMULUS,D,20160218,0.3120,0.3280,0.3120,0.3240,6222625,0
0181,AEMULUS,D,20160219,0.3240,0.3400,0.3240,0.3320,4242000,0
0181,AEMULUS,D,20160222,0.3320,0.3480,0.3320,0.3440,3917125,0
0181,AEMULUS,D,20160223,0.3480,0.3520,0.3440,0.3440,1937250,0
0181,AEMULUS,D,20160224,0.3400,0.3520,0.3400,0.3480,2249250,0
0181,AEMULUS,D,20160225,0.3440,0.3520,0.3400,0.3440,1552625,0
0181,AEMULUS,D,20160226,0.3440,0.3440,0.3360,0.3440,1147125,0
0181,AEMULUS,D,20160229,0.3360,0.3440,0.3360,0.3440,2101875,0
0181,AEMULUS,D,20160301,0.3400,0.3480,0.3400,0.3400,1433250,0
0181,AEMULUS,D,20160302,0.3480,0.3520,0.3440,0.3440,1199875,0
0181,AEMULUS,D,20160303,0.3480,0.3480,0.3360,0.3360,609750,0
0181,AEMULUS,D,20160304,0.3360,0.3360,0.3280,0.3360,462625,0
0181,AEMULUS,D,20160307,0.3320,0.3320,0.3280,0.3320,1011625,0
0181,AEMULUS,D,20160308,0.3280,0.3280,0.3240,0.3280,542875,0
0181,AEMULUS,D,20160309,0.3200,0.3320,0.3200,0.3280,609375,0
0181,AEMULUS,D,20160310,0.3240,0.3320,0.3240,0.3320,244125,0
0181,AEMULUS,D,20160311,0.3360,0.3360,0.3200,0.3200,1473250,0
0181,AEMULUS,D,20160314,0.3240,0.3240,0.3160,0.3160,352500,0
0181,AEMULUS,D,20160315,0.3200,0.3280,0.3200,0.3200,892125,0
