<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7146,AEM,D,20020715,0.5677,0.7005,0.5677,0.6442,21634393,0
7146,AEM,D,20020716,0.6522,0.6723,0.6119,0.6321,6177846,0
7146,AEM,D,20020717,0.6321,0.6361,0.5797,0.6119,2579043,0
7146,AEM,D,20020718,0.6119,0.6281,0.5918,0.6039,1957092,0
7146,AEM,D,20020719,0.5999,0.5999,0.5677,0.5757,2430789,0
7146,AEM,D,20020722,0.5636,0.5838,0.5516,0.5677,1935358,0
7146,AEM,D,20020723,0.5757,0.5878,0.5717,0.5797,757581,0
7146,AEM,D,20020724,0.5757,0.5838,0.5677,0.5717,674948,0
7146,AEM,D,20020725,0.5797,0.5838,0.5757,0.5797,527823,0
7146,AEM,D,20020726,0.5797,0.6442,0.5797,0.6200,1633387,0
7146,AEM,D,20020729,0.6200,0.6562,0.6200,0.6401,1427757,0
7146,AEM,D,20020730,0.6482,0.6522,0.6200,0.6281,737710,0
7146,AEM,D,20020731,0.6200,0.6401,0.6200,0.6200,285161,0
7146,AEM,D,20020801,0.6321,0.6723,0.6281,0.6603,4577896,0
7146,AEM,D,20020802,0.6562,0.6603,0.6442,0.6522,706707,0
7146,AEM,D,20020805,0.6442,0.6482,0.6240,0.6281,376211,0
7146,AEM,D,20020806,0.6240,0.6321,0.6200,0.6281,464484,0
7146,AEM,D,20020807,0.6361,0.6442,0.6200,0.6401,1278022,0
7146,AEM,D,20020808,0.6401,0.6401,0.6240,0.6240,170041,0
7146,AEM,D,20020809,0.6321,0.6321,0.6200,0.6200,226452,0
7146,AEM,D,20020812,0.6200,0.6200,0.6079,0.6119,299110,0
7146,AEM,D,20020813,0.6119,0.6281,0.6079,0.6160,617802,0
7146,AEM,D,20020814,0.6079,0.6119,0.5999,0.6079,158770,0
7146,AEM,D,20020815,0.6119,0.6361,0.6119,0.6160,370681,0
7146,AEM,D,20020816,0.6160,0.6240,0.6160,0.6160,205236,0
7146,AEM,D,20020819,0.6160,0.6200,0.6039,0.6119,232177,0
7146,AEM,D,20020820,0.6160,0.6160,0.6039,0.6039,164830,0
7146,AEM,D,20020821,0.5999,0.6039,0.5999,0.5999,189624,0
7146,AEM,D,20020822,0.6039,0.6039,0.5999,0.6039,66766,0
7146,AEM,D,20020823,0.5999,0.5999,0.5878,0.5878,311335,0
7146,AEM,D,20020826,0.5838,0.5918,0.5838,0.5918,114309,0
7146,AEM,D,20020827,0.5918,0.5918,0.5838,0.5878,26982,0
7146,AEM,D,20020828,0.5878,0.5878,0.5797,0.5878,153592,0
7146,AEM,D,20020829,0.5918,0.5918,0.5717,0.5757,268710,0
7146,AEM,D,20020830,0.5797,0.5838,0.5757,0.5838,53891,0
7146,AEM,D,20020902,0.5797,0.5838,0.5797,0.5838,109856,0
7146,AEM,D,20020903,0.5838,0.5838,0.5838,0.5838,20727,0
7146,AEM,D,20020904,0.5797,0.5797,0.5757,0.5797,111774,0
7146,AEM,D,20020905,0.5797,0.5797,0.5797,0.5797,35188,0
7146,AEM,D,20020906,0.5797,0.5797,0.5717,0.5757,208767,0
7146,AEM,D,20020909,0.5757,0.5757,0.5717,0.5717,202278,0
7146,AEM,D,20020910,0.5717,0.5797,0.5717,0.5797,84866,0
7146,AEM,D,20020911,0.5878,0.5878,0.5797,0.5797,26909,0
7146,AEM,D,20020912,0.5797,0.5797,0.5797,0.5797,31048,0
7146,AEM,D,20020913,0.5797,0.5797,0.5757,0.5797,22769,0
7146,AEM,D,20020916,0.5757,0.5797,0.5757,0.5797,26909,0
7146,AEM,D,20020917,0.5797,0.5797,0.5797,0.5797,10349,0
7146,AEM,D,20020918,0.5797,0.5797,0.5757,0.5757,68211,0
7146,AEM,D,20020919,0.5797,0.5797,0.5757,0.5757,33072,0
7146,AEM,D,20020920,0.5717,0.5717,0.5717,0.5717,30961,0
7146,AEM,D,20020923,0.5677,0.5677,0.5636,0.5636,82323,0
7146,AEM,D,20020924,0.5596,0.5677,0.5516,0.5677,107176,0
7146,AEM,D,20020925,0.5636,0.5677,0.5596,0.5636,166703,0
7146,AEM,D,20020926,0.5636,0.5636,0.5516,0.5516,36877,0
7146,AEM,D,20020927,0.5516,0.5596,0.5475,0.5516,65560,0
7146,AEM,D,20020930,0.5475,0.5475,0.5435,0.5435,49015,0
7146,AEM,D,20021001,0.5435,0.5475,0.5435,0.5435,12254,0
7146,AEM,D,20021002,0.5435,0.5435,0.5435,0.5435,0,0
7146,AEM,D,20021003,0.5395,0.5435,0.5395,0.5395,20390,0
7146,AEM,D,20021004,0.5355,0.5395,0.5355,0.5355,14250,0
7146,AEM,D,20021007,0.5355,0.5355,0.5355,0.5355,4071,0
7146,AEM,D,20021008,0.5355,0.5355,0.5355,0.5355,14250,0
7146,AEM,D,20021009,0.5314,0.5314,0.5153,0.5153,64581,0
7146,AEM,D,20021010,0.5113,0.5113,0.4851,0.4892,165438,0
7146,AEM,D,20021011,0.4992,0.5032,0.4912,0.4992,40062,0
7146,AEM,D,20021014,0.4952,0.4972,0.4952,0.4952,31987,0
7146,AEM,D,20021015,0.4932,0.4952,0.4932,0.4952,27989,0
7146,AEM,D,20021016,0.4992,0.4992,0.4992,0.4992,16025,0
7146,AEM,D,20021017,0.5073,0.5073,0.5073,0.5073,2011,0
7146,AEM,D,20021018,0.5314,0.5395,0.5234,0.5395,12234,0
7146,AEM,D,20021021,0.5475,0.5556,0.5435,0.5516,36877,0
7146,AEM,D,20021022,0.5556,0.5596,0.5516,0.5516,30731,0
7146,AEM,D,20021023,0.5556,0.5556,0.5516,0.5516,28682,0
7146,AEM,D,20021024,0.5556,0.5636,0.5556,0.5596,76035,0
7146,AEM,D,20021025,0.5636,0.5797,0.5636,0.5797,64167,0
7146,AEM,D,20021028,0.5838,0.5838,0.5797,0.5797,134543,0
7146,AEM,D,20021029,0.5797,0.5838,0.5757,0.5797,64167,0
7146,AEM,D,20021030,0.5797,0.5797,0.5717,0.5717,80498,0
7146,AEM,D,20021031,0.5757,0.5757,0.5596,0.5717,233239,0
7146,AEM,D,20021101,0.5757,0.6160,0.5757,0.5878,122458,0
7146,AEM,D,20021105,0.5878,0.5999,0.5797,0.5878,170196,0
7146,AEM,D,20021106,0.5918,0.5918,0.5797,0.5878,971364,0
7146,AEM,D,20021107,0.5918,0.5958,0.5838,0.5878,188876,0
7146,AEM,D,20021108,0.5838,0.5838,0.5797,0.5797,107634,0
7146,AEM,D,20021111,0.5838,0.5838,0.5797,0.5797,35188,0
7146,AEM,D,20021112,0.5757,0.5757,0.5717,0.5717,55730,0
7146,AEM,D,20021113,0.5757,0.5757,0.5717,0.5717,37153,0
7146,AEM,D,20021114,0.5797,0.5797,0.5717,0.5717,30961,0
7146,AEM,D,20021115,0.5757,0.5757,0.5717,0.5717,33025,0
7146,AEM,D,20021118,0.5717,0.5757,0.5717,0.5757,28938,0
7146,AEM,D,20021119,0.5717,0.5717,0.5636,0.5636,57626,0
7146,AEM,D,20021120,0.5636,0.5636,0.5636,0.5636,0,0
7146,AEM,D,20021121,0.5636,0.5636,0.5636,0.5636,0,0
7146,AEM,D,20021122,0.5677,0.5677,0.5596,0.5677,35038,0
7146,AEM,D,20021125,0.5717,0.5717,0.5636,0.5636,63800,0
7146,AEM,D,20021126,0.5636,0.5717,0.5596,0.5717,18577,0
7146,AEM,D,20021127,0.5636,0.5636,0.5636,0.5636,2058,0
7146,AEM,D,20021128,0.5677,0.5677,0.5636,0.5636,22639,0
7146,AEM,D,20021129,0.5596,0.5596,0.5596,0.5596,10275,0
7146,AEM,D,20021202,0.5596,0.5596,0.5556,0.5556,36934,0
7146,AEM,D,20021203,0.5556,0.5556,0.5475,0.5475,18410,0
7146,AEM,D,20021204,0.5475,0.5475,0.5475,0.5475,0,0
7146,AEM,D,20021209,0.5475,0.5475,0.5475,0.5475,4091,0
7146,AEM,D,20021210,0.5475,0.5475,0.5475,0.5475,0,0
7146,AEM,D,20021211,0.5475,0.5475,0.5475,0.5475,0,0
7146,AEM,D,20021212,0.5435,0.5435,0.5435,0.5435,2042,0
7146,AEM,D,20021213,0.5435,0.5435,0.5435,0.5435,0,0
7146,AEM,D,20021216,0.5435,0.5435,0.5435,0.5435,0,0
7146,AEM,D,20021217,0.5395,0.5395,0.5355,0.5355,26463,0
7146,AEM,D,20021218,0.5475,0.5475,0.5395,0.5395,10195,0
7146,AEM,D,20021219,0.5355,0.5355,0.5314,0.5314,28452,0
7146,AEM,D,20021220,0.5274,0.5274,0.5194,0.5194,60653,0
7146,AEM,D,20021223,0.5194,0.5194,0.5194,0.5194,0,0
7146,AEM,D,20021224,0.5153,0.5153,0.5153,0.5153,10091,0
7146,AEM,D,20021226,0.5153,0.5153,0.5153,0.5153,0,0
7146,AEM,D,20021227,0.5113,0.5113,0.4992,0.5073,102548,0
7146,AEM,D,20021230,0.5234,0.5314,0.5113,0.5113,34246,0
7146,AEM,D,20021231,0.5113,0.5194,0.5113,0.5113,22159,0
7146,AEM,D,20030102,0.5113,0.5113,0.5113,0.5113,0,0
7146,AEM,D,20030103,0.5073,0.5113,0.4992,0.5113,16116,0
7146,AEM,D,20030106,0.5113,0.5113,0.4992,0.4992,80125,0
7146,AEM,D,20030107,0.5032,0.5032,0.4569,0.4972,44026,0
7146,AEM,D,20030108,0.4952,0.5073,0.4932,0.5073,16086,0
7146,AEM,D,20030109,0.4992,0.4992,0.4972,0.4972,8005,0
7146,AEM,D,20030110,0.5073,0.5073,0.4972,0.5032,22077,0
7146,AEM,D,20030113,0.4992,0.5516,0.4992,0.5153,163470,0
7146,AEM,D,20030114,0.5194,0.5355,0.5153,0.5194,161740,0
7146,AEM,D,20030115,0.5274,0.5314,0.5194,0.5314,95516,0
7146,AEM,D,20030116,0.5314,0.5516,0.5314,0.5435,93946,0
7146,AEM,D,20030117,0.5395,0.5516,0.5395,0.5435,20423,0
7146,AEM,D,20030120,0.5395,0.5395,0.5355,0.5355,24428,0
7146,AEM,D,20030121,0.5355,0.5395,0.5274,0.5274,129844,0
7146,AEM,D,20030122,0.5395,0.5516,0.5274,0.5435,145003,0
7146,AEM,D,20030123,0.5516,0.5596,0.5355,0.5355,75319,0
7146,AEM,D,20030124,0.5475,0.5475,0.5194,0.5194,32348,0
7146,AEM,D,20030127,0.5153,0.5153,0.5032,0.5032,24084,0
7146,AEM,D,20030128,0.4992,0.5153,0.4972,0.5113,14101,0
7146,AEM,D,20030129,0.5153,0.5153,0.4992,0.5073,32172,0
7146,AEM,D,20030130,0.5073,0.5073,0.5032,0.5032,14049,0
7146,AEM,D,20030205,0.4992,0.5032,0.4992,0.5032,34118,0
7146,AEM,D,20030206,0.5032,0.5032,0.4912,0.4912,19952,0
7146,AEM,D,20030207,0.4912,0.4912,0.4912,0.4912,0,0
7146,AEM,D,20030210,0.4912,0.4912,0.4912,0.4912,0,0
7146,AEM,D,20030211,0.4590,0.4670,0.4590,0.4670,15760,0
7146,AEM,D,20030213,0.4670,0.4791,0.4590,0.4791,35693,0
7146,AEM,D,20030214,0.4791,0.4791,0.4791,0.4791,9915,0
7146,AEM,D,20030217,0.4912,0.4912,0.4751,0.4751,23744,0
7146,AEM,D,20030218,0.4992,0.4992,0.4670,0.4710,11846,0
7146,AEM,D,20030219,0.4871,0.4871,0.4630,0.4831,31794,0
7146,AEM,D,20030220,0.4751,0.4831,0.4751,0.4831,35768,0
7146,AEM,D,20030221,0.4811,0.4811,0.4771,0.4811,57566,0
7146,AEM,D,20030224,0.4731,0.4731,0.4710,0.4710,19744,0
7146,AEM,D,20030225,0.4610,0.4690,0.4590,0.4690,15777,0
7146,AEM,D,20030226,0.4630,0.4710,0.4590,0.4590,43141,0
7146,AEM,D,20030227,0.4650,0.4992,0.4650,0.4710,616000,0
7146,AEM,D,20030228,0.4811,0.4972,0.4731,0.4731,687831,0
7146,AEM,D,20030303,0.4912,0.4912,0.4731,0.4851,77577,0
7146,AEM,D,20030305,0.4650,0.4650,0.4650,0.4650,5903,0
7146,AEM,D,20030306,0.4771,0.4771,0.4590,0.4590,13727,0
7146,AEM,D,20030307,0.4590,0.4590,0.4529,0.4529,23448,0
7146,AEM,D,20030310,0.4831,0.4831,0.4690,0.4690,7889,0
7146,AEM,D,20030311,0.4831,0.4831,0.4831,0.4831,1987,0
7146,AEM,D,20030312,0.4952,0.4952,0.4952,0.4952,1999,0
7146,AEM,D,20030313,0.4952,0.4952,0.4952,0.4952,0,0
7146,AEM,D,20030314,0.4892,0.4892,0.4892,0.4892,5980,0
7146,AEM,D,20030317,0.4791,0.4791,0.4791,0.4791,1983,0
7146,AEM,D,20030318,0.4912,0.4912,0.4811,0.4811,7940,0
7146,AEM,D,20030319,0.4831,0.4831,0.4751,0.4751,3957,0
7146,AEM,D,20030320,0.4892,0.4892,0.4831,0.4831,31794,0
7146,AEM,D,20030321,0.4751,0.4851,0.4590,0.4710,21718,0
7146,AEM,D,20030324,0.4851,0.4851,0.4851,0.4851,1989,0
7146,AEM,D,20030325,0.4851,0.4851,0.4851,0.4851,1989,0
7146,AEM,D,20030326,0.4771,0.4771,0.4771,0.4771,5942,0
7146,AEM,D,20030327,0.4811,0.4811,0.4811,0.4811,1985,0
7146,AEM,D,20030328,0.4811,0.4811,0.4811,0.4811,0,0
7146,AEM,D,20030331,0.4811,0.4811,0.4811,0.4811,0,0
7146,AEM,D,20030401,0.4811,0.4811,0.4811,0.4811,3970,0
7146,AEM,D,20030402,0.4771,0.4771,0.4771,0.4771,1981,0
7146,AEM,D,20030403,0.4771,0.4771,0.4771,0.4771,0,0
7146,AEM,D,20030404,0.4710,0.4710,0.4710,0.4710,1974,0
7146,AEM,D,20030407,0.4771,0.4791,0.4771,0.4791,4164,0
7146,AEM,D,20030408,0.4690,0.4690,0.4549,0.4549,13694,0
7146,AEM,D,20030409,0.4892,0.4892,0.4610,0.4851,10344,0
7146,AEM,D,20030410,0.4851,0.4851,0.4851,0.4851,0,0
7146,AEM,D,20030411,0.4590,0.4630,0.4590,0.4630,5896,0
7146,AEM,D,20030414,0.4871,0.4871,0.4851,0.4851,2188,0
7146,AEM,D,20030415,0.4851,0.4851,0.4851,0.4851,0,0
7146,AEM,D,20030416,0.4851,0.4851,0.4851,0.4851,0,0
7146,AEM,D,20030417,0.4670,0.4670,0.4670,0.4670,1970,0
7146,AEM,D,20030418,0.4610,0.4610,0.4610,0.4610,1963,0
7146,AEM,D,20030421,0.4509,0.4509,0.4509,0.4509,1952,0
7146,AEM,D,20030422,0.4831,0.4831,0.4831,0.4831,199,0
7146,AEM,D,20030423,0.4590,0.4590,0.4590,0.4590,9805,0
7146,AEM,D,20030424,0.4831,0.4831,0.4670,0.4670,2167,0
7146,AEM,D,20030425,0.4831,0.4831,0.4590,0.4590,8040,0
7146,AEM,D,20030428,0.4791,0.4791,0.4690,0.4690,15975,0
7146,AEM,D,20030429,0.4670,0.4670,0.4670,0.4670,3940,0
7146,AEM,D,20030430,0.4871,0.4871,0.4509,0.4509,10148,0
7146,AEM,D,20030502,0.4710,0.4710,0.4710,0.4710,10069,0
7146,AEM,D,20030505,0.4710,0.4710,0.4670,0.4670,21670,0
7146,AEM,D,20030506,0.4670,0.4670,0.4670,0.4670,11820,0
7146,AEM,D,20030507,0.4650,0.4650,0.4650,0.4650,1968,0
7146,AEM,D,20030508,0.4650,0.4650,0.4650,0.4650,0,0
7146,AEM,D,20030509,0.4650,0.4650,0.4650,0.4650,0,0
7146,AEM,D,20030512,0.4509,0.4630,0.4509,0.4630,3931,0
7146,AEM,D,20030513,0.4630,0.4630,0.4630,0.4630,26927,0
7146,AEM,D,20030516,0.4630,0.4630,0.4630,0.4630,1965,0
7146,AEM,D,20030519,0.4670,0.4670,0.4670,0.4670,2561,0
7146,AEM,D,20030520,0.4429,0.4590,0.4429,0.4549,6065,0
7146,AEM,D,20030521,0.4549,0.4549,0.4549,0.4549,0,0
7146,AEM,D,20030522,0.4650,0.4650,0.4590,0.4590,27846,0
7146,AEM,D,20030523,0.4630,0.4751,0.4630,0.4630,100633,0
7146,AEM,D,20030526,0.4710,0.4831,0.4710,0.4731,92897,0
7146,AEM,D,20030527,0.4831,0.5153,0.4751,0.5032,244248,0
7146,AEM,D,20030528,0.5113,0.5234,0.5113,0.5113,339842,0
7146,AEM,D,20030529,0.5073,0.5073,0.4992,0.4992,26041,0
7146,AEM,D,20030530,0.4912,0.5113,0.4892,0.5073,126677,0
7146,AEM,D,20030602,0.5073,0.5073,0.4791,0.4791,41641,0
7146,AEM,D,20030603,0.4871,0.4952,0.4751,0.4952,84767,0
7146,AEM,D,20030604,0.5073,0.5073,0.4791,0.4952,24390,0
7146,AEM,D,20030605,0.4952,0.5113,0.4952,0.4992,40062,0
7146,AEM,D,20030606,0.5032,0.5032,0.4912,0.4992,64300,0
7146,AEM,D,20030609,0.4992,0.5153,0.4992,0.5032,273349,0
7146,AEM,D,20030610,0.5032,0.5073,0.5032,0.5032,174606,0
7146,AEM,D,20030611,0.5073,0.5234,0.5073,0.5194,576605,0
7146,AEM,D,20030612,0.5234,0.5234,0.5073,0.5073,273060,0
7146,AEM,D,20030613,0.5113,0.5717,0.5113,0.5596,3972728,0
7146,AEM,D,20030616,0.5556,0.5757,0.5516,0.5636,1364497,0
7146,AEM,D,20030617,0.5677,0.5918,0.5636,0.5797,3639078,0
7146,AEM,D,20030618,0.5838,0.6039,0.5757,0.5878,6952307,0
7146,AEM,D,20030619,0.5918,0.5918,0.5717,0.5757,1194725,0
7146,AEM,D,20030620,0.5677,0.5958,0.5596,0.5797,2448683,0
7146,AEM,D,20030623,0.5797,0.5838,0.5435,0.5596,1581529,0
7146,AEM,D,20030624,0.5475,0.5516,0.5153,0.5274,1800164,0
