<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5099,AIRASIA,D,20041122,0.6982,0.8099,0.6982,0.7819,267173660,0
5099,AIRASIA,D,20041123,0.7931,0.8434,0.7875,0.8378,73045073,0
5099,AIRASIA,D,20041124,0.8434,0.8769,0.8155,0.8155,72062139,0
5099,AIRASIA,D,20041125,0.8210,0.8322,0.7819,0.8155,25989028,0
5099,AIRASIA,D,20041126,0.8155,0.8434,0.8155,0.8266,22054248,0
5099,AIRASIA,D,20041129,0.8266,0.8266,0.7875,0.7931,15110329,0
5099,AIRASIA,D,20041130,0.7931,0.8155,0.7875,0.8155,21683633,0
5099,AIRASIA,D,20041201,0.8155,0.8434,0.8043,0.8378,14607582,0
5099,AIRASIA,D,20041202,0.8490,0.9495,0.8434,0.9160,62617019,0
5099,AIRASIA,D,20041203,0.9272,0.9495,0.9048,0.9104,15636530,0
5099,AIRASIA,D,20041206,0.9160,0.9383,0.9160,0.9160,12879301,0
5099,AIRASIA,D,20041207,0.9216,0.9216,0.8992,0.9048,6325512,0
5099,AIRASIA,D,20041208,0.9160,0.9216,0.8992,0.9104,8012793,0
5099,AIRASIA,D,20041209,0.9104,0.9272,0.9104,0.9160,13958738,0
5099,AIRASIA,D,20041210,0.9160,0.9160,0.8825,0.8825,8203292,0
5099,AIRASIA,D,20041213,0.8881,0.9272,0.8881,0.9216,7569130,0
5099,AIRASIA,D,20041214,0.9216,0.9495,0.9216,0.9383,10105422,0
5099,AIRASIA,D,20041215,0.9383,1.0165,0.9383,0.9942,31123919,0
5099,AIRASIA,D,20041216,0.9998,1.0277,0.9942,0.9942,15787461,0
5099,AIRASIA,D,20041217,1.0054,1.0277,0.9942,1.0109,26842336,0
5099,AIRASIA,D,20041220,1.0054,1.0389,0.9998,1.0221,30993219,0
5099,AIRASIA,D,20041221,1.0221,1.0277,1.0054,1.0109,6752883,0
5099,AIRASIA,D,20041222,1.0221,1.0277,1.0109,1.0165,4891932,0
5099,AIRASIA,D,20041223,1.0165,1.0221,0.9886,1.0054,3779015,0
5099,AIRASIA,D,20041224,0.9942,0.9942,0.9607,0.9774,4457758,0
5099,AIRASIA,D,20041227,0.9495,0.9663,0.9383,0.9551,4469754,0
5099,AIRASIA,D,20041228,0.9495,0.9718,0.9495,0.9607,5911212,0
5099,AIRASIA,D,20041229,0.9607,0.9607,0.9272,0.9327,4035222,0
5099,AIRASIA,D,20041230,0.9272,0.9272,0.8881,0.8992,10501997,0
5099,AIRASIA,D,20041231,0.8992,0.9383,0.8937,0.9272,3845081,0
5099,AIRASIA,D,20050103,0.9272,0.9272,0.8992,0.9104,2477925,0
5099,AIRASIA,D,20050104,0.9104,0.9160,0.9048,0.9104,8694580,0
5099,AIRASIA,D,20050105,0.9160,1.0389,0.9160,1.0333,20514318,0
5099,AIRASIA,D,20050106,1.0333,1.0556,1.0165,1.0277,10860079,0
5099,AIRASIA,D,20050107,1.0277,1.0333,1.0109,1.0277,3959846,0
5099,AIRASIA,D,20050110,1.0277,1.1003,1.0277,1.0891,18804299,0
5099,AIRASIA,D,20050111,1.0891,1.0947,1.0445,1.0556,7553195,0
5099,AIRASIA,D,20050112,1.0612,1.0668,1.0221,1.0277,5353499,0
5099,AIRASIA,D,20050113,1.0389,1.0500,1.0333,1.0500,2700652,0
5099,AIRASIA,D,20050114,1.0389,1.0445,1.0221,1.0333,1955126,0
5099,AIRASIA,D,20050117,1.0333,1.0445,1.0277,1.0389,2365845,0
5099,AIRASIA,D,20050118,1.0333,1.0389,1.0277,1.0333,1370557,0
5099,AIRASIA,D,20050119,1.0333,1.0333,0.9886,0.9998,4285521,0
