<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5014,AIRPORT,D,19991130,3.3800,3.7300,3.3633,3.3800,29183107,0
5014,AIRPORT,D,19991201,3.3800,3.4800,3.3133,3.4133,4797393,0
5014,AIRPORT,D,19991202,3.4133,3.4300,3.3633,3.3800,2532278,0
5014,AIRPORT,D,19991203,3.3800,3.3967,3.3467,3.3633,1447814,0
5014,AIRPORT,D,19991209,3.2883,3.3467,3.2717,3.3467,2248369,0
5014,AIRPORT,D,19991210,3.3467,3.3800,3.2967,3.3133,2197551,0
5014,AIRPORT,D,19991213,3.2967,3.5300,3.2967,3.5133,11852915,0
5014,AIRPORT,D,19991214,3.5300,3.5633,3.4300,3.4300,9866017,0
5014,AIRPORT,D,19991215,3.4300,3.4300,3.3800,3.3967,2318414,0
5014,AIRPORT,D,19991216,3.3967,3.4467,3.3800,3.3967,1761774,0
5014,AIRPORT,D,19991217,3.4133,3.4467,3.3967,3.4467,3394358,0
5014,AIRPORT,D,19991220,3.4467,3.4633,3.3967,3.4300,4429528,0
5014,AIRPORT,D,19991221,3.4300,3.4300,3.3467,3.3467,4135572,0
5014,AIRPORT,D,19991222,3.3633,3.3967,3.3300,3.3467,2870122,0
5014,AIRPORT,D,19991223,3.3467,3.3800,3.3300,3.3633,1376385,0
5014,AIRPORT,D,19991224,3.3800,3.3800,3.3300,3.3467,789078,0
5014,AIRPORT,D,19991227,3.3633,3.4133,3.3467,3.3800,985030,0
5014,AIRPORT,D,19991228,3.3800,3.3967,3.3633,3.3967,981009,0
5014,AIRPORT,D,19991229,3.3967,3.4133,3.3633,3.3800,1076746,0
5014,AIRPORT,D,19991230,3.3800,3.4133,3.3633,3.3800,1505059,0
5014,AIRPORT,D,20000103,3.3800,3.4633,3.3800,3.4633,2135284,0
5014,AIRPORT,D,20000104,3.4633,3.5633,3.4467,3.4967,8820275,0
5014,AIRPORT,D,20000105,3.3800,3.4633,3.3800,3.4133,2201373,0
5014,AIRPORT,D,20000106,3.4133,3.4633,3.3967,3.4133,1201418,0
5014,AIRPORT,D,20000111,3.4467,3.5133,3.4300,3.4467,2147884,0
5014,AIRPORT,D,20000112,3.4467,3.4800,3.4133,3.4467,2314880,0
5014,AIRPORT,D,20000113,3.4467,3.5133,3.4300,3.4467,3751416,0
5014,AIRPORT,D,20000114,3.4633,3.6633,3.4633,3.5967,10952541,0
5014,AIRPORT,D,20000117,3.5967,3.9633,3.5967,3.8300,21164272,0
5014,AIRPORT,D,20000118,3.8633,3.9133,3.7800,3.7967,5727129,0
5014,AIRPORT,D,20000119,3.7967,3.8467,3.7133,3.7800,3875492,0
5014,AIRPORT,D,20000120,3.7800,3.8800,3.7800,3.8133,4332608,0
5014,AIRPORT,D,20000121,3.8300,3.8300,3.7467,3.7967,1861317,0
5014,AIRPORT,D,20000124,3.7967,3.8300,3.7133,3.7133,1996320,0
5014,AIRPORT,D,20000125,3.6967,3.7633,3.6467,3.6967,2803455,0
5014,AIRPORT,D,20000126,3.7467,3.7800,3.6300,3.6300,2136474,0
5014,AIRPORT,D,20000127,3.6800,3.7467,3.6133,3.6800,1552299,0
5014,AIRPORT,D,20000128,3.7300,3.7467,3.6300,3.6467,1271715,0
5014,AIRPORT,D,20000131,3.6300,3.6967,3.6300,3.6633,1332491,0
5014,AIRPORT,D,20000202,3.6633,3.7467,3.6633,3.7133,1421364,0
5014,AIRPORT,D,20000203,3.7133,3.7300,3.6967,3.7133,1094300,0
5014,AIRPORT,D,20000208,3.7633,3.7967,3.7133,3.7133,1878501,0
5014,AIRPORT,D,20000209,3.7633,4.1300,3.7633,4.0467,9786944,0
5014,AIRPORT,D,20000210,4.0467,4.0633,3.9300,3.9300,3583959,0
5014,AIRPORT,D,20000211,3.9633,4.0300,3.9633,3.9967,2106075,0
5014,AIRPORT,D,20000214,3.9967,3.9967,3.9133,3.9467,1278623,0
5014,AIRPORT,D,20000215,3.9633,3.9800,3.8633,3.8633,1237356,0
5014,AIRPORT,D,20000216,3.8800,3.9133,3.8133,3.8467,1340626,0
5014,AIRPORT,D,20000217,3.8633,3.9467,3.8300,3.8633,1990820,0
5014,AIRPORT,D,20000218,3.8633,3.9633,3.8633,3.8633,1254502,0
5014,AIRPORT,D,20000221,3.8633,3.8967,3.8133,3.8633,1011603,0
5014,AIRPORT,D,20000222,3.8633,4.0133,3.8633,3.9633,2628040,0
5014,AIRPORT,D,20000223,3.9633,4.0300,3.9467,3.9633,1838957,0
5014,AIRPORT,D,20000224,3.9633,3.9633,3.9300,3.9467,857204,0
5014,AIRPORT,D,20000225,3.9467,3.9633,3.8467,3.8633,1119241,0
5014,AIRPORT,D,20000228,3.8633,3.8800,3.7633,3.7800,1424423,0
5014,AIRPORT,D,20000229,3.7800,3.8467,3.7133,3.7633,929888,0
5014,AIRPORT,D,20000301,3.7967,3.8633,3.7633,3.7633,631908,0
5014,AIRPORT,D,20000302,3.7967,3.7967,3.6467,3.6633,1458322,0
5014,AIRPORT,D,20000303,3.6633,3.7633,3.6133,3.7467,921219,0
5014,AIRPORT,D,20000306,3.7800,3.7967,3.6800,3.6800,1019196,0
5014,AIRPORT,D,20000307,3.6467,3.6800,3.6133,3.6133,872751,0
5014,AIRPORT,D,20000308,3.6133,3.6800,3.5300,3.6800,758755,0
5014,AIRPORT,D,20000309,3.6800,3.6800,3.5967,3.6633,442286,0
5014,AIRPORT,D,20000310,3.6633,3.7967,3.6633,3.7467,1081842,0
5014,AIRPORT,D,20000313,3.7967,3.9300,3.7800,3.7800,1402640,0
5014,AIRPORT,D,20000314,3.7800,3.8133,3.7300,3.7300,339732,0
5014,AIRPORT,D,20000315,3.7133,3.8300,3.7133,3.7800,813550,0
5014,AIRPORT,D,20000317,3.8133,3.8800,3.7800,3.8133,500281,0
5014,AIRPORT,D,20000320,3.7967,3.7967,3.7300,3.7633,221357,0
5014,AIRPORT,D,20000321,3.7633,3.7800,3.7133,3.7633,409605,0
5014,AIRPORT,D,20000322,3.7967,3.8133,3.7800,3.7967,869500,0
5014,AIRPORT,D,20000323,3.7967,3.8633,3.7967,3.8467,999998,0
5014,AIRPORT,D,20000324,3.8800,3.9133,3.8467,3.8800,2090309,0
5014,AIRPORT,D,20000327,3.9133,3.9133,3.8633,3.8800,635103,0
5014,AIRPORT,D,20000328,3.8800,3.8800,3.8300,3.8467,855374,0
5014,AIRPORT,D,20000329,3.8467,3.8800,3.8300,3.8467,420551,0
5014,AIRPORT,D,20000330,3.8633,3.9800,3.8300,3.8467,6547087,0
5014,AIRPORT,D,20000331,3.8800,3.9133,3.8467,3.8633,846813,0
5014,AIRPORT,D,20000403,3.8967,3.9133,3.8133,3.8467,549000,0
5014,AIRPORT,D,20000404,3.8467,3.8633,3.7967,3.8133,397757,0
5014,AIRPORT,D,20000405,3.8133,3.8300,3.7300,3.7633,312170,0
5014,AIRPORT,D,20000407,3.7967,3.8133,3.7133,3.7467,752093,0
5014,AIRPORT,D,20000410,3.7633,3.7800,3.6967,3.7133,1394031,0
5014,AIRPORT,D,20000411,3.7133,3.7633,3.7133,3.7300,417115,0
5014,AIRPORT,D,20000412,3.7467,3.7633,3.7300,3.7467,460137,0
5014,AIRPORT,D,20000413,3.7300,3.7633,3.7133,3.7633,269601,0
5014,AIRPORT,D,20000414,3.7300,3.7967,3.7300,3.7800,310646,0
5014,AIRPORT,D,20000417,3.6300,3.6967,3.5633,3.5633,1773979,0
5014,AIRPORT,D,20000418,3.6300,3.6633,3.5800,3.6300,753058,0
5014,AIRPORT,D,20000419,3.6467,3.6800,3.6300,3.6633,249783,0
5014,AIRPORT,D,20000420,3.6633,3.6633,3.5967,3.6133,386330,0
5014,AIRPORT,D,20000421,3.6300,3.6300,3.5967,3.6300,374656,0
5014,AIRPORT,D,20000424,3.6467,3.6467,3.5800,3.6133,348913,0
5014,AIRPORT,D,20000425,3.6133,3.6800,3.5633,3.6800,708924,0
5014,AIRPORT,D,20000426,3.6633,3.6633,3.5800,3.5967,303614,0
5014,AIRPORT,D,20000427,3.5967,3.6133,3.5467,3.5967,356864,0
5014,AIRPORT,D,20000428,3.5967,3.7133,3.5967,3.6467,1465848,0
5014,AIRPORT,D,20000502,3.6633,3.6633,3.6133,3.6467,191320,0
5014,AIRPORT,D,20000503,3.6467,3.6467,3.6133,3.6300,198567,0
5014,AIRPORT,D,20000504,3.6133,3.6300,3.5967,3.5967,407310,0
5014,AIRPORT,D,20000505,3.5967,3.6467,3.5967,3.6133,680054,0
5014,AIRPORT,D,20000508,3.6300,3.6800,3.5967,3.6133,837205,0
5014,AIRPORT,D,20000509,3.6133,3.6133,3.5467,3.5467,594558,0
5014,AIRPORT,D,20000510,3.5467,3.5800,3.5467,3.5800,357324,0
5014,AIRPORT,D,20000511,3.5467,3.5800,3.5300,3.5467,398233,0
5014,AIRPORT,D,20000512,3.5467,3.5467,3.5300,3.5467,327519,0
5014,AIRPORT,D,20000515,3.5300,3.5467,3.5133,3.5133,578078,0
5014,AIRPORT,D,20000516,3.5133,3.5300,3.5133,3.5300,305700,0
5014,AIRPORT,D,20000517,3.5467,3.5633,3.5133,3.5467,499652,0
5014,AIRPORT,D,20000519,3.5300,3.6133,3.5300,3.5800,314408,0
5014,AIRPORT,D,20000522,3.6300,3.6800,3.5967,3.6133,326463,0
5014,AIRPORT,D,20000523,3.6133,3.6300,3.5300,3.5633,372685,0
5014,AIRPORT,D,20000524,3.5467,3.5467,3.5133,3.5467,381485,0
5014,AIRPORT,D,20000525,3.5633,3.5633,3.4800,3.4967,585609,0
5014,AIRPORT,D,20000526,3.4800,3.4800,3.4467,3.4633,685582,0
5014,AIRPORT,D,20000529,3.4467,3.4800,3.4467,3.4800,482075,0
5014,AIRPORT,D,20000530,3.4633,3.4800,3.4633,3.4800,282213,0
5014,AIRPORT,D,20000531,3.4800,3.5300,3.4800,3.4800,162851,0
5014,AIRPORT,D,20000602,3.4967,3.4967,3.4633,3.4633,108104,0
5014,AIRPORT,D,20000605,3.4633,3.4633,3.3800,3.3800,147663,0
5014,AIRPORT,D,20000606,3.3800,3.3967,3.3633,3.3633,341578,0
5014,AIRPORT,D,20000607,3.3633,3.3800,3.2967,3.3633,331504,0
5014,AIRPORT,D,20000608,3.3133,3.3467,3.2967,3.3300,560529,0
5014,AIRPORT,D,20000609,3.3133,3.3633,3.2967,3.3467,230414,0
5014,AIRPORT,D,20000612,3.3633,3.3800,3.3467,3.3467,166410,0
5014,AIRPORT,D,20000613,3.3300,3.3800,3.3133,3.3633,131869,0
5014,AIRPORT,D,20000614,3.3633,3.3800,3.3633,3.3800,196272,0
5014,AIRPORT,D,20000616,3.3800,3.3800,3.3467,3.3467,226757,0
5014,AIRPORT,D,20000619,3.3133,3.3133,3.1633,3.1800,593585,0
5014,AIRPORT,D,20000620,3.1800,3.1967,3.1300,3.1633,861876,0
5014,AIRPORT,D,20000621,3.1633,3.2300,3.1300,3.2217,308011,0
5014,AIRPORT,D,20000622,3.2133,3.2133,3.1300,3.1550,414409,0
5014,AIRPORT,D,20000623,3.1550,3.1550,3.1217,3.1467,230320,0
5014,AIRPORT,D,20000626,3.1550,3.1550,3.1300,3.1550,151591,0
5014,AIRPORT,D,20000627,3.1467,3.2467,3.1133,3.2133,439512,0
5014,AIRPORT,D,20000628,3.1800,3.2800,3.1800,3.2800,122652,0
5014,AIRPORT,D,20000629,3.2717,3.2800,3.2300,3.2383,189100,0
5014,AIRPORT,D,20000630,3.1967,3.2300,3.1633,3.1967,159466,0
5014,AIRPORT,D,20000703,3.1800,3.1800,3.1633,3.1800,121415,0
5014,AIRPORT,D,20000704,3.1967,3.2050,3.1883,3.2050,101894,0
5014,AIRPORT,D,20000705,3.1967,3.2300,3.1967,3.2300,645474,0
5014,AIRPORT,D,20000706,3.1800,3.2467,3.1800,3.2467,469977,0
5014,AIRPORT,D,20000707,3.2217,3.2217,3.1633,3.2050,272318,0
5014,AIRPORT,D,20000710,3.1800,3.2633,3.1800,3.2633,385495,0
5014,AIRPORT,D,20000711,3.2633,3.2633,3.2133,3.2467,319657,0
5014,AIRPORT,D,20000712,3.2300,3.4800,3.2300,3.4633,1294475,0
5014,AIRPORT,D,20000713,3.3800,3.4633,3.3300,3.4133,608068,0
