<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0048,ANCOMLB,D,20090223,0.0400,0.0400,0.0400,0.0400,645000,0
0048,ANCOMLB,D,20090224,0.0360,0.0400,0.0360,0.0360,486000,0
0048,ANCOMLB,D,20090225,0.0360,0.0400,0.0360,0.0400,205625,0
0048,ANCOMLB,D,20090226,0.0400,0.0400,0.0400,0.0400,216375,0
0048,ANCOMLB,D,20090227,0.0400,0.0440,0.0400,0.0400,437750,0
0048,ANCOMLB,D,20090302,0.0360,0.0360,0.0360,0.0360,31250,0
0048,ANCOMLB,D,20090303,0.0360,0.0360,0.0360,0.0360,137500,0
0048,ANCOMLB,D,20090304,0.0360,0.0400,0.0360,0.0400,560125,0
0048,ANCOMLB,D,20090305,0.0400,0.0400,0.0360,0.0360,452375,0
0048,ANCOMLB,D,20090306,0.0400,0.0400,0.0360,0.0400,760500,0
0048,ANCOMLB,D,20090310,0.0360,0.0400,0.0360,0.0400,600000,0
0048,ANCOMLB,D,20090311,0.0400,0.0400,0.0360,0.0360,611375,0
0048,ANCOMLB,D,20090312,0.0360,0.0360,0.0360,0.0360,686875,0
0048,ANCOMLB,D,20090313,0.0360,0.0360,0.0360,0.0360,112500,0
0048,ANCOMLB,D,20090316,0.0360,0.0360,0.0360,0.0360,340500,0
0048,ANCOMLB,D,20090317,0.0360,0.0360,0.0360,0.0360,16375,0
0048,ANCOMLB,D,20090318,0.0360,0.0360,0.0360,0.0360,0,0
0048,ANCOMLB,D,20090319,0.0360,0.0360,0.0360,0.0360,3750,0
0048,ANCOMLB,D,20090320,0.0400,0.0480,0.0400,0.0480,764375,0
0048,ANCOMLB,D,20090323,0.0480,0.0480,0.0440,0.0440,393125,0
0048,ANCOMLB,D,20090324,0.0440,0.0440,0.0400,0.0440,248750,0
0048,ANCOMLB,D,20090325,0.0400,0.0480,0.0400,0.0480,983500,0
0048,ANCOMLB,D,20090326,0.0440,0.0480,0.0440,0.0480,1009000,0
0048,ANCOMLB,D,20090327,0.0480,0.0480,0.0480,0.0480,458625,0
0048,ANCOMLB,D,20090330,0.0480,0.0480,0.0480,0.0480,81250,0
0048,ANCOMLB,D,20090331,0.0440,0.0480,0.0440,0.0480,70000,0
0048,ANCOMLB,D,20090401,0.0440,0.0480,0.0400,0.0400,580125,0
0048,ANCOMLB,D,20090402,0.0400,0.0400,0.0400,0.0400,10000,0
0048,ANCOMLB,D,20090403,0.0440,0.0480,0.0440,0.0480,81875,0
0048,ANCOMLB,D,20090406,0.0480,0.0520,0.0440,0.0440,351250,0
0048,ANCOMLB,D,20090407,0.0480,0.0480,0.0440,0.0440,62625,0
0048,ANCOMLB,D,20090408,0.0440,0.0440,0.0440,0.0440,206250,0
0048,ANCOMLB,D,20090409,0.0480,0.0480,0.0440,0.0440,322375,0
0048,ANCOMLB,D,20090410,0.0440,0.0520,0.0440,0.0480,986750,0
0048,ANCOMLB,D,20090413,0.0480,0.0520,0.0440,0.0520,620250,0
0048,ANCOMLB,D,20090414,0.0480,0.0520,0.0440,0.0520,303250,0
0048,ANCOMLB,D,20090415,0.0480,0.0480,0.0480,0.0480,543750,0
0048,ANCOMLB,D,20090416,0.0480,0.0520,0.0480,0.0480,1905875,0
0048,ANCOMLB,D,20090417,0.0480,0.0480,0.0480,0.0480,356250,0
0048,ANCOMLB,D,20090420,0.0520,0.0520,0.0520,0.0520,410000,0
0048,ANCOMLB,D,20090421,0.0480,0.0520,0.0480,0.0520,1029125,0
0048,ANCOMLB,D,20090422,0.0520,0.0520,0.0480,0.0480,935875,0
0048,ANCOMLB,D,20090423,0.0520,0.0600,0.0520,0.0560,1265000,0
0048,ANCOMLB,D,20090424,0.0560,0.0600,0.0520,0.0560,839125,0
0048,ANCOMLB,D,20090427,0.0560,0.0560,0.0520,0.0520,909375,0
0048,ANCOMLB,D,20090428,0.0520,0.0560,0.0520,0.0520,796750,0
0048,ANCOMLB,D,20090429,0.0440,0.0480,0.0320,0.0480,5527500,0
0048,ANCOMLB,D,20090430,0.0480,0.0480,0.0440,0.0440,1040000,0
0048,ANCOMLB,D,20090504,0.0400,0.0480,0.0400,0.0480,436875,0
0048,ANCOMLB,D,20090505,0.0440,0.0440,0.0440,0.0440,666875,0
0048,ANCOMLB,D,20090506,0.0400,0.0480,0.0400,0.0480,865750,0
0048,ANCOMLB,D,20090507,0.0480,0.0520,0.0480,0.0480,379375,0
0048,ANCOMLB,D,20090508,0.0520,0.0600,0.0520,0.0600,4465375,0
0048,ANCOMLB,D,20090511,0.0600,0.0640,0.0560,0.0560,6731500,0
0048,ANCOMLB,D,20090512,0.0560,0.0560,0.0520,0.0520,757750,0
0048,ANCOMLB,D,20090513,0.0560,0.0560,0.0520,0.0520,1153750,0
0048,ANCOMLB,D,20090514,0.0520,0.0560,0.0520,0.0520,726500,0
0048,ANCOMLB,D,20090515,0.0520,0.0560,0.0480,0.0480,964625,0
0048,ANCOMLB,D,20090518,0.0480,0.0520,0.0480,0.0520,275000,0
0048,ANCOMLB,D,20090519,0.0520,0.0520,0.0480,0.0480,185000,0
0048,ANCOMLB,D,20090520,0.0480,0.0480,0.0480,0.0480,157250,0
0048,ANCOMLB,D,20090521,0.0480,0.0480,0.0480,0.0480,162500,0
0048,ANCOMLB,D,20090522,0.0480,0.0480,0.0440,0.0480,171000,0
0048,ANCOMLB,D,20090525,0.0520,0.0520,0.0520,0.0520,92500,0
0048,ANCOMLB,D,20090526,0.0480,0.0480,0.0480,0.0480,275125,0
0048,ANCOMLB,D,20090527,0.0480,0.0560,0.0480,0.0560,627500,0
0048,ANCOMLB,D,20090528,0.0480,0.0480,0.0480,0.0480,163125,0
0048,ANCOMLB,D,20090529,0.0480,0.0520,0.0480,0.0520,181250,0
0048,ANCOMLB,D,20090601,0.0520,0.0520,0.0480,0.0480,450125,0
0048,ANCOMLB,D,20090602,0.0520,0.0520,0.0480,0.0520,827875,0
0048,ANCOMLB,D,20090603,0.0520,0.0520,0.0520,0.0520,25500,0
0048,ANCOMLB,D,20090604,0.0520,0.0560,0.0520,0.0520,801625,0
