<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
4758,ANCOM,D,19940103,3.2941,3.2941,3.1634,3.2941,2876382,0
4758,ANCOM,D,19940104,3.3202,3.3463,3.0849,3.2941,2400114,0
4758,ANCOM,D,19940105,3.3463,3.3463,3.1634,3.1634,2933742,0
4758,ANCOM,D,19940106,3.1372,3.2418,3.0327,3.0849,1323414,0
4758,ANCOM,D,19940107,3.0327,3.1372,2.9543,3.0588,1172299,0
4758,ANCOM,D,19940110,3.0849,3.5555,2.6144,3.5555,4878781,0
4758,ANCOM,D,19940111,3.4510,3.7646,3.1895,3.2157,9149413,0
4758,ANCOM,D,19940112,3.2157,3.3463,2.6405,3.0588,3279856,0
4758,ANCOM,D,19940113,3.0065,3.0588,2.4784,2.4784,2277793,0
4758,ANCOM,D,19940114,2.9280,3.0327,2.6144,3.0065,1600767,0
4758,ANCOM,D,19940117,2.9543,2.9804,2.6666,2.6666,728627,0
4758,ANCOM,D,19940118,2.6666,2.7974,2.5934,2.6927,797504,0
4758,ANCOM,D,19940119,2.7190,2.7974,2.6144,2.6405,571752,0
4758,ANCOM,D,19940120,2.6405,2.6405,2.5621,2.5725,1214339,0
4758,ANCOM,D,19940121,2.6144,2.6666,2.5830,2.6144,592830,0
4758,ANCOM,D,19940124,2.5934,2.6039,2.4889,2.5098,393914,0
4758,ANCOM,D,19940125,2.4575,2.4680,2.1751,2.2066,828027,0
4758,ANCOM,D,19940126,2.0915,2.2483,1.9346,2.2483,690387,0
4758,ANCOM,D,19940127,2.2692,2.4575,2.1438,2.4261,954264,0
4758,ANCOM,D,19940128,2.4052,2.5202,2.4052,2.4052,720910,0
4758,ANCOM,D,19940131,2.3634,2.3948,2.1960,2.3424,194999,0
4758,ANCOM,D,19940202,2.4575,2.5098,2.3529,2.4993,478111,0
4758,ANCOM,D,19940203,2.4993,2.7190,2.4889,2.7190,1266055,0
4758,ANCOM,D,19940204,2.6666,2.7712,2.5621,2.5725,743946,0
4758,ANCOM,D,19940207,2.4889,2.4889,2.3948,2.4470,344157,0
4758,ANCOM,D,19940208,2.5307,2.5307,2.4575,2.4575,298315,0
4758,ANCOM,D,19940214,2.5307,2.5621,2.4889,2.4993,210318,0
4758,ANCOM,D,19940215,2.4889,2.4993,2.4052,2.4993,294514,0
4758,ANCOM,D,19940216,2.5098,2.5412,2.4993,2.5412,216077,0
4758,ANCOM,D,19940217,2.5098,2.5621,2.4261,2.5621,216077,0
4758,ANCOM,D,19940218,2.5307,2.5516,2.4784,2.5098,210318,0
4758,ANCOM,D,19940221,2.5307,2.6039,2.4993,2.5830,455075,0
4758,ANCOM,D,19940222,2.6144,2.7712,2.6144,2.6927,1132101,0
4758,ANCOM,D,19940223,2.6927,2.8235,2.6666,2.8235,982943,0
4758,ANCOM,D,19940224,2.8496,2.8758,2.7190,2.7451,891145,0
4758,ANCOM,D,19940225,2.7190,2.7451,2.6144,2.6927,682670,0
4758,ANCOM,D,19940228,2.7451,2.7451,2.6405,2.6666,307875,0
4758,ANCOM,D,19940301,2.7190,2.7190,2.6144,2.6405,460834,0
4758,ANCOM,D,19940302,2.6405,2.6405,2.5621,2.5934,208360,0
4758,ANCOM,D,19940303,2.5725,2.6144,2.4889,2.4889,135682,0
4758,ANCOM,D,19940304,2.4365,2.5202,2.4365,2.5098,336555,0
