<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0119,APPASIA,D,20060320,0.0733,0.0750,0.0628,0.0633,106943242,0
0119,APPASIA,D,20060321,0.0633,0.0633,0.0589,0.0600,17191567,0
0119,APPASIA,D,20060322,0.0589,0.0600,0.0572,0.0572,11228723,0
0119,APPASIA,D,20060323,0.0572,0.0594,0.0567,0.0578,11452881,0
0119,APPASIA,D,20060324,0.0583,0.0583,0.0556,0.0567,19325435,0
0119,APPASIA,D,20060327,0.0567,0.0583,0.0556,0.0567,7765553,0
0119,APPASIA,D,20060328,0.0567,0.0567,0.0556,0.0561,4042827,0
0119,APPASIA,D,20060329,0.0561,0.0561,0.0544,0.0550,7204145,0
0119,APPASIA,D,20060330,0.0550,0.0589,0.0550,0.0567,18477529,0
0119,APPASIA,D,20060331,0.0567,0.0578,0.0561,0.0567,8781459,0
0119,APPASIA,D,20060403,0.0572,0.0572,0.0556,0.0556,4257360,0
0119,APPASIA,D,20060404,0.0561,0.0578,0.0561,0.0567,9202447,0
0119,APPASIA,D,20060405,0.0578,0.0611,0.0578,0.0589,25958208,0
0119,APPASIA,D,20060406,0.0594,0.0600,0.0583,0.0594,3530532,0
0119,APPASIA,D,20060407,0.0583,0.0583,0.0567,0.0578,3428135,0
0119,APPASIA,D,20060410,0.0589,0.0589,0.0572,0.0578,3096865,0
0119,APPASIA,D,20060412,0.0578,0.0578,0.0556,0.0561,5778267,0
0119,APPASIA,D,20060413,0.0567,0.0572,0.0556,0.0556,3999780,0
0119,APPASIA,D,20060414,0.0561,0.0567,0.0556,0.0567,2641553,0
0119,APPASIA,D,20060417,0.0567,0.0567,0.0556,0.0556,1273320,0
0119,APPASIA,D,20060418,0.0561,0.0561,0.0544,0.0556,2623914,0
0119,APPASIA,D,20060419,0.0556,0.0561,0.0556,0.0556,935550,0
0119,APPASIA,D,20060420,0.0556,0.0561,0.0550,0.0561,1748183,0
0119,APPASIA,D,20060421,0.0561,0.0589,0.0561,0.0567,4474235,0
0119,APPASIA,D,20060424,0.0567,0.0567,0.0556,0.0561,786609,0
0119,APPASIA,D,20060425,0.0561,0.0561,0.0556,0.0556,563760,0
0119,APPASIA,D,20060426,0.0556,0.0567,0.0550,0.0561,1564396,0
0119,APPASIA,D,20060427,0.0556,0.0561,0.0556,0.0556,964710,0
0119,APPASIA,D,20060428,0.0561,0.0567,0.0556,0.0561,441089,0
0119,APPASIA,D,20060502,0.0556,0.0556,0.0544,0.0550,669727,0
0119,APPASIA,D,20060503,0.0556,0.0567,0.0550,0.0567,1526329,0
0119,APPASIA,D,20060504,0.0567,0.0567,0.0556,0.0561,601351,0
0119,APPASIA,D,20060505,0.0567,0.0567,0.0556,0.0556,2477628,0
0119,APPASIA,D,20060508,0.0561,0.0572,0.0561,0.0572,2809049,0
0119,APPASIA,D,20060509,0.0572,0.0572,0.0561,0.0567,2321365,0
0119,APPASIA,D,20060510,0.0561,0.0567,0.0556,0.0556,1091070,0
0119,APPASIA,D,20060511,0.0561,0.0561,0.0556,0.0561,916485,0
0119,APPASIA,D,20060515,0.0550,0.0556,0.0506,0.0506,894115,0
0119,APPASIA,D,20060516,0.0533,0.0533,0.0522,0.0533,1754531,0
0119,APPASIA,D,20060517,0.0533,0.0533,0.0533,0.0533,210938,0
0119,APPASIA,D,20060518,0.0528,0.0528,0.0522,0.0528,608116,0
0119,APPASIA,D,20060519,0.0522,0.0528,0.0511,0.0528,532914,0
0119,APPASIA,D,20060522,0.0522,0.0528,0.0511,0.0511,616500,0
0119,APPASIA,D,20060523,0.0511,0.0522,0.0506,0.0522,427404,0
0119,APPASIA,D,20060524,0.0517,0.0533,0.0511,0.0533,276563,0
0119,APPASIA,D,20060525,0.0533,0.0533,0.0533,0.0533,0,0
0119,APPASIA,D,20060526,0.0528,0.0528,0.0528,0.0528,4642,0
0119,APPASIA,D,20060529,0.0544,0.0550,0.0544,0.0550,96364,0
0119,APPASIA,D,20060530,0.0511,0.0511,0.0511,0.0511,9000,0
0119,APPASIA,D,20060531,0.0522,0.0539,0.0517,0.0539,236598,0
0119,APPASIA,D,20060601,0.0522,0.0533,0.0522,0.0533,164063,0
0119,APPASIA,D,20060602,0.0511,0.0522,0.0511,0.0522,55149,0
0119,APPASIA,D,20060605,0.0533,0.0533,0.0533,0.0533,140625,0
0119,APPASIA,D,20060606,0.0533,0.0533,0.0533,0.0533,0,0
0119,APPASIA,D,20060607,0.0533,0.0533,0.0533,0.0533,0,0
0119,APPASIA,D,20060608,0.0522,0.0522,0.0511,0.0511,450000,0
0119,APPASIA,D,20060609,0.0517,0.0517,0.0511,0.0511,117000,0
0119,APPASIA,D,20060612,0.0522,0.0522,0.0522,0.0522,105702,0
0119,APPASIA,D,20060613,0.0522,0.0522,0.0511,0.0517,195581,0
0119,APPASIA,D,20060614,0.0500,0.0500,0.0500,0.0500,8800,0
0119,APPASIA,D,20060615,0.0517,0.0517,0.0517,0.0517,45484,0
0119,APPASIA,D,20060616,0.0517,0.0517,0.0517,0.0517,0,0
0119,APPASIA,D,20060619,0.0517,0.0517,0.0500,0.0500,132000,0
0119,APPASIA,D,20060620,0.0500,0.0500,0.0500,0.0500,0,0
0119,APPASIA,D,20060621,0.0500,0.0522,0.0500,0.0522,330894,0
0119,APPASIA,D,20060622,0.0522,0.0522,0.0522,0.0522,45957,0
0119,APPASIA,D,20060623,0.0522,0.0522,0.0522,0.0522,45957,0
0119,APPASIA,D,20060626,0.0522,0.0533,0.0522,0.0522,450383,0
0119,APPASIA,D,20060627,0.0533,0.0539,0.0528,0.0533,243750,0
0119,APPASIA,D,20060628,0.0539,0.0539,0.0528,0.0533,515156,0
0119,APPASIA,D,20060629,0.0533,0.0556,0.0533,0.0539,3546603,0
0119,APPASIA,D,20060630,0.0544,0.0550,0.0533,0.0544,4211045,0
0119,APPASIA,D,20060703,0.0539,0.0544,0.0539,0.0539,1514700,0
0119,APPASIA,D,20060704,0.0544,0.0544,0.0539,0.0544,2510963,0
0119,APPASIA,D,20060705,0.0550,0.0550,0.0544,0.0550,4354673,0
0119,APPASIA,D,20060706,0.0544,0.0550,0.0539,0.0544,1168567,0
0119,APPASIA,D,20060707,0.0544,0.0583,0.0539,0.0578,8638598,0
0119,APPASIA,D,20060710,0.0578,0.0578,0.0567,0.0578,3789519,0
0119,APPASIA,D,20060711,0.0578,0.0583,0.0572,0.0583,6990489,0
0119,APPASIA,D,20060712,0.0583,0.0589,0.0561,0.0572,3781258,0
0119,APPASIA,D,20060713,0.0561,0.0561,0.0556,0.0556,617220,0
