<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7214,ARANK,D,20050511,0.4857,0.4857,0.4024,0.4524,20351730,0
7214,ARANK,D,20050512,0.4524,0.4524,0.4214,0.4214,1619100,0
7214,ARANK,D,20050513,0.4214,0.4333,0.4143,0.4214,2737140,0
7214,ARANK,D,20050516,0.4167,0.4167,0.4071,0.4143,1791300,0
7214,ARANK,D,20050517,0.4071,0.4071,0.3905,0.3905,1166550,0
7214,ARANK,D,20050518,0.3929,0.3929,0.3714,0.3714,824670,0
7214,ARANK,D,20050519,0.3762,0.3905,0.3762,0.3905,449190,0
7214,ARANK,D,20050520,0.3905,0.3905,0.3810,0.3810,195300,0
7214,ARANK,D,20050524,0.3810,0.3833,0.3667,0.3810,458010,0
7214,ARANK,D,20050525,0.3690,0.3690,0.3524,0.3643,336000,0
7214,ARANK,D,20050526,0.3619,0.3643,0.3571,0.3643,208950,0
7214,ARANK,D,20050527,0.3667,0.3714,0.3643,0.3714,136500,0
7214,ARANK,D,20050530,0.3714,0.3714,0.3667,0.3667,145530,0
7214,ARANK,D,20050531,0.3667,0.3714,0.3667,0.3714,174720,0
7214,ARANK,D,20050601,0.3714,0.3714,0.3690,0.3690,35700,0
7214,ARANK,D,20050602,0.3667,0.3667,0.3571,0.3571,86100,0
7214,ARANK,D,20050603,0.3571,0.4095,0.3571,0.4095,170100,0
7214,ARANK,D,20050606,0.3714,0.4095,0.3714,0.4095,63000,0
7214,ARANK,D,20050607,0.3857,0.3952,0.3857,0.3952,21000,0
7214,ARANK,D,20050608,0.4000,0.4048,0.3810,0.4048,306600,0
7214,ARANK,D,20050609,0.3952,0.3952,0.3952,0.3952,87780,0
7214,ARANK,D,20050610,0.4048,0.4095,0.4048,0.4048,105000,0
7214,ARANK,D,20050613,0.4048,0.4310,0.4000,0.4238,470190,0
7214,ARANK,D,20050614,0.4286,0.4310,0.4143,0.4238,153300,0
7214,ARANK,D,20050615,0.4143,0.4214,0.4143,0.4214,58800,0
7214,ARANK,D,20050616,0.4214,0.4214,0.4143,0.4143,29190,0
7214,ARANK,D,20050617,0.4190,0.4286,0.4143,0.4143,100800,0
7214,ARANK,D,20050620,0.4143,0.4190,0.4143,0.4190,35910,0
7214,ARANK,D,20050621,0.4167,0.4238,0.4167,0.4238,25620,0
7214,ARANK,D,20050622,0.4143,0.4167,0.4143,0.4167,46200,0
7214,ARANK,D,20050623,0.4143,0.4143,0.4119,0.4119,23100,0
7214,ARANK,D,20050624,0.4167,0.4190,0.4167,0.4167,25200,0
7214,ARANK,D,20050627,0.4190,0.4190,0.4190,0.4190,60900,0
7214,ARANK,D,20050628,0.4214,0.4238,0.4214,0.4238,47250,0
7214,ARANK,D,20050629,0.4262,0.4286,0.4214,0.4214,23730,0
7214,ARANK,D,20050630,0.4190,0.4214,0.4190,0.4190,115500,0
7214,ARANK,D,20050701,0.4190,0.4214,0.4190,0.4214,56700,0
7214,ARANK,D,20050704,0.4190,0.4238,0.4190,0.4214,7140,0
7214,ARANK,D,20050705,0.4190,0.4214,0.4190,0.4190,21000,0
7214,ARANK,D,20050706,0.4214,0.4238,0.4190,0.4190,81900,0
7214,ARANK,D,20050707,0.4214,0.4238,0.4214,0.4238,44100,0
7214,ARANK,D,20050708,0.4190,0.4190,0.4190,0.4190,23100,0
7214,ARANK,D,20050711,0.4238,0.4286,0.4214,0.4214,153300,0
7214,ARANK,D,20050712,0.4262,0.4333,0.4262,0.4286,147000,0
7214,ARANK,D,20050713,0.4286,0.4333,0.4286,0.4333,100800,0
7214,ARANK,D,20050714,0.4381,0.4476,0.4381,0.4476,157500,0
7214,ARANK,D,20050715,0.4524,0.4619,0.4524,0.4619,147000,0
7214,ARANK,D,20050718,0.4643,0.4667,0.4643,0.4643,201600,0
7214,ARANK,D,20050719,0.4571,0.4643,0.4571,0.4643,42000,0
7214,ARANK,D,20050720,0.4619,0.4667,0.4619,0.4667,298200,0
7214,ARANK,D,20050721,0.4619,0.4667,0.4619,0.4643,140700,0
7214,ARANK,D,20050722,0.4643,0.4667,0.4643,0.4667,609000,0
