<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7181,ARBB,D,20040213,2.0400,2.8400,2.0400,2.8300,25654100,0
7181,ARBB,D,20040216,2.9000,3.1600,2.9000,3.1600,26770300,0
7181,ARBB,D,20040217,3.1800,3.1800,2.6000,2.7300,12300200,0
7181,ARBB,D,20040218,2.7400,2.8000,2.5400,2.5600,3728000,0
7181,ARBB,D,20040219,2.5600,2.5900,2.3800,2.4800,1812700,0
7181,ARBB,D,20040220,2.4800,2.6600,2.4500,2.6000,8152100,0
7181,ARBB,D,20040224,2.6400,2.6700,2.4200,2.4300,7184100,0
7181,ARBB,D,20040225,2.4300,2.4300,2.1800,2.2000,2028500,0
7181,ARBB,D,20040226,2.2000,2.2500,2.0400,2.0700,1558300,0
7181,ARBB,D,20040227,2.1000,2.2100,1.9800,2.1400,4000900,0
7181,ARBB,D,20040301,2.1700,2.2200,2.0700,2.1000,1933800,0
7181,ARBB,D,20040302,2.1000,2.1500,2.0600,2.0600,1227000,0
7181,ARBB,D,20040303,2.1000,2.1100,2.0000,2.0600,1217200,0
7181,ARBB,D,20040304,2.0600,2.0600,1.9500,1.9800,1410000,0
7181,ARBB,D,20040305,2.0000,2.0900,2.0000,2.0200,1848100,0
7181,ARBB,D,20040308,2.0700,2.0700,1.9800,2.0700,1041500,0
7181,ARBB,D,20040309,2.0600,2.1600,2.0400,2.1000,1147600,0
7181,ARBB,D,20040310,2.1000,2.1000,2.0500,2.0600,493900,0
7181,ARBB,D,20040311,2.0500,2.0900,2.0300,2.0600,621100,0
7181,ARBB,D,20040312,2.0400,2.0700,2.0100,2.0600,543600,0
7181,ARBB,D,20040315,2.0700,2.0800,2.0300,2.0800,468200,0
7181,ARBB,D,20040316,2.0700,2.0700,2.0200,2.0200,316800,0
7181,ARBB,D,20040317,2.0400,2.1000,2.0400,2.1000,436400,0
7181,ARBB,D,20040318,2.1200,2.1200,2.0700,2.0700,385500,0
7181,ARBB,D,20040319,2.0900,2.0900,2.0300,2.0400,285800,0
7181,ARBB,D,20040322,2.0900,2.0900,2.0100,2.0100,208300,0
7181,ARBB,D,20040323,2.0100,2.0100,1.9900,2.0100,402800,0
7181,ARBB,D,20040324,2.0200,2.0200,1.9900,2.0000,284300,0
7181,ARBB,D,20040325,2.0200,2.0200,1.9500,1.9700,363000,0
7181,ARBB,D,20040326,1.9800,2.0100,1.9400,1.9500,192100,0
7181,ARBB,D,20040329,1.9600,1.9600,1.8200,1.8600,513100,0
7181,ARBB,D,20040330,1.8700,1.8700,1.7700,1.8000,156100,0
7181,ARBB,D,20040331,1.8100,1.8100,1.7000,1.7500,147100,0
7181,ARBB,D,20040401,1.7500,1.8300,1.6800,1.6900,948000,0
7181,ARBB,D,20040402,1.7000,1.7400,1.6800,1.7400,765800,0
7181,ARBB,D,20040405,1.7500,1.8900,1.7500,1.8000,2290600,0
7181,ARBB,D,20040406,1.8100,1.8100,1.7300,1.7300,208900,0
7181,ARBB,D,20040407,1.7100,1.7500,1.6600,1.6700,352600,0
7181,ARBB,D,20040408,1.6700,1.7300,1.6600,1.6700,293800,0
7181,ARBB,D,20040409,1.6900,1.7000,1.6600,1.7000,525100,0
7181,ARBB,D,20040412,1.6900,1.6900,1.6600,1.6800,162000,0
7181,ARBB,D,20040413,1.6600,1.6700,1.6100,1.6200,283400,0
7181,ARBB,D,20040414,1.6000,1.6400,1.6000,1.6300,234000,0
7181,ARBB,D,20040415,1.6100,1.6200,1.5900,1.5900,233900,0
7181,ARBB,D,20040416,1.6000,1.6500,1.6000,1.6200,198900,0
7181,ARBB,D,20040419,1.6200,1.6400,1.6000,1.6400,309600,0
7181,ARBB,D,20040420,1.6300,1.6500,1.6300,1.6500,253100,0
7181,ARBB,D,20040421,1.6500,1.7200,1.6400,1.7000,205200,0
7181,ARBB,D,20040422,1.7300,1.8700,1.7300,1.8000,897000,0
7181,ARBB,D,20040423,1.8000,1.8500,1.7200,1.7600,379500,0
7181,ARBB,D,20040426,1.7800,1.7800,1.7000,1.7400,100500,0
7181,ARBB,D,20040427,1.7300,1.7800,1.7100,1.7600,218400,0
7181,ARBB,D,20040428,1.7600,1.7800,1.7300,1.7300,308400,0
7181,ARBB,D,20040429,1.7300,1.7300,1.6800,1.6800,147300,0
7181,ARBB,D,20040430,1.6500,1.7500,1.6500,1.7000,104500,0
7181,ARBB,D,20040505,1.6800,1.6900,1.6600,1.6800,70100,0
7181,ARBB,D,20040506,1.6900,1.7100,1.6700,1.6700,89800,0
7181,ARBB,D,20040507,1.6700,1.7100,1.6700,1.6900,54000,0
7181,ARBB,D,20040510,1.5900,1.7100,1.5800,1.6700,79000,0
7181,ARBB,D,20040511,1.6300,1.7000,1.6200,1.6900,77800,0
7181,ARBB,D,20040512,1.6600,1.7300,1.6600,1.6800,15000,0
7181,ARBB,D,20040513,1.7000,1.7100,1.6500,1.6500,226700,0
7181,ARBB,D,20040514,1.6300,1.6900,1.6200,1.6900,118800,0
7181,ARBB,D,20040517,1.6300,1.6900,1.5700,1.5800,155500,0
7181,ARBB,D,20040518,1.6300,1.6900,1.6100,1.6500,142600,0
7181,ARBB,D,20040519,1.6100,1.6200,1.6000,1.6100,11000,0
7181,ARBB,D,20040520,1.6000,1.6200,1.5300,1.6000,129900,0
7181,ARBB,D,20040521,1.6000,1.6600,1.6000,1.6500,53200,0
7181,ARBB,D,20040524,1.6400,1.6500,1.6400,1.6400,30400,0
7181,ARBB,D,20040525,1.6400,1.6600,1.6300,1.6500,96000,0
7181,ARBB,D,20040526,1.6600,1.6900,1.6200,1.6200,40500,0
7181,ARBB,D,20040527,1.6200,1.6500,1.6200,1.6500,66000,0
7181,ARBB,D,20040528,1.6500,1.6500,1.6100,1.6100,64500,0
7181,ARBB,D,20040531,1.6000,1.6000,1.5800,1.5800,8000,0
7181,ARBB,D,20040601,1.6000,1.6500,1.6000,1.6500,100000,0
7181,ARBB,D,20040602,1.6500,1.6500,1.6200,1.6400,103000,0
7181,ARBB,D,20040603,1.6300,1.6400,1.5900,1.6300,102000,0
7181,ARBB,D,20040604,1.6100,1.6100,1.6100,1.6100,1000,0
7181,ARBB,D,20040607,1.6000,1.6000,1.6000,1.6000,10500,0
7181,ARBB,D,20040608,1.6000,1.6200,1.6000,1.6000,23000,0
7181,ARBB,D,20040609,1.5900,1.6100,1.5800,1.6100,21000,0
7181,ARBB,D,20040610,1.6000,1.6000,1.6000,1.6000,2000,0
7181,ARBB,D,20040611,1.6000,1.6000,1.6000,1.6000,40900,0
