<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7579,AWC,D,20030909,0.8836,1.0800,0.8836,1.0015,35871917,0
7579,AWC,D,20030910,1.0015,1.0996,0.9622,1.0996,9916500,0
7579,AWC,D,20030911,1.1095,1.3058,1.0898,1.2764,22633417,0
7579,AWC,D,20030912,1.3058,1.4040,1.2960,1.3549,18900037,0
7579,AWC,D,20030915,1.3745,1.4433,1.2960,1.4236,14383824,0
7579,AWC,D,20030916,1.4335,1.4825,1.3942,1.4236,13651611,0
7579,AWC,D,20030917,1.4335,1.5120,1.3942,1.4433,20068889,0
7579,AWC,D,20030918,1.4531,1.5513,1.4531,1.5415,15112778,0
7579,AWC,D,20030919,1.5611,1.6102,1.5316,1.5513,19211500,0
7579,AWC,D,20030922,1.5513,1.5513,1.4236,1.4236,13283213,0
7579,AWC,D,20030923,1.4236,1.4924,1.3745,1.4629,10733352,0
7579,AWC,D,20030924,1.4924,1.5316,1.4825,1.5022,9448287,0
7579,AWC,D,20030925,1.4825,1.5709,1.4727,1.5316,17198704,0
7579,AWC,D,20030926,1.5316,1.5611,1.4727,1.4924,10143630,0
7579,AWC,D,20030929,1.4924,1.5022,1.3942,1.4040,6160102,0
7579,AWC,D,20030930,1.4040,1.4335,1.3255,1.3255,9029778,0
7579,AWC,D,20031001,1.3255,1.3844,1.2862,1.3647,7097954,0
7579,AWC,D,20031002,1.3942,1.4040,1.3058,1.3156,5688019,0
7579,AWC,D,20031003,1.3451,1.3549,1.2960,1.3156,3716472,0
7579,AWC,D,20031006,1.3353,1.3647,1.2862,1.3156,8322111,0
7579,AWC,D,20031007,1.3156,1.4138,1.2960,1.3549,11529019,0
7579,AWC,D,20031008,1.3647,1.3942,1.3353,1.3549,3810991,0
7579,AWC,D,20031009,1.3647,1.3844,1.3451,1.3745,3278000,0
7579,AWC,D,20031010,1.3844,1.3844,1.3156,1.3255,2889231,0
7579,AWC,D,20031013,1.3255,1.3647,1.3058,1.3451,5134861,0
7579,AWC,D,20031014,1.3549,1.4236,1.3353,1.3942,8881481,0
7579,AWC,D,20031015,1.4040,1.4138,1.3549,1.3745,2800824,0
7579,AWC,D,20031016,1.3549,1.3844,1.3451,1.3549,1573815,0
7579,AWC,D,20031017,1.3549,1.3647,1.3353,1.3451,2480907,0
7579,AWC,D,20031020,1.3451,1.3647,1.3156,1.3255,2957574,0
7579,AWC,D,20031021,1.3255,1.3549,1.3255,1.3353,1619444,0
7579,AWC,D,20031022,1.3451,1.3549,1.3353,1.3353,1134019,0
7579,AWC,D,20031023,1.3451,1.3451,1.2960,1.3255,2400241,0
7579,AWC,D,20031027,1.3353,1.4629,1.3353,1.4335,9861500,0
7579,AWC,D,20031028,1.4531,1.4531,1.3844,1.3844,2557093,0
7579,AWC,D,20031029,1.4040,1.4531,1.3745,1.4040,3222796,0
7579,AWC,D,20031030,1.4236,1.4335,1.3844,1.3942,1899537,0
7579,AWC,D,20031031,1.4138,1.8753,1.3942,1.6495,84752454,0
7579,AWC,D,20031103,1.6691,1.7575,1.6396,1.6789,17084731,0
7579,AWC,D,20031104,1.6887,1.7967,1.6789,1.6985,16842426,0
7579,AWC,D,20031105,1.7084,1.7280,1.5709,1.6691,6883046,0
7579,AWC,D,20031106,1.6789,1.7182,1.6298,1.6789,10539528,0
7579,AWC,D,20031107,1.6789,1.6985,1.6102,1.6495,5998565,0
7579,AWC,D,20031110,1.6298,1.6691,1.5807,1.6691,6905861,0
7579,AWC,D,20031111,1.6691,1.7967,1.6593,1.7182,24776685,0
7579,AWC,D,20031112,1.7280,1.7673,1.6789,1.7280,8305407,0
7579,AWC,D,20031113,1.7280,1.7673,1.6887,1.7182,6028407,0
7579,AWC,D,20031114,1.7182,1.7378,1.6593,1.6887,3682556,0
7579,AWC,D,20031117,1.6985,1.6985,1.5611,1.6102,7759991,0
7579,AWC,D,20031118,1.6102,1.6396,1.5513,1.5709,4739472,0
7579,AWC,D,20031119,1.5513,1.5807,1.4531,1.4727,3042926,0
7579,AWC,D,20031120,1.4924,1.5316,1.4335,1.4531,2637556,0
7579,AWC,D,20031121,1.4236,1.4727,1.3942,1.4727,3149972,0
7579,AWC,D,20031127,1.4825,1.5218,1.4727,1.4727,3484657,0
7579,AWC,D,20031128,1.4825,1.5316,1.4825,1.5120,2611481,0
7579,AWC,D,20031201,1.5218,1.5807,1.5218,1.5709,3953889,0
7579,AWC,D,20031202,1.5807,1.6004,1.5316,1.5316,2040602,0
7579,AWC,D,20031203,1.5316,1.5316,1.5022,1.5218,1800537,0
7579,AWC,D,20031204,1.5120,1.6495,1.4727,1.5905,11530648,0
7579,AWC,D,20031205,1.6004,1.6396,1.5905,1.6200,8249389,0
7579,AWC,D,20031208,1.6200,1.6887,1.5807,1.6200,9929435,0
7579,AWC,D,20031209,1.6200,1.6691,1.6200,1.6396,4694352,0
7579,AWC,D,20031210,1.6396,1.6593,1.5807,1.6004,3077556,0
7579,AWC,D,20031211,1.6102,1.6102,1.4825,1.5218,4031500,0
7579,AWC,D,20031212,1.5316,1.5513,1.4924,1.5022,3133880,0
7579,AWC,D,20031215,1.5218,1.5415,1.4727,1.4924,2093259,0
7579,AWC,D,20031216,1.4924,1.5316,1.4727,1.4924,2255102,0
7579,AWC,D,20031217,1.5120,1.5120,1.4138,1.4433,2988130,0
7579,AWC,D,20031218,1.4433,1.4531,1.3745,1.3942,1831194,0
7579,AWC,D,20031219,1.4138,1.4236,1.3745,1.3942,1343222,0
7579,AWC,D,20031222,1.3942,1.4138,1.3745,1.3745,1133611,0
7579,AWC,D,20031223,1.3745,1.3844,1.3255,1.3353,1193296,0
7579,AWC,D,20031224,1.3451,1.4138,1.3451,1.3942,1301361,0
7579,AWC,D,20031226,1.4040,1.4727,1.3942,1.4433,2485898,0
7579,AWC,D,20031229,1.4335,1.4924,1.4335,1.4825,2139296,0
7579,AWC,D,20031230,1.4924,1.5513,1.4727,1.5218,3185620,0
7579,AWC,D,20031231,1.5316,1.5513,1.4825,1.4924,1501398,0
7579,AWC,D,20040102,1.5022,1.5120,1.4629,1.4727,942028,0
7579,AWC,D,20040105,1.4727,1.4825,1.4433,1.4629,1047546,0
7579,AWC,D,20040106,1.4825,1.4924,1.4138,1.4433,1891083,0
7579,AWC,D,20040107,1.4531,1.4924,1.4433,1.4924,1720787,0
7579,AWC,D,20040108,1.4924,1.5415,1.4629,1.5120,2442611,0
7579,AWC,D,20040109,1.5120,1.5316,1.4727,1.5022,1695731,0
7579,AWC,D,20040112,1.5120,1.5316,1.4727,1.4825,1532972,0
7579,AWC,D,20040113,1.4825,1.5022,1.4433,1.4531,1155917,0
7579,AWC,D,20040114,1.4531,1.4924,1.4433,1.4629,2004343,0
7579,AWC,D,20040115,1.4531,1.4727,1.4236,1.4335,798722,0
7579,AWC,D,20040116,1.4433,1.4433,1.4138,1.4335,860852,0
7579,AWC,D,20040119,1.4433,1.4433,1.4138,1.4236,418204,0
7579,AWC,D,20040120,1.4335,1.4629,1.4138,1.4335,1533889,0
7579,AWC,D,20040126,1.4433,1.4727,1.4335,1.4335,535944,0
7579,AWC,D,20040127,1.4433,1.4433,1.3942,1.4138,815935,0
7579,AWC,D,20040128,1.4040,1.4040,1.3844,1.3844,339065,0
7579,AWC,D,20040129,1.3745,1.4040,1.3549,1.3745,1092667,0
7579,AWC,D,20040130,1.3844,1.4138,1.3647,1.3745,463426,0
7579,AWC,D,20040204,1.3745,1.3745,1.3353,1.3353,404352,0
7579,AWC,D,20040205,1.3451,1.3844,1.3353,1.3549,805648,0
7579,AWC,D,20040206,1.3549,1.3745,1.3353,1.3353,1188204,0
7579,AWC,D,20040209,1.3549,1.3844,1.3549,1.3647,873380,0
7579,AWC,D,20040210,1.3549,1.3647,1.3451,1.3451,487463,0
7579,AWC,D,20040211,1.3549,1.3647,1.3451,1.3549,680981,0
7579,AWC,D,20040212,1.3549,1.3844,1.3549,1.3549,1150519,0
7579,AWC,D,20040213,1.3549,1.3647,1.3451,1.3451,356787,0
7579,AWC,D,20040216,1.3549,1.4727,1.3549,1.4433,5119583,0
7579,AWC,D,20040217,1.4433,1.5120,1.4433,1.4825,4489426,0
7579,AWC,D,20040218,1.4825,1.5022,1.4433,1.4629,2056287,0
7579,AWC,D,20040219,1.4629,1.4727,1.4335,1.4433,819194,0
7579,AWC,D,20040220,1.4433,1.4531,1.4138,1.4335,1595815,0
7579,AWC,D,20040224,1.4433,1.4531,1.3942,1.3942,1604167,0
7579,AWC,D,20040225,1.3942,1.5415,1.3942,1.4924,11904343,0
7579,AWC,D,20040226,1.4924,1.5218,1.4531,1.4727,2810296,0
7579,AWC,D,20040227,1.4727,1.4825,1.4138,1.4138,895481,0
7579,AWC,D,20040301,1.4236,1.4629,1.3942,1.4138,814204,0
7579,AWC,D,20040302,1.4236,1.4236,1.3745,1.3745,2033065,0
7579,AWC,D,20040303,1.3745,1.4138,1.3353,1.3549,1549167,0
7579,AWC,D,20040304,1.3745,1.3942,1.3353,1.3942,813491,0
7579,AWC,D,20040305,1.4040,1.4040,1.3549,1.3745,569556,0
7579,AWC,D,20040308,1.3745,1.4138,1.3647,1.3745,1840056,0
7579,AWC,D,20040309,1.3942,1.4629,1.3942,1.4138,3490667,0
7579,AWC,D,20040310,1.4138,1.4138,1.3844,1.3942,430222,0
7579,AWC,D,20040311,1.3844,1.4040,1.3647,1.3745,549694,0
7579,AWC,D,20040312,1.3549,1.3942,1.3549,1.3844,1220389,0
7579,AWC,D,20040315,1.3942,1.3942,1.3549,1.3647,1326519,0
7579,AWC,D,20040316,1.3647,1.3745,1.3549,1.3745,298630,0
7579,AWC,D,20040317,1.3647,1.4040,1.3647,1.3942,509870,0
7579,AWC,D,20040318,1.4040,1.4040,1.3745,1.3745,401806,0
7579,AWC,D,20040319,1.3745,1.3844,1.3647,1.3745,1108556,0
7579,AWC,D,20040322,1.4138,1.4138,1.3647,1.3745,544398,0
7579,AWC,D,20040323,1.3647,1.3647,1.3549,1.3647,334991,0
7579,AWC,D,20040324,1.3647,1.3745,1.3255,1.3255,948852,0
7579,AWC,D,20040325,1.3255,1.3844,1.3255,1.3451,1214176,0
7579,AWC,D,20040326,1.3451,1.3549,1.3255,1.3255,453750,0
7579,AWC,D,20040329,1.3353,1.3353,1.2862,1.2862,606222,0
7579,AWC,D,20040330,1.3058,1.3353,1.2567,1.2567,1104583,0
7579,AWC,D,20040331,1.2764,1.2764,1.2175,1.2469,1018722,0
7579,AWC,D,20040401,1.2371,1.2665,1.2175,1.2273,580352,0
7579,AWC,D,20040402,1.2273,1.2371,1.1978,1.2076,662954,0
7579,AWC,D,20040405,1.2175,1.2273,1.1684,1.1782,653481,0
7579,AWC,D,20040406,1.1978,1.2567,1.1978,1.2273,4176028,0
7579,AWC,D,20040407,1.2273,1.2469,1.1684,1.1978,932759,0
7579,AWC,D,20040408,1.1978,1.1978,1.1585,1.1782,731500,0
7579,AWC,D,20040409,1.1782,1.1782,1.1487,1.1585,400787,0
7579,AWC,D,20040412,1.1585,1.1978,1.0898,1.1389,1782102,0
7579,AWC,D,20040413,1.1389,1.1585,1.1095,1.1291,865028,0
7579,AWC,D,20040414,1.1291,1.1487,1.0702,1.0898,807583,0
7579,AWC,D,20040415,1.0800,1.1487,1.0309,1.0996,2752750,0
7579,AWC,D,20040416,1.0996,1.1389,1.0702,1.1193,1694306,0
7579,AWC,D,20040419,1.1193,1.1389,1.0800,1.1095,330713,0
7579,AWC,D,20040420,1.0898,1.1095,1.0898,1.0996,375222,0
7579,AWC,D,20040421,1.0996,1.1291,1.0898,1.0898,992241,0
7579,AWC,D,20040422,1.0996,1.1291,1.0996,1.1193,1293009,0
7579,AWC,D,20040423,1.1193,1.1978,1.1193,1.1585,4258731,0
7579,AWC,D,20040426,1.1585,1.1978,1.1389,1.1880,1953111,0
7579,AWC,D,20040427,1.1782,1.2665,1.1585,1.2371,8223824,0
7579,AWC,D,20040428,1.2371,1.2665,1.2076,1.2175,5367898,0
7579,AWC,D,20040429,1.2076,1.2273,1.1095,1.1291,2739611,0
7579,AWC,D,20040430,1.1291,1.1291,1.0898,1.0996,1522685,0
7579,AWC,D,20040505,1.0996,1.1291,1.0604,1.0702,1736065,0
7579,AWC,D,20040506,1.0702,1.0898,1.0505,1.0702,1169056,0
7579,AWC,D,20040507,1.0702,1.1095,1.0505,1.0505,2609241,0
7579,AWC,D,20040510,1.0505,1.0604,0.9916,1.0015,1006296,0
7579,AWC,D,20040511,1.0015,1.0211,0.9769,1.0113,1460759,0
7579,AWC,D,20040512,1.0113,1.0604,1.0015,1.0309,2544259,0
7579,AWC,D,20040513,1.0309,1.0407,0.9622,0.9818,1200222,0
7579,AWC,D,20040514,0.9720,0.9916,0.9425,0.9524,684648,0
7579,AWC,D,20040517,0.9573,1.0015,0.8836,0.8935,3716880,0
7579,AWC,D,20040518,0.8935,0.9033,0.8444,0.8836,1563426,0
7579,AWC,D,20040519,0.8836,0.9131,0.8836,0.9033,2628898,0
7579,AWC,D,20040520,0.8984,0.9033,0.8542,0.8640,1083704,0
7579,AWC,D,20040521,0.8640,0.8787,0.8444,0.8591,1489991,0
7579,AWC,D,20040524,0.8689,0.8738,0.8345,0.8493,1018213,0
7579,AWC,D,20040525,0.8444,0.8444,0.7953,0.7953,2111389,0
7579,AWC,D,20040526,0.8100,0.8247,0.8051,0.8051,1050907,0
7579,AWC,D,20040527,0.8100,0.8640,0.8100,0.8345,4612769,0
7579,AWC,D,20040528,0.8345,0.8738,0.8296,0.8345,4714722,0
7579,AWC,D,20040531,0.8345,0.8345,0.7953,0.8051,954454,0
7579,AWC,D,20040601,0.8100,0.8100,0.7855,0.7855,652972,0
7579,AWC,D,20040602,0.7953,0.7953,0.7167,0.7216,3176148,0
7579,AWC,D,20040603,0.7265,0.7364,0.6873,0.6971,2077574,0
7579,AWC,D,20040604,0.6922,0.7216,0.6922,0.7069,1427657,0
7579,AWC,D,20040607,0.7069,0.7216,0.7069,0.7118,1203991,0
7579,AWC,D,20040608,0.7167,0.7216,0.6873,0.6971,1716000,0
7579,AWC,D,20040609,0.7020,0.7020,0.6676,0.6725,953333,0
7579,AWC,D,20040610,0.6676,0.6971,0.6480,0.6922,1160500,0
7579,AWC,D,20040611,0.6971,0.6971,0.6725,0.6725,785481,0
7579,AWC,D,20040614,0.6775,0.6824,0.6529,0.6627,720704,0
7579,AWC,D,20040615,0.6627,0.6873,0.6529,0.6676,985009,0
7579,AWC,D,20040616,0.6775,0.7315,0.6775,0.7216,2168630,0
7579,AWC,D,20040617,0.7364,0.7855,0.7315,0.7658,3849898,0
7579,AWC,D,20040618,0.7560,0.7658,0.7167,0.7167,916870,0
7579,AWC,D,20040621,0.7216,0.7216,0.6873,0.6971,559676,0
7579,AWC,D,20040622,0.6971,0.6971,0.6725,0.6824,497241,0
7579,AWC,D,20040623,0.6824,0.7118,0.6824,0.6922,1242593,0
7579,AWC,D,20040624,0.7020,0.7118,0.7020,0.7069,665602,0
7579,AWC,D,20040625,0.7020,0.7020,0.6873,0.6922,220102,0
7579,AWC,D,20040628,0.6824,0.7118,0.6824,0.6971,453750,0
7579,AWC,D,20040629,0.7069,0.7069,0.6824,0.6873,585343,0
7579,AWC,D,20040630,0.6873,0.6922,0.6775,0.6775,386019,0
7579,AWC,D,20040701,0.6824,0.6873,0.6775,0.6824,263185,0
7579,AWC,D,20040702,0.6775,0.7020,0.6725,0.6922,627204,0
7579,AWC,D,20040705,0.6971,0.7118,0.6873,0.7118,615491,0
