<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
6888,AXIATA,D,20080428,4.0318,4.0958,3.7758,3.8185,54543613,0
6888,AXIATA,D,20080429,3.8185,3.8398,3.6478,3.6691,27405507,0
6888,AXIATA,D,20080430,3.6691,3.6905,3.5838,3.6478,32991102,0
6888,AXIATA,D,20080502,3.6691,3.6691,3.5838,3.6052,9873446,0
6888,AXIATA,D,20080505,3.6052,3.7332,3.5838,3.6691,14409966,0
6888,AXIATA,D,20080506,3.6691,3.6905,3.6265,3.6691,7601564,0
6888,AXIATA,D,20080507,3.6691,3.7332,3.6265,3.6691,26105286,0
6888,AXIATA,D,20080508,3.6478,3.7119,3.6478,3.6691,14696266,0
6888,AXIATA,D,20080509,3.6905,3.7119,3.6691,3.6905,14797267,0
6888,AXIATA,D,20080512,3.6905,3.8611,3.6905,3.8185,25361416,0
6888,AXIATA,D,20080513,3.8398,3.8824,3.7972,3.8185,9384680,0
6888,AXIATA,D,20080514,3.8185,3.8611,3.8185,3.8185,11230614,0
6888,AXIATA,D,20080515,3.8185,3.8398,3.7758,3.7972,5745938,0
6888,AXIATA,D,20080516,3.8185,3.8185,3.7758,3.7758,8003408,0
6888,AXIATA,D,20080520,3.7758,3.7758,3.7119,3.7332,7700531,0
6888,AXIATA,D,20080521,3.7119,3.7332,3.6905,3.7119,6782308,0
6888,AXIATA,D,20080522,3.6905,3.7758,3.6478,3.7332,6493041,0
6888,AXIATA,D,20080523,3.7332,3.7545,3.7119,3.7119,10114070,0
6888,AXIATA,D,20080526,3.7119,3.7332,3.6905,3.7332,5973267,0
6888,AXIATA,D,20080527,3.7119,3.7332,3.6905,3.7332,3320450,0
6888,AXIATA,D,20080528,3.7332,3.7545,3.7332,3.7332,5450540,0
6888,AXIATA,D,20080529,3.7332,3.7332,3.6905,3.6905,13455115,0
6888,AXIATA,D,20080530,3.7119,3.7332,3.6905,3.7332,10697501,0
6888,AXIATA,D,20080602,3.7332,3.7545,3.7119,3.7332,7351849,0
6888,AXIATA,D,20080603,3.7119,3.7119,3.6905,3.6905,7819137,0
6888,AXIATA,D,20080604,3.6905,3.7119,3.6691,3.6691,8710265,0
6888,AXIATA,D,20080605,3.6691,3.6691,3.5838,3.6478,11052242,0
6888,AXIATA,D,20080606,3.6905,3.6905,3.6052,3.6052,24016195,0
6888,AXIATA,D,20080609,3.5838,3.6052,3.5625,3.5838,13039681,0
6888,AXIATA,D,20080610,3.6052,3.6265,3.5838,3.5838,4599632,0
6888,AXIATA,D,20080611,3.5838,3.6265,3.5838,3.5838,8308012,0
6888,AXIATA,D,20080612,3.4985,3.5838,3.4985,3.5625,8760805,0
6888,AXIATA,D,20080613,3.5625,3.6052,3.5625,3.5838,7977332,0
6888,AXIATA,D,20080616,3.5838,3.7119,3.5838,3.6691,7491087,0
6888,AXIATA,D,20080617,3.6905,3.6905,3.5838,3.5838,1305336,0
6888,AXIATA,D,20080618,3.5838,3.6052,3.5838,3.5838,4367199,0
6888,AXIATA,D,20080619,3.5625,3.5625,3.4558,3.4772,9499430,0
6888,AXIATA,D,20080620,3.5199,3.5838,3.4985,3.5838,17588725,0
6888,AXIATA,D,20080623,3.5412,3.6052,3.4772,3.5412,10970689,0
6888,AXIATA,D,20080624,3.5625,3.6265,3.5625,3.5838,7539615,0
6888,AXIATA,D,20080625,3.5838,3.6052,3.5625,3.5838,3021432,0
6888,AXIATA,D,20080626,3.5838,3.5838,3.3918,3.4558,27501911,0
6888,AXIATA,D,20080627,3.3705,3.3918,3.2852,3.3279,21319433,0
6888,AXIATA,D,20080630,3.2852,3.2852,3.1572,3.2212,16004724,0
6888,AXIATA,D,20080701,3.2212,3.2212,3.1572,3.2212,8796412,0
6888,AXIATA,D,20080702,3.2212,3.2212,3.0719,3.0932,15526242,0
6888,AXIATA,D,20080703,2.9439,2.9439,2.9439,2.9439,3737,0
6888,AXIATA,D,20080704,3.0292,3.1572,2.9225,3.0719,17777865,0
