<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5021,AYS,D,20000823,0.2598,0.2725,0.2332,0.2332,113949637,0
5021,AYS,D,20000824,0.2332,0.2436,0.2286,0.2355,15088035,0
5021,AYS,D,20000825,0.2355,0.2401,0.2309,0.2367,5057941,0
5021,AYS,D,20000828,0.2378,0.2378,0.2321,0.2355,2095887,0
5021,AYS,D,20000829,0.2332,0.2413,0.2332,0.2378,8539901,0
5021,AYS,D,20000830,0.2355,0.2355,0.2251,0.2251,7795150,0
5021,AYS,D,20000901,0.2275,0.2275,0.2090,0.2124,23593691,0
5021,AYS,D,20000904,0.2124,0.2124,0.2020,0.2044,4711682,0
5021,AYS,D,20000905,0.2044,0.2101,0.2020,0.2020,2425196,0
5021,AYS,D,20000906,0.2020,0.2044,0.1974,0.2009,2719568,0
5021,AYS,D,20000907,0.1986,0.2044,0.1963,0.2032,3516206,0
5021,AYS,D,20000908,0.1986,0.2113,0.1974,0.2009,6582379,0
5021,AYS,D,20000911,0.1986,0.1986,0.1870,0.1917,9094400,0
5021,AYS,D,20000912,0.1905,0.1963,0.1905,0.1905,2736864,0
5021,AYS,D,20000913,0.1917,0.2090,0.1917,0.2078,5733855,0
5021,AYS,D,20000914,0.2101,0.2113,0.1963,0.2020,2407555,0
5021,AYS,D,20000915,0.1997,0.2009,0.1928,0.1951,2217303,0
5021,AYS,D,20000918,0.1940,0.1940,0.1894,0.1917,2494379,0
5021,AYS,D,20000919,0.1905,0.1963,0.1905,0.1963,3637622,0
5021,AYS,D,20000920,0.1951,0.1963,0.1917,0.1917,1437615,0
5021,AYS,D,20000921,0.1905,0.1905,0.1894,0.1905,2702273,0
5021,AYS,D,20000922,0.1894,0.1905,0.1870,0.1882,2269190,0
5021,AYS,D,20000925,0.1894,0.1905,0.1882,0.1905,1212425,0
5021,AYS,D,20000926,0.1905,0.1917,0.1882,0.1917,1247017,0
5021,AYS,D,20000927,0.1882,0.1917,0.1870,0.1917,900758,0
5021,AYS,D,20000928,0.1894,0.1917,0.1870,0.1917,710159,0
5021,AYS,D,20000929,0.1882,0.1917,0.1870,0.1917,1195130,0
