<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7078,AZRB,D,19990609,0.3937,0.4021,0.3937,0.3965,10549243,0
7078,AZRB,D,19990610,0.3993,0.4007,0.3930,0.3965,2077646,0
7078,AZRB,D,19990611,0.3979,0.4007,0.3937,0.3937,1020460,0
7078,AZRB,D,19990614,0.4007,0.4007,0.3937,0.3965,1080918,0
7078,AZRB,D,19990615,0.3979,0.3993,0.3937,0.3937,700947,0
7078,AZRB,D,19990616,0.3937,0.3979,0.3930,0.3951,1352754,0
7078,AZRB,D,19990617,0.3993,0.4174,0.3965,0.4118,4646475,0
7078,AZRB,D,19990618,0.4118,0.4132,0.4021,0.4021,946600,0
7078,AZRB,D,19990621,0.4007,0.4049,0.4007,0.4021,271523,0
7078,AZRB,D,19990622,0.4077,0.4104,0.4035,0.4035,466916,0
7078,AZRB,D,19990623,0.4049,0.4049,0.4021,0.4035,435789,0
7078,AZRB,D,19990624,0.4035,0.4049,0.3965,0.3979,630628,0
7078,AZRB,D,19990625,0.3979,0.3993,0.3951,0.3979,945942,0
7078,AZRB,D,19990628,0.4077,0.4091,0.4007,0.4049,483263,0
7078,AZRB,D,19990629,0.4104,0.4146,0.4021,0.4021,1000335,0
7078,AZRB,D,19990630,0.4021,0.4035,0.3993,0.3993,208223,0
7078,AZRB,D,19990701,0.4007,0.4021,0.3993,0.4021,380197,0
7078,AZRB,D,19990702,0.4021,0.4049,0.3993,0.4021,667292,0
7078,AZRB,D,19990705,0.4049,0.4146,0.4021,0.4104,1286685,0
7078,AZRB,D,19990706,0.4132,0.4271,0.4104,0.4160,1811495,0
7078,AZRB,D,19990707,0.4174,0.4355,0.4160,0.4216,2145201,0
7078,AZRB,D,19990708,0.4216,0.4286,0.4160,0.4188,416606,0
7078,AZRB,D,19990709,0.4188,0.4229,0.4160,0.4160,797978,0
7078,AZRB,D,19990712,0.4174,0.4202,0.4077,0.4146,588877,0
7078,AZRB,D,19990713,0.4132,0.4132,0.4049,0.4062,516501,0
7078,AZRB,D,19990714,0.4118,0.4174,0.4091,0.4132,428552,0
7078,AZRB,D,19990715,0.4174,0.4174,0.4077,0.4077,400297,0
7078,AZRB,D,19990716,0.4091,0.4216,0.4049,0.4049,413658,0
7078,AZRB,D,19990719,0.4077,0.4118,0.4007,0.4007,216604,0
7078,AZRB,D,19990720,0.4035,0.4091,0.4007,0.4091,251886,0
7078,AZRB,D,19990721,0.4091,0.4091,0.4049,0.4091,110145,0
7078,AZRB,D,19990722,0.4062,0.4062,0.4007,0.4007,200531,0
7078,AZRB,D,19990723,0.4007,0.4007,0.3965,0.3979,307597,0
7078,AZRB,D,19990726,0.4007,0.4007,0.3840,0.3840,201063,0
7078,AZRB,D,19990727,0.3798,0.3930,0.3763,0.3923,205046,0
7078,AZRB,D,19990729,0.3819,0.3819,0.3784,0.3784,102793,0
7078,AZRB,D,19990730,0.3798,0.3798,0.3763,0.3798,132115,0
7078,AZRB,D,19990802,0.3742,0.3763,0.3708,0.3708,122352,0
7078,AZRB,D,19990803,0.3708,0.3798,0.3708,0.3721,57825,0
7078,AZRB,D,19990804,0.3728,0.3728,0.3645,0.3673,42750,0
7078,AZRB,D,19990805,0.3673,0.3673,0.3638,0.3659,78143,0
7078,AZRB,D,19990806,0.3659,0.3673,0.3659,0.3659,35456,0
7078,AZRB,D,19990809,0.3659,0.3659,0.3519,0.3519,197676,0
7078,AZRB,D,19990810,0.3484,0.3533,0.3484,0.3512,136082,0
7078,AZRB,D,19990811,0.3484,0.3519,0.3484,0.3519,27276,0
7078,AZRB,D,19990812,0.3512,0.3554,0.3512,0.3554,41310,0
7078,AZRB,D,19990813,0.3693,0.3693,0.3617,0.3617,84267,0
7078,AZRB,D,19990816,0.3777,0.3777,0.3659,0.3693,185965,0
7078,AZRB,D,19990817,0.3715,0.3715,0.3693,0.3693,42993,0
7078,AZRB,D,19990818,0.3693,0.3721,0.3693,0.3721,72231,0
7078,AZRB,D,19990819,0.3728,0.3728,0.3728,0.3728,21699,0
7078,AZRB,D,19990820,0.3715,0.3728,0.3715,0.3728,21699,0
7078,AZRB,D,19990824,0.3812,0.3833,0.3812,0.3833,59483,0
7078,AZRB,D,19990825,0.3798,0.3798,0.3798,0.3798,44177,0
7078,AZRB,D,19990827,0.3728,0.3749,0.3728,0.3742,36261,0
