<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0098,BAHVEST,D,20050905,0.1483,0.1595,0.1393,0.1483,28335533,0
0098,BAHVEST,D,20050906,0.1483,0.1550,0.1460,0.1460,8285385,0
0098,BAHVEST,D,20050907,0.1460,0.1483,0.1438,0.1438,3955860,0
0098,BAHVEST,D,20050908,0.1438,0.1460,0.1326,0.1348,8776558,0
0098,BAHVEST,D,20050909,0.1348,0.1348,0.1258,0.1258,5773219,0
0098,BAHVEST,D,20050912,0.1281,0.1348,0.1191,0.1303,18130415,0
0098,BAHVEST,D,20050913,0.1303,0.1370,0.1258,0.1258,9646068,0
0098,BAHVEST,D,20050914,0.1258,0.1303,0.1213,0.1258,2921884,0
0098,BAHVEST,D,20050915,0.1258,0.1258,0.1213,0.1236,2461647,0
0098,BAHVEST,D,20050916,0.1213,0.1326,0.1213,0.1258,11775445,0
0098,BAHVEST,D,20050919,0.1281,0.1281,0.1213,0.1258,4623071,0
0098,BAHVEST,D,20050920,0.1236,0.1326,0.1236,0.1303,5691988,0
0098,BAHVEST,D,20050921,0.1303,0.1303,0.1258,0.1281,1497107,0
0098,BAHVEST,D,20050922,0.1258,0.1281,0.1236,0.1281,4067136,0
0098,BAHVEST,D,20050923,0.1281,0.1326,0.1281,0.1303,5254451,0
0098,BAHVEST,D,20050926,0.1281,0.1483,0.1281,0.1483,28444806,0
0098,BAHVEST,D,20050927,0.1483,0.1528,0.1348,0.1348,19516913,0
0098,BAHVEST,D,20050928,0.1370,0.1393,0.1303,0.1348,5264688,0
0098,BAHVEST,D,20050929,0.1348,0.1348,0.1303,0.1326,1465950,0
0098,BAHVEST,D,20050930,0.1348,0.1348,0.1281,0.1303,3871068,0
0098,BAHVEST,D,20051003,0.1326,0.1370,0.1281,0.1370,7866320,0
0098,BAHVEST,D,20051004,0.1393,0.1415,0.1348,0.1370,3013798,0
0098,BAHVEST,D,20051005,0.1348,0.1370,0.1348,0.1370,2017656,0
0098,BAHVEST,D,20051006,0.1348,0.1348,0.1303,0.1326,1662908,0
0098,BAHVEST,D,20051007,0.1303,0.1415,0.1303,0.1415,10472403,0
0098,BAHVEST,D,20051010,0.1393,0.1415,0.1348,0.1370,2746513,0
0098,BAHVEST,D,20051011,0.1370,0.1370,0.1326,0.1326,1961795,0
0098,BAHVEST,D,20051012,0.1326,0.1348,0.1303,0.1303,697700,0
0098,BAHVEST,D,20051013,0.1303,0.1326,0.1281,0.1303,4858308,0
0098,BAHVEST,D,20051014,0.1303,0.1303,0.1281,0.1303,1120771,0
0098,BAHVEST,D,20051017,0.1303,0.1303,0.1281,0.1281,1009273,0
0098,BAHVEST,D,20051018,0.1303,0.1303,0.1281,0.1281,1017062,0
0098,BAHVEST,D,20051019,0.1281,0.1303,0.1258,0.1281,2773665,0
0098,BAHVEST,D,20051020,0.1258,0.1281,0.1236,0.1258,948071,0
0098,BAHVEST,D,20051021,0.1258,0.1258,0.1236,0.1236,436202,0
0098,BAHVEST,D,20051024,0.1236,0.1258,0.1236,0.1258,1221587,0
0098,BAHVEST,D,20051025,0.1281,0.1281,0.1258,0.1281,254377,0
0098,BAHVEST,D,20051026,0.1258,0.1281,0.1236,0.1258,422181,0
0098,BAHVEST,D,20051027,0.1258,0.1281,0.1258,0.1281,273739,0
0098,BAHVEST,D,20051028,0.1281,0.1281,0.1258,0.1281,182493,0
0098,BAHVEST,D,20051031,0.1281,0.1326,0.1281,0.1326,93472,0
0098,BAHVEST,D,20051102,0.1326,0.1393,0.1326,0.1393,2953041,0
0098,BAHVEST,D,20051107,0.1393,0.1393,0.1326,0.1326,474036,0
0098,BAHVEST,D,20051108,0.1303,0.1348,0.1281,0.1348,142433,0
0098,BAHVEST,D,20051109,0.1281,0.1281,0.1281,0.1281,224777,0
0098,BAHVEST,D,20051110,0.1281,0.1326,0.1281,0.1281,2313427,0
0098,BAHVEST,D,20051111,0.1281,0.1281,0.1258,0.1258,157344,0
0098,BAHVEST,D,20051114,0.1258,0.1258,0.1258,0.1258,220326,0
0098,BAHVEST,D,20051115,0.1281,0.1281,0.1258,0.1258,665875,0
0098,BAHVEST,D,20051116,0.1258,0.1281,0.1258,0.1281,1392730,0
0098,BAHVEST,D,20051117,0.1258,0.1258,0.1258,0.1258,40059,0
0098,BAHVEST,D,20051118,0.1281,0.1281,0.1236,0.1281,868175,0
0098,BAHVEST,D,20051121,0.1258,0.1258,0.1258,0.1258,249258,0
0098,BAHVEST,D,20051122,0.1258,0.1258,0.1236,0.1236,1797329,0
0098,BAHVEST,D,20051123,0.1236,0.1303,0.1236,0.1281,693027,0
0098,BAHVEST,D,20051124,0.1281,0.1281,0.1281,0.1281,186053,0
0098,BAHVEST,D,20051125,0.1258,0.1281,0.1213,0.1258,794510,0
0098,BAHVEST,D,20051128,0.1258,0.1258,0.1213,0.1236,577522,0
0098,BAHVEST,D,20051129,0.1236,0.1236,0.1213,0.1213,162463,0
0098,BAHVEST,D,20051130,0.1213,0.1236,0.1213,0.1236,261053,0
0098,BAHVEST,D,20051201,0.1213,0.1213,0.1213,0.1213,135757,0
0098,BAHVEST,D,20051202,0.1213,0.1213,0.1191,0.1213,1096068,0
0098,BAHVEST,D,20051205,0.1213,0.1258,0.1213,0.1236,175816,0
0098,BAHVEST,D,20051206,0.1213,0.1236,0.1191,0.1236,129080,0
0098,BAHVEST,D,20051207,0.1236,0.1236,0.1191,0.1213,37834,0
0098,BAHVEST,D,20051208,0.1213,0.1213,0.1191,0.1191,160237,0
0098,BAHVEST,D,20051209,0.1236,0.1236,0.1213,0.1236,206973,0
0098,BAHVEST,D,20051212,0.1213,0.1236,0.1213,0.1213,25371,0
0098,BAHVEST,D,20051213,0.1213,0.1213,0.1191,0.1213,84570,0
0098,BAHVEST,D,20051214,0.1191,0.1213,0.1191,0.1213,149110,0
0098,BAHVEST,D,20051215,0.1191,0.1236,0.1191,0.1236,91246,0
0098,BAHVEST,D,20051216,0.1236,0.1236,0.1236,0.1236,0,0
0098,BAHVEST,D,20051219,0.1168,0.1191,0.1123,0.1191,797181,0
0098,BAHVEST,D,20051220,0.1146,0.1146,0.1123,0.1123,51187,0
0098,BAHVEST,D,20051221,0.1168,0.1168,0.1123,0.1168,102819,0
0098,BAHVEST,D,20051222,0.1123,0.1123,0.1123,0.1123,18027,0
0098,BAHVEST,D,20051223,0.1168,0.1168,0.1078,0.1146,41617,0
0098,BAHVEST,D,20051227,0.1146,0.1168,0.1123,0.1168,36499,0
0098,BAHVEST,D,20051228,0.1146,0.1168,0.1123,0.1168,172923,0
0098,BAHVEST,D,20051229,0.1123,0.1191,0.1123,0.1191,107715,0
0098,BAHVEST,D,20051230,0.1191,0.1213,0.1168,0.1191,31380,0
0098,BAHVEST,D,20060103,0.1213,0.1213,0.1213,0.1213,4451,0
0098,BAHVEST,D,20060104,0.1168,0.1213,0.1168,0.1213,54970,0
0098,BAHVEST,D,20060105,0.1168,0.1213,0.1168,0.1213,89021,0
0098,BAHVEST,D,20060106,0.1168,0.1191,0.1123,0.1191,340059,0
0098,BAHVEST,D,20060109,0.1213,0.1213,0.1168,0.1191,101706,0
0098,BAHVEST,D,20060111,0.1191,0.1213,0.1191,0.1213,92582,0
0098,BAHVEST,D,20060112,0.1213,0.1236,0.1191,0.1213,410386,0
0098,BAHVEST,D,20060113,0.1213,0.1213,0.1168,0.1191,100148,0
0098,BAHVEST,D,20060116,0.1191,0.1191,0.1168,0.1191,40504,0
0098,BAHVEST,D,20060117,0.1146,0.1168,0.1146,0.1168,86350,0
0098,BAHVEST,D,20060118,0.1146,0.1191,0.1146,0.1191,126632,0
0098,BAHVEST,D,20060119,0.1146,0.1168,0.1123,0.1168,572181,0
0098,BAHVEST,D,20060120,0.1146,0.1168,0.1123,0.1168,80119,0
0098,BAHVEST,D,20060123,0.1123,0.1123,0.1123,0.1123,211202,0
0098,BAHVEST,D,20060124,0.1123,0.1168,0.1123,0.1168,132641,0
0098,BAHVEST,D,20060125,0.1168,0.1168,0.1146,0.1146,135757,0
0098,BAHVEST,D,20060126,0.1146,0.1146,0.1123,0.1123,446884,0
0098,BAHVEST,D,20060127,0.1168,0.1168,0.1123,0.1168,62315,0
0098,BAHVEST,D,20060203,0.1168,0.1168,0.1168,0.1168,155786,0
0098,BAHVEST,D,20060206,0.1146,0.1168,0.1123,0.1123,200297,0
0098,BAHVEST,D,20060207,0.1146,0.1146,0.1101,0.1146,129080,0
0098,BAHVEST,D,20060208,0.1146,0.1213,0.1146,0.1168,285979,0
0098,BAHVEST,D,20060209,0.1191,0.1258,0.1191,0.1236,1872552,0
0098,BAHVEST,D,20060210,0.1191,0.1213,0.1168,0.1213,656751,0
0098,BAHVEST,D,20060213,0.1168,0.1191,0.1146,0.1168,321588,0
0098,BAHVEST,D,20060214,0.1168,0.1168,0.1146,0.1146,179154,0
0098,BAHVEST,D,20060215,0.1168,0.1191,0.1146,0.1168,598665,0
0098,BAHVEST,D,20060216,0.1146,0.1146,0.1123,0.1123,271513,0
0098,BAHVEST,D,20060217,0.1191,0.1191,0.1123,0.1146,268398,0
0098,BAHVEST,D,20060220,0.1123,0.1168,0.1123,0.1146,508754,0
0098,BAHVEST,D,20060221,0.1146,0.1168,0.1123,0.1146,241691,0
0098,BAHVEST,D,20060222,0.1123,0.1123,0.1101,0.1101,238798,0
0098,BAHVEST,D,20060223,0.1168,0.1168,0.1101,0.1146,129080,0
0098,BAHVEST,D,20060224,0.1168,0.1191,0.1146,0.1191,563056,0
0098,BAHVEST,D,20060227,0.1191,0.1213,0.1191,0.1191,524110,0
0098,BAHVEST,D,20060228,0.1191,0.1348,0.1191,0.1236,5309644,0
0098,BAHVEST,D,20060301,0.1236,0.1258,0.1168,0.1213,510979,0
0098,BAHVEST,D,20060302,0.1236,0.1236,0.1168,0.1213,20030,0
0098,BAHVEST,D,20060303,0.1191,0.1191,0.1168,0.1191,235460,0
0098,BAHVEST,D,20060306,0.1168,0.1191,0.1146,0.1146,694585,0
0098,BAHVEST,D,20060307,0.1146,0.1168,0.1146,0.1168,238798,0
0098,BAHVEST,D,20060308,0.1168,0.1191,0.1146,0.1191,269510,0
0098,BAHVEST,D,20060309,0.1168,0.1191,0.1146,0.1191,166914,0
0098,BAHVEST,D,20060310,0.1168,0.1168,0.1168,0.1168,115727,0
0098,BAHVEST,D,20060313,0.1146,0.1168,0.1146,0.1168,215430,0
0098,BAHVEST,D,20060314,0.1146,0.1168,0.1146,0.1168,685682,0
0098,BAHVEST,D,20060315,0.1168,0.1168,0.1146,0.1168,284866,0
0098,BAHVEST,D,20060316,0.1213,0.1326,0.1213,0.1236,7669584,0
0098,BAHVEST,D,20060317,0.1258,0.1303,0.1236,0.1258,3434421,0
0098,BAHVEST,D,20060320,0.1281,0.1281,0.1213,0.1236,569733,0
0098,BAHVEST,D,20060321,0.1236,0.1348,0.1236,0.1303,14908531,0
0098,BAHVEST,D,20060322,0.1303,0.1303,0.1236,0.1258,2557344,0
0098,BAHVEST,D,20060323,0.1258,0.1258,0.1213,0.1213,1622404,0
0098,BAHVEST,D,20060324,0.1213,0.1236,0.1191,0.1236,1925742,0
0098,BAHVEST,D,20060327,0.1236,0.1236,0.1191,0.1191,3502077,0
0098,BAHVEST,D,20060328,0.1213,0.1213,0.1191,0.1191,1840059,0
0098,BAHVEST,D,20060329,0.1191,0.1236,0.1191,0.1236,770252,0
0098,BAHVEST,D,20060330,0.1236,0.1281,0.1213,0.1258,2148516,0
0098,BAHVEST,D,20060331,0.1258,0.1258,0.1213,0.1258,556602,0
0098,BAHVEST,D,20060403,0.1258,0.1258,0.1213,0.1236,405044,0
0098,BAHVEST,D,20060404,0.1213,0.1258,0.1213,0.1258,2183234,0
0098,BAHVEST,D,20060405,0.1281,0.1348,0.1258,0.1303,4383605,0
0098,BAHVEST,D,20060406,0.1303,0.1326,0.1236,0.1258,1383383,0
0098,BAHVEST,D,20060407,0.1236,0.1258,0.1236,0.1258,825890,0
0098,BAHVEST,D,20060410,0.1281,0.1281,0.1236,0.1258,678116,0
0098,BAHVEST,D,20060412,0.1258,0.1258,0.1213,0.1236,1151706,0
0098,BAHVEST,D,20060413,0.1258,0.1281,0.1236,0.1281,1005490,0
0098,BAHVEST,D,20060414,0.1236,0.1258,0.1213,0.1258,812537,0
0098,BAHVEST,D,20060417,0.1236,0.1236,0.1191,0.1191,413947,0
0098,BAHVEST,D,20060418,0.1168,0.1213,0.1146,0.1213,2300297,0
0098,BAHVEST,D,20060419,0.1213,0.1236,0.1213,0.1213,278858,0
0098,BAHVEST,D,20060420,0.1213,0.1236,0.1213,0.1213,263279,0
0098,BAHVEST,D,20060421,0.1213,0.1236,0.1191,0.1236,246588,0
0098,BAHVEST,D,20060424,0.1191,0.1213,0.1191,0.1191,119510,0
0098,BAHVEST,D,20060425,0.1213,0.1281,0.1191,0.1191,1379822,0
0098,BAHVEST,D,20060426,0.1213,0.1236,0.1191,0.1236,672329,0
0098,BAHVEST,D,20060427,0.1213,0.1213,0.1191,0.1213,96365,0
0098,BAHVEST,D,20060428,0.1236,0.1236,0.1213,0.1213,131083,0
0098,BAHVEST,D,20060502,0.1213,0.1213,0.1168,0.1213,405935,0
0098,BAHVEST,D,20060503,0.1213,0.1213,0.1191,0.1213,463353,0
0098,BAHVEST,D,20060504,0.1213,0.1213,0.1191,0.1191,239243,0
0098,BAHVEST,D,20060505,0.1191,0.1191,0.1191,0.1191,561721,0
