<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5248,BAUTO,D,20131118,0.9981,1.4166,0.9852,1.1719,111883094,0
5248,BAUTO,D,20131119,1.2106,1.2556,1.0303,1.1590,21531414,0
5248,BAUTO,D,20131120,1.1526,1.1526,1.0303,1.0303,6522600,0
5248,BAUTO,D,20131121,1.0367,1.0367,0.9401,0.9916,12225372,0
5248,BAUTO,D,20131122,0.9916,1.0238,0.9401,0.9530,4162817,0
5248,BAUTO,D,20131125,0.9594,0.9852,0.9144,0.9272,5258924,0
5248,BAUTO,D,20131126,0.9401,1.0238,0.8950,1.0045,13464976,0
5248,BAUTO,D,20131127,0.9981,1.0045,0.9723,0.9981,5073807,0
5248,BAUTO,D,20131128,0.9981,0.9981,0.9788,0.9852,4269663,0
5248,BAUTO,D,20131129,0.9852,1.0045,0.9788,0.9788,6570743,0
5248,BAUTO,D,20131202,0.9852,0.9852,0.9530,0.9530,989416,0
5248,BAUTO,D,20131203,0.9594,0.9981,0.9530,0.9530,5804804,0
5248,BAUTO,D,20131204,0.9530,1.1140,0.9530,1.0625,17360056,0
5248,BAUTO,D,20131205,1.0689,1.2363,1.0689,1.1590,30729368,0
5248,BAUTO,D,20131206,1.1590,1.1977,1.0947,1.1011,9679073,0
5248,BAUTO,D,20131209,1.1462,1.1848,1.1204,1.1269,8695092,0
5248,BAUTO,D,20131210,1.1333,1.1333,1.0753,1.0753,6735982,0
5248,BAUTO,D,20131211,1.0882,1.1526,1.0882,1.1269,9378102,0
5248,BAUTO,D,20131212,1.1269,1.1462,1.1011,1.1140,1726781,0
5248,BAUTO,D,20131213,1.1204,1.1204,1.0753,1.0818,2846183,0
5248,BAUTO,D,20131216,1.1075,1.1075,1.0367,1.0431,2299527,0
5248,BAUTO,D,20131217,1.0496,1.1011,1.0496,1.0753,5134529,0
5248,BAUTO,D,20131218,1.0753,1.0947,1.0560,1.0625,1657206,0
5248,BAUTO,D,20131219,1.0753,1.0753,1.0431,1.0496,1349868,0
5248,BAUTO,D,20131220,1.0496,1.0496,1.0238,1.0431,1463547,0
5248,BAUTO,D,20131223,1.0303,1.0496,1.0174,1.0303,1359341,0
5248,BAUTO,D,20131224,1.0303,1.0496,1.0303,1.0496,630052,0
5248,BAUTO,D,20131226,1.0367,1.0882,1.0367,1.0882,2097948,0
5248,BAUTO,D,20131227,1.0882,1.1011,1.0753,1.0882,1165682,0
5248,BAUTO,D,20131230,1.0947,1.0947,1.0689,1.0689,880551,0
5248,BAUTO,D,20131231,1.0818,1.0882,1.0625,1.0625,701490,0
5248,BAUTO,D,20140102,1.0625,1.0689,1.0303,1.0431,1400806,0
5248,BAUTO,D,20140103,1.0560,1.0560,1.0238,1.0431,3233191,0
5248,BAUTO,D,20140106,1.0431,1.0560,1.0303,1.0303,834272,0
5248,BAUTO,D,20140107,1.0496,1.0625,1.0303,1.0560,1938610,0
5248,BAUTO,D,20140108,1.0625,1.1333,1.0560,1.1204,5267000,0
5248,BAUTO,D,20140109,1.1204,1.1269,1.0753,1.0882,4222141,0
5248,BAUTO,D,20140110,1.0882,1.0947,1.0818,1.0818,429870,0
5248,BAUTO,D,20140113,1.0882,1.1269,1.0882,1.1140,3429956,0
5248,BAUTO,D,20140115,1.1140,1.1204,1.0818,1.0818,1949015,0
5248,BAUTO,D,20140116,1.1075,1.1848,1.0882,1.1655,9034267,0
5248,BAUTO,D,20140120,1.1655,1.2234,1.1462,1.1912,3408525,0
5248,BAUTO,D,20140121,1.1912,1.2170,1.1590,1.1590,836135,0
5248,BAUTO,D,20140122,1.1719,1.2234,1.1462,1.1977,3206013,0
5248,BAUTO,D,20140123,1.2041,1.2750,1.1912,1.1977,5034050,0
5248,BAUTO,D,20140124,1.2106,1.2170,1.1784,1.1848,907107,0
5248,BAUTO,D,20140127,1.1848,1.2106,1.1462,1.1784,1050449,0
5248,BAUTO,D,20140128,1.1784,1.2106,1.1784,1.1848,483449,0
5248,BAUTO,D,20140129,1.1848,1.2299,1.1848,1.2234,1006344,0
5248,BAUTO,D,20140130,1.1977,1.2428,1.1912,1.2428,465124,0
5248,BAUTO,D,20140204,1.2299,1.2299,1.1977,1.2106,767182,0
5248,BAUTO,D,20140205,1.2170,1.2170,1.1977,1.1977,60878,0
5248,BAUTO,D,20140206,1.1977,1.2234,1.1848,1.2234,423193,0
5248,BAUTO,D,20140207,1.2234,1.2299,1.2170,1.2299,869680,0
