<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0187,BCMALL,D,20161024,0.2117,0.2156,0.1686,0.1686,259462245,0
0187,BCMALL,D,20161025,0.1725,0.1842,0.1686,0.1764,45299107,0
0187,BCMALL,D,20161026,0.1725,0.1764,0.1725,0.1725,10198724,0
0187,BCMALL,D,20161027,0.1725,0.1725,0.1646,0.1686,13987628,0
0187,BCMALL,D,20161028,0.1686,0.1686,0.1607,0.1607,24937372,0
0187,BCMALL,D,20161031,0.1646,0.1686,0.1607,0.1607,10080485,0
0187,BCMALL,D,20161101,0.1607,0.1686,0.1607,0.1686,18424872,0
0187,BCMALL,D,20161102,0.1686,0.1686,0.1529,0.1568,21892602,0
0187,BCMALL,D,20161103,0.1529,0.1607,0.1490,0.1490,11030612,0
0187,BCMALL,D,20161104,0.1490,0.1568,0.1490,0.1529,5179847,0
0187,BCMALL,D,20161107,0.1529,0.1529,0.1490,0.1490,5123087,0
0187,BCMALL,D,20161108,0.1529,0.1529,0.1490,0.1490,5915434,0
0187,BCMALL,D,20161109,0.1529,0.1529,0.1411,0.1450,11090816,0
0187,BCMALL,D,20161110,0.1529,0.1607,0.1490,0.1568,10527679,0
0187,BCMALL,D,20161111,0.1568,0.1568,0.1490,0.1529,8278571,0
0187,BCMALL,D,20161114,0.1529,0.1529,0.1450,0.1490,2620663,0
0187,BCMALL,D,20161115,0.1490,0.1529,0.1490,0.1529,1922704,0
0187,BCMALL,D,20161116,0.1568,0.1568,0.1490,0.1529,3841199,0
0187,BCMALL,D,20161117,0.1529,0.1529,0.1490,0.1529,1174490,0
0187,BCMALL,D,20161118,0.1490,0.1529,0.1490,0.1490,673469,0
0187,BCMALL,D,20161121,0.1490,0.1529,0.1490,0.1490,977934,0
0187,BCMALL,D,20161122,0.1490,0.1529,0.1490,0.1490,2957781,0
0187,BCMALL,D,20161123,0.1490,0.1490,0.1450,0.1490,1236607,0
0187,BCMALL,D,20161124,0.1450,0.1490,0.1450,0.1450,854847,0
0187,BCMALL,D,20161125,0.1490,0.1490,0.1450,0.1490,650638,0
0187,BCMALL,D,20161128,0.1450,0.1450,0.1411,0.1411,2026403,0
0187,BCMALL,D,20161129,0.1411,0.1411,0.1333,0.1372,2603571,0
0187,BCMALL,D,20161130,0.1372,0.1411,0.1372,0.1372,1273469,0
0187,BCMALL,D,20161201,0.1372,0.1372,0.1294,0.1333,2688648,0
