<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5258,BIMB,D,19940103,4.3614,4.4128,4.3485,4.3999,826616,0
5258,BIMB,D,19940104,4.4128,4.4257,4.3099,4.3485,996823,0
5258,BIMB,D,19940105,4.3999,4.4128,4.2842,4.2842,704067,0
5258,BIMB,D,19940106,4.3099,4.3227,4.1812,4.1812,1064780,0
5258,BIMB,D,19940107,4.2069,4.2327,4.1554,4.1683,1067804,0
5258,BIMB,D,19940110,4.2069,4.3742,4.1941,4.3485,653760,0
5258,BIMB,D,19940111,4.1941,4.3485,4.1683,4.1683,607678,0
5258,BIMB,D,19940112,4.1812,4.1941,3.7693,3.9496,998350,0
5258,BIMB,D,19940113,4.0268,4.0525,3.7436,3.8337,782784,0
5258,BIMB,D,19940114,3.8466,4.0525,3.8466,4.0525,1656104,0
5258,BIMB,D,19940117,4.0268,4.0782,3.9624,3.9624,510841,0
5258,BIMB,D,19940119,4.0010,4.0010,3.9496,3.9753,309072,0
5258,BIMB,D,19940120,3.9367,3.9753,3.8852,3.9109,601298,0
5258,BIMB,D,19940121,3.9624,3.9753,3.9109,3.9753,499056,0
5258,BIMB,D,19940124,3.9881,3.9881,3.8981,3.9238,232998,0
5258,BIMB,D,19940125,3.9109,3.9238,3.6664,3.6793,617452,0
5258,BIMB,D,19940126,3.4862,3.7951,3.4090,3.7951,397547,0
5258,BIMB,D,19940127,3.8466,3.8723,3.7436,3.8723,433388,0
5258,BIMB,D,19940128,3.8841,4.0398,3.8841,3.9256,523088,0
5258,BIMB,D,19940131,3.9109,3.9109,3.8594,3.8594,61358,0
5258,BIMB,D,19940202,3.9109,3.9367,3.8852,3.9367,204282,0
5258,BIMB,D,19940203,3.9496,4.0010,3.9367,4.0010,285870,0
5258,BIMB,D,19940204,4.0268,4.0525,3.9881,4.0010,224090,0
5258,BIMB,D,19940207,3.9238,3.9238,3.8466,3.9238,190313,0
5258,BIMB,D,19940208,3.9753,3.9753,3.9367,3.9367,145370,0
5258,BIMB,D,19940214,3.9753,3.9753,3.9367,3.9367,104496,0
5258,BIMB,D,19940215,3.9238,3.9367,3.9109,3.9109,26389,0
5258,BIMB,D,19940216,3.9238,3.9624,3.9109,3.9109,119854,0
5258,BIMB,D,19940217,3.8981,3.9109,3.8852,3.8852,56183,0
5258,BIMB,D,19940218,3.8852,3.9109,3.8723,3.9109,71665,0
5258,BIMB,D,19940221,3.9238,3.9496,3.9109,3.9238,85194,0
5258,BIMB,D,19940222,3.9238,4.0010,3.9238,3.9496,346097,0
5258,BIMB,D,19940223,3.9624,4.0139,3.9624,4.0010,218309,0
5258,BIMB,D,19940224,4.0525,4.0653,3.9496,4.0010,385406,0
5258,BIMB,D,19940225,3.9881,4.0010,3.9109,3.9109,210494,0
5258,BIMB,D,19940228,3.9238,3.9881,3.9238,3.9367,147236,0
5258,BIMB,D,19940301,3.9624,3.9624,3.9238,3.9367,271724,0
5258,BIMB,D,19940302,3.9367,3.9496,3.8981,3.9238,79526,0
5258,BIMB,D,19940303,3.9496,3.9496,3.8981,3.8981,181537,0
5258,BIMB,D,19940304,3.8852,3.8981,3.8723,3.8981,84612,0
5258,BIMB,D,19940307,3.8737,3.8737,3.8061,3.8321,96044,0
5258,BIMB,D,19940308,3.7951,3.8466,3.7693,3.8466,147427,0
5258,BIMB,D,19940309,3.8594,3.8723,3.7951,3.8080,60473,0
5258,BIMB,D,19940310,3.7951,3.8080,3.7951,3.7951,148952,0
5258,BIMB,D,19940311,3.7951,3.8337,3.7951,3.8208,47868,0
5258,BIMB,D,19940317,3.8594,3.8594,3.8080,3.8080,31137,0
5258,BIMB,D,19940318,3.7951,3.8208,3.7693,3.7951,65802,0
5258,BIMB,D,19940321,3.7436,3.7436,3.6922,3.6922,103609,0
5258,BIMB,D,19940322,3.6922,3.6922,3.5506,3.6407,67926,0
5258,BIMB,D,19940323,3.6922,3.7436,3.6922,3.7436,48558,0
5258,BIMB,D,19940324,3.7436,3.7436,3.6664,3.6793,208182,0
5258,BIMB,D,19940325,3.6664,3.6664,3.6149,3.6278,57173,0
5258,BIMB,D,19940328,3.5892,3.6149,3.5248,3.5506,98761,0
5258,BIMB,D,19940329,3.5506,3.6021,3.5506,3.6021,60132,0
5258,BIMB,D,19940330,3.5892,3.6021,3.5763,3.5892,210566,0
5258,BIMB,D,19940331,3.5892,3.6407,3.5634,3.6407,55709,0
5258,BIMB,D,19940401,3.5763,3.5763,3.5763,3.5763,1673,0
5258,BIMB,D,19940404,3.5119,3.5892,3.5119,3.5119,54873,0
5258,BIMB,D,19940405,3.5119,3.5377,3.5119,3.5248,48489,0
5258,BIMB,D,19940406,3.5634,3.5634,3.5119,3.5119,24907,0
5258,BIMB,D,19940407,3.5248,3.5377,3.5119,3.5377,38660,0
5258,BIMB,D,19940408,3.5248,3.5377,3.5248,3.5248,16658,0
5258,BIMB,D,19940411,3.5248,3.5377,3.4862,3.5248,75236,0
5258,BIMB,D,19940412,3.5377,3.6021,3.5377,3.6021,37783,0
5258,BIMB,D,19940413,3.5892,3.6535,3.5892,3.6407,69637,0
5258,BIMB,D,19940414,3.6278,3.6278,3.5892,3.5892,17047,0
5258,BIMB,D,19940415,3.5892,3.6149,3.5892,3.6149,12031,0
5258,BIMB,D,19940418,3.6535,3.6922,3.6407,3.6922,90275,0
5258,BIMB,D,19940419,3.7050,3.8466,3.6922,3.8466,474888,0
5258,BIMB,D,19940420,3.8594,3.9624,3.8466,3.8852,415280,0
5258,BIMB,D,19940421,3.8852,3.8981,3.8466,3.8466,94527,0
5258,BIMB,D,19940422,3.8466,3.8723,3.8466,3.8594,118191,0
5258,BIMB,D,19940425,3.8594,3.8594,3.8208,3.8466,81605,0
5258,BIMB,D,19940426,3.8466,3.8466,3.8208,3.8208,53378,0
5258,BIMB,D,19940427,3.7951,3.8337,3.7951,3.8337,132120,0
5258,BIMB,D,19940428,3.8208,3.8337,3.7951,3.7951,69391,0
5258,BIMB,D,19940429,3.7179,3.7693,3.7179,3.7307,51972,0
5258,BIMB,D,19940503,3.7307,3.7436,3.7050,3.7436,123290,0
5258,BIMB,D,19940504,3.7307,3.7436,3.7179,3.7436,50326,0
5258,BIMB,D,19940505,3.7693,3.7693,3.7307,3.7436,41405,0
5258,BIMB,D,19940506,3.7179,3.7436,3.7179,3.7436,34168,0
5258,BIMB,D,19940509,3.7436,3.7436,3.6793,3.6793,15836,0
5258,BIMB,D,19940510,3.6664,3.7050,3.6664,3.7050,56880,0
5258,BIMB,D,19940511,3.6922,3.7436,3.6922,3.6922,24764,0
5258,BIMB,D,19940512,3.6407,3.6793,3.6407,3.6793,7011,0
