<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0195,BINACOM,D,20180108,0.6000,0.6500,0.5500,0.5900,72639800,0
0195,BINACOM,D,20180109,0.5950,0.6000,0.5650,0.5700,18946700,0
0195,BINACOM,D,20180110,0.5750,0.6050,0.5700,0.5800,19592900,0
0195,BINACOM,D,20180111,0.5800,0.5850,0.5650,0.5700,3402800,0
0195,BINACOM,D,20180112,0.5800,0.5850,0.5700,0.5800,8703000,0
0195,BINACOM,D,20180115,0.5850,0.5950,0.5700,0.5700,8326800,0
0195,BINACOM,D,20180116,0.5750,0.5750,0.5550,0.5650,4757700,0
0195,BINACOM,D,20180117,0.5550,0.5700,0.5350,0.5450,5744700,0
0195,BINACOM,D,20180118,0.5400,0.5400,0.5200,0.5300,3858900,0
0195,BINACOM,D,20180119,0.5350,0.5700,0.5350,0.5600,11252600,0
0195,BINACOM,D,20180122,0.5600,0.5650,0.5450,0.5500,2180800,0
0195,BINACOM,D,20180123,0.5500,0.5600,0.5450,0.5500,953100,0
0195,BINACOM,D,20180124,0.5500,0.5500,0.5400,0.5500,1058300,0
0195,BINACOM,D,20180125,0.5500,0.5500,0.5350,0.5400,1467300,0
0195,BINACOM,D,20180126,0.5400,0.5600,0.5350,0.5500,2939500,0
0195,BINACOM,D,20180129,0.5550,0.5550,0.5350,0.5350,1838600,0
0195,BINACOM,D,20180130,0.5300,0.5350,0.5250,0.5350,1240500,0
0195,BINACOM,D,20180202,0.5250,0.5300,0.5200,0.5250,641200,0
0195,BINACOM,D,20180205,0.5100,0.5150,0.4900,0.4950,2533700,0
0195,BINACOM,D,20180206,0.4800,0.4800,0.4500,0.4750,4163600,0
0195,BINACOM,D,20180207,0.4850,0.4950,0.4700,0.4700,1868500,0
0195,BINACOM,D,20180208,0.4750,0.4750,0.4700,0.4700,255500,0
0195,BINACOM,D,20180209,0.4550,0.4650,0.4550,0.4600,788000,0
0195,BINACOM,D,20180212,0.4650,0.4650,0.4600,0.4600,428800,0
0195,BINACOM,D,20180213,0.4650,0.4700,0.4600,0.4700,318700,0
0195,BINACOM,D,20180214,0.4700,0.4900,0.4700,0.4750,931000,0
0195,BINACOM,D,20180215,0.4850,0.4950,0.4800,0.4900,434000,0
0195,BINACOM,D,20180219,0.4950,0.5100,0.4950,0.5000,548000,0
0195,BINACOM,D,20180220,0.5000,0.5000,0.4850,0.4850,494500,0
0195,BINACOM,D,20180221,0.4850,0.5050,0.4850,0.5050,353000,0
0195,BINACOM,D,20180222,0.4900,0.4950,0.4850,0.4950,466400,0
0195,BINACOM,D,20180223,0.4900,0.5000,0.4850,0.4950,207900,0
0195,BINACOM,D,20180226,0.4900,0.4950,0.4800,0.4800,922000,0
0195,BINACOM,D,20180227,0.4800,0.4800,0.4650,0.4650,785800,0
0195,BINACOM,D,20180228,0.4800,0.4900,0.4650,0.4900,864500,0
0195,BINACOM,D,20180301,0.4800,0.4900,0.4700,0.4700,548800,0
0195,BINACOM,D,20180302,0.4700,0.4800,0.4650,0.4750,311800,0
0195,BINACOM,D,20180305,0.4700,0.4700,0.4550,0.4600,918100,0
0195,BINACOM,D,20180306,0.4600,0.4650,0.4600,0.4600,400100,0
0195,BINACOM,D,20180307,0.4600,0.4600,0.4150,0.4200,1665900,0
0195,BINACOM,D,20180308,0.4200,0.4300,0.4150,0.4250,496000,0
0195,BINACOM,D,20180309,0.4200,0.4350,0.4150,0.4150,605300,0
0195,BINACOM,D,20180312,0.4150,0.4250,0.4050,0.4100,771100,0
0195,BINACOM,D,20180313,0.4150,0.4200,0.4150,0.4200,108500,0
0195,BINACOM,D,20180314,0.4200,0.4200,0.3850,0.3950,1755900,0
0195,BINACOM,D,20180315,0.3850,0.4050,0.3850,0.4050,937200,0
0195,BINACOM,D,20180316,0.4000,0.4000,0.3850,0.3900,389400,0
0195,BINACOM,D,20180319,0.3900,0.3950,0.3700,0.3700,2346600,0
0195,BINACOM,D,20180320,0.3700,0.3800,0.3650,0.3700,844500,0
0195,BINACOM,D,20180321,0.3650,0.3700,0.3600,0.3700,977700,0
0195,BINACOM,D,20180322,0.3700,0.3850,0.3700,0.3750,1994000,0
0195,BINACOM,D,20180323,0.3700,0.3800,0.3650,0.3700,340300,0
0195,BINACOM,D,20180326,0.3750,0.3750,0.3700,0.3700,187500,0
0195,BINACOM,D,20180327,0.3750,0.3800,0.3750,0.3750,648500,0
0195,BINACOM,D,20180328,0.3750,0.3750,0.3700,0.3700,484600,0
0195,BINACOM,D,20180329,0.3700,0.3750,0.3700,0.3750,376900,0
0195,BINACOM,D,20180330,0.3750,0.4050,0.3750,0.4000,1501700,0
0195,BINACOM,D,20180402,0.4000,0.4300,0.3900,0.4000,2002300,0
0195,BINACOM,D,20180403,0.4000,0.4150,0.3950,0.4050,358100,0
0195,BINACOM,D,20180404,0.4150,0.4150,0.3550,0.3600,1684500,0
