<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
6998,BINTAI,D,19980123,0.7000,0.7000,0.5724,0.5952,246961,0
6998,BINTAI,D,19980126,0.5857,0.5857,0.5857,0.5857,8086,0
6998,BINTAI,D,19980203,0.7000,0.7000,0.5667,0.5876,237764,0
6998,BINTAI,D,19980205,0.5895,0.6200,0.5895,0.6047,264566,0
6998,BINTAI,D,19980206,0.6333,0.6429,0.6238,0.6390,96400,0
6998,BINTAI,D,19980209,0.6524,0.6905,0.6524,0.6619,236891,0
6998,BINTAI,D,19980210,0.6810,0.6810,0.6714,0.6714,67915,0
6998,BINTAI,D,19980211,0.6810,0.6810,0.6619,0.6619,76031,0
6998,BINTAI,D,19980212,0.6524,0.6524,0.6524,0.6524,16861,0
6998,BINTAI,D,19980213,0.6238,0.6238,0.6238,0.6238,16672,0
6998,BINTAI,D,19980216,0.6047,0.6047,0.6047,0.6047,8157,0
6998,BINTAI,D,19980217,0.5667,0.5667,0.5667,0.5667,3896,0
6998,BINTAI,D,19980219,0.5686,0.6238,0.5686,0.6047,103181,0
6998,BINTAI,D,19980220,0.6047,0.6238,0.6047,0.6238,470813,0
6998,BINTAI,D,19980223,0.6143,0.6238,0.6143,0.6238,124928,0
6998,BINTAI,D,19980224,0.6333,0.6333,0.6333,0.6333,12497,0
6998,BINTAI,D,19980225,0.6429,0.6429,0.6390,0.6390,29300,0
6998,BINTAI,D,19980226,0.6429,0.6429,0.6429,0.6429,20832,0
6998,BINTAI,D,19980227,0.6524,0.6524,0.6524,0.6524,4047,0
6998,BINTAI,D,19980302,0.6714,0.6714,0.6429,0.6619,20982,0
6998,BINTAI,D,19980303,0.6619,0.6619,0.6619,0.6619,8348,0
6998,BINTAI,D,19980304,0.6276,0.6333,0.6276,0.6333,8257,0
6998,BINTAI,D,19980306,0.6352,0.6429,0.6352,0.6429,583744,0
6998,BINTAI,D,19980309,0.6295,0.6429,0.6295,0.6429,130144,0
6998,BINTAI,D,19980310,0.6429,0.6429,0.6429,0.6429,4032,0
6998,BINTAI,D,19980313,0.6333,0.6333,0.6333,0.6333,12497,0
6998,BINTAI,D,19980316,0.6524,0.6524,0.6524,0.6524,4047,0
6998,BINTAI,D,19980318,0.6543,0.6543,0.6543,0.6543,4050,0
6998,BINTAI,D,19980319,0.6562,0.6619,0.6562,0.6619,8348,0
6998,BINTAI,D,19980323,0.6524,0.6524,0.6429,0.6429,37632,0
6998,BINTAI,D,19980324,0.6429,0.6429,0.6429,0.6429,16800,0
6998,BINTAI,D,19980325,0.6429,0.6429,0.6410,0.6410,16788,0
6998,BINTAI,D,19980330,0.6333,0.6429,0.6333,0.6429,88032,0
6998,BINTAI,D,19980401,0.6429,0.6429,0.6410,0.6410,16788,0
6998,BINTAI,D,19980402,0.6410,0.6429,0.6410,0.6429,33600,0
6998,BINTAI,D,19980415,0.6047,0.6047,0.5857,0.5857,12238,0
6998,BINTAI,D,19980416,0.5876,0.6429,0.5876,0.6429,20832,0
6998,BINTAI,D,19980417,0.6333,0.6333,0.6333,0.6333,20754,0
6998,BINTAI,D,19980420,0.6619,0.6619,0.6619,0.6619,4061,0
6998,BINTAI,D,19980422,0.6429,0.6619,0.6429,0.6429,33600,0
6998,BINTAI,D,19980423,0.6429,0.6429,0.6429,0.6429,4032,0
6998,BINTAI,D,19980424,0.6619,0.6619,0.6238,0.6429,29344,0
6998,BINTAI,D,19980427,0.6238,0.6619,0.6238,0.6619,29555,0
6998,BINTAI,D,19980505,0.6619,0.6619,0.6524,0.6524,29451,0
6998,BINTAI,D,19980506,0.6429,0.6429,0.6429,0.6429,4032,0
6998,BINTAI,D,19980507,0.6047,0.6429,0.5857,0.6429,20832,0
6998,BINTAI,D,19980513,0.6410,0.6410,0.6410,0.6410,8282,0
6998,BINTAI,D,19980515,0.6410,0.6410,0.6410,0.6410,4029,0
6998,BINTAI,D,19980520,0.6410,0.6410,0.6410,0.6410,8282,0
6998,BINTAI,D,19980521,0.6238,0.6238,0.6238,0.6238,4001,0
6998,BINTAI,D,19980527,0.6143,0.6143,0.6143,0.6143,20590,0
6998,BINTAI,D,19980528,0.6200,0.6200,0.6105,0.6105,20556,0
6998,BINTAI,D,19980529,0.6047,0.6162,0.6047,0.6162,294917,0
6998,BINTAI,D,19980605,0.6162,0.6162,0.6162,0.6162,3988,0
