<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0179,BIOHLDG,D,20150414,0.2217,0.2439,0.1885,0.1995,180728187,0
0179,BIOHLDG,D,20150415,0.1995,0.2106,0.1995,0.2106,47759702,0
0179,BIOHLDG,D,20150416,0.2106,0.2180,0.2032,0.2143,46193009,0
0179,BIOHLDG,D,20150417,0.2143,0.2845,0.2106,0.2845,239142453,0
0179,BIOHLDG,D,20150420,0.2956,0.3474,0.2956,0.3067,262264395,0
0179,BIOHLDG,D,20150421,0.3067,0.3289,0.3067,0.3141,62100777,0
0179,BIOHLDG,D,20150422,0.3178,0.3548,0.3178,0.3400,136698699,0
0179,BIOHLDG,D,20150423,0.3474,0.3511,0.3289,0.3289,61828003,0
0179,BIOHLDG,D,20150424,0.3326,0.3326,0.3141,0.3215,44766492,0
0179,BIOHLDG,D,20150427,0.3215,0.3289,0.2956,0.3030,28894038,0
0179,BIOHLDG,D,20150428,0.2956,0.3067,0.2661,0.2808,60106928,0
0179,BIOHLDG,D,20150429,0.2808,0.2919,0.2550,0.2919,74916834,0
0179,BIOHLDG,D,20150430,0.2882,0.2993,0.2698,0.2735,42599859,0
0179,BIOHLDG,D,20150505,0.2772,0.2808,0.2587,0.2587,20454952,0
0179,BIOHLDG,D,20150506,0.2550,0.2845,0.2550,0.2772,55662576,0
0179,BIOHLDG,D,20150507,0.2735,0.2808,0.2587,0.2698,45165370,0
0179,BIOHLDG,D,20150508,0.2661,0.2735,0.2624,0.2661,32636971,0
0179,BIOHLDG,D,20150511,0.2661,0.2698,0.2476,0.2513,26999909,0
0179,BIOHLDG,D,20150512,0.2476,0.2587,0.2365,0.2402,37318783,0
0179,BIOHLDG,D,20150513,0.2402,0.2550,0.2402,0.2476,28902563,0
0179,BIOHLDG,D,20150514,0.2439,0.2624,0.2439,0.2550,39376361,0
0179,BIOHLDG,D,20150515,0.2587,0.2624,0.2550,0.2550,23140749,0
0179,BIOHLDG,D,20150518,0.2513,0.2624,0.2476,0.2587,30988555,0
0179,BIOHLDG,D,20150519,0.2587,0.2845,0.2587,0.2735,75311789,0
0179,BIOHLDG,D,20150520,0.2772,0.2772,0.2624,0.2624,20510427,0
0179,BIOHLDG,D,20150521,0.2624,0.2698,0.2513,0.2550,15972038,0
0179,BIOHLDG,D,20150522,0.2550,0.2550,0.2476,0.2550,7199696,0
0179,BIOHLDG,D,20150525,0.2550,0.2550,0.2328,0.2365,31335746,0
0179,BIOHLDG,D,20150526,0.2365,0.2476,0.2365,0.2402,25331467,0
0179,BIOHLDG,D,20150527,0.2365,0.2402,0.2365,0.2402,10558093,0
0179,BIOHLDG,D,20150528,0.2439,0.2513,0.2365,0.2402,28418443,0
0179,BIOHLDG,D,20150529,0.2402,0.2402,0.2254,0.2254,19431372,0
0179,BIOHLDG,D,20150601,0.2291,0.2328,0.2180,0.2254,17087354,0
0179,BIOHLDG,D,20150602,0.2254,0.2365,0.2254,0.2328,16226411,0
0179,BIOHLDG,D,20150603,0.2291,0.2402,0.2291,0.2328,17647651,0
0179,BIOHLDG,D,20150604,0.2328,0.2365,0.2254,0.2328,8412432,0
0179,BIOHLDG,D,20150605,0.2291,0.2328,0.2291,0.2291,3368003,0
0179,BIOHLDG,D,20150608,0.2291,0.2291,0.2254,0.2254,6872935,0
0179,BIOHLDG,D,20150609,0.2254,0.2254,0.2180,0.2180,6188835,0
0179,BIOHLDG,D,20150610,0.2217,0.2291,0.2180,0.2180,5363612,0
0179,BIOHLDG,D,20150611,0.2254,0.2254,0.2143,0.2217,4207163,0
0179,BIOHLDG,D,20150612,0.2217,0.2254,0.2180,0.2180,3201985,0
0179,BIOHLDG,D,20150615,0.2180,0.2180,0.1959,0.1995,8946750,0
0179,BIOHLDG,D,20150616,0.1959,0.2069,0.1922,0.2069,9106274,0
0179,BIOHLDG,D,20150617,0.2032,0.2069,0.1995,0.2032,3020676,0
0179,BIOHLDG,D,20150618,0.2032,0.2254,0.2032,0.2217,15926576,0
0179,BIOHLDG,D,20150619,0.2328,0.2402,0.2254,0.2328,19500783,0
0179,BIOHLDG,D,20150622,0.2328,0.2476,0.2328,0.2439,19766792,0
0179,BIOHLDG,D,20150623,0.2476,0.2476,0.2328,0.2328,10999592,0
0179,BIOHLDG,D,20150624,0.2365,0.2550,0.2328,0.2439,21712879,0
0179,BIOHLDG,D,20150625,0.2439,0.2439,0.2328,0.2365,7322959,0
0179,BIOHLDG,D,20150626,0.2365,0.2365,0.2254,0.2254,5224383,0
0179,BIOHLDG,D,20150629,0.2254,0.2254,0.2143,0.2180,6131872,0
0179,BIOHLDG,D,20150630,0.2143,0.2254,0.2143,0.2254,6015239,0
0179,BIOHLDG,D,20150701,0.2328,0.2365,0.2291,0.2291,8733780,0
0179,BIOHLDG,D,20150702,0.2328,0.2328,0.2217,0.2217,3796513,0
