<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
9288,BONIA,D,19940823,2.3333,2.5000,2.1667,2.2833,3399000,0
9288,BONIA,D,19940824,2.2833,2.2833,1.9167,2.0000,537000,0
9288,BONIA,D,19940825,2.0000,2.0167,1.8333,1.8667,315000,0
9288,BONIA,D,19940826,1.8333,1.8667,1.7333,1.8667,378000,0
9288,BONIA,D,19940829,1.7667,1.8333,1.7667,1.8000,78000,0
9288,BONIA,D,19940830,1.7667,1.7833,1.7333,1.7667,114000,0
9288,BONIA,D,19940901,1.8167,1.8333,1.7833,1.8333,246000,0
9288,BONIA,D,19940902,1.7833,1.8167,1.7833,1.8000,261000,0
9288,BONIA,D,19940905,1.7667,1.7833,1.7333,1.7500,498000,0
9288,BONIA,D,19940906,1.7333,1.8333,1.7333,1.7333,318000,0
9288,BONIA,D,19940907,1.8333,1.8333,1.7667,1.7833,180000,0
9288,BONIA,D,19940908,1.7667,2.0000,1.7667,1.9167,666000,0
9288,BONIA,D,19940909,1.9333,1.9667,1.8667,1.9000,330000,0
9288,BONIA,D,19940912,1.9500,1.9500,1.9000,1.9000,132000,0
9288,BONIA,D,19940913,1.9000,1.9167,1.8833,1.9000,108000,0
9288,BONIA,D,19940914,1.9167,1.9167,1.8833,1.8833,132000,0
9288,BONIA,D,19940915,1.9000,1.9000,1.8500,1.8833,183000,0
9288,BONIA,D,19940916,1.9000,1.9000,1.8667,1.8833,144000,0
9288,BONIA,D,19940919,1.9333,2.0000,1.9000,1.9833,546000,0
9288,BONIA,D,19940920,2.0000,2.0000,1.9333,1.9333,291000,0
9288,BONIA,D,19940921,1.9500,1.9500,1.9000,1.9500,171000,0
9288,BONIA,D,19940922,1.9667,1.9667,1.8500,1.8667,81000,0
9288,BONIA,D,19940923,1.8667,1.8833,1.8500,1.8667,159000,0
9288,BONIA,D,19940926,1.8833,1.9167,1.8667,1.8667,78000,0
9288,BONIA,D,19940927,1.8667,1.8667,1.8500,1.8667,93000,0
9288,BONIA,D,19940928,1.8500,2.0000,1.8500,2.0000,438000,0
9288,BONIA,D,19940929,2.0000,2.1500,1.9500,2.1000,1545000,0
9288,BONIA,D,19940930,2.1000,2.1000,1.9000,2.0667,1059000,0
9288,BONIA,D,19941003,2.0667,2.1000,2.0167,2.0167,435000,0
9288,BONIA,D,19941004,2.0167,2.0333,1.9833,2.0000,132000,0
9288,BONIA,D,19941005,2.0000,2.0333,2.0000,2.0333,150000,0
9288,BONIA,D,19941006,2.0333,2.0333,2.0000,2.0167,114000,0
9288,BONIA,D,19941007,2.0667,2.1000,2.0333,2.0667,621000,0
9288,BONIA,D,19941010,2.0667,2.0667,1.9333,2.0000,258000,0
9288,BONIA,D,19941011,2.0167,2.3167,2.0000,2.3167,2466000,0
9288,BONIA,D,19941012,2.3667,2.4333,2.2833,2.3000,3699000,0
9288,BONIA,D,19941013,2.3000,2.3000,2.2167,2.2500,747000,0
9288,BONIA,D,19941014,2.2333,2.3667,2.2000,2.3667,780000,0
9288,BONIA,D,19941017,2.4000,2.4000,2.2333,2.2333,342000,0
9288,BONIA,D,19941018,2.2333,2.3000,2.2333,2.3000,96000,0
9288,BONIA,D,19941019,2.2667,2.2667,2.2000,2.2333,99000,0
9288,BONIA,D,19941020,2.2333,2.2333,2.1667,2.1667,204000,0
9288,BONIA,D,19941021,2.1833,2.1833,2.1000,2.1167,393000,0
9288,BONIA,D,19941024,2.1167,2.1167,2.0167,2.0333,516000,0
9288,BONIA,D,19941025,2.0333,2.1333,2.0167,2.1333,435000,0
9288,BONIA,D,19941026,2.1333,2.1333,2.0333,2.0667,261000,0
9288,BONIA,D,19941027,2.0667,2.1333,2.0333,2.1333,120000,0
9288,BONIA,D,19941028,2.1333,2.1333,2.0333,2.0500,78000,0
9288,BONIA,D,19941031,2.0667,2.1333,2.0167,2.0167,216000,0
9288,BONIA,D,19941101,2.0000,2.0000,1.8667,1.9667,141000,0
9288,BONIA,D,19941103,1.9000,1.9000,1.8500,1.8667,417000,0
9288,BONIA,D,19941104,1.8833,1.8833,1.8500,1.8667,135000,0
9288,BONIA,D,19941107,1.8667,1.9000,1.8667,1.8667,132000,0
9288,BONIA,D,19941108,1.8667,1.9000,1.8667,1.8833,114000,0
9288,BONIA,D,19941109,1.8833,1.8833,1.8667,1.8667,27000,0
9288,BONIA,D,19941110,1.8667,1.8667,1.8000,1.8000,69000,0
9288,BONIA,D,19941111,1.8000,1.8500,1.7833,1.8000,84000,0
9288,BONIA,D,19941114,1.8667,1.9500,1.8667,1.9333,57000,0
9288,BONIA,D,19941115,1.9667,2.0000,1.9667,2.0000,60000,0
9288,BONIA,D,19941116,2.0167,2.0333,1.9333,1.9333,96000,0
9288,BONIA,D,19941117,1.8667,1.9167,1.8667,1.8833,18000,0
9288,BONIA,D,19941118,1.8667,1.8833,1.8667,1.8833,12000,0
9288,BONIA,D,19941121,1.9000,1.9167,1.9000,1.9000,15000,0
9288,BONIA,D,19941122,1.8667,1.8833,1.8667,1.8833,27000,0
9288,BONIA,D,19941123,1.8000,1.8333,1.8000,1.8333,18000,0
9288,BONIA,D,19941124,1.8500,1.8500,1.8500,1.8500,21000,0
9288,BONIA,D,19941125,1.8333,1.8667,1.8333,1.8667,18000,0
9288,BONIA,D,19941128,1.8500,1.8500,1.8333,1.8333,12000,0
9288,BONIA,D,19941130,1.8333,1.8333,1.8333,1.8333,12000,0
9288,BONIA,D,19941201,1.8333,1.8333,1.8333,1.8333,9000,0
9288,BONIA,D,19941202,1.8333,1.8333,1.7667,1.8000,18000,0
