<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5254,BPLANT,D,20140626,1.1342,1.1547,1.1068,1.1137,130867533,0
5254,BPLANT,D,20140627,1.1137,1.1205,1.1137,1.1205,9099574,0
5254,BPLANT,D,20140630,1.1205,1.1205,1.1000,1.1068,20876870,0
5254,BPLANT,D,20140701,1.1068,1.1137,1.0932,1.0932,6962665,0
5254,BPLANT,D,20140702,1.1000,1.1068,1.0863,1.1000,12753249,0
5254,BPLANT,D,20140703,1.1000,1.1000,1.0932,1.1000,15701452,0
5254,BPLANT,D,20140704,1.1000,1.1000,1.0932,1.0932,3857414,0
5254,BPLANT,D,20140707,1.0932,1.1000,1.0932,1.0932,8650969,0
5254,BPLANT,D,20140708,1.0932,1.1000,1.0932,1.1000,6357597,0
5254,BPLANT,D,20140709,1.1000,1.1000,1.0932,1.0932,8464502,0
5254,BPLANT,D,20140710,1.0932,1.1000,1.0932,1.0932,4818291,0
5254,BPLANT,D,20140711,1.0932,1.1000,1.0932,1.0932,8134452,0
5254,BPLANT,D,20140714,1.0932,1.1000,1.0932,1.0932,1871552,0
5254,BPLANT,D,20140716,1.0932,1.1000,1.0932,1.0932,3882003,0
5254,BPLANT,D,20140717,1.0932,1.1000,1.0932,1.1000,2685480,0
5254,BPLANT,D,20140718,1.0932,1.1000,1.0932,1.0932,4843905,0
5254,BPLANT,D,20140721,1.0932,1.1000,1.0932,1.0932,5043398,0
5254,BPLANT,D,20140722,1.0932,1.1000,1.0863,1.0932,3158820,0
5254,BPLANT,D,20140723,1.0932,1.0932,1.0795,1.0932,4003192,0
5254,BPLANT,D,20140724,1.0863,1.0932,1.0795,1.0932,5701595,0
5254,BPLANT,D,20140725,1.0863,1.0932,1.0795,1.0932,5101944,0
5254,BPLANT,D,20140730,1.0863,1.0932,1.0795,1.0795,1223893,0
5254,BPLANT,D,20140731,1.0795,1.0863,1.0795,1.0795,1581605,0
5254,BPLANT,D,20140801,1.0795,1.0795,1.0658,1.0795,1123341,0
5254,BPLANT,D,20140804,1.0795,1.0795,1.0727,1.0727,1322835,0
5254,BPLANT,D,20140805,1.0727,1.0863,1.0658,1.0795,1511205,0
5254,BPLANT,D,20140806,1.0795,1.1273,1.0795,1.1137,12363190,0
5254,BPLANT,D,20140807,1.1205,1.1752,1.1205,1.1615,30966594,0
5254,BPLANT,D,20140808,1.1547,1.1683,1.1273,1.1615,10702695,0
5254,BPLANT,D,20140811,1.1615,1.1615,1.1410,1.1410,2790569,0
5254,BPLANT,D,20140812,1.1410,1.1478,1.1137,1.1137,4855614,0
5254,BPLANT,D,20140813,1.1205,1.1273,1.1000,1.1137,4085595,0
5254,BPLANT,D,20140814,1.1205,1.1205,1.1000,1.1000,2778128,0
5254,BPLANT,D,20140815,1.1000,1.1137,1.1000,1.1000,1099923,0
5254,BPLANT,D,20140818,1.1068,1.1137,1.1000,1.1000,1635321,0
5254,BPLANT,D,20140819,1.1000,1.1000,1.0932,1.0932,2754564,0
5254,BPLANT,D,20140820,1.0932,1.0932,1.0795,1.0795,1387088,0
5254,BPLANT,D,20140821,1.0932,1.1000,1.0932,1.0932,1091434,0
5254,BPLANT,D,20140822,1.1068,1.1068,1.0863,1.0863,1055867,0
5254,BPLANT,D,20140825,1.0932,1.0932,1.0795,1.0795,2262928,0
5254,BPLANT,D,20140826,1.0795,1.0863,1.0795,1.0795,1612488,0
5254,BPLANT,D,20140827,1.0863,1.0863,1.0727,1.0795,1358255,0
5254,BPLANT,D,20140828,1.0795,1.0863,1.0727,1.0863,1823398,0
5254,BPLANT,D,20140829,1.0795,1.0932,1.0795,1.0932,2361870,0
5254,BPLANT,D,20140902,1.0863,1.0932,1.0727,1.0863,1003908,0
5254,BPLANT,D,20140903,1.0795,1.0795,1.0658,1.0658,2421879,0
5254,BPLANT,D,20140904,1.0590,1.0727,1.0590,1.0727,796365,0
5254,BPLANT,D,20140905,1.0727,1.0727,1.0658,1.0658,686592,0
5254,BPLANT,D,20140908,1.0658,1.0795,1.0658,1.0727,1006396,0
5254,BPLANT,D,20140909,1.0727,1.0727,1.0522,1.0590,3177408,0
5254,BPLANT,D,20140910,1.0590,1.0795,1.0590,1.0795,2690895,0
5254,BPLANT,D,20140911,1.0795,1.0863,1.0727,1.0795,2713875,0
5254,BPLANT,D,20140912,1.0727,1.0863,1.0727,1.0863,1080895,0
5254,BPLANT,D,20140915,1.0863,1.0863,1.0658,1.0727,395621,0
5254,BPLANT,D,20140917,1.0727,1.0863,1.0727,1.0795,2075583,0
5254,BPLANT,D,20140918,1.0795,1.0932,1.0727,1.0932,1283024,0
5254,BPLANT,D,20140919,1.0863,1.0932,1.0863,1.0863,1729725,0
5254,BPLANT,D,20140922,1.0932,1.0932,1.0795,1.0863,771190,0
5254,BPLANT,D,20140923,1.0795,1.0795,1.0727,1.0795,1474467,0
5254,BPLANT,D,20140924,1.0795,1.0795,1.0727,1.0727,920188,0
5254,BPLANT,D,20140925,1.0795,1.0795,1.0658,1.0795,1245408,0
5254,BPLANT,D,20140926,1.0727,1.0727,1.0453,1.0522,4119990,0
5254,BPLANT,D,20140929,1.0522,1.0658,1.0522,1.0590,1765731,0
5254,BPLANT,D,20140930,1.0590,1.0658,1.0590,1.0590,5214790,0
5254,BPLANT,D,20141001,1.0590,1.0590,1.0522,1.0522,531446,0
5254,BPLANT,D,20141002,1.0522,1.0522,1.0317,1.0385,1911948,0
5254,BPLANT,D,20141003,1.0385,1.0453,1.0317,1.0317,563061,0
5254,BPLANT,D,20141007,1.0317,1.0453,1.0317,1.0317,365324,0
5254,BPLANT,D,20141008,1.0317,1.0385,1.0180,1.0385,1688597,0
5254,BPLANT,D,20141009,1.0385,1.0453,1.0248,1.0453,640780,0
5254,BPLANT,D,20141010,1.0385,1.0385,1.0180,1.0248,3059000,0
5254,BPLANT,D,20141013,1.0248,1.0248,1.0043,1.0180,1428655,0
5254,BPLANT,D,20141014,1.0112,1.0112,0.9975,1.0043,3004845,0
5254,BPLANT,D,20141015,1.0043,1.0043,0.9907,0.9907,1306149,0
5254,BPLANT,D,20141016,0.9907,0.9907,0.9429,0.9770,2856286,0
