<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5932,BPURI,D,19950106,3.7346,4.7192,3.7346,4.5494,8506464,0
5932,BPURI,D,19950109,4.6173,4.6852,4.0062,4.0062,1734765,0
5932,BPURI,D,19950110,3.9043,4.0062,3.6667,3.9043,815784,0
5932,BPURI,D,19950111,3.9722,4.1760,3.9043,4.0402,706908,0
5932,BPURI,D,19950112,3.9383,3.9722,3.8704,3.8704,98605,0
5932,BPURI,D,19950113,3.7685,4.0062,3.7006,3.8704,331341,0
5932,BPURI,D,19950116,3.9383,3.9722,3.7346,3.8025,148632,0
5932,BPURI,D,19950117,3.8364,4.0062,3.7346,3.8364,360705,0
5932,BPURI,D,19950118,3.8364,4.0741,3.7346,3.8025,1226758,0
5932,BPURI,D,19950119,3.8025,3.8364,3.5309,3.5648,555135,0
5932,BPURI,D,19950120,3.5648,3.5648,3.3272,3.3679,281192,0
5932,BPURI,D,19950123,3.2593,3.2593,2.8111,2.8382,242886,0
5932,BPURI,D,19950124,2.8519,3.0691,2.8382,2.9605,129539,0
5932,BPURI,D,19950125,2.9740,3.0691,2.9198,2.9605,79512,0
5932,BPURI,D,19950126,3.0284,3.0556,2.7432,2.7432,178117,0
5932,BPURI,D,19950127,2.7568,2.8247,2.7024,2.7704,350433,0
5932,BPURI,D,19950203,2.9198,2.9877,2.8926,2.9740,309227,0
5932,BPURI,D,19950206,2.9740,3.2593,2.9740,3.2185,453509,0
5932,BPURI,D,19950207,3.2593,3.2864,3.1506,3.1506,379918,0
5932,BPURI,D,19950208,3.1506,3.1914,3.0420,3.1778,219323,0
5932,BPURI,D,19950209,3.1778,3.6327,3.1371,3.5988,846719,0
5932,BPURI,D,19950210,3.6327,3.8025,3.5988,3.8025,678874,0
5932,BPURI,D,19950213,3.9043,3.9722,3.6667,3.6667,459430,0
5932,BPURI,D,19950214,3.6667,3.7346,3.3951,3.5309,173767,0
5932,BPURI,D,19950215,3.5648,3.9722,3.4969,3.8704,406382,0
5932,BPURI,D,19950216,3.8704,3.9722,3.7346,3.7346,441788,0
5932,BPURI,D,19950217,3.8025,3.8704,3.7006,3.8364,245907,0
5932,BPURI,D,19950220,3.8364,3.8364,3.5648,3.5648,134010,0
5932,BPURI,D,19950221,3.5988,3.6667,3.4969,3.5648,154553,0
5932,BPURI,D,19950222,3.5648,3.6327,3.3815,3.3951,189959,0
5932,BPURI,D,19950223,3.4630,3.5309,3.2729,3.5309,241436,0
5932,BPURI,D,19950224,3.5988,3.6667,3.4969,3.4969,182588,0
5932,BPURI,D,19950227,3.4290,3.4630,3.3679,3.3951,166395,0
5932,BPURI,D,19950228,3.4290,3.5309,3.4290,3.4290,134010,0
5932,BPURI,D,19950306,3.4969,3.5309,3.3951,3.3951,125068,0
5932,BPURI,D,19950307,3.3951,3.3951,3.3272,3.3407,178117,0
5932,BPURI,D,19950308,3.2593,3.3272,3.2321,3.2729,80962,0
5932,BPURI,D,19950309,3.3136,3.3272,3.2729,3.3136,70691,0
5932,BPURI,D,19950310,3.3407,3.3407,3.2321,3.2457,50027,0
5932,BPURI,D,19950313,3.3407,3.3407,3.0827,3.2457,113347,0
5932,BPURI,D,19950314,3.1371,3.2864,3.1098,3.2864,136911,0
5932,BPURI,D,19950315,3.2864,3.4630,3.2864,3.4630,104526,0
5932,BPURI,D,19950316,3.3951,3.4290,3.3951,3.4290,129539,0
5932,BPURI,D,19950317,3.4630,3.6327,3.4630,3.5648,144282,0
5932,BPURI,D,19950320,3.5648,3.7346,3.5309,3.7346,251829,0
5932,BPURI,D,19950321,3.7346,3.7346,3.4290,3.4290,61749,0
5932,BPURI,D,19950322,3.5309,3.5648,3.4630,3.4630,27914,0
5932,BPURI,D,19950323,3.3272,3.3679,3.3272,3.3679,10271,0
5932,BPURI,D,19950324,3.3951,3.4290,3.3272,3.4290,66220,0
5932,BPURI,D,19950327,3.4290,3.4290,3.3815,3.3815,30814,0
5932,BPURI,D,19950328,3.4290,3.4630,3.4290,3.4630,21993,0
5932,BPURI,D,19950329,3.4630,3.5988,3.4630,3.5648,80962,0
5932,BPURI,D,19950330,3.6327,3.6327,3.4630,3.4969,55948,0
5932,BPURI,D,19950331,3.4969,3.4969,3.4630,3.4630,48577,0
5932,BPURI,D,19950403,3.4290,3.4290,3.3679,3.3951,17642,0
5932,BPURI,D,19950404,3.3951,3.3951,3.3543,3.3543,36735,0
5932,BPURI,D,19950405,3.3679,3.5988,3.3679,3.5988,148632,0
5932,BPURI,D,19950406,3.6667,3.6667,3.3951,3.3951,88333,0
5932,BPURI,D,19950407,3.3951,3.4290,3.3815,3.3815,61749,0
5932,BPURI,D,19950410,3.3272,3.3543,3.3272,3.3407,63320,0
5932,BPURI,D,19950411,3.3543,3.4290,3.3543,3.3815,70691,0
5932,BPURI,D,19950412,3.3951,3.4290,3.3951,3.4290,26464,0
5932,BPURI,D,19950413,3.3543,3.3951,3.3407,3.3407,10271,0
5932,BPURI,D,19950414,3.3407,3.3407,3.3000,3.3136,25014,0
5932,BPURI,D,19950417,3.2864,3.3136,3.1914,3.2185,77941,0
5932,BPURI,D,19950418,3.2321,3.3272,3.2321,3.3272,50027,0
5932,BPURI,D,19950419,3.3272,3.3407,3.3272,3.3407,13171,0
5932,BPURI,D,19950420,3.3407,3.3543,3.3407,3.3543,20543,0
5932,BPURI,D,19950421,3.3951,3.4290,3.3815,3.3951,33835,0
5932,BPURI,D,19950424,3.3951,3.4290,3.3815,3.4290,45556,0
5932,BPURI,D,19950426,3.4630,3.4630,3.3407,3.3815,51477,0
5932,BPURI,D,19950427,3.3272,3.3272,3.2864,3.3272,86883,0
5932,BPURI,D,19950428,3.3272,3.3272,3.1914,3.1914,29364,0
5932,BPURI,D,19950502,3.3407,3.3407,3.1778,3.2049,51477,0
5932,BPURI,D,19950503,3.3407,3.3407,3.2049,3.2593,19093,0
5932,BPURI,D,19950504,3.3136,3.3136,3.1642,3.1778,33835,0
5932,BPURI,D,19950505,3.1778,3.1914,3.1235,3.1914,35285,0
5932,BPURI,D,19950508,3.1506,3.1642,3.1235,3.1235,5800,0
5932,BPURI,D,19950509,3.1235,3.1506,3.1098,3.1098,23564,0
5932,BPURI,D,19950511,3.2457,3.3136,3.2457,3.3136,45556,0
5932,BPURI,D,19950512,3.3679,3.4290,3.3407,3.3815,83862,0
5932,BPURI,D,19950516,3.4290,3.4630,3.3951,3.4290,72141,0
5932,BPURI,D,19950517,3.4290,3.4969,3.4290,3.4290,161924,0
5932,BPURI,D,19950518,3.3951,3.4290,3.3272,3.4290,79512,0
5932,BPURI,D,19950519,3.3951,3.4290,3.3679,3.4290,64770,0
5932,BPURI,D,19950522,3.4290,3.4290,3.1371,3.4290,67670,0
5932,BPURI,D,19950523,3.3951,3.4290,3.3951,3.4290,7250,0
5932,BPURI,D,19950524,3.3136,3.3272,3.2593,3.2593,10271,0
5932,BPURI,D,19950525,3.3272,3.3679,3.2593,3.3272,26464,0
5932,BPURI,D,19950526,3.2729,3.3815,3.2593,3.3815,50027,0
5932,BPURI,D,19950529,3.3815,3.3815,3.2457,3.3272,26464,0
5932,BPURI,D,19950530,3.3272,3.3543,3.2593,3.2593,27914,0
5932,BPURI,D,19950601,3.3272,3.4290,3.2864,3.3951,44106,0
5932,BPURI,D,19950602,3.3815,3.3815,3.3543,3.3543,7250,0
5932,BPURI,D,19950605,3.3543,3.3543,3.3272,3.3407,26464,0
5932,BPURI,D,19950606,3.3543,3.3815,3.3272,3.3272,20543,0
5932,BPURI,D,19950607,3.3679,3.3815,3.3407,3.3679,42656,0
5932,BPURI,D,19950608,3.3679,3.7006,3.3679,3.6327,203130,0
5932,BPURI,D,19950609,3.6667,3.7006,3.4290,3.4630,70691,0
5932,BPURI,D,19950612,3.4630,3.4630,3.3951,3.3951,26464,0
5932,BPURI,D,19950613,3.3679,3.3679,3.3543,3.3543,4350,0
5932,BPURI,D,19950614,3.3815,3.5309,3.3815,3.4969,270921,0
5932,BPURI,D,19950615,3.5309,3.5648,3.4969,3.5309,86883,0
5932,BPURI,D,19950616,3.5309,3.5648,3.4969,3.5309,54378,0
5932,BPURI,D,19950619,3.5648,3.6327,3.5648,3.6327,116247,0
5932,BPURI,D,19950620,3.5988,3.6667,3.5988,3.5988,64770,0
5932,BPURI,D,19950621,3.6327,3.8364,3.6327,3.7006,303306,0
5932,BPURI,D,19950622,3.7006,3.7006,3.5648,3.5648,48577,0
5932,BPURI,D,19950623,3.5648,3.5648,3.4969,3.4969,29364,0
5932,BPURI,D,19950626,3.4969,3.4969,3.3951,3.4630,20543,0
5932,BPURI,D,19950627,3.4290,3.4290,3.3951,3.3951,33835,0
5932,BPURI,D,19950628,3.3951,3.4630,3.3679,3.3951,47127,0
5932,BPURI,D,19950629,3.4290,3.4290,3.3951,3.3951,21993,0
5932,BPURI,D,19950630,3.3951,3.4290,3.3951,3.3951,33835,0
5932,BPURI,D,19950703,3.3679,3.3679,3.2593,3.2729,86883,0
5932,BPURI,D,19950704,3.3000,3.3679,3.3000,3.3407,21993,0
5932,BPURI,D,19950705,3.3543,3.3543,3.3272,3.3407,7250,0
5932,BPURI,D,19950706,3.3815,3.3951,3.3543,3.3951,16192,0
