<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
9474,BRAHIMS,D,19941121,3.6055,3.6055,3.1888,3.1888,917000,0
9474,BRAHIMS,D,19941122,3.0446,3.1728,3.0446,3.1408,238000,0
9474,BRAHIMS,D,19941123,3.0446,3.1247,2.9485,3.1087,76000,0
9474,BRAHIMS,D,19941124,3.1087,3.1408,3.1087,3.1408,62000,0
9474,BRAHIMS,D,19941125,3.0767,3.1408,3.0767,3.1247,18000,0
9474,BRAHIMS,D,19941128,3.1087,3.1247,3.1087,3.1087,22000,0
9474,BRAHIMS,D,19941129,3.2049,3.2049,3.0927,3.1247,56000,0
9474,BRAHIMS,D,19941130,3.0446,3.0446,2.9805,3.0286,43000,0
9474,BRAHIMS,D,19941201,3.0126,3.0126,2.9004,2.9485,111000,0
9474,BRAHIMS,D,19941202,2.9485,2.9485,2.8844,2.9004,43000,0
9474,BRAHIMS,D,19941205,2.9164,2.9325,2.8844,2.9004,19000,0
9474,BRAHIMS,D,19941206,2.9004,2.9164,2.8043,2.8844,33000,0
9474,BRAHIMS,D,19941208,2.8043,2.8203,2.7402,2.7402,14000,0
9474,BRAHIMS,D,19941209,2.5639,2.6440,2.5639,2.6440,11000,0
9474,BRAHIMS,D,19941212,2.5639,2.5639,2.4037,2.4678,19000,0
9474,BRAHIMS,D,19941213,2.4998,2.5639,2.4037,2.5318,17000,0
9474,BRAHIMS,D,19941214,2.6120,2.6761,2.6120,2.6761,3000,0
9474,BRAHIMS,D,19941215,2.7081,2.7241,2.6921,2.6921,37000,0
9474,BRAHIMS,D,19941216,2.6440,2.7241,2.6280,2.7241,13000,0
9474,BRAHIMS,D,19941219,2.6600,2.6600,2.6600,2.6600,1000,0
9474,BRAHIMS,D,19941220,2.7081,2.7882,2.7081,2.7882,7000,0
9474,BRAHIMS,D,19941221,2.8043,2.8043,2.8043,2.8043,13000,0
9474,BRAHIMS,D,19941222,2.8043,2.8043,2.6921,2.8043,4000,0
9474,BRAHIMS,D,19941223,2.6600,2.7241,2.6600,2.7241,13000,0
9474,BRAHIMS,D,19941227,2.6921,2.6921,2.6440,2.6440,7000,0
9474,BRAHIMS,D,19941228,2.6600,2.6600,2.6600,2.6600,3000,0
9474,BRAHIMS,D,19941229,2.6600,2.6600,2.6600,2.6600,7000,0
9474,BRAHIMS,D,19941230,2.6600,2.6600,2.5799,2.5959,8000,0
9474,BRAHIMS,D,19950103,2.4838,2.5318,2.4838,2.5318,3000,0
9474,BRAHIMS,D,19950104,2.5479,2.5479,2.5479,2.5479,1000,0
9474,BRAHIMS,D,19950105,2.5639,2.6440,2.5639,2.6440,2000,0
9474,BRAHIMS,D,19950106,2.6440,2.6440,2.6280,2.6280,2000,0
9474,BRAHIMS,D,19950109,2.5959,2.5959,2.5959,2.5959,1000,0
9474,BRAHIMS,D,19950110,2.4998,2.4998,2.4838,2.4838,11000,0
9474,BRAHIMS,D,19950111,2.4838,2.4838,2.4838,2.4838,1000,0
9474,BRAHIMS,D,19950112,2.4037,2.4037,2.4037,2.4037,2000,0
9474,BRAHIMS,D,19950113,2.4037,2.4037,2.4037,2.4037,1000,0
9474,BRAHIMS,D,19950116,2.4037,2.4037,2.4037,2.4037,1000,0
9474,BRAHIMS,D,19950117,2.4197,2.4197,2.4197,2.4197,1000,0
9474,BRAHIMS,D,19950118,2.4357,2.4357,2.4197,2.4197,6000,0
9474,BRAHIMS,D,19950119,2.4037,2.4037,2.4037,2.4037,4000,0
9474,BRAHIMS,D,19950120,2.4037,2.4197,2.4037,2.4197,8000,0
9474,BRAHIMS,D,19950123,2.2594,2.2594,2.2594,2.2594,2000,0
9474,BRAHIMS,D,19950124,2.2594,2.2674,2.2434,2.2674,7000,0
9474,BRAHIMS,D,19950125,2.2434,2.4037,2.2434,2.4037,7000,0
9474,BRAHIMS,D,19950126,2.4037,2.4037,2.4037,2.4037,4000,0
9474,BRAHIMS,D,19950127,2.4517,2.4517,2.4517,2.4517,1000,0
9474,BRAHIMS,D,19950203,2.4517,2.4838,2.4517,2.4838,6000,0
9474,BRAHIMS,D,19950206,2.4838,2.5639,2.4838,2.5639,11000,0
9474,BRAHIMS,D,19950207,2.5639,2.6761,2.5639,2.6120,21000,0
9474,BRAHIMS,D,19950209,2.5639,2.6921,2.5639,2.6921,13000,0
9474,BRAHIMS,D,19950210,2.7241,2.7882,2.7241,2.7722,49000,0
9474,BRAHIMS,D,19950213,2.8043,2.9164,2.8043,2.8684,64000,0
9474,BRAHIMS,D,19950214,2.8684,2.8844,2.7241,2.7241,6000,0
9474,BRAHIMS,D,19950215,2.7241,2.8043,2.7241,2.8043,9000,0
9474,BRAHIMS,D,19950216,2.8844,2.9645,2.8684,2.9164,48000,0
9474,BRAHIMS,D,19950217,2.9325,2.9645,2.9164,2.9325,21000,0
9474,BRAHIMS,D,19950220,2.9325,3.0607,2.9325,2.9645,102000,0
9474,BRAHIMS,D,19950221,3.0607,3.0607,2.9164,2.9485,33000,0
9474,BRAHIMS,D,19950222,2.9645,2.9645,2.9325,2.9325,9000,0
9474,BRAHIMS,D,19950223,2.9325,2.9325,2.8203,2.8203,11000,0
9474,BRAHIMS,D,19950224,2.8523,2.8523,2.8363,2.8363,6000,0
9474,BRAHIMS,D,19950228,2.7241,2.7241,2.6440,2.7241,14000,0
9474,BRAHIMS,D,19950306,2.6440,2.6440,2.6440,2.6440,4000,0
9474,BRAHIMS,D,19950307,2.6440,2.7081,2.6120,2.6440,11000,0
9474,BRAHIMS,D,19950308,2.4838,2.4838,2.4838,2.4838,1000,0
9474,BRAHIMS,D,19950316,2.4838,2.4838,2.4838,2.4838,1000,0
9474,BRAHIMS,D,19950322,2.4838,2.4838,2.4838,2.4838,4000,0
9474,BRAHIMS,D,19950323,2.4838,2.4838,2.4838,2.4838,1000,0
9474,BRAHIMS,D,19950324,2.4838,2.5639,2.4838,2.5639,2000,0
9474,BRAHIMS,D,19950328,2.5639,2.5639,2.5639,2.5639,1000,0
9474,BRAHIMS,D,19950330,2.5639,2.5639,2.5639,2.5639,2000,0
9474,BRAHIMS,D,19950331,2.5639,2.5639,2.5639,2.5639,1000,0
