<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7221,BSLCORP,D,20051115,0.2610,0.2684,0.2500,0.2518,40393399,0
7221,BSLCORP,D,20051116,0.2518,0.2592,0.2518,0.2555,6266408,0
7221,BSLCORP,D,20051117,0.2573,0.2592,0.2537,0.2573,4875867,0
7221,BSLCORP,D,20051118,0.2573,0.2610,0.2555,0.2592,7057427,0
7221,BSLCORP,D,20051121,0.2592,0.2592,0.2537,0.2592,6050700,0
7221,BSLCORP,D,20051122,0.2592,0.2720,0.2592,0.2665,16557276,0
7221,BSLCORP,D,20051123,0.2647,0.2665,0.2610,0.2665,3753534,0
7221,BSLCORP,D,20051124,0.2665,0.2665,0.2592,0.2610,3677642,0
7221,BSLCORP,D,20051125,0.2610,0.2610,0.2518,0.2518,4489606,0
7221,BSLCORP,D,20051128,0.2518,0.2518,0.2463,0.2500,6537334,0
7221,BSLCORP,D,20051129,0.2500,0.2573,0.2500,0.2573,2754695,0
7221,BSLCORP,D,20051130,0.2573,0.2592,0.2537,0.2592,2221002,0
7221,BSLCORP,D,20051201,0.2573,0.2610,0.2555,0.2610,4354959,0
7221,BSLCORP,D,20051202,0.2610,0.2610,0.2573,0.2610,2617600,0
7221,BSLCORP,D,20051205,0.2592,0.2610,0.2592,0.2610,1947627,0
7221,BSLCORP,D,20051206,0.2610,0.2610,0.2573,0.2610,3096890,0
7221,BSLCORP,D,20051207,0.2592,0.2647,0.2592,0.2647,5432410,0
7221,BSLCORP,D,20051208,0.2647,0.2647,0.2592,0.2610,3317766,0
7221,BSLCORP,D,20051209,0.2610,0.2629,0.2573,0.2592,3765774,0
7221,BSLCORP,D,20051212,0.2592,0.2629,0.2592,0.2629,2459015,0
7221,BSLCORP,D,20051213,0.2629,0.2684,0.2610,0.2684,4705858,0
7221,BSLCORP,D,20051214,0.2647,0.2665,0.2629,0.2647,1829300,0
7221,BSLCORP,D,20051215,0.2647,0.2647,0.2629,0.2629,1368235,0
7221,BSLCORP,D,20051216,0.2629,0.2629,0.2573,0.2629,2128517,0
7221,BSLCORP,D,20051219,0.2629,0.2665,0.2592,0.2647,3757614,0
7221,BSLCORP,D,20051220,0.2629,0.2647,0.2629,0.2647,1975644,0
7221,BSLCORP,D,20051221,0.2647,0.2684,0.2629,0.2665,3026166,0
7221,BSLCORP,D,20051222,0.2665,0.2665,0.2629,0.2665,2668466,0
7221,BSLCORP,D,20051223,0.2684,0.2684,0.2629,0.2647,2717429,0
7221,BSLCORP,D,20051227,0.2647,0.2665,0.2629,0.2647,2182376,0
7221,BSLCORP,D,20051228,0.2647,0.2647,0.2592,0.2647,2856157,0
7221,BSLCORP,D,20051229,0.2647,0.2647,0.2629,0.2647,2895599,0
7221,BSLCORP,D,20051230,0.2647,0.2720,0.2629,0.2665,3326470,0
7221,BSLCORP,D,20060103,0.2665,0.2684,0.2647,0.2665,2380131,0
7221,BSLCORP,D,20060104,0.2647,0.2720,0.2647,0.2720,3023446,0
7221,BSLCORP,D,20060105,0.2739,0.2831,0.2720,0.2720,5206365,0
7221,BSLCORP,D,20060106,0.2720,0.2794,0.2720,0.2739,3899878,0
7221,BSLCORP,D,20060109,0.2739,0.2739,0.2702,0.2720,2820795,0
7221,BSLCORP,D,20060111,0.2720,0.2720,0.2702,0.2720,2371970,0
7221,BSLCORP,D,20060112,0.2720,0.2757,0.2702,0.2757,2595022,0
7221,BSLCORP,D,20060113,0.2776,0.2886,0.2776,0.2867,5462332,0
7221,BSLCORP,D,20060116,0.2886,0.2959,0.2867,0.2904,5747403,0
7221,BSLCORP,D,20060117,0.2904,0.2941,0.2867,0.2904,2706548,0
7221,BSLCORP,D,20060118,0.2904,0.2904,0.2849,0.2867,3594677,0
7221,BSLCORP,D,20060119,0.2867,0.2867,0.2812,0.2849,2140757,0
7221,BSLCORP,D,20060120,0.2867,0.2904,0.2831,0.2904,4033981,0
7221,BSLCORP,D,20060123,0.2886,0.2886,0.2831,0.2849,1808899,0
7221,BSLCORP,D,20060124,0.2849,0.2849,0.2812,0.2849,4229832,0
7221,BSLCORP,D,20060125,0.2831,0.2867,0.2812,0.2831,4752101,0
7221,BSLCORP,D,20060126,0.2831,0.2849,0.2776,0.2831,4931630,0
7221,BSLCORP,D,20060127,0.2849,0.2867,0.2776,0.2812,2488936,0
7221,BSLCORP,D,20060203,0.2812,0.2978,0.2812,0.2867,4760261,0
7221,BSLCORP,D,20060206,0.2886,0.3106,0.2886,0.3070,9415796,0
7221,BSLCORP,D,20060207,0.3070,0.3088,0.2959,0.2978,3451869,0
7221,BSLCORP,D,20060208,0.2978,0.3015,0.2978,0.2996,3212496,0
7221,BSLCORP,D,20060209,0.2996,0.3051,0.2959,0.2978,3734765,0
7221,BSLCORP,D,20060210,0.2978,0.3033,0.2941,0.3033,6998944,0
7221,BSLCORP,D,20060213,0.3033,0.3180,0.3033,0.3106,7146104,0
7221,BSLCORP,D,20060214,0.3106,0.3162,0.3106,0.3143,3625687,0
7221,BSLCORP,D,20060215,0.3143,0.3143,0.3088,0.3088,2947554,0
7221,BSLCORP,D,20060216,0.3070,0.3070,0.2996,0.3033,3343063,0
7221,BSLCORP,D,20060217,0.3015,0.3033,0.2996,0.3033,4542649,0
7221,BSLCORP,D,20060220,0.3015,0.3070,0.3015,0.3070,3029158,0
7221,BSLCORP,D,20060221,0.3070,0.3217,0.3070,0.3217,5333124,0
7221,BSLCORP,D,20060222,0.3235,0.3235,0.3162,0.3162,3479071,0
7221,BSLCORP,D,20060223,0.3162,0.3198,0.3125,0.3162,3561219,0
7221,BSLCORP,D,20060224,0.3162,0.3162,0.3143,0.3162,2983188,0
7221,BSLCORP,D,20060227,0.3162,0.3235,0.3143,0.3235,3865876,0
7221,BSLCORP,D,20060228,0.3253,0.3511,0.3253,0.3437,7857151,0
7221,BSLCORP,D,20060301,0.3437,0.3492,0.3401,0.3456,2741638,0
7221,BSLCORP,D,20060302,0.3456,0.3474,0.3419,0.3474,2837116,0
7221,BSLCORP,D,20060303,0.3474,0.3529,0.3437,0.3529,4207799,0
7221,BSLCORP,D,20060306,0.3529,0.3548,0.3474,0.3511,4927550,0
7221,BSLCORP,D,20060307,0.3511,0.3529,0.3474,0.3529,2331168,0
7221,BSLCORP,D,20060308,0.3511,0.3511,0.3456,0.3511,2290366,0
7221,BSLCORP,D,20060309,0.3492,0.3529,0.3492,0.3529,2651873,0
7221,BSLCORP,D,20060310,0.3529,0.3603,0.3529,0.3584,5180524,0
7221,BSLCORP,D,20060313,0.3584,0.3787,0.3584,0.3676,4994194,0
7221,BSLCORP,D,20060314,0.3676,0.3750,0.3621,0.3640,3372985,0
7221,BSLCORP,D,20060315,0.3658,0.3713,0.3621,0.3676,3153741,0
7221,BSLCORP,D,20060316,0.3676,0.3676,0.3621,0.3658,3692874,0
7221,BSLCORP,D,20060317,0.3676,0.3676,0.3603,0.3676,4081856,0
7221,BSLCORP,D,20060320,0.3676,0.3676,0.3584,0.3621,3604198,0
7221,BSLCORP,D,20060321,0.3640,0.3640,0.3584,0.3621,2043648,0
7221,BSLCORP,D,20060322,0.3621,0.3621,0.3548,0.3566,2123892,0
7221,BSLCORP,D,20060323,0.3566,0.3566,0.3253,0.3382,5704425,0
7221,BSLCORP,D,20060324,0.3364,0.3437,0.3364,0.3437,2746263,0
7221,BSLCORP,D,20060327,0.3456,0.3529,0.3456,0.3492,2546060,0
7221,BSLCORP,D,20060328,0.3492,0.3511,0.3474,0.3492,3027798,0
7221,BSLCORP,D,20060329,0.3492,0.3511,0.3437,0.3492,3072680,0
7221,BSLCORP,D,20060330,0.3492,0.3492,0.3437,0.3456,1036377,0
