<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0191,CABNET,D,20170522,0.4945,0.5418,0.4909,0.5164,33789938,0
0191,CABNET,D,20170523,0.5309,0.5600,0.5200,0.5309,12537388,0
0191,CABNET,D,20170524,0.5309,0.5345,0.5127,0.5127,1800425,0
0191,CABNET,D,20170525,0.5127,0.5236,0.5055,0.5164,1344063,0
0191,CABNET,D,20170526,0.5164,0.5345,0.5127,0.5236,5419013,0
0191,CABNET,D,20170529,0.5236,0.5309,0.5164,0.5273,2875263,0
0191,CABNET,D,20170530,0.5273,0.5564,0.5273,0.5309,6183513,0
0191,CABNET,D,20170531,0.5273,0.5382,0.5273,0.5273,399438,0
0191,CABNET,D,20170601,0.5309,0.5309,0.5127,0.5127,1416113,0
0191,CABNET,D,20170602,0.5236,0.5309,0.5091,0.5236,1319313,0
0191,CABNET,D,20170605,0.5273,0.5382,0.5236,0.5309,1711875,0
0191,CABNET,D,20170606,0.5309,0.5309,0.5164,0.5200,701800,0
0191,CABNET,D,20170607,0.5200,0.5273,0.5200,0.5273,510125,0
0191,CABNET,D,20170608,0.5200,0.5236,0.5164,0.5236,949300,0
0191,CABNET,D,20170609,0.5164,0.5200,0.5127,0.5200,625900,0
0191,CABNET,D,20170613,0.5127,0.5164,0.5091,0.5127,463925,0
0191,CABNET,D,20170614,0.5127,0.5236,0.5127,0.5164,1164763,0
0191,CABNET,D,20170615,0.5127,0.5200,0.5127,0.5127,543675,0
0191,CABNET,D,20170616,0.5127,0.5164,0.5018,0.5091,555913,0
0191,CABNET,D,20170619,0.5127,0.5164,0.4873,0.4873,591800,0
0191,CABNET,D,20170620,0.4982,0.4982,0.4800,0.4873,351038,0
0191,CABNET,D,20170621,0.4764,0.4800,0.4691,0.4727,683650,0
0191,CABNET,D,20170622,0.4655,0.4800,0.4655,0.4800,199513,0
0191,CABNET,D,20170623,0.4800,0.4945,0.4727,0.4873,617100,0
0191,CABNET,D,20170628,0.4873,0.4873,0.4873,0.4873,0,0
0191,CABNET,D,20170629,0.4836,0.4836,0.4764,0.4764,210513,0
0191,CABNET,D,20170630,0.4800,0.4800,0.4691,0.4727,94738,0
0191,CABNET,D,20170703,0.4727,0.4764,0.4618,0.4727,488400,0
0191,CABNET,D,20170704,0.4691,0.4727,0.4691,0.4727,46063,0
0191,CABNET,D,20170705,0.4727,0.4727,0.4655,0.4691,228938,0
0191,CABNET,D,20170706,0.4655,0.4691,0.4655,0.4691,74525,0
0191,CABNET,D,20170707,0.4691,0.4691,0.4618,0.4618,213813,0
0191,CABNET,D,20170710,0.4618,0.4691,0.4618,0.4655,81263,0
