<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7174,CAB,D,20031222,0.2336,0.2336,0.2108,0.2108,96669544,0
7174,CAB,D,20031223,0.2094,0.2094,0.2009,0.2023,13077005,0
7174,CAB,D,20031224,0.2023,0.2037,0.1980,0.2009,5013790,0
7174,CAB,D,20031226,0.2009,0.2208,0.1995,0.2180,42414001,0
7174,CAB,D,20031229,0.2208,0.2635,0.2208,0.2549,61885999,0
7174,CAB,D,20031230,0.2592,0.2706,0.2521,0.2564,45363221,0
7174,CAB,D,20031231,0.2564,0.2578,0.2464,0.2507,8513976,0
7174,CAB,D,20040102,0.2535,0.2763,0.2492,0.2720,38745221,0
7174,CAB,D,20040105,0.2748,0.2820,0.2692,0.2720,41518015,0
7174,CAB,D,20040106,0.2734,0.2734,0.2663,0.2692,14422408,0
7174,CAB,D,20040107,0.2720,0.2834,0.2692,0.2763,20855480,0
7174,CAB,D,20040108,0.2791,0.2805,0.2706,0.2720,12323529,0
7174,CAB,D,20040109,0.2734,0.2734,0.2592,0.2606,16958407,0
7174,CAB,D,20040112,0.2606,0.2692,0.2521,0.2549,12935335,0
7174,CAB,D,20040113,0.2564,0.2564,0.2407,0.2436,13030604,0
7174,CAB,D,20040114,0.2407,0.2492,0.2308,0.2336,8947337,0
7174,CAB,D,20040115,0.2350,0.2350,0.2208,0.2350,9706357,0
7174,CAB,D,20040116,0.2350,0.2450,0.2308,0.2379,14662685,0
7174,CAB,D,20040119,0.2407,0.2407,0.2236,0.2265,10057781,0
7174,CAB,D,20040120,0.2265,0.2407,0.2265,0.2350,13523124,0
7174,CAB,D,20040126,0.2350,0.2364,0.2251,0.2251,9305243,0
7174,CAB,D,20040127,0.2236,0.2236,0.2037,0.2080,22590144,0
7174,CAB,D,20040128,0.2080,0.2151,0.2080,0.2151,8731255,0
7174,CAB,D,20040129,0.2137,0.2137,0.2080,0.2094,6338150,0
7174,CAB,D,20040130,0.2108,0.2123,0.2052,0.2080,8396298,0
7174,CAB,D,20040204,0.2080,0.2123,0.2037,0.2094,9817502,0
7174,CAB,D,20040205,0.2094,0.2137,0.2080,0.2094,8067534,0
7174,CAB,D,20040206,0.2108,0.2265,0.2108,0.2180,22931042,0
7174,CAB,D,20040209,0.2222,0.2251,0.2151,0.2194,7987971,0
7174,CAB,D,20040210,0.2194,0.2194,0.2137,0.2137,2045476,0
7174,CAB,D,20040211,0.2137,0.2151,0.2080,0.2108,4524661,0
7174,CAB,D,20040212,0.2123,0.2151,0.2094,0.2108,5092358,0
7174,CAB,D,20040213,0.2108,0.2165,0.2108,0.2123,5321307,0
7174,CAB,D,20040216,0.2123,0.2137,0.2108,0.2137,1761184,0
7174,CAB,D,20040217,0.2137,0.2151,0.2108,0.2151,3235869,0
7174,CAB,D,20040218,0.2151,0.2151,0.2108,0.2137,2377037,0
7174,CAB,D,20040219,0.2137,0.2208,0.2123,0.2180,7664236,0
7174,CAB,D,20040220,0.2180,0.2222,0.2165,0.2180,3471037,0
7174,CAB,D,20040224,0.2194,0.2208,0.2165,0.2180,2732088,0
7174,CAB,D,20040225,0.2180,0.2251,0.2137,0.2251,4496668,0
7174,CAB,D,20040226,0.2265,0.2322,0.2251,0.2265,10541272,0
7174,CAB,D,20040227,0.2293,0.2336,0.2251,0.2293,6827442,0
7174,CAB,D,20040301,0.2279,0.2308,0.2194,0.2251,1968137,0
7174,CAB,D,20040302,0.2251,0.2251,0.2194,0.2194,1981368,0
7174,CAB,D,20040303,0.2208,0.2208,0.2108,0.2151,4486990,0
7174,CAB,D,20040304,0.2123,0.2151,0.2108,0.2137,2733423,0
7174,CAB,D,20040305,0.2151,0.2194,0.2151,0.2180,3054800,0
7174,CAB,D,20040308,0.2194,0.2208,0.2165,0.2194,1161350,0
7174,CAB,D,20040309,0.2194,0.2251,0.2180,0.2222,3376554,0
7174,CAB,D,20040310,0.2222,0.2236,0.2165,0.2194,1314502,0
7174,CAB,D,20040311,0.2165,0.2180,0.2151,0.2180,1477212,0
7174,CAB,D,20040312,0.2151,0.2180,0.2137,0.2180,919832,0
7174,CAB,D,20040315,0.2165,0.2180,0.2123,0.2151,1890999,0
7174,CAB,D,20040316,0.2123,0.2137,0.2108,0.2137,1482673,0
7174,CAB,D,20040317,0.2151,0.2165,0.2137,0.2165,1148276,0
7174,CAB,D,20040318,0.2165,0.2165,0.2137,0.2137,472347,0
7174,CAB,D,20040319,0.2123,0.2151,0.2123,0.2137,1220484,0
7174,CAB,D,20040322,0.2165,0.2165,0.2123,0.2137,792006,0
7174,CAB,D,20040323,0.2123,0.2123,0.2108,0.2123,495905,0
7174,CAB,D,20040324,0.2108,0.2137,0.2108,0.2123,1177349,0
7174,CAB,D,20040325,0.2137,0.2137,0.2080,0.2094,1370684,0
7174,CAB,D,20040326,0.2123,0.2123,0.2080,0.2094,2041854,0
7174,CAB,D,20040329,0.2108,0.2108,0.2052,0.2108,1199675,0
7174,CAB,D,20040330,0.2080,0.2080,0.2052,0.2066,1128031,0
7174,CAB,D,20040331,0.2066,0.2066,0.2037,0.2066,850806,0
7174,CAB,D,20040401,0.2066,0.2066,0.2009,0.2066,1180388,0
7174,CAB,D,20040402,0.2052,0.2108,0.2052,0.2094,966093,0
7174,CAB,D,20040405,0.2108,0.2108,0.2080,0.2080,372885,0
7174,CAB,D,20040406,0.2080,0.2080,0.2052,0.2066,792743,0
7174,CAB,D,20040407,0.2052,0.2066,0.2052,0.2052,436797,0
7174,CAB,D,20040408,0.2052,0.2094,0.2052,0.2094,1315344,0
7174,CAB,D,20040409,0.2094,0.2094,0.2052,0.2094,703564,0
7174,CAB,D,20040412,0.2066,0.2066,0.2037,0.2052,534532,0
7174,CAB,D,20040413,0.2066,0.2080,0.2052,0.2052,447173,0
7174,CAB,D,20040414,0.2052,0.2052,0.2023,0.2037,1036355,0
7174,CAB,D,20040415,0.2023,0.2037,0.2009,0.2037,731289,0
7174,CAB,D,20040416,0.2009,0.2037,0.2009,0.2037,427559,0
7174,CAB,D,20040419,0.2037,0.2037,0.2023,0.2037,349791,0
7174,CAB,D,20040420,0.2023,0.2037,0.2023,0.2037,704254,0
7174,CAB,D,20040421,0.2037,0.2037,0.2023,0.2037,633829,0
7174,CAB,D,20040422,0.2037,0.2080,0.2037,0.2080,798606,0
7174,CAB,D,20040423,0.2094,0.2108,0.2052,0.2052,505412,0
7174,CAB,D,20040426,0.2080,0.2080,0.2023,0.2037,586099,0
7174,CAB,D,20040427,0.2037,0.2037,0.2009,0.2023,767141,0
7174,CAB,D,20040428,0.2023,0.2037,0.2009,0.2023,558132,0
7174,CAB,D,20040429,0.2023,0.2023,0.2009,0.2023,319503,0
7174,CAB,D,20040430,0.2009,0.2023,0.2002,0.2023,177058,0
7174,CAB,D,20040505,0.2009,0.2066,0.2009,0.2066,708837,0
7174,CAB,D,20040506,0.2052,0.2066,0.2009,0.2066,523909,0
7174,CAB,D,20040507,0.2052,0.2052,0.2009,0.2023,316841,0
7174,CAB,D,20040510,0.2037,0.2037,0.1980,0.2002,756843,0
7174,CAB,D,20040511,0.1995,0.2009,0.1938,0.2009,627222,0
7174,CAB,D,20040512,0.2037,0.2066,0.2009,0.2023,693256,0
7174,CAB,D,20040513,0.2023,0.2052,0.1945,0.1988,791294,0
7174,CAB,D,20040514,0.1938,0.1980,0.1909,0.1973,453573,0
7174,CAB,D,20040517,0.1973,0.1973,0.1817,0.1938,843221,0
7174,CAB,D,20040518,0.1867,0.1888,0.1867,0.1881,369963,0
7174,CAB,D,20040519,0.1881,0.1938,0.1867,0.1938,814133,0
7174,CAB,D,20040520,0.1867,0.1881,0.1867,0.1881,198690,0
7174,CAB,D,20040521,0.1881,0.1924,0.1867,0.1924,226750,0
7174,CAB,D,20040524,0.1895,0.1909,0.1838,0.1909,161061,0
7174,CAB,D,20040525,0.1902,0.1902,0.1852,0.1867,187071,0
7174,CAB,D,20040526,0.1902,0.1938,0.1867,0.1867,419786,0
7174,CAB,D,20040527,0.1895,0.1895,0.1874,0.1874,48619,0
7174,CAB,D,20040528,0.1874,0.1881,0.1838,0.1881,304163,0
7174,CAB,D,20040531,0.1874,0.1874,0.1838,0.1867,173893,0
7174,CAB,D,20040601,0.1867,0.1867,0.1838,0.1838,71810,0
7174,CAB,D,20040602,0.1838,0.1881,0.1824,0.1881,271908,0
7174,CAB,D,20040603,0.1817,0.1867,0.1796,0.1867,218893,0
7174,CAB,D,20040604,0.1852,0.1860,0.1810,0.1860,51981,0
7174,CAB,D,20040607,0.1867,0.1867,0.1838,0.1860,95620,0
7174,CAB,D,20040608,0.1838,0.1860,0.1838,0.1860,151451,0
7174,CAB,D,20040609,0.1838,0.1867,0.1838,0.1867,155571,0
7174,CAB,D,20040610,0.1838,0.1867,0.1838,0.1860,143429,0
7174,CAB,D,20040611,0.1852,0.1852,0.1838,0.1852,270326,0
7174,CAB,D,20040614,0.1838,0.1852,0.1810,0.1852,142210,0
7174,CAB,D,20040615,0.1860,0.1860,0.1824,0.1824,59145,0
7174,CAB,D,20040616,0.1803,0.1831,0.1803,0.1831,101303,0
7174,CAB,D,20040617,0.1810,0.1831,0.1810,0.1831,155777,0
7174,CAB,D,20040618,0.1831,0.1831,0.1817,0.1824,200329,0
7174,CAB,D,20040621,0.1803,0.1810,0.1781,0.1781,631257,0
7174,CAB,D,20040622,0.1781,0.1781,0.1767,0.1774,319406,0
7174,CAB,D,20040623,0.1767,0.1781,0.1760,0.1781,145240,0
7174,CAB,D,20040624,0.1767,0.1781,0.1760,0.1781,279476,0
