<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7154,CAELY,D,20030731,0.2935,0.2964,0.2668,0.2742,74009831,0
7154,CAELY,D,20030801,0.2742,0.2772,0.2653,0.2697,6289213,0
7154,CAELY,D,20030804,0.2697,0.2697,0.2623,0.2638,2179617,0
7154,CAELY,D,20030805,0.2668,0.2742,0.2638,0.2638,4235090,0
7154,CAELY,D,20030806,0.2623,0.2653,0.2549,0.2579,8333216,0
7154,CAELY,D,20030807,0.2609,0.2712,0.2549,0.2594,5617549,0
7154,CAELY,D,20030808,0.2594,0.2609,0.2520,0.2534,1946846,0
7154,CAELY,D,20030811,0.2520,0.2534,0.2401,0.2416,2626943,0
7154,CAELY,D,20030812,0.2416,0.2564,0.2416,0.2475,3784053,0
7154,CAELY,D,20030813,0.2505,0.2520,0.2431,0.2431,1103134,0
7154,CAELY,D,20030814,0.2431,0.2594,0.2431,0.2594,2363473,0
7154,CAELY,D,20030815,0.2594,0.2801,0.2594,0.2727,4246222,0
7154,CAELY,D,20030818,0.2727,0.2801,0.2697,0.2697,2834751,0
7154,CAELY,D,20030819,0.2712,0.2712,0.2668,0.2697,1221206,0
7154,CAELY,D,20030820,0.2697,0.2964,0.2697,0.2905,7406178,0
7154,CAELY,D,20030821,0.2935,0.3142,0.2905,0.3053,17234191,0
7154,CAELY,D,20030822,0.3083,0.3201,0.3024,0.3172,8714421,0
7154,CAELY,D,20030825,0.3201,0.3320,0.3172,0.3290,12138859,0
7154,CAELY,D,20030826,0.3290,0.3290,0.3142,0.3201,6847190,0
7154,CAELY,D,20030827,0.3201,0.3261,0.3142,0.3231,3176149,0
7154,CAELY,D,20030828,0.3231,0.3231,0.3053,0.3172,4210126,0
7154,CAELY,D,20030829,0.3142,0.3261,0.3024,0.3231,4156150,0
7154,CAELY,D,20030902,0.3201,0.3261,0.3112,0.3172,2127328,0
7154,CAELY,D,20030903,0.3172,0.3231,0.3053,0.3142,836628,0
7154,CAELY,D,20030904,0.3142,0.3172,0.3083,0.3112,588338,0
7154,CAELY,D,20030905,0.3142,0.3142,0.2994,0.2994,756338,0
7154,CAELY,D,20030908,0.2964,0.2964,0.2772,0.2846,1585544,0
7154,CAELY,D,20030909,0.2846,0.2846,0.2772,0.2772,364675,0
7154,CAELY,D,20030910,0.2757,0.2757,0.2697,0.2697,613302,0
7154,CAELY,D,20030911,0.2727,0.2801,0.2727,0.2786,914218,0
7154,CAELY,D,20030912,0.2816,0.2846,0.2757,0.2757,372097,0
7154,CAELY,D,20030915,0.2757,0.2772,0.2727,0.2772,189253,0
7154,CAELY,D,20030916,0.2757,0.2801,0.2757,0.2772,115036,0
7154,CAELY,D,20030917,0.2786,0.2905,0.2786,0.2890,376482,0
7154,CAELY,D,20030918,0.2949,0.2994,0.2875,0.2949,529639,0
7154,CAELY,D,20030919,0.2964,0.3083,0.2949,0.2949,729350,0
7154,CAELY,D,20030922,0.2994,0.3083,0.2861,0.2875,2723763,0
7154,CAELY,D,20030923,0.2846,0.2905,0.2786,0.2905,247277,0
7154,CAELY,D,20030924,0.2949,0.2964,0.2816,0.2920,853495,0
7154,CAELY,D,20030925,0.2905,0.2994,0.2861,0.2935,934796,0
7154,CAELY,D,20030926,0.2905,0.3053,0.2875,0.2994,1721496,0
7154,CAELY,D,20030929,0.2905,0.2905,0.2816,0.2816,266506,0
7154,CAELY,D,20030930,0.2831,0.2831,0.2757,0.2772,680435,0
7154,CAELY,D,20031001,0.2757,0.2905,0.2727,0.2875,733399,0
7154,CAELY,D,20031002,0.2905,0.2905,0.2757,0.2786,649736,0
7154,CAELY,D,20031003,0.2786,0.2816,0.2757,0.2772,254362,0
7154,CAELY,D,20031006,0.2801,0.2846,0.2742,0.2742,477350,0
7154,CAELY,D,20031007,0.2757,0.2786,0.2727,0.2727,438555,0
7154,CAELY,D,20031008,0.2757,0.2816,0.2757,0.2801,1574412,0
7154,CAELY,D,20031009,0.2801,0.2831,0.2786,0.2816,661543,0
7154,CAELY,D,20031010,0.2816,0.2861,0.2786,0.2816,1060965,0
7154,CAELY,D,20031013,0.2816,0.3142,0.2816,0.3083,3763137,0
7154,CAELY,D,20031014,0.3112,0.3468,0.3112,0.3409,29859171,0
7154,CAELY,D,20031015,0.3439,0.3439,0.3290,0.3320,6490611,0
7154,CAELY,D,20031016,0.3350,0.3557,0.3261,0.3439,15929659,0
7154,CAELY,D,20031017,0.3468,0.3468,0.3320,0.3379,2105400,0
7154,CAELY,D,20031020,0.3379,0.3468,0.3142,0.3261,6503430,0
7154,CAELY,D,20031021,0.3290,0.3320,0.3172,0.3172,3382269,0
7154,CAELY,D,20031022,0.3172,0.3320,0.3112,0.3172,5007958,0
7154,CAELY,D,20031023,0.3201,0.3261,0.3142,0.3231,1798412,0
7154,CAELY,D,20031027,0.3290,0.3290,0.3112,0.3142,2654269,0
7154,CAELY,D,20031028,0.3172,0.3616,0.3142,0.3587,10449411,0
7154,CAELY,D,20031029,0.3616,0.3824,0.3557,0.3646,19750821,0
7154,CAELY,D,20031030,0.3676,0.3735,0.3587,0.3616,5111862,0
7154,CAELY,D,20031031,0.3616,0.4091,0.3616,0.3676,33979225,0
7154,CAELY,D,20031103,0.3765,0.4061,0.3735,0.3942,13665030,0
7154,CAELY,D,20031104,0.4002,0.5662,0.3972,0.5306,101592903,0
7154,CAELY,D,20031105,0.5454,0.5543,0.4654,0.4713,31843463,0
7154,CAELY,D,20031106,0.4802,0.5276,0.4743,0.4832,16954528,0
7154,CAELY,D,20031107,0.4832,0.5010,0.4476,0.4535,8248878,0
7154,CAELY,D,20031110,0.4595,0.4772,0.4446,0.4624,16362142,0
7154,CAELY,D,20031111,0.4654,0.4861,0.4624,0.4684,18518482,0
7154,CAELY,D,20031112,0.4743,0.5247,0.4743,0.4921,28452085,0
7154,CAELY,D,20031113,0.4950,0.5099,0.4743,0.4802,9256542,0
7154,CAELY,D,20031114,0.4802,0.4802,0.4446,0.4565,7943577,0
7154,CAELY,D,20031117,0.4565,0.4595,0.3972,0.4091,8338276,0
7154,CAELY,D,20031118,0.4091,0.4328,0.3942,0.4031,10380929,0
7154,CAELY,D,20031119,0.4031,0.4150,0.3854,0.3883,4734705,0
7154,CAELY,D,20031120,0.4002,0.4002,0.3646,0.3705,5174272,0
7154,CAELY,D,20031121,0.3646,0.4002,0.3587,0.4002,4882127,0
7154,CAELY,D,20031127,0.4091,0.4180,0.4002,0.4061,6203863,0
7154,CAELY,D,20031128,0.4061,0.4624,0.4031,0.4624,8932686,0
7154,CAELY,D,20031201,0.4684,0.4802,0.4595,0.4654,9746374,0
7154,CAELY,D,20031202,0.4684,0.4713,0.4387,0.4417,3297932,0
7154,CAELY,D,20031203,0.4417,0.4446,0.4298,0.4387,2141159,0
7154,CAELY,D,20031204,0.4446,0.4595,0.4298,0.4476,4951958,0
