<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0163,CAREPLS,D,20101206,0.1805,0.1904,0.1674,0.1772,44471038,0
0163,CAREPLS,D,20101208,0.1838,0.2297,0.1838,0.2232,48633080,0
0163,CAREPLS,D,20101209,0.2265,0.2954,0.2265,0.2921,43030419,0
0163,CAREPLS,D,20101210,0.2921,0.2921,0.2494,0.2593,25752284,0
0163,CAREPLS,D,20101213,0.2593,0.2658,0.2461,0.2527,6032135,0
0163,CAREPLS,D,20101214,0.2527,0.2527,0.2363,0.2396,4926838,0
0163,CAREPLS,D,20101215,0.2396,0.2757,0.2363,0.2626,25671234,0
0163,CAREPLS,D,20101216,0.2626,0.2626,0.2494,0.2527,4667234,0
0163,CAREPLS,D,20101217,0.2560,0.2626,0.2494,0.2527,4396051,0
0163,CAREPLS,D,20101220,0.2593,0.2593,0.2396,0.2429,3615868,0
0163,CAREPLS,D,20101221,0.2429,0.2429,0.2330,0.2396,6899919,0
0163,CAREPLS,D,20101222,0.2396,0.2396,0.2199,0.2265,4685059,0
0163,CAREPLS,D,20101223,0.2297,0.2560,0.2265,0.2429,17715988,0
0163,CAREPLS,D,20101224,0.2429,0.2494,0.2297,0.2363,5419994,0
0163,CAREPLS,D,20101227,0.2330,0.2363,0.2265,0.2297,1739072,0
0163,CAREPLS,D,20101228,0.2330,0.2363,0.2297,0.2330,2112786,0
0163,CAREPLS,D,20101229,0.2330,0.2330,0.2265,0.2265,3519736,0
0163,CAREPLS,D,20101230,0.2297,0.2297,0.2199,0.2232,2924658,0
0163,CAREPLS,D,20110103,0.2297,0.2330,0.2265,0.2330,2389910,0
0163,CAREPLS,D,20110104,0.2297,0.2330,0.2265,0.2297,2249901,0
0163,CAREPLS,D,20110105,0.2265,0.2363,0.2265,0.2330,3722818,0
0163,CAREPLS,D,20110106,0.2330,0.2461,0.2297,0.2429,6168183,0
0163,CAREPLS,D,20110107,0.2429,0.2527,0.2396,0.2461,6711767,0
0163,CAREPLS,D,20110110,0.2494,0.2494,0.2363,0.2396,1577734,0
0163,CAREPLS,D,20110111,0.2396,0.2396,0.2363,0.2363,1155573,0
0163,CAREPLS,D,20110112,0.2363,0.2396,0.2363,0.2363,1060354,0
0163,CAREPLS,D,20110113,0.2396,0.2396,0.2330,0.2396,2569988,0
0163,CAREPLS,D,20110114,0.2363,0.2429,0.2330,0.2396,3021857,0
0163,CAREPLS,D,20110117,0.2396,0.2396,0.2330,0.2330,1479468,0
0163,CAREPLS,D,20110118,0.2330,0.2330,0.2232,0.2232,1745776,0
0163,CAREPLS,D,20110119,0.2265,0.2297,0.2232,0.2297,982656,0
0163,CAREPLS,D,20110121,0.2232,0.2297,0.2232,0.2297,1397352,0
0163,CAREPLS,D,20110124,0.2330,0.2396,0.2330,0.2396,1901934,0
0163,CAREPLS,D,20110125,0.2396,0.2461,0.2330,0.2330,2605028,0
0163,CAREPLS,D,20110126,0.2330,0.2330,0.2330,0.2330,744076,0
0163,CAREPLS,D,20110127,0.2330,0.2363,0.2330,0.2363,687402,0
0163,CAREPLS,D,20110128,0.2363,0.2396,0.2330,0.2330,457811,0
0163,CAREPLS,D,20110131,0.2330,0.2330,0.2297,0.2330,663331,0
0163,CAREPLS,D,20110202,0.2330,0.2429,0.2330,0.2396,724728,0
0163,CAREPLS,D,20110207,0.2396,0.2560,0.2396,0.2494,3878367,0
0163,CAREPLS,D,20110208,0.2560,0.2593,0.2396,0.2461,1708755,0
0163,CAREPLS,D,20110209,0.2429,0.2429,0.2429,0.2429,198055,0
0163,CAREPLS,D,20110210,0.2429,0.2461,0.2429,0.2461,1395371,0
0163,CAREPLS,D,20110211,0.2429,0.2461,0.2396,0.2429,787953,0
0163,CAREPLS,D,20110214,0.2461,0.2494,0.2429,0.2429,584414,0
0163,CAREPLS,D,20110216,0.2429,0.2461,0.2429,0.2429,362288,0
0163,CAREPLS,D,20110217,0.2461,0.2527,0.2461,0.2527,1767257,0
0163,CAREPLS,D,20110218,0.2461,0.2494,0.2461,0.2461,241017,0
0163,CAREPLS,D,20110221,0.2494,0.2494,0.2429,0.2429,687097,0
0163,CAREPLS,D,20110222,0.2396,0.2396,0.2330,0.2363,1467585,0
0163,CAREPLS,D,20110223,0.2330,0.2363,0.2297,0.2330,1093414,0
0163,CAREPLS,D,20110224,0.2297,0.2330,0.2265,0.2265,939541,0
0163,CAREPLS,D,20110225,0.2265,0.2330,0.2265,0.2265,371733,0
0163,CAREPLS,D,20110228,0.2265,0.2265,0.2199,0.2199,1095395,0
0163,CAREPLS,D,20110301,0.2199,0.2199,0.2166,0.2199,716044,0
0163,CAREPLS,D,20110302,0.2199,0.2199,0.2166,0.2199,262042,0
0163,CAREPLS,D,20110303,0.2199,0.2199,0.2199,0.2199,82269,0
0163,CAREPLS,D,20110304,0.2232,0.2232,0.2199,0.2199,207653,0
0163,CAREPLS,D,20110307,0.2199,0.2199,0.2166,0.2166,88820,0
0163,CAREPLS,D,20110308,0.2166,0.2232,0.2166,0.2166,145037,0
0163,CAREPLS,D,20110309,0.2199,0.2232,0.2199,0.2232,353451,0
0163,CAREPLS,D,20110310,0.2265,0.2265,0.2199,0.2199,565217,0
0163,CAREPLS,D,20110311,0.2199,0.2199,0.2166,0.2166,114262,0
0163,CAREPLS,D,20110314,0.2133,0.2232,0.2133,0.2232,569788,0
0163,CAREPLS,D,20110315,0.2232,0.2494,0.2199,0.2429,10030554,0
0163,CAREPLS,D,20110316,0.2494,0.2527,0.2363,0.2363,5778016,0
0163,CAREPLS,D,20110317,0.2297,0.2330,0.2265,0.2297,3835252,0
0163,CAREPLS,D,20110318,0.2297,0.2297,0.2265,0.2265,1113829,0
0163,CAREPLS,D,20110321,0.2232,0.2297,0.2232,0.2265,1538580,0
0163,CAREPLS,D,20110322,0.2265,0.2297,0.2232,0.2265,1465909,0
0163,CAREPLS,D,20110323,0.2232,0.2265,0.2232,0.2265,2296520,0
0163,CAREPLS,D,20110324,0.2232,0.2265,0.2232,0.2232,638041,0
0163,CAREPLS,D,20110325,0.2232,0.2265,0.2232,0.2232,1890660,0
0163,CAREPLS,D,20110328,0.2232,0.2232,0.2199,0.2199,1437420,0
0163,CAREPLS,D,20110329,0.2232,0.2265,0.2232,0.2265,880581,0
0163,CAREPLS,D,20110330,0.2265,0.2297,0.2232,0.2297,1245307,0
