<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5257,CARIMIN,D,20141110,1.0448,1.1381,1.0355,1.0728,46097813,0
5257,CARIMIN,D,20141111,1.0728,1.0915,1.0448,1.0635,4368594,0
5257,CARIMIN,D,20141112,1.0728,1.0728,1.0262,1.0635,1989632,0
5257,CARIMIN,D,20141113,1.0635,1.0635,1.0448,1.0635,1288368,0
5257,CARIMIN,D,20141114,1.0635,1.0728,1.0448,1.0635,11371165,0
5257,CARIMIN,D,20141117,1.0728,1.0915,1.0448,1.0542,2268659,0
5257,CARIMIN,D,20141118,1.0635,1.0635,1.0448,1.0542,1892086,0
5257,CARIMIN,D,20141119,1.0542,1.1101,1.0448,1.1008,4040580,0
5257,CARIMIN,D,20141120,1.1008,1.1101,1.0635,1.0728,5615478,0
5257,CARIMIN,D,20141121,1.0635,1.0821,1.0635,1.0728,806637,0
5257,CARIMIN,D,20141124,1.0821,1.0821,1.0728,1.0728,407874,0
5257,CARIMIN,D,20141125,1.0635,1.0728,1.0448,1.0542,1815656,0
5257,CARIMIN,D,20141126,1.0635,1.0635,1.0448,1.0635,2377140,0
5257,CARIMIN,D,20141127,1.0635,1.0635,1.0542,1.0635,439818,0
5257,CARIMIN,D,20141128,1.0542,1.0635,1.0448,1.0635,861842,0
5257,CARIMIN,D,20141201,1.0448,1.0448,0.9982,0.9982,1184175,0
5257,CARIMIN,D,20141202,1.0075,1.0075,0.9702,0.9889,702229,0
5257,CARIMIN,D,20141203,0.9889,0.9982,0.9702,0.9702,1526982,0
5257,CARIMIN,D,20141204,0.9515,0.9702,0.9236,0.9422,1275719,0
5257,CARIMIN,D,20141205,0.9329,0.9889,0.9329,0.9609,1354935,0
5257,CARIMIN,D,20141208,0.9422,0.9422,0.9282,0.9329,329194,0
5257,CARIMIN,D,20141209,0.9282,0.9702,0.8956,0.9422,721739,0
5257,CARIMIN,D,20141210,0.9422,0.9515,0.9329,0.9329,405945,0
5257,CARIMIN,D,20141211,0.9236,0.9236,0.8583,0.8816,613044,0
5257,CARIMIN,D,20141212,0.9049,0.9049,0.8489,0.8862,756041,0
5257,CARIMIN,D,20141215,0.8722,0.8722,0.8256,0.8349,182981,0
5257,CARIMIN,D,20141216,0.8069,0.8209,0.7556,0.7883,2622400,0
5257,CARIMIN,D,20141217,0.7883,0.8862,0.7836,0.8069,2004211,0
5257,CARIMIN,D,20141218,0.8069,0.8396,0.8023,0.8396,310542,0
5257,CARIMIN,D,20141219,0.8489,0.9329,0.8443,0.8676,858840,0
5257,CARIMIN,D,20141222,0.9049,0.9142,0.8676,0.9049,1053719,0
5257,CARIMIN,D,20141223,0.9002,0.9236,0.8629,0.8769,1138832,0
5257,CARIMIN,D,20141224,0.8862,0.8862,0.8816,0.8816,12435,0
5257,CARIMIN,D,20141226,0.8769,0.8909,0.8722,0.8722,1580043,0
5257,CARIMIN,D,20141229,0.8816,0.8862,0.8722,0.8769,676717,0
5257,CARIMIN,D,20141230,0.8676,0.8816,0.8629,0.8629,1130471,0
5257,CARIMIN,D,20141231,0.8629,0.8862,0.8583,0.8629,407445,0
5257,CARIMIN,D,20150102,0.8769,0.8956,0.8583,0.8956,645845,0
5257,CARIMIN,D,20150105,0.8816,0.8909,0.8769,0.8862,594178,0
5257,CARIMIN,D,20150106,0.8583,0.8769,0.8536,0.8769,1306805,0
5257,CARIMIN,D,20150107,0.8722,0.8956,0.8676,0.8676,366604,0
5257,CARIMIN,D,20150108,0.8722,0.8862,0.8722,0.8862,634376,0
5257,CARIMIN,D,20150109,0.8956,0.8956,0.8583,0.8722,512281,0
5257,CARIMIN,D,20150112,0.8629,0.8769,0.8583,0.8676,1341107,0
5257,CARIMIN,D,20150113,0.8769,0.8769,0.8629,0.8629,608435,0
5257,CARIMIN,D,20150114,0.8583,0.8722,0.8583,0.8629,475621,0
5257,CARIMIN,D,20150115,0.8583,0.8769,0.8583,0.8769,985115,0
5257,CARIMIN,D,20150116,0.8629,0.8722,0.8583,0.8722,709947,0
5257,CARIMIN,D,20150119,0.8676,0.8769,0.8629,0.8676,692689,0
5257,CARIMIN,D,20150120,0.8583,0.8769,0.8583,0.8722,752182,0
5257,CARIMIN,D,20150121,0.8676,0.8722,0.8629,0.8722,704588,0
5257,CARIMIN,D,20150122,0.8769,0.8909,0.8769,0.8862,100655,0
5257,CARIMIN,D,20150123,0.8862,0.8862,0.8676,0.8769,1001730,0
5257,CARIMIN,D,20150126,0.8676,0.8676,0.8489,0.8536,1678983,0
5257,CARIMIN,D,20150127,0.8536,0.8676,0.8536,0.8536,1596658,0
5257,CARIMIN,D,20150128,0.8536,0.8629,0.8489,0.8489,1880723,0
5257,CARIMIN,D,20150129,0.8489,0.8583,0.8489,0.8489,870203,0
5257,CARIMIN,D,20150130,0.8489,0.8769,0.8489,0.8769,725383,0
5257,CARIMIN,D,20150204,0.8816,0.9329,0.8816,0.8956,1674374,0
5257,CARIMIN,D,20150205,0.8862,0.9049,0.8816,0.8816,1230054,0
5257,CARIMIN,D,20150206,0.8862,0.8956,0.8862,0.8956,848014,0
5257,CARIMIN,D,20150209,0.9049,0.9049,0.8862,0.9049,825181,0
5257,CARIMIN,D,20150210,0.9049,0.9189,0.8816,0.9002,1192429,0
5257,CARIMIN,D,20150211,0.8956,0.9142,0.8862,0.8862,1540703,0
5257,CARIMIN,D,20150212,0.8769,0.8956,0.8769,0.8956,576812,0
5257,CARIMIN,D,20150213,0.8909,0.9002,0.8862,0.9002,671143,0
5257,CARIMIN,D,20150216,0.9002,0.9282,0.8956,0.9236,1013414,0
5257,CARIMIN,D,20150217,0.9002,0.9329,0.9002,0.9329,584209,0
5257,CARIMIN,D,20150218,0.9236,0.9236,0.9236,0.9236,13828,0
5257,CARIMIN,D,20150223,0.9142,0.9329,0.9049,0.9329,173869,0
5257,CARIMIN,D,20150224,0.9096,0.9142,0.8909,0.9142,866558,0
5257,CARIMIN,D,20150225,0.8862,0.8909,0.8862,0.8909,241723,0
