<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7035,CCK,D,19971210,0.1973,0.1973,0.1769,0.1849,17883365,0
7035,CCK,D,19971211,0.1827,0.1827,0.1688,0.1769,1984000,0
7035,CCK,D,19971212,0.1608,0.1681,0.1608,0.1652,1272497,0
7035,CCK,D,19971215,0.1652,0.1681,0.1593,0.1637,1847172,0
7035,CCK,D,19971216,0.1630,0.1637,0.1622,0.1630,1423007,0
7035,CCK,D,19971217,0.1622,0.1630,0.1608,0.1622,1395641,0
7035,CCK,D,19971218,0.1622,0.1630,0.1608,0.1630,1163034,0
7035,CCK,D,19971219,0.1608,0.1608,0.1469,0.1535,273655,0
7035,CCK,D,19971222,0.1462,0.1491,0.1462,0.1491,1559834,0
7035,CCK,D,19971223,0.1469,0.1469,0.1147,0.1155,1600883,0
7035,CCK,D,19971224,0.1155,0.1454,0.1133,0.1454,670455,0
7035,CCK,D,19971229,0.1316,0.1316,0.1316,0.1316,54731,0
7035,CCK,D,19971230,0.1316,0.1389,0.1316,0.1389,95779,0
7035,CCK,D,19971231,0.1374,0.1374,0.1330,0.1330,68414,0
7035,CCK,D,19980102,0.1286,0.1316,0.1286,0.1316,68414,0
7035,CCK,D,19980105,0.1316,0.1316,0.1316,0.1316,13683,0
7035,CCK,D,19980106,0.1316,0.1316,0.1316,0.1316,218924,0
7035,CCK,D,19980107,0.1316,0.1316,0.1301,0.1316,410483,0
7035,CCK,D,19980108,0.1250,0.1316,0.1250,0.1316,191559,0
7035,CCK,D,19980109,0.1279,0.1316,0.1243,0.1316,259972,0
7035,CCK,D,19980112,0.1243,0.1243,0.1243,0.1243,27366,0
7035,CCK,D,19980113,0.1243,0.1316,0.1243,0.1316,68414,0
7035,CCK,D,19980114,0.1316,0.1316,0.1264,0.1264,27366,0
7035,CCK,D,19980115,0.1462,0.1549,0.1462,0.1535,136828,0
7035,CCK,D,19980116,0.1330,0.1535,0.1330,0.1535,232607,0
7035,CCK,D,19980119,0.1681,0.1725,0.1608,0.1725,342069,0
7035,CCK,D,19980120,0.1681,0.1681,0.1615,0.1622,369434,0
7035,CCK,D,19980121,0.1622,0.1652,0.1608,0.1622,437848,0
7035,CCK,D,19980123,0.1462,0.1462,0.1462,0.1462,13683,0
7035,CCK,D,19980126,0.1644,0.1681,0.1644,0.1681,54731,0
7035,CCK,D,19980203,0.1900,0.1900,0.1608,0.1681,136828,0
7035,CCK,D,19980205,0.1688,0.1827,0.1681,0.1827,273655,0
7035,CCK,D,19980206,0.1820,0.2185,0.1820,0.2105,1299862,0
7035,CCK,D,19980209,0.2266,0.2485,0.2127,0.2295,2955476,0
7035,CCK,D,19980210,0.2339,0.2339,0.2163,0.2266,944110,0
7035,CCK,D,19980211,0.2266,0.2324,0.2251,0.2251,848331,0
7035,CCK,D,19980212,0.2251,0.2266,0.2046,0.2046,916745,0
7035,CCK,D,19980213,0.1842,0.2046,0.1842,0.2032,533628,0
7035,CCK,D,19980216,0.1973,0.1973,0.1922,0.1959,218924,0
7035,CCK,D,19980217,0.1922,0.1929,0.1922,0.1922,191559,0
7035,CCK,D,19980218,0.1922,0.1937,0.1908,0.1922,232607,0
7035,CCK,D,19980220,0.1973,0.1988,0.1944,0.1944,82097,0
7035,CCK,D,19980223,0.1929,0.1973,0.1929,0.1944,177876,0
7035,CCK,D,19980224,0.1988,0.2105,0.1988,0.2105,41048,0
7035,CCK,D,19980225,0.2024,0.2024,0.2017,0.2017,95779,0
7035,CCK,D,19980226,0.2178,0.2178,0.1973,0.2134,123145,0
7035,CCK,D,19980227,0.2163,0.2207,0.2105,0.2193,560993,0
7035,CCK,D,19980302,0.2193,0.2236,0.2156,0.2178,615724,0
7035,CCK,D,19980303,0.2193,0.2193,0.2098,0.2098,410483,0
7035,CCK,D,19980304,0.2032,0.2098,0.2010,0.2098,218924,0
7035,CCK,D,19980305,0.2098,0.2193,0.2090,0.2193,95779,0
7035,CCK,D,19980306,0.2178,0.2178,0.2083,0.2083,95779,0
7035,CCK,D,19980309,0.1973,0.1973,0.1842,0.1856,205241,0
7035,CCK,D,19980310,0.1900,0.2010,0.1900,0.2010,68414,0
7035,CCK,D,19980311,0.1864,0.2010,0.1864,0.2010,54731,0
7035,CCK,D,19980312,0.2046,0.2046,0.1937,0.1937,27366,0
7035,CCK,D,19980313,0.1959,0.1973,0.1959,0.1973,27366,0
7035,CCK,D,19980316,0.1842,0.1973,0.1834,0.1973,150510,0
7035,CCK,D,19980317,0.1886,0.2010,0.1886,0.2010,27366,0
7035,CCK,D,19980318,0.2010,0.2010,0.1922,0.1973,82097,0
7035,CCK,D,19980320,0.1827,0.2039,0.1827,0.2039,41048,0
7035,CCK,D,19980323,0.2039,0.2039,0.1988,0.1988,123145,0
7035,CCK,D,19980324,0.1973,0.1973,0.1900,0.1973,95779,0
7035,CCK,D,19980325,0.1973,0.1995,0.1973,0.1995,54731,0
7035,CCK,D,19980327,0.1871,0.1871,0.1871,0.1871,27366,0
7035,CCK,D,19980331,0.1915,0.1915,0.1900,0.1900,68414,0
7035,CCK,D,19980401,0.1900,0.1900,0.1886,0.1886,54731,0
7035,CCK,D,19980402,0.1988,0.1995,0.1988,0.1988,27366,0
7035,CCK,D,19980403,0.1937,0.1937,0.1937,0.1937,13683,0
7035,CCK,D,19980406,0.1937,0.1937,0.1937,0.1937,54731,0
7035,CCK,D,19980410,0.1900,0.1900,0.1893,0.1893,41048,0
7035,CCK,D,19980413,0.1827,0.1827,0.1827,0.1827,27366,0
7035,CCK,D,19980414,0.1754,0.1754,0.1754,0.1754,13683,0
7035,CCK,D,19980415,0.1754,0.1754,0.1681,0.1681,123145,0
7035,CCK,D,19980416,0.1593,0.1593,0.1469,0.1593,177876,0
7035,CCK,D,19980417,0.1535,0.1535,0.1520,0.1535,41048,0
7035,CCK,D,19980420,0.1462,0.1498,0.1462,0.1498,41048,0
7035,CCK,D,19980423,0.1535,0.1535,0.1535,0.1535,13683,0
7035,CCK,D,19980424,0.1571,0.1571,0.1571,0.1571,13683,0
7035,CCK,D,19980429,0.1571,0.1571,0.1571,0.1571,13683,0
7035,CCK,D,19980430,0.1586,0.1681,0.1586,0.1681,68414,0
7035,CCK,D,19980504,0.1681,0.1681,0.1681,0.1681,27366,0
7035,CCK,D,19980505,0.1659,0.1681,0.1659,0.1659,191559,0
7035,CCK,D,19980506,0.1652,0.1666,0.1644,0.1666,232607,0
7035,CCK,D,19980507,0.1608,0.1827,0.1608,0.1827,150510,0
7035,CCK,D,19980512,0.1681,0.1681,0.1674,0.1674,54731,0
7035,CCK,D,19980513,0.1630,0.1681,0.1630,0.1681,177876,0
7035,CCK,D,19980514,0.1681,0.1681,0.1681,0.1681,95779,0
7035,CCK,D,19980515,0.1630,0.1630,0.1608,0.1630,68414,0
7035,CCK,D,19980519,0.1608,0.1630,0.1608,0.1630,54731,0
