<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0238,CEKD,D,20210929,0.6000,0.6200,0.5350,0.5450,98329500,0
0238,CEKD,D,20210930,0.5450,0.5500,0.5250,0.5250,6545900,0
0238,CEKD,D,20211001,0.5200,0.5400,0.5150,0.5150,5720900,0
0238,CEKD,D,20211004,0.5200,0.5350,0.5150,0.5250,9668400,0
0238,CEKD,D,20211005,0.5300,0.5750,0.5200,0.5600,18453200,0
0238,CEKD,D,20211006,0.5600,0.5700,0.5500,0.5500,8079400,0
0238,CEKD,D,20211007,0.5550,0.6200,0.5550,0.6200,33237100,0
0238,CEKD,D,20211008,0.6100,0.9200,0.5900,0.8000,114045500,0
0238,CEKD,D,20211011,0.8150,0.9950,0.8000,0.9050,129385200,0
0238,CEKD,D,20211012,0.9200,0.9650,0.8250,0.8300,30439900,0
0238,CEKD,D,20211013,0.8400,0.9000,0.8100,0.8650,24544000,0
0238,CEKD,D,20211014,0.8700,0.9000,0.8400,0.8500,13755400,0
0238,CEKD,D,20211015,0.8600,0.9750,0.8500,0.9550,60707100,0
0238,CEKD,D,20211018,0.9500,1.1100,0.9450,1.0300,64175800,0
0238,CEKD,D,20211020,1.0400,1.0900,1.0100,1.0300,15718900,0
0238,CEKD,D,20211021,1.0300,1.0700,0.9300,0.9450,33368500,0
0238,CEKD,D,20211022,0.9350,0.9650,0.8800,0.9400,19985400,0
0238,CEKD,D,20211025,0.9400,1.0400,0.9250,0.9850,28996900,0
0238,CEKD,D,20211026,0.9750,0.9850,0.9350,0.9400,11524700,0
0238,CEKD,D,20211027,0.9400,0.9800,0.9350,0.9450,6595100,0
0238,CEKD,D,20211028,0.9450,0.9450,0.8900,0.9000,8717500,0
0238,CEKD,D,20211029,0.9100,0.9300,0.8900,0.8950,5013100,0
0238,CEKD,D,20211101,0.8850,0.8900,0.8400,0.8500,5870500,0
0238,CEKD,D,20211102,0.8500,0.9400,0.8500,0.9350,21289200,0
0238,CEKD,D,20211103,0.9300,0.9400,0.8950,0.9100,7398700,0
0238,CEKD,D,20211105,0.9150,0.9400,0.9000,0.9000,7897900,0
0238,CEKD,D,20211108,0.9050,0.9250,0.8600,0.8750,4821000,0
0238,CEKD,D,20211109,0.8750,0.9100,0.8550,0.8850,4268300,0
0238,CEKD,D,20211110,0.8850,0.9350,0.8700,0.9350,11608300,0
0238,CEKD,D,20211111,0.9250,1.0200,0.9250,0.9450,36511100,0
0238,CEKD,D,20211112,0.9450,0.9750,0.9400,0.9400,5895200,0
0238,CEKD,D,20211115,0.9450,0.9500,0.9150,0.9200,3960600,0
0238,CEKD,D,20211116,0.9200,0.9500,0.8950,0.9050,5351100,0
0238,CEKD,D,20211117,0.9000,0.9250,0.8800,0.8900,3431800,0
0238,CEKD,D,20211118,0.8900,0.9600,0.8850,0.9550,10277400,0
0238,CEKD,D,20211119,0.9600,0.9800,0.9100,0.9150,12752100,0
