<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7209,CHEETAH,D,20050119,0.2089,0.2089,0.1778,0.1822,71876100,0
7209,CHEETAH,D,20050120,0.1822,0.1833,0.1700,0.1711,7747500,0
7209,CHEETAH,D,20050124,0.1711,0.1711,0.1611,0.1622,3845700,0
7209,CHEETAH,D,20050125,0.1644,0.1644,0.1533,0.1533,4425600,0
7209,CHEETAH,D,20050126,0.1556,0.1556,0.1444,0.1444,16751100,0
7209,CHEETAH,D,20050127,0.1444,0.1511,0.1444,0.1489,5354400,0
7209,CHEETAH,D,20050128,0.1489,0.1489,0.1433,0.1444,2706600,0
7209,CHEETAH,D,20050131,0.1411,0.1411,0.1322,0.1322,6977700,0
7209,CHEETAH,D,20050202,0.1322,0.1367,0.1244,0.1256,8541000,0
7209,CHEETAH,D,20050203,0.1267,0.1300,0.1256,0.1289,1264500,0
7209,CHEETAH,D,20050204,0.1278,0.1278,0.1244,0.1256,1978500,0
7209,CHEETAH,D,20050207,0.1267,0.1267,0.1200,0.1211,3169800,0
7209,CHEETAH,D,20050208,0.1178,0.1300,0.1178,0.1278,3379800,0
7209,CHEETAH,D,20050214,0.1289,0.1411,0.1278,0.1400,6534900,0
7209,CHEETAH,D,20050215,0.1422,0.1433,0.1344,0.1344,1486800,0
7209,CHEETAH,D,20050216,0.1333,0.1344,0.1300,0.1300,1030500,0
7209,CHEETAH,D,20050217,0.1300,0.1300,0.1267,0.1300,480600,0
7209,CHEETAH,D,20050218,0.1289,0.1300,0.1267,0.1289,2403000,0
7209,CHEETAH,D,20050221,0.1267,0.1289,0.1256,0.1289,387000,0
7209,CHEETAH,D,20050222,0.1289,0.1289,0.1233,0.1233,558000,0
7209,CHEETAH,D,20050223,0.1233,0.1244,0.1233,0.1233,236100,0
7209,CHEETAH,D,20050224,0.1256,0.1256,0.1244,0.1256,1527600,0
7209,CHEETAH,D,20050225,0.1233,0.1289,0.1233,0.1244,292800,0
7209,CHEETAH,D,20050228,0.1267,0.1311,0.1222,0.1222,1071000,0
7209,CHEETAH,D,20050301,0.1200,0.1200,0.1189,0.1200,822000,0
7209,CHEETAH,D,20050302,0.1211,0.1233,0.1200,0.1200,301800,0
7209,CHEETAH,D,20050303,0.1222,0.1267,0.1222,0.1267,430200,0
7209,CHEETAH,D,20050304,0.1233,0.1322,0.1233,0.1300,1796700,0
7209,CHEETAH,D,20050307,0.1311,0.1311,0.1267,0.1289,1076700,0
7209,CHEETAH,D,20050308,0.1256,0.1311,0.1256,0.1256,243300,0
7209,CHEETAH,D,20050309,0.1256,0.1256,0.1244,0.1244,212400,0
7209,CHEETAH,D,20050310,0.1244,0.1244,0.1222,0.1244,396000,0
7209,CHEETAH,D,20050311,0.1244,0.1300,0.1233,0.1278,1730100,0
7209,CHEETAH,D,20050314,0.1278,0.1278,0.1222,0.1244,731100,0
7209,CHEETAH,D,20050315,0.1256,0.1256,0.1233,0.1244,663600,0
7209,CHEETAH,D,20050316,0.1233,0.1233,0.1222,0.1222,328500,0
7209,CHEETAH,D,20050317,0.1244,0.1244,0.1222,0.1222,360000,0
7209,CHEETAH,D,20050318,0.1222,0.1222,0.1200,0.1200,200100,0
7209,CHEETAH,D,20050321,0.1211,0.1211,0.1189,0.1189,355500,0
