<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5273,CHINHIN,D,20160308,0.5400,0.5567,0.5200,0.5467,183792900,0
5273,CHINHIN,D,20160309,0.5533,0.5633,0.5367,0.5367,40929450,0
5273,CHINHIN,D,20160310,0.5300,0.5467,0.5233,0.5367,15406950,0
5273,CHINHIN,D,20160311,0.5367,0.5467,0.5300,0.5467,13047900,0
5273,CHINHIN,D,20160314,0.5467,0.5533,0.5400,0.5500,10642950,0
5273,CHINHIN,D,20160315,0.5500,0.5500,0.5300,0.5400,11442600,0
5273,CHINHIN,D,20160316,0.5400,0.5500,0.5400,0.5467,4861200,0
5273,CHINHIN,D,20160317,0.5467,0.5700,0.5467,0.5567,46311000,0
5273,CHINHIN,D,20160318,0.5567,0.5600,0.5500,0.5500,6489000,0
5273,CHINHIN,D,20160321,0.5533,0.5567,0.5500,0.5567,6547650,0
5273,CHINHIN,D,20160322,0.5567,0.5600,0.5500,0.5500,5855700,0
5273,CHINHIN,D,20160323,0.5533,0.5567,0.5433,0.5433,11573400,0
5273,CHINHIN,D,20160324,0.5467,0.5500,0.5433,0.5433,1824150,0
5273,CHINHIN,D,20160325,0.5467,0.5500,0.5400,0.5500,7089300,0
5273,CHINHIN,D,20160328,0.5500,0.5533,0.5500,0.5500,3159000,0
5273,CHINHIN,D,20160329,0.5533,0.5833,0.5533,0.5767,35613300,0
5273,CHINHIN,D,20160330,0.5833,0.5900,0.5767,0.5800,12896400,0
5273,CHINHIN,D,20160331,0.5767,0.5833,0.5733,0.5800,6136650,0
5273,CHINHIN,D,20160401,0.5767,0.5900,0.5733,0.5800,6814350,0
5273,CHINHIN,D,20160404,0.5800,0.5867,0.5767,0.5800,7976550,0
5273,CHINHIN,D,20160405,0.5833,0.5967,0.5833,0.5867,16034100,0
5273,CHINHIN,D,20160406,0.5867,0.5900,0.5733,0.5767,9952350,0
5273,CHINHIN,D,20160407,0.5800,0.5800,0.5667,0.5733,8509950,0
5273,CHINHIN,D,20160408,0.5733,0.5800,0.5700,0.5767,3923700,0
5273,CHINHIN,D,20160411,0.5767,0.5767,0.5667,0.5667,2092050,0
5273,CHINHIN,D,20160412,0.5667,0.5767,0.5667,0.5700,3910350,0
5273,CHINHIN,D,20160413,0.5733,0.5767,0.5700,0.5700,2388600,0
5273,CHINHIN,D,20160414,0.5700,0.5867,0.5700,0.5767,5378700,0
5273,CHINHIN,D,20160415,0.5767,0.5867,0.5767,0.5800,2716500,0
5273,CHINHIN,D,20160418,0.5767,0.5800,0.5700,0.5767,1652850,0
5273,CHINHIN,D,20160419,0.5733,0.5767,0.5700,0.5733,1266150,0
5273,CHINHIN,D,20160420,0.5733,0.5733,0.5700,0.5733,972450,0
5273,CHINHIN,D,20160421,0.5733,0.5733,0.5700,0.5700,1336500,0
5273,CHINHIN,D,20160422,0.5733,0.5733,0.5667,0.5700,1097250,0
5273,CHINHIN,D,20160425,0.5700,0.5700,0.5667,0.5667,1170900,0
5273,CHINHIN,D,20160426,0.5633,0.5633,0.5433,0.5467,2726700,0
5273,CHINHIN,D,20160427,0.5533,0.5533,0.5467,0.5500,758550,0
5273,CHINHIN,D,20160428,0.5500,0.5500,0.5400,0.5400,663150,0
5273,CHINHIN,D,20160429,0.5400,0.5467,0.5400,0.5433,201000,0
5273,CHINHIN,D,20160503,0.5400,0.5433,0.5333,0.5400,1440450,0
5273,CHINHIN,D,20160504,0.5333,0.5400,0.5300,0.5400,500550,0
5273,CHINHIN,D,20160505,0.5400,0.5433,0.5400,0.5433,139650,0
5273,CHINHIN,D,20160506,0.5433,0.5433,0.5400,0.5433,415350,0
5273,CHINHIN,D,20160509,0.5433,0.5433,0.5367,0.5367,173850,0
5273,CHINHIN,D,20160510,0.5367,0.5433,0.5367,0.5433,394950,0
5273,CHINHIN,D,20160511,0.5400,0.5533,0.5400,0.5500,4617300,0
5273,CHINHIN,D,20160512,0.5500,0.5500,0.5433,0.5467,3938700,0
5273,CHINHIN,D,20160513,0.5500,0.5500,0.5400,0.5467,919950,0
5273,CHINHIN,D,20160516,0.5400,0.5433,0.5367,0.5400,640050,0
5273,CHINHIN,D,20160517,0.5367,0.5400,0.5333,0.5400,602250,0
5273,CHINHIN,D,20160518,0.5400,0.5400,0.5333,0.5400,831150,0
5273,CHINHIN,D,20160519,0.5367,0.5400,0.5333,0.5400,279900,0
5273,CHINHIN,D,20160520,0.5367,0.5367,0.5300,0.5300,1918800,0
5273,CHINHIN,D,20160523,0.5300,0.5467,0.5200,0.5333,4273050,0
5273,CHINHIN,D,20160524,0.5333,0.5633,0.5333,0.5533,3604200,0
