<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
1023,CIMB,D,19940103,1.6922,1.7043,1.6313,1.7043,1912000,0
1023,CIMB,D,19940104,1.6800,1.7043,1.6313,1.6313,1396000,0
1023,CIMB,D,19940105,1.6313,1.6313,1.5218,1.5218,680000,0
1023,CIMB,D,19940106,1.4487,1.4730,1.4243,1.4365,2140000,0
1023,CIMB,D,19940107,1.3391,1.3513,1.2417,1.2417,6816000,0
1023,CIMB,D,19940110,1.2417,1.3757,1.2296,1.3391,9452000,0
1023,CIMB,D,19940111,1.3026,1.3391,1.2296,1.2296,1444000,0
1023,CIMB,D,19940112,1.2296,1.2296,1.0835,1.1200,8968000,0
1023,CIMB,D,19940113,1.1444,1.1687,1.1078,1.1687,6480000,0
1023,CIMB,D,19940114,1.1809,1.2904,1.1687,1.2296,5404000,0
1023,CIMB,D,19940117,1.1930,1.2296,1.1809,1.1870,2060000,0
1023,CIMB,D,19940119,1.1504,1.1930,1.1444,1.1870,1996000,0
1023,CIMB,D,19940120,1.1992,1.2113,1.1687,1.1687,5988000,0
1023,CIMB,D,19940121,1.2113,1.2296,1.1809,1.2113,4744000,0
1023,CIMB,D,19940124,1.2174,1.2296,1.2113,1.2296,2140000,0
1023,CIMB,D,19940125,1.2113,1.2113,1.1687,1.1809,3152000,0
1023,CIMB,D,19940126,1.1565,1.2052,1.1565,1.1930,1140000,0
1023,CIMB,D,19940127,1.2113,1.3026,1.2113,1.2904,2776000,0
1023,CIMB,D,19940128,1.2775,1.4000,1.2775,1.4000,2684000,0
1023,CIMB,D,19940131,1.4000,1.4125,1.3400,1.3625,1148000,0
1023,CIMB,D,19940202,1.3878,1.4730,1.3878,1.4609,6948000,0
1023,CIMB,D,19940203,1.4365,1.4609,1.4365,1.4487,1984000,0
1023,CIMB,D,19940204,1.4365,1.4365,1.4000,1.4122,2512000,0
1023,CIMB,D,19940207,1.3757,1.3757,1.3270,1.3513,4000000,0
1023,CIMB,D,19940208,1.3513,1.3878,1.3026,1.3148,3992000,0
1023,CIMB,D,19940214,1.2783,1.2783,1.2661,1.2661,664000,0
1023,CIMB,D,19940215,1.2539,1.2783,1.2539,1.2783,2700000,0
1023,CIMB,D,19940216,1.2661,1.2783,1.2661,1.2661,2644000,0
1023,CIMB,D,19940217,1.2661,1.2661,1.2296,1.2417,1256000,0
1023,CIMB,D,19940218,1.2417,1.2661,1.2174,1.2661,1828000,0
1023,CIMB,D,19940221,1.3878,1.3878,1.2174,1.2174,836000,0
1023,CIMB,D,19940222,1.2296,1.2783,1.2296,1.2539,1428000,0
1023,CIMB,D,19940223,1.2539,1.3391,1.2539,1.3026,2044000,0
1023,CIMB,D,19940224,1.3148,1.3878,1.3148,1.3148,3852000,0
1023,CIMB,D,19940225,1.3148,1.3270,1.2783,1.2904,1996000,0
1023,CIMB,D,19940228,1.2904,1.3391,1.2904,1.3391,3244000,0
1023,CIMB,D,19940301,1.3270,1.3513,1.3026,1.3391,3980000,0
1023,CIMB,D,19940302,1.3270,1.3270,1.2417,1.2417,532000,0
1023,CIMB,D,19940303,1.2539,1.2661,1.2174,1.2539,4424000,0
1023,CIMB,D,19940304,1.2539,1.2661,1.2174,1.2417,5428000,0
1023,CIMB,D,19940307,1.2417,1.2539,1.2296,1.2539,1008000,0
1023,CIMB,D,19940308,1.2417,1.2539,1.2296,1.2539,1196000,0
1023,CIMB,D,19940309,1.2539,1.2539,1.2052,1.2539,936000,0
1023,CIMB,D,19940310,1.2417,1.2539,1.2296,1.2296,360000,0
1023,CIMB,D,19940311,1.2113,1.2296,1.1992,1.2174,1180000,0
1023,CIMB,D,19940317,1.1930,1.2052,1.1322,1.1322,1880000,0
1023,CIMB,D,19940318,1.1322,1.1322,1.0591,1.0957,1812000,0
1023,CIMB,D,19940321,1.0531,1.0531,1.0409,1.0409,196000,0
1023,CIMB,D,19940322,1.0104,1.0774,1.0104,1.0104,2036000,0
1023,CIMB,D,19940323,1.0104,1.0774,1.0104,1.0348,13200000,0
1023,CIMB,D,19940324,1.0470,1.0713,1.0165,1.0226,5708000,0
1023,CIMB,D,19940325,1.0226,1.0652,1.0044,1.0104,3768000,0
1023,CIMB,D,19940328,1.0044,1.0044,0.9739,0.9800,2660000,0
1023,CIMB,D,19940329,1.0470,1.0470,0.9983,1.0104,1452000,0
1023,CIMB,D,19940330,0.9983,1.0104,0.9983,1.0104,2520000,0
1023,CIMB,D,19940331,1.0165,1.0287,1.0044,1.0287,3400000,0
1023,CIMB,D,19940401,1.0348,1.0348,1.0226,1.0348,344000,0
1023,CIMB,D,19940404,0.9739,0.9983,0.9678,0.9739,744000,0
1023,CIMB,D,19940405,0.9739,1.0713,0.9739,1.0591,476000,0
1023,CIMB,D,19940406,1.0591,1.1930,1.0591,1.0957,892000,0
1023,CIMB,D,19940407,1.0957,1.1504,1.0713,1.1200,876000,0
1023,CIMB,D,19940408,1.1565,1.1930,1.1383,1.1565,920000,0
1023,CIMB,D,19940411,1.1444,1.1626,1.1444,1.1626,416000,0
1023,CIMB,D,19940412,1.1626,1.2417,1.1626,1.2113,1856000,0
1023,CIMB,D,19940413,1.2113,1.2113,1.1748,1.1809,836000,0
1023,CIMB,D,19940414,1.1687,1.1687,1.1444,1.1504,276000,0
1023,CIMB,D,19940415,1.1687,1.2174,1.1687,1.2174,772000,0
1023,CIMB,D,19940418,1.2113,1.2174,1.1992,1.2052,1100000,0
1023,CIMB,D,19940419,1.1930,1.1930,1.1565,1.1565,1640000,0
1023,CIMB,D,19940420,1.1565,1.2174,1.1322,1.1322,1584000,0
1023,CIMB,D,19940421,1.1322,1.1322,1.0652,1.0652,3884000,0
1023,CIMB,D,19940422,1.0774,1.1017,1.0774,1.0896,4476000,0
1023,CIMB,D,19940425,1.0957,1.1261,1.0896,1.1078,4672000,0
