<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7117,CJCEN,D,20010607,0.4188,0.4188,0.3448,0.3466,1965308,0
7117,CJCEN,D,20010608,0.3360,0.3501,0.3325,0.3483,791794,0
7117,CJCEN,D,20010611,0.3483,0.3571,0.3483,0.3571,1010976,0
7117,CJCEN,D,20010612,0.3589,0.3747,0.3571,0.3589,1667914,0
7117,CJCEN,D,20010613,0.3624,0.3642,0.3554,0.3554,547038,0
7117,CJCEN,D,20010614,0.3607,0.3730,0.3518,0.3536,3259492,0
7117,CJCEN,D,20010615,0.3518,0.3518,0.3466,0.3501,410815,0
7117,CJCEN,D,20010618,0.3483,0.3554,0.3395,0.3448,480278,0
7117,CJCEN,D,20010619,0.3430,0.3430,0.3307,0.3307,357717,0
7117,CJCEN,D,20010620,0.3272,0.3378,0.3254,0.3378,900595,0
7117,CJCEN,D,20010621,0.3378,0.3466,0.3325,0.3378,186467,0
7117,CJCEN,D,20010622,0.3378,0.3554,0.3378,0.3466,661787,0
7117,CJCEN,D,20010625,0.3378,0.3430,0.3360,0.3430,99843,0
7117,CJCEN,D,20010626,0.3466,0.3466,0.3378,0.3378,75380,0
7117,CJCEN,D,20010627,0.3325,0.3378,0.3307,0.3342,106633,0
7117,CJCEN,D,20010628,0.3360,0.3360,0.3307,0.3325,543748,0
7117,CJCEN,D,20010629,0.3360,0.3360,0.3325,0.3325,27581,0
7117,CJCEN,D,20010702,0.3272,0.3342,0.3237,0.3254,187325,0
7117,CJCEN,D,20010703,0.3272,0.3360,0.3254,0.3360,182087,0
7117,CJCEN,D,20010704,0.3395,0.3395,0.3342,0.3360,114794,0
7117,CJCEN,D,20010705,0.3360,0.3378,0.3289,0.3360,1322111,0
7117,CJCEN,D,20010706,0.3360,0.3413,0.3289,0.3289,976479,0
7117,CJCEN,D,20010709,0.3272,0.3289,0.3254,0.3272,465546,0
7117,CJCEN,D,20010710,0.3325,0.3325,0.3237,0.3254,561974,0
