<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
2852,CMSB,D,19940103,1.5386,1.5386,1.4970,1.5137,429417,0
2852,CMSB,D,19940104,1.5137,1.5137,1.4887,1.4887,754547,0
2852,CMSB,D,19940105,1.4970,1.4970,1.4721,1.4721,294457,0
2852,CMSB,D,19940106,1.4970,1.4970,1.4887,1.4970,141094,0
2852,CMSB,D,19940107,1.4970,1.4970,1.4555,1.4555,539839,0
2852,CMSB,D,19940110,1.4804,1.4887,1.4555,1.4555,190170,0
2852,CMSB,D,19940111,1.4388,1.4555,1.4139,1.4139,214709,0
2852,CMSB,D,19940112,1.4139,1.4139,1.2475,1.3141,190170,0
2852,CMSB,D,19940113,1.2475,1.3307,1.2475,1.2475,67480,0
2852,CMSB,D,19940114,1.2642,1.3474,1.2642,1.3141,417148,0
2852,CMSB,D,19940117,1.2974,1.3307,1.2475,1.2475,429417,0
2852,CMSB,D,19940118,1.2475,1.2475,1.1644,1.1644,368072,0
2852,CMSB,D,19940119,1.1810,1.1810,1.1228,1.1560,141094,0
2852,CMSB,D,19940120,1.1477,1.1477,1.0895,1.1311,79749,0
2852,CMSB,D,19940121,1.1062,1.1311,1.0812,1.0978,631857,0
2852,CMSB,D,19940124,1.0978,1.1145,1.0729,1.0812,515300,0
2852,CMSB,D,19940125,0.8317,1.0396,0.8317,0.9980,79749,0
2852,CMSB,D,19940126,0.9980,1.0812,0.8899,1.0812,1177830,0
2852,CMSB,D,19940127,1.0812,1.1311,1.0812,1.1311,993794,0
2852,CMSB,D,19940128,1.1574,1.1802,1.1574,1.1802,803623,0
2852,CMSB,D,19940131,1.1893,1.2725,1.1893,1.2558,1907839,0
2852,CMSB,D,19940202,1.2891,1.4804,1.2891,1.3557,803623,0
2852,CMSB,D,19940203,1.3390,1.3390,1.3141,1.3141,1368000,0
2852,CMSB,D,19940204,1.3141,1.3141,1.2475,1.2475,294457,0
2852,CMSB,D,19940207,1.2475,1.2475,1.2143,1.2475,1429345,0
2852,CMSB,D,19940208,1.2808,1.2891,1.2808,1.2808,30673,0
2852,CMSB,D,19940214,1.2878,1.2878,1.2878,1.2878,116556,0
2852,CMSB,D,19940215,1.2891,1.2891,1.2475,1.2891,104287,0
2852,CMSB,D,19940216,1.2891,1.2891,1.2891,1.2891,30673,0
2852,CMSB,D,19940217,1.3806,1.3806,1.2974,1.2974,128825,0
2852,CMSB,D,19940218,1.2891,1.2974,1.2891,1.2974,92018,0
2852,CMSB,D,19940221,1.2891,1.2891,1.2891,1.2891,6135,0
2852,CMSB,D,19940222,1.2974,1.2974,1.2974,1.2974,116556,0
2852,CMSB,D,19940223,1.2891,1.3141,1.2891,1.3141,190170,0
2852,CMSB,D,19940224,1.3058,1.3058,1.2974,1.2974,42942,0
2852,CMSB,D,19940225,1.2974,1.2974,1.2974,1.2974,55211,0
2852,CMSB,D,19940228,1.2974,1.2974,1.2974,1.2974,18404,0
2852,CMSB,D,19940301,1.2974,1.2974,1.2974,1.2974,6135,0
2852,CMSB,D,19940302,1.2974,1.2974,1.2808,1.2808,239247,0
2852,CMSB,D,19940303,1.3307,1.3307,1.2475,1.3307,288323,0
2852,CMSB,D,19940304,1.2891,1.3307,1.2725,1.3224,294457,0
2852,CMSB,D,19940307,1.3224,1.3307,1.3224,1.3307,79749,0
2852,CMSB,D,19940308,1.2725,1.3307,1.2392,1.3307,441686,0
2852,CMSB,D,19940309,1.3141,1.3141,1.2974,1.3141,705471,0
2852,CMSB,D,19940310,1.3141,1.3141,1.3058,1.3141,30673,0
2852,CMSB,D,19940311,1.3141,1.3141,1.2891,1.3141,294457,0
2852,CMSB,D,19940317,1.3141,1.3141,1.2808,1.3141,276054,0
2852,CMSB,D,19940318,1.2891,1.2891,1.2558,1.2808,441686,0
2852,CMSB,D,19940321,1.2475,1.2475,1.1560,1.1976,1220771,0
2852,CMSB,D,19940322,1.1644,1.1893,1.0146,1.1644,55211,0
2852,CMSB,D,19940323,1.1644,1.1644,1.1644,1.1644,141094,0
2852,CMSB,D,19940324,1.1644,1.1644,1.1644,1.1644,141094,0
2852,CMSB,D,19940325,1.1145,1.2060,1.1145,1.1644,1208502,0
2852,CMSB,D,19940329,1.1228,1.1228,1.0978,1.0978,165632,0
2852,CMSB,D,19940331,1.0978,1.1228,1.0978,1.1228,67480,0
2852,CMSB,D,19940401,1.0812,1.0812,1.0812,1.0812,42942,0
2852,CMSB,D,19940404,1.0812,1.1228,1.0563,1.1228,141094,0
2852,CMSB,D,19940405,1.1228,1.1228,1.1228,1.1228,18404,0
2852,CMSB,D,19940406,1.1145,1.1145,1.0729,1.0812,79749,0
2852,CMSB,D,19940407,1.1228,1.1228,1.1228,1.1228,6135,0
2852,CMSB,D,19940408,1.0812,1.1145,1.0812,1.1145,18404,0
2852,CMSB,D,19940412,1.1145,1.1145,1.0812,1.0812,503031,0
2852,CMSB,D,19940413,1.0812,1.0812,1.0479,1.0479,766816,0
2852,CMSB,D,19940414,1.0646,1.0646,1.0479,1.0646,276054,0
2852,CMSB,D,19940415,1.0812,1.0812,1.0563,1.0812,251516,0
2852,CMSB,D,19940418,1.0895,1.0895,1.0812,1.0895,288323,0
2852,CMSB,D,19940419,1.0895,1.0895,1.0812,1.0895,92018,0
2852,CMSB,D,19940420,1.0812,1.1062,1.0812,1.1062,226978,0
2852,CMSB,D,19940421,1.1062,1.1062,1.0978,1.0978,828161,0
2852,CMSB,D,19940422,1.1062,1.1062,1.0812,1.0812,1257578,0
2852,CMSB,D,19940425,1.1062,1.1062,1.1062,1.1062,6135,0
2852,CMSB,D,19940426,1.1062,1.1062,1.0978,1.0978,1668592,0
2852,CMSB,D,19940427,1.0978,1.0978,1.0812,1.0812,1509094,0
2852,CMSB,D,19940428,1.0812,1.0978,1.0812,1.0978,239247,0
2852,CMSB,D,19940429,1.0812,1.0978,1.0812,1.0978,18404,0
2852,CMSB,D,19940503,1.0895,1.0895,1.0812,1.0812,226978,0
2852,CMSB,D,19940504,1.0646,1.0812,1.0646,1.0812,18404,0
2852,CMSB,D,19940505,1.0812,1.0895,1.0812,1.0895,67480,0
2852,CMSB,D,19940506,1.0729,1.0729,1.0729,1.0729,6135,0
2852,CMSB,D,19940509,1.0396,1.0895,1.0396,1.0895,18404,0
2852,CMSB,D,19940510,1.0396,1.0978,1.0396,1.0978,67480,0
2852,CMSB,D,19940512,1.0812,1.0895,1.0729,1.0895,276054,0
2852,CMSB,D,19940513,1.0812,1.0895,1.0812,1.0812,877238,0
2852,CMSB,D,19940516,1.0646,1.0812,1.0646,1.0812,42942,0
2852,CMSB,D,19940517,1.0812,1.0812,1.0729,1.0729,67480,0
2852,CMSB,D,19940518,1.0812,1.0895,1.0729,1.0812,306726,0
2852,CMSB,D,19940519,1.0812,1.0812,1.0812,1.0812,67480,0
2852,CMSB,D,19940520,1.0812,1.0895,1.0812,1.0895,331265,0
2852,CMSB,D,19940523,1.0646,1.1228,1.0646,1.1228,177901,0
2852,CMSB,D,19940524,1.0812,1.0978,1.0646,1.0978,55211,0
2852,CMSB,D,19940526,1.0729,1.0895,1.0729,1.0895,2067336,0
2852,CMSB,D,19940527,1.0812,1.0895,1.0812,1.0812,1981453,0
2852,CMSB,D,19940530,1.0646,1.0646,1.0646,1.0646,6135,0
2852,CMSB,D,19940531,1.0646,1.0646,1.0646,1.0646,55211,0
2852,CMSB,D,19940601,1.0646,1.0646,1.0479,1.0563,177901,0
2852,CMSB,D,19940602,1.0729,1.0729,1.0563,1.0563,67480,0
2852,CMSB,D,19940603,1.0563,1.0812,1.0563,1.0812,116556,0
2852,CMSB,D,19940610,1.0646,1.0729,1.0479,1.0729,165632,0
2852,CMSB,D,19940613,1.0729,1.0812,1.0729,1.0729,2098009,0
2852,CMSB,D,19940614,1.0729,1.0812,1.0729,1.0812,306726,0
2852,CMSB,D,19940615,1.0895,1.0895,1.0812,1.0812,981525,0
2852,CMSB,D,19940616,1.0812,1.0812,1.0812,1.0812,116556,0
2852,CMSB,D,19940617,1.0812,1.0812,1.0812,1.0812,55211,0
2852,CMSB,D,19940620,1.0895,1.0978,1.0895,1.0895,318996,0
2852,CMSB,D,19940621,1.0812,1.0812,1.0812,1.0812,6135,0
2852,CMSB,D,19940622,1.0812,1.1062,1.0812,1.1062,104287,0
