<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
2127,COMFORT,D,19940103,18.5651,18.5651,17.4243,17.4243,461423,0
2127,COMFORT,D,19940104,17.9947,17.9947,16.5688,17.7095,416781,0
2127,COMFORT,D,19940105,17.9947,17.9947,16.8540,16.8540,435327,0
2127,COMFORT,D,19940106,17.1392,17.9947,16.2836,16.5688,514309,0
2127,COMFORT,D,19940107,16.2836,17.4243,15.9985,16.8540,609114,0
2127,COMFORT,D,19940110,17.4243,17.4243,16.8540,17.4243,347789,0
2127,COMFORT,D,19940111,16.5688,16.8540,15.1429,15.7133,405517,0
2127,COMFORT,D,19940112,15.7133,15.7133,10.5801,13.3178,1165869,0
2127,COMFORT,D,19940113,12.5763,13.3178,10.4660,10.5801,1223241,0
2127,COMFORT,D,19940114,12.5763,14.2874,10.5801,14.0022,1151817,0
2127,COMFORT,D,19940117,13.6030,14.5726,12.2912,12.2912,649247,0
2127,COMFORT,D,19940118,11.7208,12.9756,11.7208,12.4623,464892,0
2127,COMFORT,D,19940119,12.5763,12.5763,11.7208,11.8349,186043,0
2127,COMFORT,D,19940120,11.6067,11.9489,10.8082,11.2645,436344,0
2127,COMFORT,D,19940121,11.5497,11.7778,11.1504,11.2075,337435,0
2127,COMFORT,D,19940124,11.3215,11.3786,10.6942,10.8082,173645,0
2127,COMFORT,D,19940125,10.5801,10.5801,8.3557,8.5838,689202,0
2127,COMFORT,D,19940126,8.2987,9.1542,7.0439,8.6979,1198253,0
2127,COMFORT,D,19940127,9.2112,10.4660,8.7550,10.2949,1261303,0
2127,COMFORT,D,19940128,9.9527,11.1504,9.9527,10.3519,1055801,0
2127,COMFORT,D,19940131,10.4090,10.8082,10.2379,10.2949,271979,0
2127,COMFORT,D,19940202,10.5231,10.8082,10.4660,10.7512,326810,0
2127,COMFORT,D,19940203,10.7512,10.8653,10.5801,10.6942,233155,0
2127,COMFORT,D,19940204,10.6942,11.5497,10.5231,11.0364,654128,0
2127,COMFORT,D,19940207,10.5801,10.7512,10.0668,10.2379,292326,0
2127,COMFORT,D,19940208,10.5231,10.5801,10.2379,10.4090,190451,0
