<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5301,CTOS,D,20210719,1.5000,1.7600,1.5000,1.6200,365185800,0
5301,CTOS,D,20210721,1.6400,1.6600,1.5700,1.5800,65764700,0
5301,CTOS,D,20210722,1.5900,1.6000,1.5200,1.5400,37309500,0
5301,CTOS,D,20210723,1.5400,1.5800,1.5100,1.5300,38979000,0
5301,CTOS,D,20210726,1.5300,1.5600,1.5200,1.5300,23483800,0
5301,CTOS,D,20210727,1.5400,1.6200,1.5300,1.5400,61084000,0
5301,CTOS,D,20210728,1.5500,1.5800,1.5400,1.5600,15667300,0
5301,CTOS,D,20210729,1.5600,1.6000,1.5400,1.5400,35825400,0
5301,CTOS,D,20210730,1.5400,1.5500,1.5200,1.5300,19095000,0
5301,CTOS,D,20210802,1.5300,1.5500,1.5300,1.5300,10782900,0
5301,CTOS,D,20210803,1.5300,1.5600,1.5300,1.5500,15229200,0
5301,CTOS,D,20210804,1.5400,1.5700,1.5300,1.5500,17981800,0
5301,CTOS,D,20210805,1.5500,1.5800,1.5400,1.5600,9816400,0
5301,CTOS,D,20210806,1.5700,1.5700,1.5500,1.5600,6258300,0
5301,CTOS,D,20210809,1.5600,1.5800,1.5500,1.5600,10510700,0
5301,CTOS,D,20210811,1.5700,1.6100,1.5600,1.5800,28590200,0
5301,CTOS,D,20210812,1.5800,1.5900,1.5500,1.5700,14696900,0
5301,CTOS,D,20210813,1.5700,1.5700,1.5500,1.5700,7276600,0
5301,CTOS,D,20210816,1.5500,1.5600,1.5300,1.5500,14695600,0
5301,CTOS,D,20210817,1.5500,1.5600,1.5400,1.5600,9216200,0
5301,CTOS,D,20210818,1.5500,1.5600,1.5400,1.5600,4239400,0
5301,CTOS,D,20210819,1.5500,1.5700,1.5500,1.5600,4444900,0
5301,CTOS,D,20210820,1.5600,1.6300,1.5500,1.6100,29930500,0
5301,CTOS,D,20210823,1.6200,1.6500,1.5900,1.6200,21519700,0
5301,CTOS,D,20210824,1.6200,1.7200,1.6100,1.7000,50950600,0
5301,CTOS,D,20210825,1.7000,1.7300,1.6800,1.7100,41707900,0
5301,CTOS,D,20210826,1.7000,1.8000,1.6900,1.7900,50608700,0
5301,CTOS,D,20210827,1.7900,1.8300,1.7500,1.7600,42385800,0
5301,CTOS,D,20210830,1.7700,1.7800,1.7300,1.7400,17115800,0
5301,CTOS,D,20210901,1.7400,1.7800,1.7200,1.7600,29062400,0
5301,CTOS,D,20210902,1.7600,1.8000,1.7500,1.7500,13083200,0
5301,CTOS,D,20210903,1.7600,1.9200,1.7500,1.9000,98231900,0
5301,CTOS,D,20210906,1.8900,1.9800,1.8900,1.8900,51662600,0
5301,CTOS,D,20210907,1.9000,1.9300,1.8600,1.9000,27973000,0
5301,CTOS,D,20210908,1.8900,1.9400,1.8700,1.8800,19208500,0
5301,CTOS,D,20210909,1.8900,1.9000,1.7900,1.8200,50206800,0
5301,CTOS,D,20210910,1.8200,1.8600,1.8100,1.8500,20162400,0
5301,CTOS,D,20210913,1.8500,1.8600,1.8200,1.8300,14214600,0
5301,CTOS,D,20210914,1.8400,1.8900,1.8300,1.8500,21577000,0
5301,CTOS,D,20210915,1.8600,1.8800,1.8400,1.8400,14007700,0
5301,CTOS,D,20210917,1.8500,1.8600,1.7600,1.8500,47369800,0
5301,CTOS,D,20210920,1.8700,1.9100,1.8400,1.8800,25474000,0
5301,CTOS,D,20210921,1.8600,1.9900,1.8600,1.9800,51132000,0
5301,CTOS,D,20210922,1.9700,2.0200,1.9100,2.0200,63920200,0
5301,CTOS,D,20210923,2.0100,2.0700,2.0000,2.0400,32613600,0
5301,CTOS,D,20210924,2.0400,2.0900,2.0200,2.0400,32103100,0
5301,CTOS,D,20210927,2.0300,2.0500,1.9800,1.9800,25383800,0
5301,CTOS,D,20210928,1.9700,2.0800,1.9600,2.0200,24747400,0
5301,CTOS,D,20210929,2.0100,2.0500,2.0000,2.0200,11115500,0
5301,CTOS,D,20210930,2.0300,2.0800,2.0100,2.0200,13781300,0
5301,CTOS,D,20211001,2.0100,2.0300,1.8700,1.9200,42919200,0
5301,CTOS,D,20211004,1.8500,1.9200,1.8000,1.8700,84488700,0
5301,CTOS,D,20211005,1.8600,1.9100,1.8300,1.9000,18298700,0
5301,CTOS,D,20211006,1.9000,2.0500,1.8900,2.0100,26844100,0
5301,CTOS,D,20211007,2.0400,2.1000,2.0300,2.0500,16892300,0
5301,CTOS,D,20211008,2.0600,2.0600,2.0100,2.0300,10103500,0
5301,CTOS,D,20211011,2.0300,2.0300,1.9700,1.9900,16120900,0
5301,CTOS,D,20211012,1.9900,2.0300,1.9800,1.9900,11452800,0
5301,CTOS,D,20211013,1.9900,2.0200,1.9800,2.0000,7295700,0
5301,CTOS,D,20211014,2.0000,2.0600,1.9900,2.0000,12512700,0
5301,CTOS,D,20211015,2.0000,2.0700,2.0000,2.0600,18120000,0
5301,CTOS,D,20211018,2.0800,2.0800,2.0200,2.0400,15401400,0
5301,CTOS,D,20211020,2.0200,2.0300,1.9900,2.0000,14961000,0
5301,CTOS,D,20211021,2.0000,2.0100,1.8900,1.8900,35445600,0
5301,CTOS,D,20211022,1.8900,1.9400,1.8900,1.9100,14561400,0
5301,CTOS,D,20211025,1.9200,1.9500,1.9100,1.9200,6453400,0
5301,CTOS,D,20211026,1.9400,1.9900,1.9300,1.9800,16060700,0
5301,CTOS,D,20211027,1.9700,1.9800,1.9300,1.9500,10038500,0
5301,CTOS,D,20211028,1.9600,1.9700,1.9400,1.9500,4622800,0
5301,CTOS,D,20211029,1.9500,1.9800,1.9300,1.9300,5410200,0
5301,CTOS,D,20211101,1.9200,1.9500,1.8900,1.9100,8844000,0
5301,CTOS,D,20211102,1.9100,1.9500,1.9100,1.9300,5409000,0
5301,CTOS,D,20211103,1.9300,1.9400,1.9000,1.9400,5778500,0
5301,CTOS,D,20211105,1.9400,2.0200,1.9300,1.9900,29278800,0
5301,CTOS,D,20211108,1.9900,2.0000,1.9500,1.9600,7368400,0
5301,CTOS,D,20211109,1.9700,2.0100,1.9600,1.9800,10908000,0
5301,CTOS,D,20211110,1.9700,1.9900,1.9600,1.9800,5011800,0
5301,CTOS,D,20211111,1.9800,1.9900,1.9000,1.9000,15487700,0
5301,CTOS,D,20211112,1.9000,1.9400,1.8900,1.9000,14900000,0
5301,CTOS,D,20211115,1.9100,1.9400,1.8900,1.9300,9177100,0
5301,CTOS,D,20211116,1.9300,1.9400,1.9100,1.9200,4350900,0
5301,CTOS,D,20211117,1.9400,1.9700,1.9000,1.9100,19020200,0
5301,CTOS,D,20211118,1.9500,1.9700,1.9100,1.9700,19145600,0
5301,CTOS,D,20211119,1.9500,1.9800,1.9400,1.9700,10971800,0
