<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5184,CYPARK,D,20101015,0.7267,0.7533,0.6800,0.6800,24360600,0
5184,CYPARK,D,20101018,0.6633,0.6667,0.6367,0.6433,2216850,0
5184,CYPARK,D,20101019,0.6467,0.6733,0.6400,0.6667,1531800,0
5184,CYPARK,D,20101020,0.6667,0.6800,0.6467,0.6567,1726800,0
5184,CYPARK,D,20101021,0.6600,0.6600,0.6367,0.6433,3583650,0
5184,CYPARK,D,20101022,0.6500,0.6667,0.6433,0.6467,1902150,0
5184,CYPARK,D,20101025,0.6467,0.6500,0.6400,0.6500,766500,0
5184,CYPARK,D,20101026,0.6533,0.6533,0.6400,0.6467,889200,0
5184,CYPARK,D,20101027,0.6467,0.6467,0.6400,0.6467,990000,0
5184,CYPARK,D,20101028,0.6467,0.6867,0.6367,0.6867,3887550,0
5184,CYPARK,D,20101029,0.6867,0.7400,0.6867,0.7200,6358800,0
5184,CYPARK,D,20101101,0.7200,0.7333,0.7067,0.7133,1598700,0
5184,CYPARK,D,20101102,0.7133,0.7133,0.6933,0.7000,625350,0
5184,CYPARK,D,20101103,0.7067,0.7133,0.6867,0.6933,1248750,0
5184,CYPARK,D,20101104,0.6933,0.6933,0.6733,0.6867,834000,0
5184,CYPARK,D,20101108,0.6867,0.6933,0.6733,0.6733,744600,0
5184,CYPARK,D,20101109,0.7000,0.7200,0.6867,0.7133,1396050,0
5184,CYPARK,D,20101110,0.7200,0.7733,0.7200,0.7600,5866500,0
5184,CYPARK,D,20101111,0.7600,0.7667,0.7400,0.7600,2026650,0
5184,CYPARK,D,20101112,0.7467,0.7533,0.7200,0.7467,1982700,0
5184,CYPARK,D,20101115,0.7400,0.7600,0.7267,0.7467,424950,0
5184,CYPARK,D,20101116,0.7400,0.7467,0.6933,0.7200,1135800,0
5184,CYPARK,D,20101118,0.7267,0.7333,0.7133,0.7333,806850,0
5184,CYPARK,D,20101119,0.7400,0.8067,0.7267,0.8000,5498850,0
5184,CYPARK,D,20101122,0.8000,0.8267,0.7933,0.8067,2229600,0
5184,CYPARK,D,20101123,0.7933,0.8000,0.7667,0.7733,922950,0
5184,CYPARK,D,20101124,0.7400,0.7933,0.7400,0.7933,1187700,0
5184,CYPARK,D,20101125,0.7867,0.8067,0.7733,0.7867,1557150,0
5184,CYPARK,D,20101126,0.7933,0.7933,0.7467,0.7533,895500,0
5184,CYPARK,D,20101129,0.7467,0.7667,0.7400,0.7533,569850,0
5184,CYPARK,D,20101130,0.7667,0.7667,0.7400,0.7467,425700,0
5184,CYPARK,D,20101201,0.7533,0.7600,0.7400,0.7600,475500,0
5184,CYPARK,D,20101202,0.7467,0.7667,0.7467,0.7600,501000,0
5184,CYPARK,D,20101203,0.7600,0.7600,0.7467,0.7600,834900,0
5184,CYPARK,D,20101206,0.7667,0.8067,0.7600,0.7933,1084800,0
5184,CYPARK,D,20101208,0.8000,0.8067,0.7867,0.8067,964200,0
5184,CYPARK,D,20101209,0.8067,0.8400,0.7933,0.8200,1126200,0
5184,CYPARK,D,20101210,0.8267,0.8533,0.8267,0.8400,1180800,0
5184,CYPARK,D,20101213,0.8467,0.8467,0.8333,0.8400,462750,0
5184,CYPARK,D,20101214,0.8400,0.8400,0.8067,0.8400,525000,0
5184,CYPARK,D,20101215,0.8467,0.8800,0.8400,0.8667,2550150,0
5184,CYPARK,D,20101216,0.8667,0.8800,0.8400,0.8600,834300,0
5184,CYPARK,D,20101217,0.8667,0.8733,0.8600,0.8600,406500,0
5184,CYPARK,D,20101220,0.8667,0.8733,0.8467,0.8600,823500,0
5184,CYPARK,D,20101221,0.8667,0.9133,0.8667,0.8867,1655250,0
5184,CYPARK,D,20101222,0.9067,0.9067,0.8933,0.9067,403500,0
5184,CYPARK,D,20101223,0.9067,0.9067,0.8933,0.9067,420750,0
5184,CYPARK,D,20101224,0.9000,0.9067,0.9000,0.9067,279000,0
5184,CYPARK,D,20101227,0.9000,0.9000,0.8800,0.8867,483000,0
5184,CYPARK,D,20101228,0.8933,0.8933,0.8733,0.8867,208500,0
5184,CYPARK,D,20101229,0.8933,0.9400,0.8867,0.9267,1334400,0
5184,CYPARK,D,20101230,0.9400,0.9733,0.9333,0.9600,2250300,0
5184,CYPARK,D,20110103,0.9600,1.0467,0.9600,1.0467,3266400,0
5184,CYPARK,D,20110104,1.0600,1.0800,1.0333,1.0533,2800800,0
5184,CYPARK,D,20110105,1.0533,1.0600,1.0200,1.0267,2280150,0
5184,CYPARK,D,20110106,1.0333,1.0600,1.0067,1.0133,3900450,0
5184,CYPARK,D,20110107,1.0333,1.1467,1.0333,1.1200,7121250,0
5184,CYPARK,D,20110110,1.1333,1.1533,1.1067,1.1133,3300000,0
5184,CYPARK,D,20110111,1.1133,1.1467,1.1133,1.1467,1705350,0
5184,CYPARK,D,20110112,1.1600,1.2533,1.1600,1.2067,4835850,0
5184,CYPARK,D,20110113,1.2200,1.3133,1.2133,1.2933,3857400,0
5184,CYPARK,D,20110114,1.3000,1.3333,1.2200,1.2467,2723700,0
5184,CYPARK,D,20110117,1.2667,1.3000,1.2400,1.2667,1465800,0
5184,CYPARK,D,20110118,1.2733,1.2800,1.2067,1.2067,1677150,0
5184,CYPARK,D,20110119,1.2067,1.2333,1.2000,1.2200,1061700,0
