<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
8125,DAIBOCI,D,19940103,0.5495,0.5591,0.5398,0.5398,373248,0
8125,DAIBOCI,D,19940104,0.5495,0.5543,0.5447,0.5447,93312,0
8125,DAIBOCI,D,19940105,0.5495,0.5495,0.5350,0.5350,964656,0
8125,DAIBOCI,D,19940107,0.5013,0.5013,0.5013,0.5013,82944,0
8125,DAIBOCI,D,19940110,0.5302,0.5302,0.5013,0.5302,259200,0
8125,DAIBOCI,D,19940111,0.5157,0.5398,0.5157,0.5157,155520,0
8125,DAIBOCI,D,19940112,0.5013,0.5013,0.4801,0.4801,62208,0
8125,DAIBOCI,D,19940114,0.4820,0.4820,0.3663,0.4820,165888,0
8125,DAIBOCI,D,19940118,0.4666,0.4666,0.4666,0.4666,10368,0
8125,DAIBOCI,D,19940119,0.4338,0.4338,0.4338,0.4338,10368,0
8125,DAIBOCI,D,19940120,0.4242,0.4242,0.4242,0.4242,10368,0
8125,DAIBOCI,D,19940121,0.3952,0.3952,0.3952,0.3952,20736,0
8125,DAIBOCI,D,19940124,0.3952,0.3952,0.3856,0.3952,124416,0
8125,DAIBOCI,D,19940125,0.3856,0.3856,0.3856,0.3856,51840,0
8125,DAIBOCI,D,19940126,0.3856,0.3856,0.3856,0.3856,10368,0
8125,DAIBOCI,D,19940127,0.3856,0.3952,0.3856,0.3856,176256,0
8125,DAIBOCI,D,19940128,0.3952,0.4145,0.3952,0.3952,155520,0
8125,DAIBOCI,D,19940203,0.3952,0.3952,0.3952,0.3952,10368,0
8125,DAIBOCI,D,19940204,0.4145,0.4242,0.4145,0.4145,41472,0
8125,DAIBOCI,D,19940214,0.4145,0.4145,0.4145,0.4145,10368,0
8125,DAIBOCI,D,19940215,0.4145,0.4145,0.4145,0.4145,10368,0
8125,DAIBOCI,D,19940217,0.3972,0.3972,0.3856,0.3856,41472,0
8125,DAIBOCI,D,19940218,0.3856,0.3856,0.3856,0.3856,155520,0
8125,DAIBOCI,D,19940221,0.4242,0.4338,0.4222,0.4338,155520,0
8125,DAIBOCI,D,19940223,0.4338,0.4434,0.4338,0.4338,155520,0
8125,DAIBOCI,D,19940224,0.4434,0.4434,0.4319,0.4319,145152,0
8125,DAIBOCI,D,19940225,0.4338,0.4338,0.4242,0.4242,165888,0
8125,DAIBOCI,D,19940301,0.4242,0.4242,0.4145,0.4145,165888,0
8125,DAIBOCI,D,19940302,0.3875,0.4222,0.3875,0.3952,41472,0
8125,DAIBOCI,D,19940303,0.4049,0.4049,0.4049,0.4049,51840,0
8125,DAIBOCI,D,19940304,0.3952,0.3952,0.3952,0.3952,31104,0
8125,DAIBOCI,D,19940309,0.3856,0.3856,0.3856,0.3856,10368,0
8125,DAIBOCI,D,19940311,0.3856,0.3856,0.3856,0.3856,51840,0
8125,DAIBOCI,D,19940317,0.3856,0.3856,0.3856,0.3856,41472,0
8125,DAIBOCI,D,19940318,0.3663,0.3663,0.3663,0.3663,31104,0
8125,DAIBOCI,D,19940322,0.3952,0.3952,0.3952,0.3952,10368,0
8125,DAIBOCI,D,19940324,0.3567,0.3586,0.3567,0.3567,62208,0
8125,DAIBOCI,D,19940325,0.3567,0.3567,0.3567,0.3567,20736,0
8125,DAIBOCI,D,19940329,0.3278,0.3278,0.3278,0.3278,10368,0
8125,DAIBOCI,D,19940330,0.3278,0.3470,0.3278,0.3470,124416,0
8125,DAIBOCI,D,19940331,0.3470,0.3470,0.3470,0.3470,10368,0
8125,DAIBOCI,D,19940408,0.3470,0.3470,0.3470,0.3470,10368,0
8125,DAIBOCI,D,19940411,0.2988,0.2988,0.2988,0.2988,51840,0
8125,DAIBOCI,D,19940419,0.3297,0.3297,0.3278,0.3278,51840,0
8125,DAIBOCI,D,19940420,0.3278,0.3278,0.3278,0.3278,62208,0
8125,DAIBOCI,D,19940422,0.3181,0.3181,0.3181,0.3181,62208,0
8125,DAIBOCI,D,19940425,0.3278,0.3374,0.3278,0.3374,31104,0
8125,DAIBOCI,D,19940426,0.3374,0.3374,0.3374,0.3374,31104,0
8125,DAIBOCI,D,19940427,0.3374,0.3374,0.3181,0.3181,31104,0
8125,DAIBOCI,D,19940503,0.3181,0.3200,0.3181,0.3181,72576,0
8125,DAIBOCI,D,19940510,0.2892,0.2892,0.2892,0.2892,10368,0
8125,DAIBOCI,D,19940511,0.2988,0.2988,0.2988,0.2988,20736,0
8125,DAIBOCI,D,19940513,0.2988,0.2988,0.2988,0.2988,20736,0
8125,DAIBOCI,D,19940517,0.2911,0.2911,0.2911,0.2911,10368,0
8125,DAIBOCI,D,19940519,0.3470,0.3470,0.3470,0.3470,51840,0
8125,DAIBOCI,D,19940524,0.3721,0.3721,0.3413,0.3413,72576,0
8125,DAIBOCI,D,19940527,0.3181,0.3181,0.2988,0.2988,41472,0
8125,DAIBOCI,D,19940531,0.2988,0.2988,0.2796,0.2796,31104,0
8125,DAIBOCI,D,19940606,0.2892,0.3586,0.2892,0.3258,51840,0
8125,DAIBOCI,D,19940607,0.2988,0.2988,0.2988,0.2988,20736,0
8125,DAIBOCI,D,19940609,0.2699,0.3046,0.2699,0.3046,20736,0
8125,DAIBOCI,D,19940613,0.3162,0.3181,0.2892,0.2892,82944,0
8125,DAIBOCI,D,19940615,0.2988,0.2988,0.2988,0.2988,10368,0
8125,DAIBOCI,D,19940616,0.2988,0.2988,0.2988,0.2988,41472,0
8125,DAIBOCI,D,19940617,0.2988,0.2988,0.2988,0.2988,20736,0
8125,DAIBOCI,D,19940622,0.2892,0.2892,0.2892,0.2892,31104,0
8125,DAIBOCI,D,19940624,0.2892,0.2892,0.2892,0.2892,20736,0
8125,DAIBOCI,D,19940627,0.2892,0.3066,0.2892,0.3066,155520,0
8125,DAIBOCI,D,19940629,0.2796,0.2796,0.2796,0.2796,20736,0
8125,DAIBOCI,D,19940704,0.2796,0.2796,0.2796,0.2796,41472,0
8125,DAIBOCI,D,19940707,0.2699,0.2699,0.2699,0.2699,10368,0
8125,DAIBOCI,D,19940708,0.2699,0.2699,0.2699,0.2699,10368,0
8125,DAIBOCI,D,19940712,0.2699,0.2699,0.2699,0.2699,62208,0
8125,DAIBOCI,D,19940714,0.2699,0.2699,0.2699,0.2699,10368,0
8125,DAIBOCI,D,19940719,0.2796,0.2796,0.2796,0.2796,51840,0
8125,DAIBOCI,D,19940720,0.2796,0.2796,0.2796,0.2796,10368,0
8125,DAIBOCI,D,19940722,0.2892,0.2892,0.2892,0.2892,51840,0
8125,DAIBOCI,D,19940725,0.2911,0.2911,0.2911,0.2911,41472,0
8125,DAIBOCI,D,19940726,0.2950,0.2988,0.2950,0.2969,269568,0
8125,DAIBOCI,D,19940727,0.2969,0.2969,0.2969,0.2969,51840,0
8125,DAIBOCI,D,19940728,0.2969,0.2988,0.2969,0.2988,82944,0
8125,DAIBOCI,D,19940802,0.2988,0.2988,0.2988,0.2988,20736,0
8125,DAIBOCI,D,19940804,0.2931,0.2931,0.2931,0.2931,72576,0
8125,DAIBOCI,D,19940805,0.2950,0.3181,0.2931,0.3181,362880,0
8125,DAIBOCI,D,19940808,0.3104,0.3104,0.3085,0.3085,103680,0
8125,DAIBOCI,D,19940809,0.3085,0.3123,0.3085,0.3104,62208,0
8125,DAIBOCI,D,19940810,0.3123,0.3181,0.3104,0.3181,269568,0
8125,DAIBOCI,D,19940811,0.3278,0.3355,0.3181,0.3181,279936,0
8125,DAIBOCI,D,19940812,0.3220,0.3432,0.3220,0.3374,342144,0
8125,DAIBOCI,D,19940815,0.3547,0.3567,0.3470,0.3470,279936,0
8125,DAIBOCI,D,19940816,0.3586,0.3856,0.3586,0.3856,217728,0
8125,DAIBOCI,D,19940817,0.3875,0.3875,0.3759,0.3759,217728,0
8125,DAIBOCI,D,19940818,0.3374,0.3759,0.3374,0.3759,373248,0
8125,DAIBOCI,D,19940819,0.3413,0.3663,0.3413,0.3663,228096,0
8125,DAIBOCI,D,19940822,0.3567,0.3567,0.3470,0.3470,134784,0
8125,DAIBOCI,D,19940823,0.3528,0.3567,0.3490,0.3490,186624,0
8125,DAIBOCI,D,19940824,0.3509,0.3759,0.3509,0.3567,238464,0
