<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5276,DANCO,D,20160721,0.2812,0.2953,0.2777,0.2812,108892023,0
5276,DANCO,D,20160722,0.2812,0.2830,0.2795,0.2812,17161513,0
5276,DANCO,D,20160725,0.2812,0.2865,0.2795,0.2812,31794498,0
5276,DANCO,D,20160726,0.2812,0.2848,0.2795,0.2830,9911868,0
5276,DANCO,D,20160727,0.2848,0.3006,0.2848,0.2971,68747035,0
5276,DANCO,D,20160728,0.2988,0.3041,0.2971,0.3006,31413896,0
5276,DANCO,D,20160729,0.3023,0.3023,0.3006,0.3006,6493277,0
5276,DANCO,D,20160801,0.3006,0.3111,0.2918,0.3111,22899559,0
5276,DANCO,D,20160802,0.3111,0.3164,0.3094,0.3129,20532886,0
5276,DANCO,D,20160803,0.3146,0.3252,0.3146,0.3234,13121101,0
5276,DANCO,D,20160804,0.3252,0.3252,0.3182,0.3217,2892064,0
5276,DANCO,D,20160805,0.3199,0.3305,0.3164,0.3287,12306419,0
5276,DANCO,D,20160808,0.3305,0.3340,0.3287,0.3305,4138266,0
5276,DANCO,D,20160809,0.3305,0.3428,0.3305,0.3428,13393894,0
5276,DANCO,D,20160810,0.3428,0.3463,0.3375,0.3445,21339034,0
5276,DANCO,D,20160811,0.3463,0.3515,0.3410,0.3480,42601265,0
5276,DANCO,D,20160812,0.3463,0.3463,0.3305,0.3428,29026741,0
5276,DANCO,D,20160815,0.3445,0.3445,0.3375,0.3375,5858655,0
5276,DANCO,D,20160816,0.3392,0.3515,0.3322,0.3498,28592092,0
5276,DANCO,D,20160817,0.3515,0.3762,0.3515,0.3726,35991646,0
5276,DANCO,D,20160818,0.3726,0.3867,0.3621,0.3832,15801529,0
5276,DANCO,D,20160819,0.3832,0.3972,0.3832,0.3902,29591671,0
5276,DANCO,D,20160822,0.3902,0.3902,0.3726,0.3867,18531453,0
5276,DANCO,D,20160823,0.3867,0.3867,0.3797,0.3867,6770621,0
5276,DANCO,D,20160824,0.3867,0.4008,0.3797,0.4008,20556780,0
5276,DANCO,D,20160825,0.4008,0.4183,0.4008,0.4183,27124015,0
5276,DANCO,D,20160826,0.4183,0.4289,0.4183,0.4289,21736134,0
5276,DANCO,D,20160829,0.4324,0.4500,0.4324,0.4500,27228126,0
5276,DANCO,D,20160830,0.4500,0.4570,0.4219,0.4430,41402567,0
5276,DANCO,D,20160901,0.4430,0.4535,0.4394,0.4500,19600154,0
5276,DANCO,D,20160902,0.4535,0.4640,0.4535,0.4570,20623912,0
5276,DANCO,D,20160905,0.4605,0.4605,0.4500,0.4535,8934193,0
5276,DANCO,D,20160906,0.4535,0.4570,0.4500,0.4500,3628805,0
5276,DANCO,D,20160907,0.4535,0.4570,0.4535,0.4570,3410627,0
5276,DANCO,D,20160908,0.4570,0.4570,0.4430,0.4570,5060756,0
5276,DANCO,D,20160909,0.4500,0.4570,0.4500,0.4570,2050359,0
5276,DANCO,D,20160913,0.4535,0.4676,0.4500,0.4570,22386970,0
5276,DANCO,D,20160914,0.4500,0.4570,0.4465,0.4570,5947690,0
5276,DANCO,D,20160915,0.4500,0.4570,0.4500,0.4570,3020922,0
5276,DANCO,D,20160919,0.4500,0.4570,0.4500,0.4570,3548019,0
5276,DANCO,D,20160920,0.4570,0.4570,0.4465,0.4570,5849268,0
5276,DANCO,D,20160921,0.4570,0.4605,0.4535,0.4570,3031732,0
5276,DANCO,D,20160922,0.4500,0.4570,0.4500,0.4570,832603,0
5276,DANCO,D,20160923,0.4570,0.4570,0.4500,0.4570,4904021,0
5276,DANCO,D,20160926,0.4570,0.4676,0.4535,0.4570,16082287,0
5276,DANCO,D,20160927,0.4535,0.4570,0.4465,0.4570,3707315,0
5276,DANCO,D,20160928,0.4500,0.4570,0.4465,0.4570,4615583,0
5276,DANCO,D,20160929,0.4500,0.4570,0.4500,0.4570,4347910,0
5276,DANCO,D,20160930,0.4535,0.4570,0.4535,0.4570,2621262,0
5276,DANCO,D,20161004,0.4535,0.4570,0.4535,0.4570,3436228,0
5276,DANCO,D,20161005,0.4500,0.4570,0.4465,0.4570,8933340,0
5276,DANCO,D,20161006,0.4535,0.4676,0.4535,0.4640,5263004,0
5276,DANCO,D,20161007,0.4640,0.4640,0.4535,0.4570,440907,0
5276,DANCO,D,20161010,0.4640,0.4640,0.4640,0.4640,4956361,0
5276,DANCO,D,20161011,0.4640,0.4640,0.4605,0.4605,3986082,0
5276,DANCO,D,20161012,0.4605,0.4640,0.4570,0.4605,3409774,0
5276,DANCO,D,20161013,0.4640,0.4640,0.4605,0.4640,2425272,0
5276,DANCO,D,20161014,0.4605,0.4640,0.4605,0.4605,1877694,0
