<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
8338,DATAPRP,D,19940103,6.9700,7.0383,6.7650,6.7992,324800,0
8338,DATAPRP,D,19940104,6.9017,6.9700,6.6967,6.6967,387800,0
8338,DATAPRP,D,19940105,6.6967,6.8333,6.4917,6.4917,156500,0
8338,DATAPRP,D,19940106,6.2867,6.4917,6.1500,6.2183,196000,0
8338,DATAPRP,D,19940107,6.2867,6.3208,6.0817,6.1842,158000,0
8338,DATAPRP,D,19940110,6.8333,7.1750,6.2867,6.9017,957000,0
8338,DATAPRP,D,19940111,6.4917,6.9017,6.2183,6.2525,405300,0
8338,DATAPRP,D,19940112,6.1500,6.1842,4.9200,5.2617,200400,0
8338,DATAPRP,D,19940113,5.5350,5.5350,4.8175,4.8175,452100,0
8338,DATAPRP,D,19940114,4.9883,5.7400,4.9200,5.7400,264800,0
8338,DATAPRP,D,19940117,5.5692,5.8083,5.2617,5.2617,225300,0
8338,DATAPRP,D,19940118,5.1933,5.4667,5.1250,5.4667,210700,0
8338,DATAPRP,D,19940119,5.4667,5.5350,5.1933,5.1933,11700,0
8338,DATAPRP,D,19940120,5.1933,5.1933,4.9200,4.9542,86300,0
8338,DATAPRP,D,19940121,5.1250,5.2617,5.0567,5.0908,42400,0
8338,DATAPRP,D,19940124,5.0908,5.0908,4.8858,4.8858,19000,0
8338,DATAPRP,D,19940125,4.6467,4.6467,4.3392,4.3392,76000,0
8338,DATAPRP,D,19940126,4.1000,4.2367,4.0658,4.2367,61400,0
8338,DATAPRP,D,19940127,4.3050,5.2617,4.3050,5.0908,215100,0
8338,DATAPRP,D,19940128,5.0908,5.1250,4.8517,4.8517,48200,0
8338,DATAPRP,D,19940131,4.8517,4.8517,4.5783,4.7150,16000,0
8338,DATAPRP,D,19940202,4.9200,5.1250,4.9200,5.0567,33600,0
8338,DATAPRP,D,19940203,5.2275,5.2617,5.1250,5.1592,49700,0
8338,DATAPRP,D,19940204,5.1933,5.2958,5.1933,5.1933,40900,0
8338,DATAPRP,D,19940207,5.0567,5.0567,4.9200,4.9200,11700,0
