<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5141,DAYANG,D,20080424,0.4626,0.4763,0.4075,0.4213,150854486,0
5141,DAYANG,D,20080425,0.4240,0.4323,0.4158,0.4240,16178689,0
5141,DAYANG,D,20080428,0.4268,0.4268,0.4158,0.4213,3288691,0
5141,DAYANG,D,20080429,0.4158,0.4185,0.4075,0.4130,6450992,0
5141,DAYANG,D,20080430,0.4103,0.4158,0.4020,0.4103,23191899,0
5141,DAYANG,D,20080502,0.4130,0.4268,0.4075,0.4185,13728968,0
5141,DAYANG,D,20080505,0.4213,0.4213,0.4103,0.4130,2756617,0
5141,DAYANG,D,20080506,0.4103,0.4185,0.4047,0.4185,3658782,0
5141,DAYANG,D,20080507,0.4213,0.4268,0.4103,0.4158,12886729,0
5141,DAYANG,D,20080508,0.4130,0.4158,0.4075,0.4103,2901167,0
5141,DAYANG,D,20080509,0.4130,0.4158,0.4103,0.4130,1488718,0
5141,DAYANG,D,20080512,0.4103,0.4103,0.4075,0.4075,2364371,0
5141,DAYANG,D,20080513,0.4075,0.4185,0.4047,0.4075,12299450,0
5141,DAYANG,D,20080514,0.4075,0.4158,0.4075,0.4158,1832297,0
5141,DAYANG,D,20080515,0.4158,0.4158,0.4075,0.4075,1808326,0
5141,DAYANG,D,20080516,0.4130,0.4158,0.4103,0.4103,3358787,0
5141,DAYANG,D,20080520,0.4075,0.4075,0.3965,0.4020,7472647,0
5141,DAYANG,D,20080521,0.3965,0.4047,0.3965,0.4047,1168021,0
5141,DAYANG,D,20080522,0.4020,0.4020,0.3992,0.3992,1254824,0
5141,DAYANG,D,20080523,0.3992,0.4020,0.3992,0.3992,960276,0
5141,DAYANG,D,20080526,0.3992,0.4020,0.3855,0.3855,3332637,0
5141,DAYANG,D,20080527,0.3882,0.3882,0.3745,0.3855,1663050,0
5141,DAYANG,D,20080528,0.3855,0.3855,0.3745,0.3745,1380124,0
5141,DAYANG,D,20080529,0.3772,0.3800,0.3745,0.3800,739819,0
5141,DAYANG,D,20080530,0.3800,0.3827,0.3745,0.3745,1298043,0
5141,DAYANG,D,20080602,0.3745,0.3772,0.3717,0.3745,768875,0
5141,DAYANG,D,20080603,0.3745,0.3772,0.3690,0.3690,1257366,0
5141,DAYANG,D,20080604,0.3690,0.3717,0.3607,0.3607,1173832,0
5141,DAYANG,D,20080605,0.3579,0.3579,0.3469,0.3497,2237617,0
5141,DAYANG,D,20080606,0.3524,0.3579,0.3497,0.3524,1200708,0
5141,DAYANG,D,20080609,0.3469,0.3524,0.3414,0.3497,746720,0
