<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7212,DESTINI,D,20050316,0.3686,0.4257,0.3600,0.4143,68592082,0
7212,DESTINI,D,20050317,0.4171,0.4457,0.4171,0.4371,22923545,0
7212,DESTINI,D,20050318,0.4371,0.4400,0.4171,0.4257,10096762,0
7212,DESTINI,D,20050321,0.4286,0.4343,0.4200,0.4257,5428495,0
7212,DESTINI,D,20050322,0.4257,0.4257,0.4086,0.4114,4514976,0
7212,DESTINI,D,20050323,0.4114,0.4200,0.4000,0.4057,9430612,0
7212,DESTINI,D,20050324,0.4086,0.4143,0.3971,0.4057,4642057,0
7212,DESTINI,D,20050325,0.4057,0.4429,0.4029,0.4400,12365823,0
7212,DESTINI,D,20050328,0.4429,0.4486,0.4229,0.4229,6128226,0
7212,DESTINI,D,20050329,0.4171,0.4257,0.4143,0.4200,4859957,0
7212,DESTINI,D,20050330,0.4171,0.4171,0.4114,0.4143,2174731,0
7212,DESTINI,D,20050331,0.4200,0.4400,0.4200,0.4286,5341583,0
7212,DESTINI,D,20050401,0.4286,0.4371,0.4257,0.4314,2634902,0
7212,DESTINI,D,20050404,0.4286,0.4400,0.4257,0.4314,2291448,0
7212,DESTINI,D,20050405,0.4314,0.4457,0.4314,0.4314,9245229,0
7212,DESTINI,D,20050406,0.4314,0.4314,0.4229,0.4257,1281028,0
7212,DESTINI,D,20050407,0.4286,0.4286,0.4229,0.4257,1128983,0
7212,DESTINI,D,20050408,0.4257,0.4371,0.4257,0.4257,2838768,0
7212,DESTINI,D,20050411,0.4229,0.4371,0.4229,0.4314,3188634,0
7212,DESTINI,D,20050412,0.4314,0.4343,0.4314,0.4314,898647,0
7212,DESTINI,D,20050413,0.4314,0.4400,0.4314,0.4371,2419786,0
7212,DESTINI,D,20050414,0.4343,0.4371,0.4286,0.4286,1755250,0
7212,DESTINI,D,20050415,0.4257,0.4286,0.4257,0.4286,731792,0
7212,DESTINI,D,20050418,0.4286,0.4286,0.4171,0.4171,802039,0
7212,DESTINI,D,20050419,0.4200,0.4257,0.4143,0.4229,2047493,0
7212,DESTINI,D,20050420,0.4229,0.4286,0.4200,0.4229,1292954,0
7212,DESTINI,D,20050422,0.4286,0.4400,0.4286,0.4343,3412122,0
7212,DESTINI,D,20050425,0.4343,0.4343,0.4257,0.4257,345161,0
7212,DESTINI,D,20050426,0.4257,0.4257,0.4200,0.4229,252192,0
7212,DESTINI,D,20050427,0.4286,0.4343,0.4229,0.4286,1323000,0
7212,DESTINI,D,20050428,0.4286,0.4286,0.4200,0.4286,1044750,0
7212,DESTINI,D,20050429,0.4257,0.4286,0.4200,0.4257,695565,0
7212,DESTINI,D,20050503,0.4286,0.4400,0.4257,0.4371,3227942,0
7212,DESTINI,D,20050504,0.4343,0.4343,0.4286,0.4343,390400,0
7212,DESTINI,D,20050505,0.4314,0.4343,0.4314,0.4343,436604,0
7212,DESTINI,D,20050506,0.4314,0.4343,0.4314,0.4343,508251,0
7212,DESTINI,D,20050509,0.4314,0.4343,0.4257,0.4314,1802259,0
7212,DESTINI,D,20050510,0.4229,0.4257,0.4171,0.4257,722071,0
7212,DESTINI,D,20050511,0.4257,0.4257,0.4171,0.4171,1070353,0
7212,DESTINI,D,20050512,0.4171,0.4171,0.4143,0.4171,440614,0
7212,DESTINI,D,20050513,0.4143,0.4229,0.4086,0.4229,829585,0
7212,DESTINI,D,20050516,0.4229,0.4229,0.4143,0.4229,676292,0
7212,DESTINI,D,20050517,0.4229,0.4229,0.4143,0.4200,164119,0
7212,DESTINI,D,20050518,0.4200,0.4200,0.4114,0.4143,513848,0
7212,DESTINI,D,20050519,0.4171,0.4257,0.4143,0.4171,753598,0
7212,DESTINI,D,20050520,0.4229,0.4229,0.4114,0.4171,248009,0
7212,DESTINI,D,20050524,0.4171,0.4171,0.4114,0.4171,604213,0
7212,DESTINI,D,20050525,0.4171,0.4171,0.4057,0.4114,463356,0
7212,DESTINI,D,20050526,0.4057,0.4086,0.3943,0.4057,832554,0
7212,DESTINI,D,20050527,0.4029,0.4086,0.3971,0.4086,312783,0
7212,DESTINI,D,20050530,0.4000,0.4029,0.3971,0.4029,405136,0
7212,DESTINI,D,20050531,0.4029,0.4086,0.3971,0.4057,867159,0
7212,DESTINI,D,20050601,0.4057,0.4057,0.3971,0.4029,274986,0
7212,DESTINI,D,20050602,0.3971,0.3971,0.3857,0.3914,448654,0
7212,DESTINI,D,20050603,0.3886,0.3971,0.3886,0.3971,418806,0
7212,DESTINI,D,20050606,0.3971,0.4029,0.3914,0.4029,515994,0
7212,DESTINI,D,20050607,0.4029,0.4086,0.4000,0.4057,347787,0
7212,DESTINI,D,20050608,0.4029,0.4171,0.4029,0.4171,1821630,0
7212,DESTINI,D,20050609,0.4171,0.4229,0.4143,0.4200,499619,0
7212,DESTINI,D,20050610,0.4229,0.4286,0.4200,0.4257,717411,0
7212,DESTINI,D,20050613,0.4286,0.4286,0.4229,0.4257,403416,0
7212,DESTINI,D,20050614,0.4257,0.4286,0.4171,0.4286,1146542,0
7212,DESTINI,D,20050615,0.4286,0.4286,0.4229,0.4286,704083,0
7212,DESTINI,D,20050616,0.4286,0.4400,0.4257,0.4371,1494797,0
7212,DESTINI,D,20050617,0.4343,0.4371,0.4314,0.4371,787660,0
7212,DESTINI,D,20050620,0.4343,0.4343,0.4314,0.4343,239796,0
7212,DESTINI,D,20050621,0.4343,0.4343,0.4257,0.4314,318338,0
7212,DESTINI,D,20050622,0.4286,0.4371,0.4286,0.4371,1482499,0
7212,DESTINI,D,20050623,0.4343,0.4371,0.4314,0.4371,427503,0
7212,DESTINI,D,20050624,0.4343,0.4371,0.4314,0.4343,523165,0
7212,DESTINI,D,20050627,0.4314,0.4343,0.4286,0.4343,269039,0
7212,DESTINI,D,20050628,0.4314,0.4314,0.4286,0.4314,122662,0
7212,DESTINI,D,20050629,0.4343,0.4343,0.4314,0.4314,741815,0
7212,DESTINI,D,20050630,0.4371,0.4371,0.4286,0.4314,345499,0
7212,DESTINI,D,20050701,0.4286,0.4286,0.4257,0.4286,157792,0
7212,DESTINI,D,20050704,0.4343,0.4343,0.4286,0.4286,589167,0
7212,DESTINI,D,20050705,0.4257,0.4314,0.4257,0.4314,479843,0
7212,DESTINI,D,20050706,0.4314,0.4314,0.4257,0.4257,399338,0
7212,DESTINI,D,20050707,0.4314,0.4314,0.4229,0.4286,308292,0
7212,DESTINI,D,20050708,0.4257,0.4286,0.4257,0.4286,756583,0
7212,DESTINI,D,20050711,0.4286,0.4314,0.4286,0.4314,370907,0
7212,DESTINI,D,20050712,0.4314,0.4371,0.4314,0.4371,818698,0
7212,DESTINI,D,20050713,0.4371,0.4371,0.4343,0.4343,443330,0
7212,DESTINI,D,20050714,0.4343,0.4886,0.4343,0.4800,7382971,0
7212,DESTINI,D,20050715,0.4829,0.4886,0.4686,0.4743,7073995,0
7212,DESTINI,D,20050718,0.4743,0.4800,0.4600,0.4800,2282935,0
7212,DESTINI,D,20050719,0.4714,0.4800,0.4657,0.4714,1180752,0
7212,DESTINI,D,20050720,0.4743,0.4857,0.4686,0.4686,3496867,0
7212,DESTINI,D,20050721,0.4743,0.4829,0.4714,0.4800,1401698,0
7212,DESTINI,D,20050722,0.4857,0.5000,0.4800,0.4943,3671213,0
7212,DESTINI,D,20050725,0.4971,0.5000,0.4829,0.4857,1361294,0
7212,DESTINI,D,20050726,0.4829,0.4857,0.4714,0.4829,1100450,0
7212,DESTINI,D,20050727,0.4800,0.4914,0.4800,0.4857,1046047,0
7212,DESTINI,D,20050728,0.4857,0.4943,0.4800,0.4943,1328236,0
7212,DESTINI,D,20050729,0.4857,0.4886,0.4857,0.4886,351126,0
7212,DESTINI,D,20050801,0.4857,0.5171,0.4857,0.5114,2979556,0
7212,DESTINI,D,20050802,0.5143,0.5314,0.5114,0.5286,9137989,0
7212,DESTINI,D,20050803,0.5286,0.5314,0.5114,0.5229,3800591,0
7212,DESTINI,D,20050804,0.5200,0.5200,0.5000,0.5029,1217952,0
7212,DESTINI,D,20050805,0.5000,0.5029,0.4886,0.4971,1146401,0
