<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7277,DIALOG,D,19960506,0.1349,0.1380,0.1349,0.1358,99723768,0
7277,DIALOG,D,19960507,0.1353,0.1353,0.1327,0.1336,8529007,0
7277,DIALOG,D,19960508,0.1323,0.1327,0.1319,0.1323,5144848,0
7277,DIALOG,D,19960509,0.1327,0.1327,0.1319,0.1323,3169939,0
7277,DIALOG,D,19960510,0.1323,0.1353,0.1323,0.1351,10609052,0
7277,DIALOG,D,19960513,0.1353,0.1406,0.1353,0.1397,74090880,0
7277,DIALOG,D,19960514,0.1401,0.1445,0.1397,0.1410,115709258,0
7277,DIALOG,D,19960515,0.1414,0.1419,0.1386,0.1410,17836031,0
7277,DIALOG,D,19960516,0.1410,0.1410,0.1391,0.1397,3251392,0
7277,DIALOG,D,19960517,0.1397,0.1414,0.1397,0.1410,7368245,0
7277,DIALOG,D,19960521,0.1414,0.1414,0.1393,0.1397,8490033,0
7277,DIALOG,D,19960522,0.1397,0.1401,0.1393,0.1397,2438544,0
7277,DIALOG,D,19960523,0.1397,0.1410,0.1393,0.1397,5164664,0
7277,DIALOG,D,19960524,0.1397,0.1406,0.1388,0.1393,7432740,0
7277,DIALOG,D,19960527,0.1393,0.1393,0.1347,0.1358,13448855,0
7277,DIALOG,D,19960528,0.1345,0.1371,0.1345,0.1371,3575705,0
7277,DIALOG,D,19960529,0.1380,0.1393,0.1373,0.1393,3133947,0
7277,DIALOG,D,19960530,0.1388,0.1388,0.1371,0.1375,1500753,0
7277,DIALOG,D,19960603,0.1362,0.1380,0.1353,0.1380,976137,0
7277,DIALOG,D,19960604,0.1373,0.1375,0.1371,0.1371,1306076,0
7277,DIALOG,D,19960605,0.1371,0.1373,0.1371,0.1373,2000504,0
7277,DIALOG,D,19960606,0.1375,0.1388,0.1375,0.1386,4794995,0
7277,DIALOG,D,19960607,0.1386,0.1386,0.1380,0.1384,2739452,0
7277,DIALOG,D,19960610,0.1382,0.1384,0.1367,0.1373,1725193,0
7277,DIALOG,D,19960611,0.1371,0.1371,0.1369,0.1369,799459,0
7277,DIALOG,D,19960612,0.1367,0.1377,0.1367,0.1377,3174271,0
7277,DIALOG,D,19960613,0.1375,0.1380,0.1375,0.1377,2294148,0
7277,DIALOG,D,19960614,0.1375,0.1382,0.1375,0.1382,2147069,0
7277,DIALOG,D,19960617,0.1380,0.1380,0.1373,0.1377,624903,0
7277,DIALOG,D,19960618,0.1375,0.1375,0.1371,0.1373,2690624,0
7277,DIALOG,D,19960619,0.1375,0.1393,0.1375,0.1393,3133947,0
7277,DIALOG,D,19960620,0.1393,0.1419,0.1393,0.1419,9021317,0
7277,DIALOG,D,19960621,0.1427,0.1484,0.1423,0.1462,65769697,0
7277,DIALOG,D,19960624,0.1462,0.1497,0.1462,0.1462,53225037,0
7277,DIALOG,D,19960625,0.1462,0.1467,0.1449,0.1458,23273798,0
7277,DIALOG,D,19960626,0.1458,0.1515,0.1458,0.1501,52164460,0
7277,DIALOG,D,19960627,0.1501,0.1571,0.1501,0.1571,91530178,0
7277,DIALOG,D,19960628,0.1571,0.1602,0.1549,0.1597,49590858,0
7277,DIALOG,D,19960701,0.1588,0.1693,0.1588,0.1688,50679881,0
7277,DIALOG,D,19960702,0.1688,0.1767,0.1688,0.1750,44809520,0
7277,DIALOG,D,19960703,0.1762,0.2041,0.1762,0.1941,110779595,0
7277,DIALOG,D,19960704,0.1941,0.1945,0.1806,0.1871,34117530,0
