<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
6947,DIGI,D,19971218,0.2656,0.3652,0.2324,0.2855,26900000,0
6947,DIGI,D,19971219,0.2855,0.2855,0.2590,0.2669,1010000,0
6947,DIGI,D,19971222,0.2656,0.2656,0.2191,0.2643,1580000,0
6947,DIGI,D,19971223,0.2523,0.2643,0.2510,0.2643,460000,0
6947,DIGI,D,19971224,0.2258,0.2643,0.2258,0.2629,720000,0
6947,DIGI,D,19971226,0.2629,0.2629,0.2444,0.2616,300000,0
6947,DIGI,D,19971229,0.2537,0.2590,0.2470,0.2590,420000,0
6947,DIGI,D,19971230,0.2603,0.2616,0.2603,0.2616,230000,0
6947,DIGI,D,19971231,0.2603,0.2616,0.2590,0.2616,190000,0
6947,DIGI,D,19980102,0.2523,0.2603,0.2523,0.2603,80000,0
6947,DIGI,D,19980105,0.2590,0.2590,0.2590,0.2590,10000,0
6947,DIGI,D,19980106,0.2576,0.2590,0.2576,0.2590,40000,0
6947,DIGI,D,19980107,0.2457,0.2563,0.2390,0.2563,380000,0
6947,DIGI,D,19980108,0.2523,0.2550,0.2483,0.2550,200000,0
6947,DIGI,D,19980109,0.2444,0.2523,0.2404,0.2523,240000,0
6947,DIGI,D,19980112,0.2351,0.2523,0.2351,0.2523,270000,0
6947,DIGI,D,19980113,0.2377,0.2523,0.2377,0.2430,1100000,0
6947,DIGI,D,19980114,0.2444,0.2457,0.2417,0.2430,740000,0
6947,DIGI,D,19980115,0.2470,0.2497,0.2470,0.2497,120000,0
6947,DIGI,D,19980116,0.2470,0.2483,0.2470,0.2483,70000,0
6947,DIGI,D,19980119,0.2483,0.2523,0.2483,0.2523,280000,0
6947,DIGI,D,19980122,0.2205,0.2510,0.2205,0.2510,250000,0
6947,DIGI,D,19980204,0.2324,0.2390,0.2324,0.2390,170000,0
6947,DIGI,D,19980205,0.2138,0.2457,0.2138,0.2457,130000,0
6947,DIGI,D,19980206,0.2483,0.2523,0.2470,0.2510,430000,0
6947,DIGI,D,19980209,0.2523,0.2576,0.2457,0.2523,720000,0
6947,DIGI,D,19980210,0.2457,0.2510,0.2444,0.2510,80000,0
6947,DIGI,D,19980211,0.2523,0.2523,0.2457,0.2457,150000,0
6947,DIGI,D,19980212,0.2205,0.2205,0.2205,0.2205,10000,0
6947,DIGI,D,19980213,0.2258,0.2258,0.2231,0.2231,40000,0
6947,DIGI,D,19980216,0.2058,0.2058,0.2058,0.2058,30000,0
6947,DIGI,D,19980217,0.2098,0.2098,0.2098,0.2098,30000,0
6947,DIGI,D,19980218,0.2125,0.2258,0.2112,0.2258,40000,0
6947,DIGI,D,19980219,0.2258,0.2258,0.2191,0.2191,70000,0
6947,DIGI,D,19980220,0.2244,0.2244,0.2191,0.2244,50000,0
6947,DIGI,D,19980224,0.2324,0.2364,0.2324,0.2364,70000,0
6947,DIGI,D,19980225,0.2364,0.2364,0.2364,0.2364,10000,0
6947,DIGI,D,19980226,0.2258,0.2324,0.2258,0.2324,160000,0
6947,DIGI,D,19980227,0.2457,0.2523,0.2417,0.2483,270000,0
6947,DIGI,D,19980302,0.2523,0.2789,0.2523,0.2656,1520000,0
6947,DIGI,D,19980303,0.2656,0.2722,0.2616,0.2616,200000,0
