<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
3026,DLADY,D,19940103,2.7922,2.8304,2.7922,2.8304,67976,0
3026,DLADY,D,19940104,2.7922,2.8304,2.7730,2.8113,172554,0
3026,DLADY,D,19940105,2.8304,2.8878,2.8304,2.8495,250988,0
3026,DLADY,D,19940106,2.7922,2.8304,2.7922,2.8113,47060,0
3026,DLADY,D,19940107,2.7539,2.7730,2.7157,2.7730,67976,0
3026,DLADY,D,19940110,3.1747,3.2894,2.8304,3.2894,240530,0
3026,DLADY,D,19940111,3.0408,3.2894,2.9260,2.9260,250988,0
3026,DLADY,D,19940112,2.9260,2.9260,2.4862,2.6583,177783,0
3026,DLADY,D,19940113,2.5436,2.7730,2.3332,2.4097,282361,0
3026,DLADY,D,19940114,2.5818,2.7157,2.4862,2.6774,266674,0
3026,DLADY,D,19940117,2.7157,2.7157,2.5436,2.5627,62747,0
3026,DLADY,D,19940119,2.6774,2.6774,2.5818,2.5818,62747,0
3026,DLADY,D,19940120,2.5627,2.6201,2.4479,2.4671,52289,0
3026,DLADY,D,19940121,2.5244,2.5436,2.4671,2.5436,52289,0
3026,DLADY,D,19940124,2.4862,2.4862,2.4288,2.4288,41831,0
3026,DLADY,D,19940125,2.3714,2.3906,2.2567,2.2567,94120,0
3026,DLADY,D,19940126,2.1611,2.2949,2.1037,2.2949,115036,0
3026,DLADY,D,19940127,2.3523,2.4288,2.3523,2.4097,120265,0
3026,DLADY,D,19940128,2.4288,2.4479,2.4097,2.4479,31373,0
3026,DLADY,D,19940131,2.4479,2.4479,2.4479,2.4479,10458,0
3026,DLADY,D,19940202,2.5818,2.6009,2.5436,2.5436,135952,0
3026,DLADY,D,19940203,2.5627,2.6009,2.5627,2.6009,47060,0
3026,DLADY,D,19940204,2.6009,2.6392,2.6009,2.6392,62747,0
3026,DLADY,D,19940208,2.6583,2.6774,2.6583,2.6774,15687,0
3026,DLADY,D,19940214,2.6774,2.6774,2.6774,2.6774,5229,0
3026,DLADY,D,19940215,2.6201,2.6201,2.5818,2.6009,26145,0
3026,DLADY,D,19940216,2.6009,2.6009,2.5818,2.6009,26145,0
3026,DLADY,D,19940217,2.5818,2.6009,2.5818,2.5818,36602,0
3026,DLADY,D,19940221,2.5818,2.6009,2.5818,2.5818,15687,0
3026,DLADY,D,19940222,2.6392,2.6774,2.6392,2.6392,36602,0
3026,DLADY,D,19940223,2.6774,2.6774,2.6583,2.6583,52289,0
3026,DLADY,D,19940224,2.6774,2.6965,2.6774,2.6774,41831,0
3026,DLADY,D,19940225,2.6583,2.6774,2.6583,2.6583,15687,0
3026,DLADY,D,19940228,2.6774,2.6774,2.6583,2.6774,20916,0
3026,DLADY,D,19940301,2.6583,2.6583,2.6392,2.6392,15687,0
3026,DLADY,D,19940303,2.6392,2.6392,2.6009,2.6009,15687,0
3026,DLADY,D,19940304,2.5436,2.5436,2.5436,2.5436,5229,0
3026,DLADY,D,19940307,2.4862,2.5244,2.4862,2.5244,20916,0
3026,DLADY,D,19940308,2.4862,2.4862,2.4671,2.4862,115036,0
3026,DLADY,D,19940309,2.5053,2.5053,2.5053,2.5053,5229,0
3026,DLADY,D,19940310,2.4862,2.4862,2.4862,2.4862,5229,0
3026,DLADY,D,19940311,2.4862,2.5053,2.4862,2.5053,36602,0
3026,DLADY,D,19940318,2.4862,2.4862,2.4479,2.4671,41831,0
3026,DLADY,D,19940321,2.2949,2.2949,2.2949,2.2949,5229,0
3026,DLADY,D,19940322,2.2949,2.2949,2.2949,2.2949,5229,0
3026,DLADY,D,19940323,2.3523,2.3714,2.3332,2.3714,26145,0
3026,DLADY,D,19940324,2.2949,2.2949,2.2949,2.2949,5229,0
3026,DLADY,D,19940325,2.2758,2.2758,2.2567,2.2567,26145,0
3026,DLADY,D,19940328,2.3141,2.3141,2.2567,2.2949,99349,0
3026,DLADY,D,19940329,2.3141,2.3332,2.3141,2.3332,99349,0
3026,DLADY,D,19940330,2.3523,2.3906,2.3523,2.3906,15687,0
3026,DLADY,D,19940331,2.4862,2.6201,2.4288,2.6201,78434,0
3026,DLADY,D,19940401,2.6009,2.6009,2.5818,2.5818,10458,0
3026,DLADY,D,19940404,2.4862,2.4862,2.3906,2.3906,10458,0
3026,DLADY,D,19940405,2.3523,2.3714,2.3523,2.3714,41831,0
3026,DLADY,D,19940406,2.4097,2.4097,2.4097,2.4097,5229,0
3026,DLADY,D,19940407,2.4479,2.4479,2.4288,2.4288,10458,0
3026,DLADY,D,19940408,2.4479,2.4862,2.4479,2.4862,41831,0
3026,DLADY,D,19940411,2.4862,2.5053,2.4862,2.5053,10458,0
3026,DLADY,D,19940412,2.5436,2.5818,2.5436,2.5818,26145,0
3026,DLADY,D,19940413,2.5818,2.6201,2.5818,2.6009,62747,0
3026,DLADY,D,19940414,2.6009,2.6009,2.6009,2.6009,15687,0
3026,DLADY,D,19940415,2.6009,2.6583,2.6009,2.6392,47060,0
3026,DLADY,D,19940418,2.6392,2.6392,2.6392,2.6392,15687,0
3026,DLADY,D,19940419,2.6201,2.6392,2.6201,2.6392,20916,0
3026,DLADY,D,19940420,2.6392,2.6965,2.6392,2.6774,94120,0
3026,DLADY,D,19940421,2.6774,2.7157,2.6774,2.7157,15687,0
3026,DLADY,D,19940422,2.6774,2.6774,2.6774,2.6774,10458,0
3026,DLADY,D,19940426,2.6583,2.6774,2.6583,2.6583,20916,0
3026,DLADY,D,19940428,2.6774,2.6965,2.6774,2.6774,57518,0
3026,DLADY,D,19940429,2.6774,2.6774,2.6774,2.6774,36602,0
3026,DLADY,D,19940503,2.6774,2.6965,2.6774,2.6774,47060,0
3026,DLADY,D,19940505,2.6009,2.6009,2.6009,2.6009,5229,0
3026,DLADY,D,19940511,2.6009,2.6009,2.6009,2.6009,5229,0
3026,DLADY,D,19940516,2.6201,2.6392,2.6201,2.6392,15687,0
3026,DLADY,D,19940517,2.6201,2.6201,2.6201,2.6201,5229,0
3026,DLADY,D,19940518,2.6583,2.6774,2.6583,2.6774,36602,0
3026,DLADY,D,19940519,2.6774,2.6774,2.6774,2.6774,5229,0
3026,DLADY,D,19940520,2.6774,2.6774,2.6774,2.6774,10458,0
3026,DLADY,D,19940523,2.6774,2.6774,2.6583,2.6583,31373,0
3026,DLADY,D,19940524,2.6774,2.6774,2.6583,2.6583,10458,0
3026,DLADY,D,19940526,2.6583,2.6774,2.6583,2.6774,31373,0
3026,DLADY,D,19940527,2.6774,2.6774,2.6774,2.6774,10458,0
3026,DLADY,D,19940530,2.6774,2.6774,2.6774,2.6774,5229,0
3026,DLADY,D,19940531,2.6774,2.6774,2.6583,2.6583,15687,0
3026,DLADY,D,19940601,2.6583,2.6583,2.6201,2.6201,15687,0
3026,DLADY,D,19940602,2.5436,2.5627,2.5436,2.5436,20916,0
3026,DLADY,D,19940603,2.4862,2.4862,2.4862,2.4862,10458,0
