<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
4456,DNEX,D,19940103,7.8718,7.9995,7.7441,7.8718,1301939,0
4456,DNEX,D,19940104,7.9143,9.7015,7.8718,9.3610,9929108,0
4456,DNEX,D,19940105,9.6164,10.2971,9.5313,9.8717,8564676,0
4456,DNEX,D,19940106,9.7866,10.3823,9.5313,9.8717,6590936,0
4456,DNEX,D,19940107,9.7015,9.8717,8.9356,9.7015,4509917,0
4456,DNEX,D,19940110,9.8717,9.9568,9.6164,9.8717,3038205,0
4456,DNEX,D,19940111,9.4462,9.8717,9.0207,9.1057,1875834,0
4456,DNEX,D,19940112,9.0207,9.0207,7.4038,8.3824,3981850,0
4456,DNEX,D,19940113,8.3399,8.4676,7.6165,8.1696,3911025,0
4456,DNEX,D,19940114,8.5952,9.0207,8.2548,8.8505,3597518,0
4456,DNEX,D,19940117,8.4676,8.9356,8.2122,8.2122,1462338,0
4456,DNEX,D,19940119,8.2122,8.2548,7.9995,8.0420,596809,0
4456,DNEX,D,19940120,7.8293,8.0846,7.4888,7.9143,1969573,0
4456,DNEX,D,19940121,7.9143,7.9995,7.7441,7.8293,390582,0
4456,DNEX,D,19940124,7.7441,7.8293,7.6165,7.6165,409330,0
4456,DNEX,D,19940125,7.5740,7.5740,6.2124,6.3826,987391,0
4456,DNEX,D,19940126,6.3826,7.3187,5.9145,6.9782,3495446,0
4456,DNEX,D,19940127,7.0208,7.4463,6.8080,7.3612,2296620,0
4456,DNEX,D,19940128,7.3640,7.7865,7.3640,7.7001,2650748,0
4456,DNEX,D,19940131,7.4888,7.7016,7.4888,7.6165,826992,0
4456,DNEX,D,19940202,7.6591,8.1271,7.6591,7.8293,2258083,0
4456,DNEX,D,19940203,7.8718,7.9995,7.8293,7.9995,876986,0
4456,DNEX,D,19940204,7.9995,8.2973,7.7441,7.9995,1674814,0
4456,DNEX,D,19940207,7.8293,7.9143,7.4888,7.5740,618681,0
4456,DNEX,D,19940208,7.7441,7.7868,7.6591,7.7016,829075,0
4456,DNEX,D,19940214,7.6591,7.7441,7.6165,7.6591,684299,0
4456,DNEX,D,19940215,7.6591,7.6591,7.4463,7.4463,497861,0
4456,DNEX,D,19940216,7.6165,7.7441,7.4888,7.6591,762415,0
4456,DNEX,D,19940217,7.6165,7.6591,7.4038,7.5740,525983,0
4456,DNEX,D,19940218,7.6165,7.8293,7.6165,7.7016,571812,0
4456,DNEX,D,19940221,7.7016,7.9995,7.4463,7.9143,1083213,0
4456,DNEX,D,19940222,8.0420,8.8505,8.0420,8.4249,3529817,0
4456,DNEX,D,19940223,8.6802,9.3610,8.4249,9.2760,4410969,0
4456,DNEX,D,19940224,9.2760,9.3610,8.9356,8.9356,1305064,0
4456,DNEX,D,19940225,8.6802,9.0207,8.4676,8.7654,1515457,0
4456,DNEX,D,19940228,8.5952,9.1057,8.5952,9.1057,1033219,0
4456,DNEX,D,19940301,8.9356,8.9356,8.6802,8.9356,349961,0
4456,DNEX,D,19940302,8.5101,8.6802,8.4249,8.5101,672842,0
4456,DNEX,D,19940303,8.5101,8.5952,8.1696,8.3824,472864,0
4456,DNEX,D,19940304,7.8718,8.5952,7.8718,8.3824,1014471,0
4456,DNEX,D,19940307,8.2548,8.5952,8.1271,8.3399,519734,0
4456,DNEX,D,19940308,8.3824,8.3824,8.1271,8.2973,1064465,0
4456,DNEX,D,19940309,8.4249,8.5101,8.2548,8.2973,642637,0
4456,DNEX,D,19940310,8.2973,8.3399,8.2122,8.2548,457241,0
4456,DNEX,D,19940311,8.2122,8.3399,8.1696,8.1696,555147,0
4456,DNEX,D,19940317,8.2548,8.2548,8.0846,8.1696,359335,0
4456,DNEX,D,19940318,8.1271,8.1271,7.4888,7.6165,1285274,0
4456,DNEX,D,19940321,7.6591,7.7016,7.3187,7.3612,797828,0
4456,DNEX,D,19940322,7.1910,7.5740,7.0208,7.3612,1024886,0
4456,DNEX,D,19940323,7.5740,7.7441,7.4463,7.6165,541607,0
4456,DNEX,D,19940324,7.4038,7.6165,7.2335,7.2761,564521,0
4456,DNEX,D,19940325,7.5740,7.6591,6.9357,6.9782,709296,0
4456,DNEX,D,19940328,6.5953,6.8080,6.2124,6.2124,1193618,0
4456,DNEX,D,19940329,6.4251,6.6804,6.2974,6.5102,679091,0
4456,DNEX,D,19940330,6.4677,6.7655,6.3400,6.3400,452033,0
4456,DNEX,D,19940331,6.4251,6.7230,6.3400,6.5102,295801,0
4456,DNEX,D,19940401,6.5527,6.6379,6.5527,6.5953,96864,0
4456,DNEX,D,19940404,6.2549,6.5953,6.1698,6.3400,276011,0
4456,DNEX,D,19940405,6.3826,6.8932,6.2124,6.5102,271845,0
4456,DNEX,D,19940406,6.7230,6.8080,6.3826,6.3826,372875,0
4456,DNEX,D,19940407,6.3826,6.3826,6.2124,6.2549,204144,0
4456,DNEX,D,19940408,6.2549,6.3400,6.2124,6.3400,315590,0
4456,DNEX,D,19940411,6.2549,6.2974,6.1272,6.1698,141651,0
