<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7148,DPHARMA,D,20020718,0.4511,0.4522,0.4334,0.4372,20752202,0
7148,DPHARMA,D,20020719,0.4366,0.4366,0.4329,0.4345,2794149,0
7148,DPHARMA,D,20020722,0.4291,0.4345,0.4291,0.4329,1652902,0
7148,DPHARMA,D,20020723,0.4313,0.4340,0.4297,0.4334,1383849,0
7148,DPHARMA,D,20020724,0.4329,0.4329,0.4313,0.4318,1324222,0
7148,DPHARMA,D,20020725,0.4329,0.4340,0.4318,0.4318,671353,0
7148,DPHARMA,D,20020726,0.4318,0.4318,0.4307,0.4307,900948,0
7148,DPHARMA,D,20020729,0.4329,0.4329,0.4307,0.4313,1069148,0
7148,DPHARMA,D,20020730,0.4324,0.4324,0.4307,0.4318,917796,0
7148,DPHARMA,D,20020731,0.4313,0.4318,0.4313,0.4313,282498,0
7148,DPHARMA,D,20020801,0.4313,0.4543,0.4313,0.4543,8528508,0
7148,DPHARMA,D,20020802,0.4500,0.4586,0.4473,0.4473,3184983,0
7148,DPHARMA,D,20020805,0.4484,0.4500,0.4436,0.4441,572502,0
7148,DPHARMA,D,20020806,0.4431,0.4543,0.4420,0.4511,3514817,0
7148,DPHARMA,D,20020807,0.4532,0.4629,0.4522,0.4608,6084143,0
7148,DPHARMA,D,20020808,0.4608,0.4618,0.4565,0.4597,1155282,0
7148,DPHARMA,D,20020809,0.4597,0.4597,0.4554,0.4597,1438740,0
7148,DPHARMA,D,20020812,0.4597,0.4704,0.4597,0.4693,2405486,0
7148,DPHARMA,D,20020813,0.4693,0.4790,0.4693,0.4757,4703265,0
7148,DPHARMA,D,20020814,0.4736,0.4865,0.4736,0.4865,4500881,0
7148,DPHARMA,D,20020815,0.4897,0.4972,0.4897,0.4950,6313950,0
7148,DPHARMA,D,20020816,0.4950,0.4950,0.4854,0.4875,4052431,0
7148,DPHARMA,D,20020819,0.4865,0.4897,0.4811,0.4833,2059902,0
