<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
1619,DRBHCOM,D,19940103,9.5000,10.1000,9.3000,9.9500,2081000,0
1619,DRBHCOM,D,19940104,10.0000,11.2000,9.6000,11.1000,5027000,0
1619,DRBHCOM,D,19940105,11.3000,11.3000,10.2000,10.8000,3092000,0
1619,DRBHCOM,D,19940106,10.3000,10.6000,9.9500,10.1000,1889000,0
1619,DRBHCOM,D,19940107,9.8000,10.1000,9.6500,9.7000,961000,0
1619,DRBHCOM,D,19940110,9.9500,10.3000,9.7500,10.1000,1158000,0
1619,DRBHCOM,D,19940111,9.6000,10.2000,9.3000,9.3000,874000,0
1619,DRBHCOM,D,19940112,9.3000,9.3000,8.1500,8.8000,1684000,0
1619,DRBHCOM,D,19940113,8.8000,8.9000,7.5500,7.6000,1157000,0
1619,DRBHCOM,D,19940114,8.4000,8.9000,8.2000,8.8000,1157000,0
1619,DRBHCOM,D,19940117,8.9500,9.1000,8.5000,8.5500,716000,0
1619,DRBHCOM,D,19940118,8.4000,8.7500,8.2500,8.5000,315000,0
1619,DRBHCOM,D,19940119,8.5500,8.6000,8.4000,8.4500,682000,0
1619,DRBHCOM,D,19940120,8.3000,8.4500,7.9000,8.1500,448000,0
1619,DRBHCOM,D,19940121,8.1500,8.3000,8.0000,8.0500,252000,0
1619,DRBHCOM,D,19940124,8.1500,8.2000,7.8500,8.0000,398000,0
1619,DRBHCOM,D,19940125,7.7000,7.7000,7.1500,7.3000,809000,0
1619,DRBHCOM,D,19940126,7.3000,8.0000,6.4000,8.0000,744000,0
1619,DRBHCOM,D,19940127,7.9000,8.2500,7.6500,7.9000,809000,0
1619,DRBHCOM,D,19940128,7.9000,8.9000,7.9000,8.9000,862000,0
1619,DRBHCOM,D,19940131,8.4000,8.9000,8.2500,8.5000,396000,0
1619,DRBHCOM,D,19940202,8.5000,8.9500,8.4000,8.9500,1096000,0
1619,DRBHCOM,D,19940203,9.0500,9.0500,8.8000,8.9500,454000,0
1619,DRBHCOM,D,19940204,9.0500,9.1000,8.6000,8.6000,776000,0
1619,DRBHCOM,D,19940207,8.4000,8.5500,8.2500,8.4000,517000,0
1619,DRBHCOM,D,19940208,8.8000,8.8000,8.5000,8.7000,262000,0
1619,DRBHCOM,D,19940214,8.5500,8.7000,8.4500,8.6500,205000,0
1619,DRBHCOM,D,19940215,8.5500,9.1000,8.5000,9.0500,413000,0
1619,DRBHCOM,D,19940216,9.0500,9.2000,8.8500,8.8500,332000,0
1619,DRBHCOM,D,19940217,8.8000,8.8000,8.4000,8.6500,158000,0
1619,DRBHCOM,D,19940218,8.6500,8.8000,8.6000,8.7000,140000,0
1619,DRBHCOM,D,19940221,8.7000,8.8000,7.3000,8.7000,184000,0
1619,DRBHCOM,D,19940222,8.7000,9.0000,8.7000,8.7500,371000,0
1619,DRBHCOM,D,19940223,8.8500,9.2000,8.7000,9.2000,874000,0
1619,DRBHCOM,D,19940224,9.3000,9.3500,9.1000,9.1500,725000,0
1619,DRBHCOM,D,19940225,9.0000,9.1500,8.8500,9.0500,622000,0
1619,DRBHCOM,D,19940228,9.2000,9.4500,9.2000,9.3500,1390000,0
1619,DRBHCOM,D,19940301,9.4000,9.4000,9.0500,9.1500,521000,0
1619,DRBHCOM,D,19940302,9.1500,9.1500,8.8000,8.8000,519000,0
1619,DRBHCOM,D,19940303,8.9000,8.9500,8.5000,8.5500,328000,0
1619,DRBHCOM,D,19940304,8.7000,8.7000,8.3000,8.6000,550000,0
1619,DRBHCOM,D,19940307,8.5500,8.6000,8.2000,8.2500,112000,0
1619,DRBHCOM,D,19940308,8.2500,8.4000,7.9000,8.2500,546000,0
1619,DRBHCOM,D,19940309,8.2500,8.3500,8.1000,8.1000,239000,0
1619,DRBHCOM,D,19940310,8.1000,8.2000,7.9500,8.2000,279000,0
1619,DRBHCOM,D,19940311,8.0000,8.1500,7.9500,8.1500,176000,0
1619,DRBHCOM,D,19940317,8.1000,8.1500,7.9000,8.0000,526000,0
1619,DRBHCOM,D,19940318,7.9500,8.0500,7.8500,7.9500,289000,0
1619,DRBHCOM,D,19940321,7.9500,8.0000,7.2000,7.5000,458000,0
1619,DRBHCOM,D,19940322,7.2500,7.8500,7.0000,7.1500,580000,0
1619,DRBHCOM,D,19940323,7.3000,7.5000,7.1500,7.4000,535000,0
1619,DRBHCOM,D,19940324,7.3000,7.5500,7.0500,7.2000,250000,0
1619,DRBHCOM,D,19940325,6.9000,7.0500,6.7500,7.0000,739000,0
1619,DRBHCOM,D,19940328,6.9000,7.0000,6.6000,6.8000,261000,0
1619,DRBHCOM,D,19940329,6.6000,6.8500,6.6000,6.8500,156000,0
1619,DRBHCOM,D,19940330,6.7000,7.0500,6.7000,6.8000,112000,0
1619,DRBHCOM,D,19940331,6.9000,7.0000,6.8000,7.0000,518000,0
1619,DRBHCOM,D,19940401,6.9500,7.0000,6.8000,6.8500,117000,0
1619,DRBHCOM,D,19940404,6.5000,6.8000,6.5000,6.5000,225000,0
1619,DRBHCOM,D,19940405,6.5000,6.6000,6.2500,6.5000,230000,0
1619,DRBHCOM,D,19940406,6.7000,7.0000,6.7000,7.0000,320000,0
1619,DRBHCOM,D,19940407,7.0000,7.0000,6.6500,7.0000,175000,0
1619,DRBHCOM,D,19940408,7.0000,7.0000,6.7500,6.9000,92000,0
