<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5216,DSONIC,D,20120903,0.0767,0.0793,0.0720,0.0723,358617000,0
5216,DSONIC,D,20120904,0.0720,0.0723,0.0683,0.0683,71823000,0
5216,DSONIC,D,20120905,0.0693,0.0693,0.0683,0.0693,23940000,0
5216,DSONIC,D,20120906,0.0690,0.0690,0.0687,0.0687,19917000,0
5216,DSONIC,D,20120907,0.0690,0.0710,0.0690,0.0707,35058000,0
5216,DSONIC,D,20120910,0.0707,0.0707,0.0690,0.0690,3687000,0
5216,DSONIC,D,20120911,0.0690,0.0690,0.0673,0.0690,7848000,0
5216,DSONIC,D,20120912,0.0693,0.0693,0.0690,0.0690,216000,0
5216,DSONIC,D,20120913,0.0690,0.0690,0.0683,0.0690,3690000,0
5216,DSONIC,D,20120914,0.0693,0.0693,0.0690,0.0693,2094000,0
5216,DSONIC,D,20120918,0.0690,0.0690,0.0680,0.0683,2550000,0
5216,DSONIC,D,20120919,0.0683,0.0693,0.0683,0.0687,1830000,0
5216,DSONIC,D,20120920,0.0683,0.0687,0.0680,0.0683,1227000,0
5216,DSONIC,D,20120921,0.0680,0.0680,0.0670,0.0670,1845000,0
5216,DSONIC,D,20120924,0.0673,0.0673,0.0650,0.0670,3204000,0
5216,DSONIC,D,20120925,0.0663,0.0670,0.0660,0.0667,3696000,0
5216,DSONIC,D,20120926,0.0667,0.0667,0.0653,0.0653,3360000,0
5216,DSONIC,D,20120927,0.0653,0.0667,0.0653,0.0663,2274000,0
5216,DSONIC,D,20120928,0.0663,0.0673,0.0663,0.0670,1134000,0
5216,DSONIC,D,20121001,0.0667,0.0670,0.0667,0.0667,2880000,0
5216,DSONIC,D,20121002,0.0663,0.0667,0.0663,0.0667,1785000,0
5216,DSONIC,D,20121003,0.0667,0.0673,0.0667,0.0670,1212000,0
5216,DSONIC,D,20121004,0.0670,0.0673,0.0670,0.0670,1050000,0
