<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
7233,DUFU,D,20070228,0.1336,0.1746,0.1272,0.1529,216568635,0
7233,DUFU,D,20070301,0.1545,0.1625,0.1521,0.1553,81822423,0
7233,DUFU,D,20070302,0.1561,0.1593,0.1529,0.1537,15611274,0
7233,DUFU,D,20070305,0.1521,0.1521,0.1280,0.1296,21955315,0
7233,DUFU,D,20070306,0.1296,0.1417,0.1296,0.1417,18682940,0
7233,DUFU,D,20070307,0.1465,0.1489,0.1377,0.1401,19221322,0
7233,DUFU,D,20070308,0.1385,0.1473,0.1385,0.1465,11665016,0
7233,DUFU,D,20070309,0.1473,0.1497,0.1409,0.1417,7005706,0
7233,DUFU,D,20070312,0.1417,0.1545,0.1393,0.1521,16539591,0
7233,DUFU,D,20070313,0.1529,0.1673,0.1513,0.1537,40516421,0
7233,DUFU,D,20070314,0.1481,0.1513,0.1377,0.1481,12057920,0
7233,DUFU,D,20070315,0.1537,0.1537,0.1497,0.1521,3956854,0
7233,DUFU,D,20070316,0.1521,0.1545,0.1473,0.1489,5752039,0
7233,DUFU,D,20070319,0.1473,0.1473,0.1441,0.1465,8373079,0
7233,DUFU,D,20070320,0.1505,0.1505,0.1465,0.1481,3779235,0
7233,DUFU,D,20070321,0.1481,0.1481,0.1449,0.1457,2983504,0
7233,DUFU,D,20070322,0.1465,0.1529,0.1465,0.1497,9711027,0
7233,DUFU,D,20070323,0.1497,0.1497,0.1449,0.1449,5259681,0
7233,DUFU,D,20070326,0.1465,0.1497,0.1441,0.1457,3779922,0
7233,DUFU,D,20070327,0.1449,0.1497,0.1449,0.1481,3461811,0
7233,DUFU,D,20070328,0.1481,0.1481,0.1433,0.1433,6443562,0
7233,DUFU,D,20070329,0.1433,0.1505,0.1425,0.1505,4322271,0
7233,DUFU,D,20070330,0.1609,0.1673,0.1585,0.1609,29627545,0
7233,DUFU,D,20070402,0.1633,0.1657,0.1569,0.1585,13333294,0
7233,DUFU,D,20070403,0.1585,0.1625,0.1585,0.1617,4690665,0
7233,DUFU,D,20070404,0.1633,0.1633,0.1577,0.1577,4080100,0
7233,DUFU,D,20070405,0.1585,0.1585,0.1553,0.1561,4582043,0
7233,DUFU,D,20070406,0.1569,0.1585,0.1553,0.1569,4512030,0
7233,DUFU,D,20070409,0.1609,0.1657,0.1609,0.1649,18057946,0
7233,DUFU,D,20070410,0.1657,0.1730,0.1625,0.1665,25564667,0
7233,DUFU,D,20070411,0.1681,0.1689,0.1641,0.1649,8383444,0
7233,DUFU,D,20070412,0.1641,0.1681,0.1625,0.1665,7797660,0
7233,DUFU,D,20070413,0.1673,0.1673,0.1617,0.1625,7167650,0
7233,DUFU,D,20070416,0.1641,0.1649,0.1601,0.1617,5851831,0
7233,DUFU,D,20070417,0.1633,0.1641,0.1601,0.1601,4735371,0
7233,DUFU,D,20070418,0.1609,0.1617,0.1593,0.1593,2631692,0
7233,DUFU,D,20070419,0.1593,0.1593,0.1561,0.1561,4674601,0
7233,DUFU,D,20070420,0.1577,0.1593,0.1577,0.1585,1808665,0
7233,DUFU,D,20070423,0.1601,0.1625,0.1601,0.1609,1523063,0
7233,DUFU,D,20070424,0.1609,0.1609,0.1593,0.1601,618598,0
7233,DUFU,D,20070425,0.1577,0.1609,0.1577,0.1585,1296218,0
7233,DUFU,D,20070427,0.1593,0.1609,0.1577,0.1577,1148034,0
7233,DUFU,D,20070430,0.1609,0.1609,0.1569,0.1593,1350127,0
7233,DUFU,D,20070503,0.1601,0.1601,0.1577,0.1577,2757978,0
7233,DUFU,D,20070504,0.1593,0.1593,0.1561,0.1585,2316795,0
7233,DUFU,D,20070507,0.1577,0.1585,0.1561,0.1569,2166077,0
7233,DUFU,D,20070508,0.1577,0.1577,0.1561,0.1561,1356048,0
7233,DUFU,D,20070509,0.1553,0.1561,0.1545,0.1553,645215,0
7233,DUFU,D,20070510,0.1545,0.1569,0.1537,0.1545,1452663,0
7233,DUFU,D,20070511,0.1529,0.1561,0.1521,0.1545,1034165,0
7233,DUFU,D,20070514,0.1529,0.1529,0.1489,0.1497,5028141,0
7233,DUFU,D,20070515,0.1489,0.1489,0.1433,0.1449,4804718,0
7233,DUFU,D,20070516,0.1449,0.1473,0.1425,0.1457,1135840,0
7233,DUFU,D,20070517,0.1481,0.1481,0.1465,0.1465,1747144,0
7233,DUFU,D,20070518,0.1473,0.1473,0.1433,0.1449,1818779,0
7233,DUFU,D,20070521,0.1457,0.1465,0.1441,0.1441,1829793,0
7233,DUFU,D,20070522,0.1449,0.1473,0.1449,0.1473,751538,0
7233,DUFU,D,20070523,0.1481,0.1481,0.1457,0.1473,1083066,0
7233,DUFU,D,20070524,0.1473,0.1473,0.1433,0.1433,440288,0
7233,DUFU,D,20070525,0.1433,0.1441,0.1401,0.1433,785087,0
7233,DUFU,D,20070528,0.1449,0.1465,0.1449,0.1457,532008,0
7233,DUFU,D,20070529,0.1473,0.1473,0.1449,0.1449,334842,0
7233,DUFU,D,20070530,0.1449,0.1449,0.1417,0.1425,975104,0
7233,DUFU,D,20070531,0.1425,0.1433,0.1425,0.1425,214629,0
7233,DUFU,D,20070601,0.1425,0.1441,0.1425,0.1433,267884,0
7233,DUFU,D,20070604,0.1441,0.1449,0.1433,0.1433,655126,0
7233,DUFU,D,20070605,0.1441,0.1457,0.1433,0.1457,297926,0
7233,DUFU,D,20070606,0.1465,0.1473,0.1441,0.1449,362479,0
7233,DUFU,D,20070607,0.1441,0.1449,0.1441,0.1449,212597,0
7233,DUFU,D,20070608,0.1449,0.1465,0.1441,0.1449,1383484,0
7233,DUFU,D,20070611,0.1441,0.1545,0.1441,0.1545,1605772,0
7233,DUFU,D,20070612,0.1545,0.1545,0.1497,0.1497,1492196,0
7233,DUFU,D,20070613,0.1497,0.1497,0.1481,0.1481,346769,0
7233,DUFU,D,20070614,0.1481,0.1489,0.1465,0.1465,728464,0
7233,DUFU,D,20070615,0.1465,0.1465,0.1449,0.1449,751003,0
7233,DUFU,D,20070618,0.1457,0.1489,0.1449,0.1481,501478,0
7233,DUFU,D,20070619,0.1457,0.1465,0.1457,0.1457,452206,0
7233,DUFU,D,20070620,0.1473,0.1545,0.1473,0.1545,1228639,0
