<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5259,EATECH,D,20141211,0.5900,0.5900,0.4850,0.4850,53963900,0
5259,EATECH,D,20141212,0.4800,0.5000,0.4600,0.4850,11846000,0
5259,EATECH,D,20141215,0.4650,0.4950,0.4600,0.4850,1881500,0
5259,EATECH,D,20141216,0.4850,0.4850,0.4650,0.4700,2390500,0
5259,EATECH,D,20141217,0.4650,0.5100,0.4650,0.4750,11717000,0
5259,EATECH,D,20141218,0.4850,0.5000,0.4800,0.4950,5377600,0
5259,EATECH,D,20141219,0.5050,0.5250,0.4950,0.5100,13384900,0
5259,EATECH,D,20141222,0.5150,0.5300,0.5100,0.5250,7437400,0
5259,EATECH,D,20141223,0.5200,0.5200,0.5000,0.5100,3498500,0
5259,EATECH,D,20141224,0.5050,0.5050,0.4950,0.5000,1826500,0
5259,EATECH,D,20141226,0.5000,0.5050,0.4950,0.4950,1771000,0
5259,EATECH,D,20141229,0.4950,0.5000,0.4800,0.4800,2215700,0
5259,EATECH,D,20141230,0.4800,0.4800,0.4700,0.4700,1315900,0
5259,EATECH,D,20141231,0.4650,0.4750,0.4600,0.4650,1145300,0
5259,EATECH,D,20150102,0.4600,0.4750,0.4550,0.4750,960600,0
5259,EATECH,D,20150105,0.4650,0.4650,0.4500,0.4600,1613200,0
5259,EATECH,D,20150106,0.4500,0.4700,0.4450,0.4650,1409600,0
5259,EATECH,D,20150107,0.4600,0.4900,0.4600,0.4600,1429900,0
5259,EATECH,D,20150108,0.4750,0.4750,0.4650,0.4750,378000,0
5259,EATECH,D,20150109,0.4750,0.5100,0.4650,0.5050,2366100,0
5259,EATECH,D,20150112,0.5000,0.5000,0.4850,0.4850,1377900,0
5259,EATECH,D,20150113,0.4850,0.5050,0.4850,0.5000,1766600,0
5259,EATECH,D,20150114,0.5050,0.5100,0.4950,0.4950,1814600,0
5259,EATECH,D,20150115,0.5000,0.5100,0.4950,0.5050,2117300,0
5259,EATECH,D,20150116,0.5050,0.5050,0.4950,0.5000,932000,0
5259,EATECH,D,20150119,0.5000,0.5150,0.5000,0.5150,2682000,0
5259,EATECH,D,20150120,0.5100,0.5200,0.5050,0.5100,2730900,0
5259,EATECH,D,20150121,0.5150,0.5250,0.5100,0.5200,1530000,0
5259,EATECH,D,20150122,0.5250,0.5450,0.5200,0.5400,6507700,0
5259,EATECH,D,20150123,0.5400,0.5450,0.5250,0.5300,2550100,0
5259,EATECH,D,20150126,0.5350,0.5350,0.5100,0.5100,744200,0
5259,EATECH,D,20150127,0.5150,0.5200,0.5100,0.5200,408800,0
5259,EATECH,D,20150128,0.5150,0.5150,0.5100,0.5150,1078400,0
5259,EATECH,D,20150129,0.5100,0.5100,0.5050,0.5100,624000,0
5259,EATECH,D,20150130,0.5150,0.5150,0.5100,0.5150,359100,0
5259,EATECH,D,20150204,0.5300,0.5350,0.5150,0.5250,1585400,0
5259,EATECH,D,20150205,0.5150,0.5200,0.5100,0.5200,562100,0
5259,EATECH,D,20150206,0.5200,0.5400,0.5200,0.5250,1662400,0
5259,EATECH,D,20150209,0.5300,0.5350,0.5300,0.5300,2054000,0
5259,EATECH,D,20150210,0.5300,0.5600,0.5300,0.5550,10273000,0
5259,EATECH,D,20150211,0.5600,0.5700,0.5300,0.5350,4102400,0
5259,EATECH,D,20150212,0.5300,0.5500,0.5300,0.5450,1048100,0
5259,EATECH,D,20150213,0.5500,0.5700,0.5450,0.5600,4254600,0
