<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
0059,ECOHLDS,D,20041206,0.4501,0.4696,0.3718,0.3848,28566749,0
0059,ECOHLDS,D,20041207,0.3848,0.3914,0.3327,0.3457,2121794,0
0059,ECOHLDS,D,20041208,0.3327,0.3327,0.3163,0.3196,1421582,0
0059,ECOHLDS,D,20041209,0.3261,0.3294,0.2968,0.3033,2137227,0
0059,ECOHLDS,D,20041210,0.3001,0.3065,0.2576,0.2576,5440010,0
0059,ECOHLDS,D,20041213,0.2576,0.2707,0.2512,0.2642,1633046,0
0059,ECOHLDS,D,20041214,0.2609,0.2609,0.2446,0.2512,1103517,0
0059,ECOHLDS,D,20041215,0.2544,0.2707,0.2544,0.2674,1299548,0
0059,ECOHLDS,D,20041216,0.2674,0.2674,0.2446,0.2478,1501302,0
0059,ECOHLDS,D,20041217,0.2478,0.2512,0.2446,0.2512,287403,0
0059,ECOHLDS,D,20041220,0.2478,0.2478,0.2380,0.2380,139511,0
0059,ECOHLDS,D,20041221,0.2380,0.2380,0.2218,0.2218,834920,0
0059,ECOHLDS,D,20041222,0.2283,0.2283,0.2055,0.2087,661068,0
0059,ECOHLDS,D,20041223,0.2185,0.2218,0.2153,0.2185,260318,0
0059,ECOHLDS,D,20041224,0.2218,0.2218,0.2153,0.2218,272276,0
0059,ECOHLDS,D,20041227,0.2250,0.2283,0.2153,0.2218,320824,0
0059,ECOHLDS,D,20041228,0.2250,0.2283,0.2153,0.2185,213099,0
0059,ECOHLDS,D,20041229,0.2185,0.2283,0.2120,0.2250,124282,0
0059,ECOHLDS,D,20041230,0.2218,0.2218,0.2153,0.2153,132561,0
0059,ECOHLDS,D,20041231,0.2153,0.2380,0.2153,0.2283,338813,0
0059,ECOHLDS,D,20050103,0.2087,0.2218,0.2087,0.2185,347398,0
0059,ECOHLDS,D,20050104,0.2153,0.2185,0.2153,0.2153,64492,0
0059,ECOHLDS,D,20050105,0.2185,0.2218,0.2153,0.2153,137671,0
0059,ECOHLDS,D,20050106,0.2185,0.2218,0.2185,0.2185,185504,0
0059,ECOHLDS,D,20050107,0.2185,0.2218,0.2153,0.2185,199608,0
0059,ECOHLDS,D,20050110,0.2218,0.2283,0.2185,0.2283,340039,0
0059,ECOHLDS,D,20050111,0.2348,0.2446,0.2348,0.2414,273912,0
0059,ECOHLDS,D,20050112,0.2446,0.2642,0.2446,0.2544,862515,0
0059,ECOHLDS,D,20050113,0.2544,0.2609,0.2512,0.2609,261340,0
0059,ECOHLDS,D,20050114,0.2544,0.2609,0.2544,0.2609,442858,0
0059,ECOHLDS,D,20050117,0.2544,0.2609,0.2478,0.2576,327468,0
0059,ECOHLDS,D,20050118,0.2576,0.2609,0.2414,0.2544,574908,0
0059,ECOHLDS,D,20050119,0.2512,0.2544,0.2414,0.2414,39554,0
0059,ECOHLDS,D,20050120,0.2414,0.2414,0.2316,0.2316,112222,0
0059,ECOHLDS,D,20050124,0.2283,0.2348,0.2250,0.2348,162507,0
0059,ECOHLDS,D,20050125,0.2316,0.2348,0.2283,0.2348,84320,0
0059,ECOHLDS,D,20050126,0.2316,0.2478,0.2316,0.2414,210442,0
0059,ECOHLDS,D,20050127,0.2446,0.2478,0.2446,0.2478,286176,0
0059,ECOHLDS,D,20050128,0.2512,0.2674,0.2512,0.2544,1411054,0
0059,ECOHLDS,D,20050131,0.2414,0.2935,0.2414,0.2935,2175861,0
0059,ECOHLDS,D,20050202,0.2935,0.2935,0.2805,0.2935,1176185,0
0059,ECOHLDS,D,20050203,0.2935,0.2935,0.2870,0.2903,168640,0
0059,ECOHLDS,D,20050204,0.2805,0.2903,0.2740,0.2870,1111591,0
0059,ECOHLDS,D,20050207,0.2870,0.2870,0.2805,0.2805,246827,0
0059,ECOHLDS,D,20050208,0.2805,0.2903,0.2805,0.2903,122647,0
0059,ECOHLDS,D,20050214,0.2870,0.2935,0.2870,0.2935,98833,0
0059,ECOHLDS,D,20050215,0.2935,0.3001,0.2935,0.3001,177838,0
0059,ECOHLDS,D,20050216,0.2935,0.2935,0.2837,0.2870,506226,0
0059,ECOHLDS,D,20050217,0.2837,0.2903,0.2837,0.2903,38327,0
0059,ECOHLDS,D,20050218,0.2968,0.2968,0.2968,0.2968,414036,0
0059,ECOHLDS,D,20050221,0.2674,0.2870,0.2642,0.2837,67558,0
0059,ECOHLDS,D,20050222,0.2837,0.2837,0.2674,0.2707,24529,0
0059,ECOHLDS,D,20050223,0.2512,0.2740,0.2512,0.2642,446129,0
0059,ECOHLDS,D,20050224,0.2414,0.2740,0.2414,0.2576,350157,0
0059,ECOHLDS,D,20050225,0.2740,0.2772,0.2707,0.2740,519717,0
0059,ECOHLDS,D,20050228,0.2544,0.2772,0.2544,0.2772,548948,0
0059,ECOHLDS,D,20050301,0.2740,0.2740,0.2414,0.2414,112018,0
0059,ECOHLDS,D,20050302,0.2478,0.2609,0.2414,0.2609,419555,0
0059,ECOHLDS,D,20050303,0.2576,0.2609,0.2576,0.2609,82787,0
0059,ECOHLDS,D,20050304,0.2576,0.2609,0.2478,0.2478,544042,0
0059,ECOHLDS,D,20050307,0.2512,0.2609,0.2446,0.2609,284848,0
0059,ECOHLDS,D,20050308,0.2512,0.2609,0.2512,0.2609,1280742,0
0059,ECOHLDS,D,20050309,0.2380,0.2609,0.2380,0.2544,20646,0
0059,ECOHLDS,D,20050310,0.2478,0.2674,0.2478,0.2642,557840,0
0059,ECOHLDS,D,20050311,0.2642,0.2674,0.2642,0.2674,715646,0
0059,ECOHLDS,D,20050314,0.2609,0.2674,0.2609,0.2674,998654,0
0059,ECOHLDS,D,20050315,0.2609,0.2772,0.2609,0.2772,228430,0
0059,ECOHLDS,D,20050316,0.2740,0.2772,0.2674,0.2772,788314,0
0059,ECOHLDS,D,20050317,0.2772,0.2805,0.2707,0.2740,1053334,0
0059,ECOHLDS,D,20050318,0.2805,0.2837,0.2740,0.2805,945915,0
0059,ECOHLDS,D,20050321,0.2772,0.2805,0.2707,0.2707,443063,0
0059,ECOHLDS,D,20050322,0.2740,0.2772,0.2674,0.2740,824801,0
0059,ECOHLDS,D,20050323,0.2740,0.2837,0.2740,0.2772,1425874,0
0059,ECOHLDS,D,20050324,0.2740,0.2837,0.2740,0.2772,1084813,0
0059,ECOHLDS,D,20050325,0.2772,0.2805,0.2576,0.2805,503160,0
0059,ECOHLDS,D,20050328,0.2674,0.2935,0.2674,0.2772,1806080,0
