<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
5253,ECONBHD,D,20140630,0.2640,0.2920,0.2420,0.2820,531289750,0
5253,ECONBHD,D,20140701,0.2900,0.3120,0.2820,0.3080,244742500,0
5253,ECONBHD,D,20140702,0.3060,0.3160,0.2920,0.2960,141869250,0
5253,ECONBHD,D,20140703,0.2960,0.3080,0.2900,0.3040,43578250,0
5253,ECONBHD,D,20140704,0.3040,0.3180,0.2980,0.3120,100558000,0
5253,ECONBHD,D,20140707,0.3160,0.3160,0.3060,0.3060,22633500,0
5253,ECONBHD,D,20140708,0.3060,0.3060,0.2960,0.2980,23122750,0
5253,ECONBHD,D,20140709,0.2960,0.3040,0.2940,0.2940,17569500,0
5253,ECONBHD,D,20140710,0.2960,0.2980,0.2900,0.2940,19460750,0
5253,ECONBHD,D,20140711,0.2940,0.3000,0.2900,0.2940,15621500,0
5253,ECONBHD,D,20140714,0.2940,0.2980,0.2900,0.2920,10617000,0
5253,ECONBHD,D,20140716,0.2940,0.3120,0.2900,0.3060,52288750,0
5253,ECONBHD,D,20140717,0.3080,0.3300,0.3020,0.3280,111457750,0
5253,ECONBHD,D,20140718,0.3220,0.3340,0.3220,0.3240,59097000,0
5253,ECONBHD,D,20140721,0.3240,0.3320,0.3240,0.3280,21319750,0
5253,ECONBHD,D,20140722,0.3280,0.3360,0.3260,0.3280,17239250,0
5253,ECONBHD,D,20140723,0.3300,0.3540,0.3240,0.3500,76912000,0
5253,ECONBHD,D,20140724,0.3520,0.3720,0.3520,0.3620,63821750,0
5253,ECONBHD,D,20140725,0.3640,0.3660,0.3600,0.3640,11479500,0
5253,ECONBHD,D,20140730,0.3660,0.3920,0.3660,0.3880,59356750,0
5253,ECONBHD,D,20140731,0.3900,0.4040,0.3880,0.3940,59049500,0
5253,ECONBHD,D,20140801,0.3880,0.4040,0.3840,0.3900,31700000,0
5253,ECONBHD,D,20140804,0.3960,0.4040,0.3940,0.4000,25442000,0
5253,ECONBHD,D,20140805,0.4080,0.4160,0.4000,0.4040,37783500,0
5253,ECONBHD,D,20140806,0.4000,0.4040,0.3800,0.3960,44905750,0
5253,ECONBHD,D,20140807,0.3920,0.4000,0.3900,0.3940,12329000,0
5253,ECONBHD,D,20140808,0.3920,0.4000,0.3800,0.3980,32470000,0
5253,ECONBHD,D,20140811,0.4000,0.4640,0.4000,0.4600,107776000,0
5253,ECONBHD,D,20140812,0.4680,0.4880,0.4520,0.4560,60282250,0
5253,ECONBHD,D,20140813,0.4640,0.4640,0.4480,0.4520,13616500,0
5253,ECONBHD,D,20140814,0.4560,0.4680,0.4560,0.4600,10662250,0
5253,ECONBHD,D,20140815,0.4600,0.4760,0.4480,0.4600,20082750,0
5253,ECONBHD,D,20140818,0.4680,0.4800,0.4600,0.4600,25960750,0
5253,ECONBHD,D,20140819,0.4640,0.4720,0.4560,0.4560,8667250,0
5253,ECONBHD,D,20140820,0.4560,0.4600,0.4240,0.4240,12921500,0
5253,ECONBHD,D,20140821,0.4320,0.4480,0.4240,0.4440,16616750,0
5253,ECONBHD,D,20140822,0.4440,0.4520,0.4240,0.4320,10233000,0
5253,ECONBHD,D,20140825,0.4360,0.4360,0.4120,0.4200,6823000,0
5253,ECONBHD,D,20140826,0.4240,0.4360,0.4160,0.4320,12831250,0
5253,ECONBHD,D,20140827,0.4320,0.4320,0.4160,0.4160,5627250,0
5253,ECONBHD,D,20140828,0.4200,0.4200,0.4040,0.4040,5916750,0
5253,ECONBHD,D,20140829,0.4040,0.4040,0.3820,0.3900,26340250,0
5253,ECONBHD,D,20140902,0.3900,0.4040,0.3900,0.4000,25868000,0
5253,ECONBHD,D,20140903,0.4040,0.4040,0.3940,0.3940,3985750,0
5253,ECONBHD,D,20140904,0.3940,0.3940,0.3860,0.3860,2709250,0
5253,ECONBHD,D,20140905,0.3860,0.3960,0.3860,0.3920,4545500,0
5253,ECONBHD,D,20140908,0.3940,0.3940,0.3860,0.3880,4850000,0
5253,ECONBHD,D,20140909,0.3880,0.3980,0.3860,0.3960,8314500,0
5253,ECONBHD,D,20140910,0.3920,0.3960,0.3880,0.3940,2752750,0
5253,ECONBHD,D,20140911,0.3920,0.3960,0.3860,0.3860,3278000,0
5253,ECONBHD,D,20140912,0.3880,0.4200,0.3880,0.4120,16360500,0
5253,ECONBHD,D,20140915,0.4160,0.4160,0.4040,0.4120,2011750,0
5253,ECONBHD,D,20140917,0.4120,0.4160,0.4000,0.4080,976000,0
5253,ECONBHD,D,20140918,0.4000,0.4080,0.3980,0.4040,1595500,0
5253,ECONBHD,D,20140919,0.4040,0.4120,0.4000,0.4040,4502750,0
5253,ECONBHD,D,20140922,0.4080,0.4520,0.4080,0.4280,26965000,0
5253,ECONBHD,D,20140923,0.4280,0.4400,0.4240,0.4360,2761000,0
5253,ECONBHD,D,20140924,0.4360,0.4400,0.4280,0.4360,2148250,0
5253,ECONBHD,D,20140925,0.4400,0.4560,0.4240,0.4320,14938250,0
5253,ECONBHD,D,20140926,0.4320,0.4360,0.4200,0.4280,4316750,0
5253,ECONBHD,D,20140929,0.4280,0.4360,0.4280,0.4320,1908250,0
5253,ECONBHD,D,20140930,0.4320,0.4320,0.4240,0.4280,1662750,0
5253,ECONBHD,D,20141001,0.4280,0.4280,0.4080,0.4120,5045500,0
5253,ECONBHD,D,20141002,0.4120,0.4120,0.3980,0.4000,4347750,0
5253,ECONBHD,D,20141003,0.4000,0.4080,0.3980,0.4040,2130000,0
5253,ECONBHD,D,20141007,0.4080,0.4080,0.3920,0.3960,2780000,0
5253,ECONBHD,D,20141008,0.3960,0.3960,0.3760,0.3820,9069000,0
5253,ECONBHD,D,20141009,0.3840,0.3940,0.3840,0.3880,4159750,0
5253,ECONBHD,D,20141010,0.3760,0.3840,0.3720,0.3840,2898250,0
5253,ECONBHD,D,20141013,0.3820,0.3820,0.3740,0.3820,3717500,0
5253,ECONBHD,D,20141014,0.3720,0.3760,0.3680,0.3720,6868500,0
5253,ECONBHD,D,20141015,0.3780,0.3780,0.3700,0.3760,3089500,0
5253,ECONBHD,D,20141016,0.3660,0.3680,0.3280,0.3460,9235000,0
5253,ECONBHD,D,20141017,0.3460,0.3820,0.3460,0.3820,9408500,0
5253,ECONBHD,D,20141020,0.3840,0.3960,0.3820,0.3820,13099750,0
5253,ECONBHD,D,20141021,0.3820,0.3820,0.3700,0.3700,6134500,0
5253,ECONBHD,D,20141023,0.3700,0.3780,0.3700,0.3760,5378250,0
5253,ECONBHD,D,20141024,0.3820,0.3860,0.3760,0.3800,5998250,0
5253,ECONBHD,D,20141027,0.3820,0.3880,0.3780,0.3840,3440000,0
5253,ECONBHD,D,20141028,0.3820,0.3820,0.3740,0.3760,2965250,0
5253,ECONBHD,D,20141029,0.3800,0.3860,0.3780,0.3800,6604500,0
5253,ECONBHD,D,20141030,0.3780,0.3800,0.3760,0.3780,4382000,0
5253,ECONBHD,D,20141031,0.3820,0.4000,0.3800,0.3940,14486750,0
5253,ECONBHD,D,20141103,0.3980,0.4120,0.3900,0.4000,10936500,0
5253,ECONBHD,D,20141104,0.4000,0.4000,0.3940,0.3960,2058000,0
5253,ECONBHD,D,20141105,0.3980,0.4000,0.3900,0.3900,1289250,0
5253,ECONBHD,D,20141106,0.3900,0.3960,0.3820,0.3840,2623750,0
5253,ECONBHD,D,20141107,0.3840,0.3900,0.3840,0.3880,4619250,0
5253,ECONBHD,D,20141110,0.3900,0.3900,0.3820,0.3820,933750,0
5253,ECONBHD,D,20141111,0.3840,0.3860,0.3800,0.3840,1083000,0
5253,ECONBHD,D,20141112,0.3820,0.3920,0.3800,0.3900,2287250,0
5253,ECONBHD,D,20141113,0.3920,0.3920,0.3820,0.3840,2292500,0
5253,ECONBHD,D,20141114,0.3880,0.3880,0.3820,0.3840,4116500,0
5253,ECONBHD,D,20141117,0.3860,0.3880,0.3800,0.3800,1251750,0
5253,ECONBHD,D,20141118,0.3800,0.3860,0.3740,0.3840,1718500,0
5253,ECONBHD,D,20141119,0.3860,0.3900,0.3780,0.3880,1726750,0
5253,ECONBHD,D,20141120,0.3900,0.3920,0.3880,0.3920,3839000,0
5253,ECONBHD,D,20141121,0.3960,0.4040,0.3940,0.3960,8679000,0
5253,ECONBHD,D,20141124,0.3960,0.4000,0.3920,0.3920,1575750,0
5253,ECONBHD,D,20141125,0.3900,0.3980,0.3900,0.3920,806750,0
5253,ECONBHD,D,20141126,0.3900,0.3920,0.3840,0.3860,883000,0
5253,ECONBHD,D,20141127,0.3900,0.3940,0.3820,0.3880,1923750,0
5253,ECONBHD,D,20141128,0.3840,0.3960,0.3820,0.3940,1662000,0
5253,ECONBHD,D,20141201,0.3940,0.3940,0.3740,0.3780,4074250,0
5253,ECONBHD,D,20141202,0.3800,0.3800,0.3740,0.3740,886250,0
5253,ECONBHD,D,20141203,0.3740,0.3780,0.3720,0.3740,3701250,0
5253,ECONBHD,D,20141204,0.3720,0.3720,0.3600,0.3720,1743250,0
5253,ECONBHD,D,20141205,0.3720,0.3720,0.3660,0.3700,972750,0
5253,ECONBHD,D,20141208,0.3640,0.3720,0.3620,0.3620,539250,0
5253,ECONBHD,D,20141209,0.3600,0.3640,0.3580,0.3620,1400250,0
5253,ECONBHD,D,20141210,0.3600,0.3680,0.3600,0.3640,2382500,0
5253,ECONBHD,D,20141211,0.3600,0.3620,0.3580,0.3620,980000,0
5253,ECONBHD,D,20141212,0.3560,0.3560,0.3500,0.3500,1059750,0
5253,ECONBHD,D,20141215,0.3480,0.3480,0.3040,0.3080,3601750,0
5253,ECONBHD,D,20141216,0.3040,0.3060,0.2860,0.2940,5229000,0
5253,ECONBHD,D,20141217,0.2940,0.3160,0.2940,0.3120,7028750,0
5253,ECONBHD,D,20141218,0.3200,0.3240,0.3160,0.3220,2622750,0
5253,ECONBHD,D,20141219,0.3240,0.3300,0.3220,0.3220,2514000,0
5253,ECONBHD,D,20141222,0.3240,0.3600,0.3240,0.3600,3192500,0
5253,ECONBHD,D,20141223,0.3600,0.3600,0.3440,0.3480,1230250,0
5253,ECONBHD,D,20141224,0.3460,0.3460,0.3320,0.3380,937750,0
5253,ECONBHD,D,20141226,0.3360,0.3480,0.3360,0.3480,592500,0
5253,ECONBHD,D,20141229,0.3400,0.3460,0.3400,0.3400,238750,0
5253,ECONBHD,D,20141230,0.3400,0.3400,0.3320,0.3320,347750,0
5253,ECONBHD,D,20141231,0.3320,0.3400,0.3320,0.3380,427000,0
5253,ECONBHD,D,20150102,0.3340,0.3480,0.3340,0.3480,509250,0
5253,ECONBHD,D,20150105,0.3460,0.3460,0.3380,0.3440,253750,0
5253,ECONBHD,D,20150106,0.3400,0.3420,0.3320,0.3340,3939000,0
