<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
1368,EDGENTA,D,19940103,2.7566,3.0880,2.7416,3.0730,37004441,0
1368,EDGENTA,D,19940104,3.1935,3.5098,3.0127,3.5098,69784128,0
1368,EDGENTA,D,19940105,3.5550,3.6605,3.3742,3.4044,56386266,0
1368,EDGENTA,D,19940106,3.3742,3.4646,3.2387,3.2989,35277098,0
1368,EDGENTA,D,19940107,3.2839,3.3742,3.1935,3.3441,22662581,0
1368,EDGENTA,D,19940110,3.4044,3.7659,3.3893,3.7358,48681599,0
1368,EDGENTA,D,19940111,3.5399,3.7056,3.3592,3.3742,43222080,0
1368,EDGENTA,D,19940112,3.3592,3.4646,2.8771,3.2236,57246618,0
1368,EDGENTA,D,19940113,3.2085,3.2989,2.8621,2.8922,45201686,0
1368,EDGENTA,D,19940114,3.2387,3.3893,3.1031,3.3893,58627430,0
1368,EDGENTA,D,19940117,3.3291,3.4044,3.1483,3.1634,23930539,0
1368,EDGENTA,D,19940118,3.1332,3.2989,3.0127,3.2085,17888157,0
1368,EDGENTA,D,19940119,3.2236,3.2537,3.0730,3.1031,12546804,0
1368,EDGENTA,D,19940120,3.0730,3.1332,2.9826,3.0880,16686585,0
1368,EDGENTA,D,19940121,3.1935,3.2236,3.1031,3.1483,23298552,0
1368,EDGENTA,D,19940124,3.1784,3.2085,3.0278,3.0278,10592423,0
1368,EDGENTA,D,19940125,2.9675,3.0127,2.5457,2.6361,26076109,0
1368,EDGENTA,D,19940126,2.5608,2.9826,2.4704,2.9525,40009036,0
1368,EDGENTA,D,19940127,2.9977,3.1935,2.9223,3.1332,58144146,0
1368,EDGENTA,D,19940128,3.0278,3.1935,3.0278,3.0579,23959748,0
1368,EDGENTA,D,19940131,3.0579,3.1634,3.0428,3.1031,14282113,0
1368,EDGENTA,D,19940202,3.1784,3.2236,3.1332,3.1483,23224200,0
1368,EDGENTA,D,19940203,3.1935,3.4194,3.1634,3.4044,35550605,0
1368,EDGENTA,D,19940204,3.3441,3.4797,3.1935,3.3291,42412180,0
1368,EDGENTA,D,19940207,3.2085,3.2688,3.1483,3.1634,24849310,0
1368,EDGENTA,D,19940208,3.2387,3.2989,3.2236,3.2839,9993629,0
1368,EDGENTA,D,19940214,3.2839,3.3140,3.2085,3.2236,8545104,0
