<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
8877,EKOVEST,D,19940103,0.9959,0.9959,0.9569,0.9736,159463,0
8877,EKOVEST,D,19940104,0.9736,0.9736,0.9624,0.9736,318926,0
8877,EKOVEST,D,19940105,0.9736,0.9847,0.9680,0.9791,1052222,0
8877,EKOVEST,D,19940106,0.9791,0.9791,0.9791,0.9791,57964,0
8877,EKOVEST,D,19940107,0.9680,0.9680,0.9680,0.9680,14301,0
8877,EKOVEST,D,19940110,0.9346,0.9624,0.9346,0.9346,93569,0
8877,EKOVEST,D,19940111,0.8845,0.9346,0.8845,0.8845,92900,0
8877,EKOVEST,D,19940112,0.8789,0.8845,0.8288,0.8845,171663,0
8877,EKOVEST,D,19940113,0.8176,0.8176,0.8121,0.8121,41903,0
8877,EKOVEST,D,19940114,0.8288,0.8956,0.8176,0.8956,631156,0
8877,EKOVEST,D,19940117,0.8678,0.8845,0.8678,0.8845,28274,0
8877,EKOVEST,D,19940118,0.8733,0.8845,0.8733,0.8845,185800,0
8877,EKOVEST,D,19940119,0.9012,0.9012,0.9012,0.9012,14172,0
8877,EKOVEST,D,19940124,0.8845,0.9012,0.8789,0.8845,57221,0
8877,EKOVEST,D,19940127,0.8288,0.8845,0.8288,0.8845,42411,0
8877,EKOVEST,D,19940128,0.8566,0.8845,0.8566,0.8845,92900,0
8877,EKOVEST,D,19940202,0.8733,0.9290,0.8733,0.9290,382124,0
8877,EKOVEST,D,19940203,0.8845,0.9068,0.8845,0.9068,158046,0
8877,EKOVEST,D,19940204,0.8956,0.8956,0.8845,0.8956,380312,0
8877,EKOVEST,D,19940207,0.8845,0.8845,0.8622,0.8845,78763,0
8877,EKOVEST,D,19940208,0.8622,0.8845,0.8622,0.8845,28274,0
8877,EKOVEST,D,19940215,0.8566,0.8845,0.8566,0.8845,42411,0
8877,EKOVEST,D,19940216,0.8733,0.8733,0.8733,0.8733,14113,0
8877,EKOVEST,D,19940218,0.8733,0.8845,0.8733,0.8845,42411,0
8877,EKOVEST,D,19940221,0.8288,0.8678,0.8288,0.8678,185319,0
8877,EKOVEST,D,19940222,0.8678,0.8678,0.8678,0.8678,14100,0
