<ticker>,<name>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>,<o/i>
9091,EMICO,D,19940406,3.9900,4.5600,3.0020,3.0590,415700,0
9091,EMICO,D,19940407,3.0590,3.0590,2.8120,2.8500,91500,0
9091,EMICO,D,19940408,2.7360,2.8025,2.6600,2.6600,61000,0
9091,EMICO,D,19940411,2.6410,2.6980,2.5080,2.6980,36800,0
9091,EMICO,D,19940412,2.6600,2.8500,2.6600,2.8310,25200,0
9091,EMICO,D,19940413,2.8500,2.8500,2.7075,2.7075,45200,0
9091,EMICO,D,19940414,2.7550,2.7550,2.6790,2.6980,21000,0
9091,EMICO,D,19940415,2.7360,2.7930,2.6980,2.7930,37800,0
9091,EMICO,D,19940418,2.7550,2.8690,2.6980,2.8690,81000,0
9091,EMICO,D,19940419,2.8690,2.9830,2.8500,2.8500,44200,0
9091,EMICO,D,19940420,2.8500,2.9260,2.8500,2.9260,28400,0
9091,EMICO,D,19940421,2.8500,2.8690,2.8310,2.8310,14700,0
9091,EMICO,D,19940422,2.8500,2.9260,2.8500,2.9260,56800,0
9091,EMICO,D,19940425,2.9640,2.9640,2.9070,2.9640,108400,0
9091,EMICO,D,19940426,2.9640,3.0780,2.9640,2.9640,84200,0
9091,EMICO,D,19940427,2.9260,2.9450,2.8690,2.8880,32600,0
9091,EMICO,D,19940428,2.8500,2.8880,2.8500,2.8690,27300,0
9091,EMICO,D,19940429,2.8500,2.8880,2.8500,2.8500,24200,0
9091,EMICO,D,19940503,2.8500,2.8500,2.8310,2.8500,34700,0
9091,EMICO,D,19940504,2.8500,2.8690,2.8500,2.8690,51500,0
9091,EMICO,D,19940505,2.8500,2.8500,2.8500,2.8500,53600,0
9091,EMICO,D,19940506,2.8500,2.8500,2.8025,2.8025,8400,0
9091,EMICO,D,19940509,2.7550,2.7550,2.7075,2.7075,6300,0
9091,EMICO,D,19940510,2.7075,2.7550,2.6980,2.7550,8400,0
9091,EMICO,D,19940511,2.7550,2.7550,2.7550,2.7550,8400,0
9091,EMICO,D,19940513,2.7455,2.7455,2.7455,2.7455,5200,0
9091,EMICO,D,19940516,2.6980,2.6980,2.6980,2.6980,1000,0
9091,EMICO,D,19940518,2.6125,2.7075,2.6125,2.7075,5200,0
9091,EMICO,D,19940519,2.4700,2.4700,2.4700,2.4700,1000,0
9091,EMICO,D,19940520,2.5650,2.6600,2.5650,2.6600,9400,0
9091,EMICO,D,19940523,2.7075,2.7075,2.5745,2.5745,6300,0
9091,EMICO,D,19940524,2.5650,2.8310,2.5650,2.5840,7300,0
9091,EMICO,D,19940526,2.6030,2.6030,2.6030,2.6030,11500,0
9091,EMICO,D,19940527,2.6030,2.6125,2.5650,2.5745,28400,0
9091,EMICO,D,19940530,2.5650,2.5745,2.5555,2.5745,24200,0
9091,EMICO,D,19940531,2.5745,2.5745,2.5460,2.5650,12600,0
9091,EMICO,D,19940601,2.5555,2.5555,2.4700,2.5175,17800,0
9091,EMICO,D,19940602,2.4700,2.5175,2.4700,2.5175,6300,0
9091,EMICO,D,19940603,2.5460,2.5460,2.5175,2.5365,14700,0
9091,EMICO,D,19940606,2.5650,2.5745,2.4700,2.5745,20000,0
9091,EMICO,D,19940607,2.5650,2.5650,2.5650,2.5650,4200,0
9091,EMICO,D,19940608,2.0900,2.4890,2.0900,2.4700,6300,0
9091,EMICO,D,19940609,2.3750,2.3845,2.3370,2.3370,11500,0
9091,EMICO,D,19940610,2.4320,2.5650,2.4320,2.5650,9400,0
9091,EMICO,D,19940613,2.5650,2.6600,2.5650,2.5650,42100,0
9091,EMICO,D,19940614,2.4700,2.5175,2.4700,2.5175,2100,0
9091,EMICO,D,19940615,2.5270,2.5650,2.5270,2.5270,13600,0
9091,EMICO,D,19940616,2.5270,2.5270,2.4700,2.4700,3100,0
9091,EMICO,D,19940617,2.4890,2.5650,2.4890,2.5650,21000,0
9091,EMICO,D,19940620,2.5650,2.6600,2.5650,2.5745,75700,0
9091,EMICO,D,19940621,2.5175,2.5175,2.5080,2.5080,4200,0
9091,EMICO,D,19940622,2.5080,2.5650,2.5080,2.5175,8400,0
9091,EMICO,D,19940623,2.5175,2.5650,2.5175,2.5365,13600,0
9091,EMICO,D,19940624,2.5175,2.5175,2.5175,2.5175,9400,0
9091,EMICO,D,19940627,2.4795,2.4795,2.4795,2.4795,1000,0
9091,EMICO,D,19940628,2.5175,2.5175,2.4795,2.4795,4200,0
9091,EMICO,D,19940629,2.4510,2.5650,2.4225,2.5650,8400,0
9091,EMICO,D,19940630,2.4700,2.5650,2.4225,2.4225,13600,0
9091,EMICO,D,19940701,2.3845,2.3940,2.3845,2.3940,16800,0
9091,EMICO,D,19940704,2.3750,2.3940,2.3750,2.3940,3100,0
9091,EMICO,D,19940705,2.3940,2.5650,2.3940,2.5650,7300,0
9091,EMICO,D,19940707,2.2990,2.5650,2.2895,2.5650,8400,0
9091,EMICO,D,19940708,2.5270,2.5650,2.5080,2.5080,51500,0
9091,EMICO,D,19940711,2.5080,2.5175,2.4225,2.4225,8400,0
9091,EMICO,D,19940712,2.4225,2.4225,2.3750,2.4225,4200,0
9091,EMICO,D,19940713,2.3940,2.3940,2.3940,2.3940,5200,0
9091,EMICO,D,19940714,2.4225,2.4225,2.4225,2.4225,5200,0
9091,EMICO,D,19940715,2.4700,2.5460,2.4700,2.5080,27300,0
9091,EMICO,D,19940718,2.4225,2.4225,2.4225,2.4225,4200,0
9091,EMICO,D,19940719,2.4225,2.4225,2.4225,2.4225,1000,0
9091,EMICO,D,19940720,2.4225,2.4700,2.4225,2.4700,3100,0
9091,EMICO,D,19940721,2.3750,2.5650,2.3750,2.5650,16800,0
9091,EMICO,D,19940722,2.4700,2.5650,2.4700,2.5650,15700,0
9091,EMICO,D,19940725,2.4890,2.4890,2.4700,2.4700,28400,0
9091,EMICO,D,19940726,2.4700,2.5175,2.4700,2.5175,8400,0
9091,EMICO,D,19940727,2.4700,2.4700,2.4700,2.4700,6300,0
9091,EMICO,D,19940728,2.4700,2.4700,2.4700,2.4700,3100,0
9091,EMICO,D,19940729,2.4890,2.5175,2.4890,2.5080,6300,0
9091,EMICO,D,19940801,2.5365,2.5650,2.5365,2.5650,16800,0
9091,EMICO,D,19940802,2.5650,2.5650,2.5650,2.5650,16800,0
9091,EMICO,D,19940803,2.5650,2.5650,2.4700,2.5460,13600,0
9091,EMICO,D,19940804,2.5080,2.5650,2.5080,2.5650,27300,0
9091,EMICO,D,19940805,2.5650,2.6600,2.5650,2.6315,68400,0
9091,EMICO,D,19940808,2.6315,2.7550,2.6315,2.7170,75700,0
9091,EMICO,D,19940809,2.7075,2.7550,2.6600,2.7550,25200,0
9091,EMICO,D,19940810,2.7075,2.8500,2.6790,2.8500,105200,0
9091,EMICO,D,19940811,2.9450,3.1350,2.8215,3.1350,202100,0
9091,EMICO,D,19940812,3.1730,3.3630,3.1540,3.1730,364200,0
9091,EMICO,D,19940815,3.2870,3.4580,3.2300,3.3060,275700,0
9091,EMICO,D,19940816,3.3060,3.3250,3.2490,3.2490,68400,0
9091,EMICO,D,19940817,3.2490,3.3060,3.1730,3.1730,51500,0
9091,EMICO,D,19940818,3.1350,3.1350,3.0400,3.0400,16800,0
9091,EMICO,D,19940819,3.0020,3.0400,2.9450,3.0400,18900,0
9091,EMICO,D,19940822,3.0780,3.1350,3.0780,3.1350,83100,0
9091,EMICO,D,19940823,3.1540,3.1730,3.0780,3.0780,45200,0
9091,EMICO,D,19940824,3.2490,3.2490,2.9830,3.0020,74700,0
9091,EMICO,D,19940825,3.3060,3.3060,3.0400,3.0590,56800,0
9091,EMICO,D,19940826,2.8690,2.9830,2.8690,2.9640,24200,0
9091,EMICO,D,19940829,3.0020,3.0970,3.0020,3.0780,41000,0
9091,EMICO,D,19940830,3.0780,3.2300,3.0590,3.2110,44200,0
9091,EMICO,D,19940901,3.3250,3.3250,3.2110,3.2300,55700,0
9091,EMICO,D,19940902,3.2300,3.3250,3.0400,3.2680,176800,0
9091,EMICO,D,19940905,3.3250,3.3250,3.2300,3.2490,87300,0
9091,EMICO,D,19940906,3.2300,3.2680,3.1540,3.2490,37800,0
9091,EMICO,D,19940907,3.2870,3.3630,3.2680,3.3440,180000,0
9091,EMICO,D,19940908,3.3630,4.0850,3.3630,4.0850,954700,0
9091,EMICO,D,19940909,4.1800,4.2180,3.8950,3.9330,606300,0
9091,EMICO,D,19940912,4.1610,4.1610,3.7810,3.7810,170500,0
9091,EMICO,D,19940913,3.7810,4.3700,3.7810,4.2560,654700,0
9091,EMICO,D,19940914,4.3510,4.3700,4.2750,4.2750,428400,0
9091,EMICO,D,19940915,4.2750,4.3320,4.0850,4.1230,144200,0
9091,EMICO,D,19940916,4.1610,4.1800,4.1040,4.1230,188400,0
9091,EMICO,D,19940919,4.1800,4.2940,4.1420,4.2180,252600,0
9091,EMICO,D,19940920,4.2370,4.3320,3.2870,4.1800,186300,0
9091,EMICO,D,19940921,4.0090,4.1420,3.9900,3.9900,98900,0
9091,EMICO,D,19940922,3.9900,3.9900,3.8000,3.8000,125200,0
9091,EMICO,D,19940923,3.8000,3.9140,3.7240,3.7240,148400,0
9091,EMICO,D,19940926,3.7430,3.8000,3.7050,3.7620,71500,0
9091,EMICO,D,19940927,3.8000,3.8190,3.7430,3.7620,60000,0
9091,EMICO,D,19940928,3.8000,3.8570,3.7810,3.8190,62100,0
9091,EMICO,D,19940929,3.7810,3.7810,3.7240,3.7430,86300,0
9091,EMICO,D,19940930,3.7240,3.8000,3.7050,3.7620,76800,0
9091,EMICO,D,19941003,3.7430,3.8000,3.7430,3.7430,42100,0
9091,EMICO,D,19941004,3.7430,3.8950,3.7430,3.8950,75700,0
9091,EMICO,D,19941005,3.8000,4.1610,3.8000,3.9140,143100,0
9091,EMICO,D,19941006,3.9900,3.9900,3.9520,3.9520,34700,0
9091,EMICO,D,19941007,3.9900,3.9900,3.8380,3.8380,29400,0
